idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.8823747634887695,-5.835196495056152,-7.19147253036499,-5.835196495056152,-6.9813690185546875,-7.137292861938477
2,-6.957996368408203,-5.549380302429199,-7.1452226638793945,-5.549380302429199,-6.900648593902588,-7.514820575714111
3,-7.352027893066406,-5.497633934020996,-7.559304714202881,-5.497633934020996,-7.389553070068359,-7.694581031799316
4,-7.1482648849487305,-5.031749725341797,-7.474669456481934,-5.031749725341797,-7.111080169677734,-7.260617256164551
5,-7.208399295806885,-6.147623062133789,-7.527255058288574,-6.147623062133789,-7.5184712409973145,-7.480194091796875
6,-6.975183010101318,-6.007910251617432,-7.580767631530762,-6.007910251617432,-7.723392009735107,-7.137292861938477
7,-7.116589546203613,-6.014537811279297,-7.457977294921875,-6.014537811279297,-7.482022762298584,-7.514820575714111
8,-7.4164533615112305,-5.855973720550537,-7.7784423828125,-5.855973720550537,-7.965658664703369,-7.694581031799316
9,-7.216280937194824,-5.329102516174316,-7.665068626403809,-5.329102516174316,-7.703088283538818,-7.260617256164551
10,-7.248684883117676,-6.409165382385254,-7.529753684997559,-6.409165382385254,-7.632976531982422,-7.480194091796875
11,-7.577532768249512,-7.010478496551514,-7.535724639892578,-7.010478496551514,-7.6333842277526855,-7.137292861938477
12,-7.705497741699219,-7.024348258972168,-7.468625545501709,-7.024348258972168,-7.71312952041626,-7.514820575714111
13,-8.01765251159668,-7.155864715576172,-7.826550483703613,-7.155864715576172,-8.293794631958008,-7.694581031799316
14,-7.755250453948975,-6.634612083435059,-7.505991458892822,-6.634612083435059,-7.615206241607666,-7.260617256164551
15,-7.797172546386719,-7.14174222946167,-7.426048278808594,-7.14174222946167,-7.780953884124756,-7.480194091796875
16,-9.757667541503906,-7.45436429977417,-10.211773872375488,-7.45436429977417,-6.9813690185546875,-11.002263069152832
17,-10.027862548828125,-7.667045593261719,-10.33247184753418,-7.667045593261719,-6.900648593902588,-11.3765869140625
18,-10.494453430175781,-7.7689127922058105,-10.897039413452148,-7.7689127922058105,-7.389553070068359,-11.798481941223145
19,-10.2503662109375,-6.235877990722656,-10.676878929138184,-6.235877990722656,-7.111080169677734,-11.222630500793457
20,-10.525785446166992,-8.187569618225098,-10.047187805175781,-8.187569618225098,-7.5184712409973145,-10.572202682495117
21,-9.938448905944824,-7.864991664886475,-10.53915023803711,-7.864991664886475,-7.723392009735107,-11.002263069152832
22,-10.177507400512695,-8.215553283691406,-10.607766151428223,-8.215553283691406,-7.482022762298584,-11.3765869140625
23,-10.547433853149414,-8.184151649475098,-11.071523666381836,-8.184151649475098,-7.965658664703369,-11.798481941223145
24,-10.253049850463867,-6.5954155921936035,-10.98898696899414,-6.5954155921936035,-7.703088283538818,-11.222630500793457
25,-10.297012329101562,-8.665879249572754,-10.155951499938965,-8.665879249572754,-7.632976531982422,-10.572202682495117
26,-10.012048721313477,-8.692001342773438,-10.16552734375,-8.692001342773438,-7.6333842277526855,-11.002263069152832
27,-10.216609001159668,-9.39020824432373,-10.245857238769531,-9.39020824432373,-7.71312952041626,-11.3765869140625
28,-10.639251708984375,-9.420239448547363,-10.698284149169922,-9.420239448547363,-8.293794631958008,-11.798481941223145
29,-10.225004196166992,-7.867471694946289,-10.152194023132324,-7.867471694946289,-7.615206241607666,-11.222630500793457
30,-10.113825798034668,-9.344889640808105,-9.867774963378906,-9.344889640808105,-7.780953884124756,-10.572202682495117
31,-8.907808303833008,-7.145269393920898,-10.552879333496094,-7.145269393920898,-6.9813690185546875,-12.346158027648926
32,-9.199378967285156,-6.8214569091796875,-10.494039535522461,-6.8214569091796875,-6.900648593902588,-12.553921699523926
33,-9.57366943359375,-6.821661472320557,-10.931878089904785,-6.821661472320557,-7.389553070068359,-12.65725040435791
34,-9.186552047729492,-6.020223140716553,-10.824540138244629,-6.020223140716553,-7.111080169677734,-12.039727210998535
35,-10.170652389526367,-8.327668190002441,-11.041862487792969,-8.327668190002441,-7.5184712409973145,-12.93291187286377
36,-8.742578506469727,-7.388341903686523,-10.907685279846191,-7.388341903686523,-7.723392009735107,-12.346158027648926
37,-9.067941665649414,-7.213481426239014,-10.835229873657227,-7.213481426239014,-7.482022762298584,-12.553921699523926
38,-9.387697219848633,-7.022439479827881,-11.05856704711914,-7.022439479827881,-7.965658664703369,-12.65725040435791
39,-9.033407211303711,-6.202027797698975,-11.009275436401367,-6.202027797698975,-7.703088283538818,-12.039727210998535
40,-9.611307144165039,-8.681914329528809,-11.172478675842285,-8.681914329528809,-7.632976531982422,-12.93291187286377
41,-10.013364791870117,-9.266845703125,-11.10152816772461,-9.266845703125,-7.6333842277526855,-12.346158027648926
42,-10.2559814453125,-9.303607940673828,-11.111534118652344,-9.303607940673828,-7.71312952041626,-12.553921699523926
43,-10.560358047485352,-9.205702781677246,-11.546902656555176,-9.205702781677246,-8.293794631958008,-12.65725040435791
44,-10.204943656921387,-8.171808242797852,-11.051346778869629,-8.171808242797852,-7.615206241607666,-12.039727210998535
45,-10.793593406677246,-10.01831340789795,-11.314216613769531,-10.01831340789795,-7.780953884124756,-12.93291187286377
