idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.699623107910156,-5.90938663482666,-8.05451774597168,-5.90938663482666,-6.587399005889893,-8.665010452270508
2,-6.477349758148193,-5.886593818664551,-7.8588361740112305,-5.886593818664551,-6.848182201385498,-8.399598121643066
3,-6.922163486480713,-5.862343788146973,-8.387308120727539,-5.862343788146973,-7.081319808959961,-8.716707229614258
4,-6.6776018142700195,-5.103392601013184,-8.096470832824707,-5.103392601013184,-6.654932498931885,-8.699934005737305
5,-7.5582380294799805,-6.1202521324157715,-8.537997245788574,-6.1202521324157715,-7.731043338775635,-8.485034942626953
6,-7.301880836486816,-6.59621524810791,-8.335403442382812,-6.59621524810791,-6.9656596183776855,-8.665010452270508
7,-7.087241172790527,-6.493143081665039,-8.257936477661133,-6.493143081665039,-7.330356597900391,-8.399598121643066
8,-7.526561737060547,-6.532801151275635,-8.852300643920898,-6.532801151275635,-7.726922988891602,-8.716707229614258
9,-7.208334922790527,-5.65216064453125,-8.524383544921875,-5.65216064453125,-7.073479175567627,-8.699934005737305
10,-8.21867847442627,-6.652620792388916,-8.923599243164062,-6.652620792388916,-8.332551002502441,-8.485034942626953
11,-8.29344654083252,-7.199779510498047,-8.26722526550293,-7.199779510498047,-8.011292457580566,-8.665010452270508
12,-8.135522842407227,-7.378632068634033,-8.409563064575195,-7.378632068634033,-8.235602378845215,-8.399598121643066
13,-8.455340385437012,-7.553972244262695,-8.525385856628418,-7.553972244262695,-8.25789737701416,-8.716707229614258
14,-8.165550231933594,-6.4081339836120605,-8.261765480041504,-6.4081339836120605,-7.687600612640381,-8.699934005737305
15,-8.669317245483398,-7.100327491760254,-8.572637557983398,-7.100327491760254,-8.431940078735352,-8.485034942626953
16,-9.160758972167969,-7.1125335693359375,-10.449427604675293,-7.1125335693359375,-6.587399005889893,-11.88052749633789
17,-8.875839233398438,-6.942418575286865,-10.37540340423584,-6.942418575286865,-6.848182201385498,-11.230674743652344
18,-9.41342544555664,-6.9335808753967285,-10.813961029052734,-6.9335808753967285,-7.081319808959961,-11.848953247070312
19,-9.107778549194336,-6.050942897796631,-10.348823547363281,-6.050942897796631,-6.654932498931885,-11.3629150390625
20,-10.478009223937988,-7.389485836029053,-11.068647384643555,-7.389485836029053,-7.731043338775635,-11.708918571472168
21,-9.769287109375,-7.6129608154296875,-11.016782760620117,-7.6129608154296875,-6.9656596183776855,-11.88052749633789
22,-9.427804946899414,-7.656070709228516,-11.00736141204834,-7.656070709228516,-7.330356597900391,-11.230674743652344
23,-9.972341537475586,-7.736979007720947,-11.496485710144043,-7.736979007720947,-7.726922988891602,-11.848953247070312
24,-9.584815979003906,-6.437738418579102,-10.94387435913086,-6.437738418579102,-7.073479175567627,-11.3629150390625
25,-10.908803939819336,-7.74796724319458,-11.590558052062988,-7.74796724319458,-8.332551002502441,-11.708918571472168
26,-10.922992706298828,-8.740607261657715,-10.822099685668945,-8.740607261657715,-8.011292457580566,-11.88052749633789
27,-10.525724411010742,-8.94318675994873,-10.8426513671875,-8.94318675994873,-8.235602378845215,-11.230674743652344
28,-11.003052711486816,-9.383715629577637,-10.853026390075684,-9.383715629577637,-8.25789737701416,-11.848953247070312
29,-10.67685317993164,-7.965989589691162,-10.272820472717285,-7.965989589691162,-7.687600612640381,-11.3629150390625
30,-11.297155380249023,-8.511574745178223,-10.93124771118164,-8.511574745178223,-8.431940078735352,-11.708918571472168
31,-8.40884780883789,-7.855283260345459,-8.788505554199219,-7.855283260345459,-6.587399005889893,-10.068063735961914
32,-8.153027534484863,-6.922822952270508,-8.73080825805664,-6.922822952270508,-6.848182201385498,-9.559531211853027
33,-8.803216934204102,-7.0218353271484375,-9.37905216217041,-7.0218353271484375,-7.081319808959961,-10.098834991455078
34,-8.098085403442383,-5.707627773284912,-8.865665435791016,-5.707627773284912,-6.654932498931885,-9.520421028137207
35,-10.598196029663086,-8.020207405090332,-9.786426544189453,-8.020207405090332,-7.731043338775635,-10.934460639953613
36,-8.953898429870605,-8.69943904876709,-9.051834106445312,-8.69943904876709,-6.9656596183776855,-10.068063735961914
37,-8.66551399230957,-7.8529486656188965,-9.092079162597656,-7.8529486656188965,-7.330356597900391,-9.559531211853027
38,-9.276142120361328,-7.9767231941223145,-9.805171966552734,-7.9767231941223145,-7.726922988891602,-10.098834991455078
39,-8.560712814331055,-6.39980936050415,-9.158936500549316,-6.39980936050415,-7.073479175567627,-9.520421028137207
40,-11.228397369384766,-8.710545539855957,-9.966718673706055,-8.710545539855957,-8.332551002502441,-10.934460639953613
41,-10.299333572387695,-9.245146751403809,-9.335433959960938,-9.245146751403809,-8.011292457580566,-10.068063735961914
42,-9.88756275177002,-8.831196784973145,-9.408757209777832,-8.831196784973145,-8.235602378845215,-9.559531211853027
43,-10.499492645263672,-9.237822532653809,-9.655754089355469,-9.237822532653809,-8.25789737701416,-10.098834991455078
44,-9.924273490905762,-7.5998053550720215,-9.146442413330078,-7.5998053550720215,-7.687600612640381,-9.520421028137207
45,-11.826950073242188,-9.061718940734863,-10.038837432861328,-9.061718940734863,-8.431940078735352,-10.934460639953613
46,-7.0449018478393555,-5.553112030029297,-7.677092552185059,-5.553112030029297,-6.587399005889893,-8.320845603942871
47,-6.758824348449707,-4.9843597412109375,-7.45703125,-4.9843597412109375,-6.848182201385498,-8.163272857666016
48,-7.322305202484131,-5.325121879577637,-8.028314590454102,-5.325121879577637,-7.081319808959961,-8.630668640136719
49,-6.578495979309082,-5.062156677246094,-7.60689640045166,-5.062156677246094,-6.654932498931885,-8.393023490905762
