idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.69419002532959,-5.980225563049316,-8.08869743347168,-5.980225563049316,-6.913393020629883,-8.492990493774414
2,-6.985222816467285,-5.975994110107422,-8.104313850402832,-5.975994110107422,-7.56702184677124,-8.623618125915527
3,-6.912817478179932,-5.631921291351318,-8.231486320495605,-5.631921291351318,-7.155881881713867,-8.744300842285156
4,-6.8932695388793945,-5.014590740203857,-8.244158744812012,-5.014590740203857,-6.654836654663086,-8.640131950378418
5,-7.154841423034668,-6.22300910949707,-8.655250549316406,-6.22300910949707,-8.182882308959961,-8.33639144897461
6,-6.770148277282715,-6.3533172607421875,-7.9425048828125,-6.3533172607421875,-6.929819583892822,-8.492990493774414
7,-7.042841911315918,-6.356391906738281,-8.074173927307129,-6.356391906738281,-7.7531962394714355,-8.623618125915527
8,-6.940219879150391,-5.965747833251953,-8.137421607971191,-5.965747833251953,-7.312741756439209,-8.744300842285156
9,-6.871051788330078,-5.2939910888671875,-8.093446731567383,-5.2939910888671875,-7.018148899078369,-8.640131950378418
10,-7.372442722320557,-6.509730815887451,-8.571438789367676,-6.509730815887451,-8.128389358520508,-8.33639144897461
11,-7.116583824157715,-6.861133575439453,-7.853918552398682,-6.861133575439453,-6.791162967681885,-8.492990493774414
12,-7.419430732727051,-6.921078681945801,-8.07044792175293,-6.921078681945801,-7.527914524078369,-8.623618125915527
13,-7.371838569641113,-6.733854293823242,-8.222497940063477,-6.733854293823242,-7.445279598236084,-8.744300842285156
14,-7.231881618499756,-6.025399208068848,-7.5761399269104,-6.025399208068848,-6.589643955230713,-8.640131950378418
15,-7.547451972961426,-7.096949577331543,-7.978640556335449,-7.096949577331543,-7.233376979827881,-8.33639144897461
16,-8.375565528869629,-8.05781078338623,-9.313940048217773,-8.05781078338623,-6.913393020629883,-10.808564186096191
17,-8.737971305847168,-8.056832313537598,-9.53227424621582,-8.056832313537598,-7.56702184677124,-11.328117370605469
18,-8.365913391113281,-7.724874496459961,-9.552326202392578,-7.724874496459961,-7.155881881713867,-11.330639839172363
19,-7.871772289276123,-6.619117736816406,-9.574809074401855,-6.619117736816406,-6.654836654663086,-10.361190795898438
20,-9.498283386230469,-8.724736213684082,-9.928332328796387,-8.724736213684082,-8.182882308959961,-10.187994956970215
21,-8.660712242126465,-8.578761100769043,-9.316051483154297,-8.578761100769043,-6.929819583892822,-10.808564186096191
22,-8.947835922241211,-8.529410362243652,-9.713530540466309,-8.529410362243652,-7.7531962394714355,-11.328117370605469
23,-8.510377883911133,-8.239551544189453,-9.607172012329102,-8.239551544189453,-7.312741756439209,-11.330639839172363
24,-7.998571395874023,-6.985020160675049,-9.623897552490234,-6.985020160675049,-7.018148899078369,-10.361190795898438
25,-9.592754364013672,-9.239306449890137,-9.883304595947266,-9.239306449890137,-8.128389358520508,-10.187994956970215
26,-9.266009330749512,-9.696032524108887,-9.01668930053711,-9.696032524108887,-6.791162967681885,-10.808564186096191
27,-9.61013412475586,-9.734295845031738,-9.251954078674316,-9.734295845031738,-7.527914524078369,-11.328117370605469
28,-9.313196182250977,-9.770079612731934,-9.35094928741455,-9.770079612731934,-7.445279598236084,-11.330639839172363
29,-8.758760452270508,-8.355424880981445,-8.741722106933594,-8.355424880981445,-6.589643955230713,-10.361190795898438
30,-9.875429153442383,-10.285748481750488,-8.972240447998047,-10.285748481750488,-7.233376979827881,-10.187994956970215
31,-7.697129249572754,-7.471225261688232,-9.413069725036621,-7.471225261688232,-6.913393020629883,-10.207175254821777
32,-8.275486946105957,-7.310433864593506,-9.534453392028809,-7.310433864593506,-7.56702184677124,-10.844319343566895
33,-7.609046936035156,-6.813769817352295,-9.533578872680664,-6.813769817352295,-7.155881881713867,-10.398564338684082
34,-7.262036323547363,-5.645027160644531,-9.532280921936035,-5.645027160644531,-6.654836654663086,-9.552993774414062
35,-8.859654426574707,-8.71429443359375,-10.499835968017578,-8.71429443359375,-8.182882308959961,-10.588431358337402
36,-8.23739242553711,-7.78528356552124,-9.643806457519531,-7.78528356552124,-6.929819583892822,-10.207175254821777
37,-8.739124298095703,-7.694498062133789,-9.848909378051758,-7.694498062133789,-7.7531962394714355,-10.844319343566895
38,-7.95125150680542,-7.182638645172119,-9.665592193603516,-7.182638645172119,-7.312741756439209,-10.398564338684082
39,-7.516632080078125,-5.88709020614624,-9.694887161254883,-5.88709020614624,-7.018148899078369,-9.552993774414062
40,-9.292919158935547,-9.10707950592041,-10.863182067871094,-9.10707950592041,-8.128389358520508,-10.588431358337402
41,-9.810258865356445,-9.828143119812012,-8.82625961303711,-9.828143119812012,-6.791162967681885,-10.207175254821777
42,-10.217439651489258,-9.795886039733887,-8.981053352355957,-9.795886039733887,-7.527914524078369,-10.844319343566895
43,-9.633279800415039,-9.267924308776855,-9.045708656311035,-9.267924308776855,-7.445279598236084,-10.398564338684082
44,-9.130352973937988,-7.831714153289795,-8.511148452758789,-7.831714153289795,-6.589643955230713,-9.552993774414062
45,-10.203226089477539,-10.809222221374512,-8.963235855102539,-10.809222221374512,-7.233376979827881,-10.588431358337402
46,-7.430787563323975,-6.821292877197266,-8.158329963684082,-6.821292877197266,-6.913393020629883,-8.477090835571289
47,-7.400796413421631,-6.328094482421875,-8.151087760925293,-6.328094482421875,-7.56702184677124,-8.425919532775879
48,-7.518477439880371,-6.262486457824707,-8.248537063598633,-6.262486457824707,-7.155881881713867,-8.652871131896973
49,-7.368922233581543,-5.594755172729492,-8.24366569519043,-5.594755172729492,-6.654836654663086,-8.55923843383789
50,-7.789707183837891,-7.388189315795898,-8.924517631530762,-7.388189315795898,-8.182882308959961,-8.751315116882324
51,-7.341226100921631,-6.911838531494141,-7.997392177581787,-6.911838531494141,-6.929819583892822,-8.477090835571289
52,-7.258415222167969,-6.298293113708496,-8.171833992004395,-6.298293113708496,-7.7531962394714355,-8.425919532775879
53,-7.448317050933838,-6.33206844329834,-8.237957000732422,-6.33206844329834,-7.312741756439209,-8.652871131896973
54,-7.240536689758301,-5.652040481567383,-8.259668350219727,-5.652040481567383,-7.018148899078369,-8.55923843383789
55,-7.81503963470459,-7.355416774749756,-8.8526611328125,-7.355416774749756,-8.128389358520508,-8.751315116882324
56,-7.946423530578613,-7.471652030944824,-8.092843055725098,-7.471652030944824,-6.791162967681885,-8.477090835571289
57,-7.921516418457031,-7.103099346160889,-8.276647567749023,-7.103099346160889,-7.527914524078369,-8.425919532775879
58,-8.224836349487305,-7.227522850036621,-8.53124713897705,-7.227522850036621,-7.445279598236084,-8.652871131896973
59,-8.042116165161133,-6.585250377655029,-8.082491874694824,-6.585250377655029,-6.589643955230713,-8.55923843383789
60,-8.414945602416992,-7.9830780029296875,-8.379655838012695,-7.9830780029296875,-7.233376979827881,-8.751315116882324
61,-8.74056625366211,-7.936925411224365,-10.137792587280273,-7.936925411224365,-6.913393020629883,-11.317479133605957
62,-9.042194366455078,-7.833351135253906,-10.2410888671875,-7.833351135253906,-7.56702184677124,-11.699943542480469
63,-8.78246784210205,-7.759220123291016,-10.24722957611084,-7.759220123291016,-7.155881881713867,-11.617777824401855
64,-8.789718627929688,-7.22314977645874,-10.220666885375977,-7.22314977645874,-6.654836654663086,-11.256019592285156
65,-9.392624855041504,-8.715415954589844,-10.779705047607422,-8.715415954589844,-8.182882308959961,-11.369641304016113
66,-9.256925582885742,-8.872977256774902,-10.722530364990234,-8.872977256774902,-6.929819583892822,-11.317479133605957
67,-9.531106948852539,-8.619646072387695,-10.913961410522461,-8.619646072387695,-7.7531962394714355,-11.699943542480469
68,-9.14061164855957,-8.565693855285645,-10.742391586303711,-8.565693855285645,-7.312741756439209,-11.617777824401855
69,-9.079933166503906,-7.9288105964660645,-10.814702987670898,-7.9288105964660645,-7.018148899078369,-11.256019592285156
70,-9.938528060913086,-9.62587833404541,-11.346089363098145,-9.62587833404541,-8.128389358520508,-11.369641304016113
71,-10.073573112487793,-10.501046180725098,-9.885623931884766,-10.501046180725098,-6.791162967681885,-11.317479133605957
72,-10.384479522705078,-10.0817289352417,-10.017105102539062,-10.0817289352417,-7.527914524078369,-11.699943542480469
73,-10.219757080078125,-10.131552696228027,-10.183156967163086,-10.131552696228027,-7.445279598236084,-11.617777824401855
74,-10.004605293273926,-9.208295822143555,-9.670557022094727,-9.208295822143555,-6.589643955230713,-11.256019592285156
75,-10.329296112060547,-10.679491996765137,-9.994306564331055,-10.679491996765137,-7.233376979827881,-11.369641304016113
76,-7.7995171546936035,-6.916349411010742,-9.045609474182129,-6.916349411010742,-6.913393020629883,-9.628661155700684
77,-8.161115646362305,-6.165826797485352,-9.248579978942871,-6.165826797485352,-7.56702184677124,-9.627997398376465
78,-7.927069664001465,-5.826681613922119,-9.111352920532227,-5.826681613922119,-7.155881881713867,-9.74659538269043
79,-7.905583381652832,-5.418896675109863,-9.089475631713867,-5.418896675109863,-6.654836654663086,-9.36400032043457
80,-8.61461067199707,-7.464123725891113,-9.610917091369629,-7.464123725891113,-8.182882308959961,-9.521791458129883
81,-8.33807373046875,-7.551576614379883,-9.031150817871094,-7.551576614379883,-6.929819583892822,-9.628661155700684
82,-8.614636421203613,-6.61984395980835,-9.362178802490234,-6.61984395980835,-7.7531962394714355,-9.627997398376465
83,-8.31916618347168,-6.293403625488281,-9.163684844970703,-6.293403625488281,-7.312741756439209,-9.74659538269043
84,-8.354059219360352,-5.954960823059082,-9.08723258972168,-5.954960823059082,-7.018148899078369,-9.36400032043457
85,-8.922908782958984,-7.975020885467529,-9.625934600830078,-7.975020885467529,-8.128389358520508,-9.521791458129883
86,-8.933505058288574,-8.328429222106934,-8.685516357421875,-8.328429222106934,-6.791162967681885,-9.628661155700684
87,-9.126686096191406,-7.4585747718811035,-8.96850299835205,-7.4585747718811035,-7.527914524078369,-9.627997398376465
88,-8.941548347473145,-7.2351460456848145,-8.89581298828125,-7.2351460456848145,-7.445279598236084,-9.74659538269043
89,-8.967966079711914,-6.673947334289551,-8.368812561035156,-6.673947334289551,-6.589643955230713,-9.36400032043457
90,-9.273221015930176,-8.492862701416016,-8.838981628417969,-8.492862701416016,-7.233376979827881,-9.521791458129883
91,-8.713980674743652,-7.874783992767334,-9.748067855834961,-7.874783992767334,-6.913393020629883,-10.581683158874512
92,-8.765295028686523,-7.619922637939453,-9.966995239257812,-7.619922637939453,-7.56702184677124,-11.148033142089844
93,-8.691834449768066,-7.239547252655029,-10.165861129760742,-7.239547252655029,-7.155881881713867,-11.069419860839844
94,-8.483981132507324,-6.649665832519531,-10.195836067199707,-6.649665832519531,-6.654836654663086,-10.620823860168457
95,-9.238497734069824,-8.151981353759766,-10.576812744140625,-8.151981353759766,-8.182882308959961,-10.814716339111328
96,-9.441718101501465,-8.914685249328613,-9.420065879821777,-8.914685249328613,-6.929819583892822,-10.581683158874512
97,-9.601428031921387,-8.702376365661621,-9.756181716918945,-8.702376365661621,-7.7531962394714355,-11.148033142089844
98,-9.40837287902832,-8.230925559997559,-9.791513442993164,-8.230925559997559,-7.312741756439209,-11.069419860839844
