idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.438326358795166,-6.04019021987915,-8.327085494995117,-6.04019021987915,-6.948360443115234,-8.763748168945312
2,-4.307737827301025,-5.932086944580078,-8.261113166809082,-5.932086944580078,-6.722351551055908,-8.561483383178711
3,-4.345146179199219,-5.667444229125977,-8.389802932739258,-5.667444229125977,-6.721382141113281,-9.056951522827148
4,-3.9723305702209473,-5.152449607849121,-7.914558410644531,-5.152449607849121,-6.039647579193115,-8.51099967956543
5,-4.747575759887695,-6.539911270141602,-8.430527687072754,-6.539911270141602,-6.8921661376953125,-8.373954772949219
6,-4.937241554260254,-6.995021820068359,-8.478618621826172,-6.995021820068359,-8.036192893981934,-8.763748168945312
7,-4.948995590209961,-7.0446014404296875,-8.545389175415039,-7.0446014404296875,-7.904688358306885,-8.561483383178711
8,-4.948261737823486,-6.694323539733887,-8.609862327575684,-6.694323539733887,-8.007237434387207,-9.056951522827148
9,-4.430483818054199,-6.177150726318359,-8.076617240905762,-6.177150726318359,-7.0526123046875,-8.51099967956543
10,-5.272175312042236,-7.252684593200684,-8.374076843261719,-7.252684593200684,-7.745397567749023,-8.373954772949219
11,-5.619258880615234,-7.861362457275391,-7.965209007263184,-7.861362457275391,-8.286383628845215,-8.763748168945312
12,-5.607368469238281,-7.967121601104736,-8.182551383972168,-7.967121601104736,-8.2349271774292,-8.561483383178711
13,-5.645702362060547,-7.6968536376953125,-8.297579765319824,-7.6968536376953125,-8.491181373596191,-9.056951522827148
14,-4.938299179077148,-6.935077667236328,-7.610690116882324,-6.935077667236328,-7.264362812042236,-8.51099967956543
15,-5.925297737121582,-7.967958450317383,-8.12303352355957,-7.967958450317383,-8.05395221710205,-8.373954772949219
16,-5.199965476989746,-6.351554870605469,-9.558340072631836,-6.351554870605469,-6.948360443115234,-9.465542793273926
17,-5.111079692840576,-6.325937747955322,-9.40437126159668,-6.325937747955322,-6.722351551055908,-9.70822525024414
18,-4.952845096588135,-6.248821258544922,-9.39178466796875,-6.248821258544922,-6.721382141113281,-9.44295883178711
19,-4.3581695556640625,-5.382211208343506,-8.78448486328125,-5.382211208343506,-6.039647579193115,-8.303068161010742
20,-5.184003829956055,-6.946746349334717,-9.547260284423828,-6.946746349334717,-6.8921661376953125,-7.990478038787842
21,-5.6382246017456055,-7.433000087738037,-10.066675186157227,-7.433000087738037,-8.036192893981934,-9.465542793273926
22,-5.653434753417969,-7.631206512451172,-9.973550796508789,-7.631206512451172,-7.904688358306885,-9.70822525024414
