idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.9977312088012695,-6.412228584289551,-7.761575222015381,-6.412228584289551,-6.345784664154053,-7.712649345397949
2,-4.872152805328369,-6.0925750732421875,-7.959902763366699,-6.0925750732421875,-6.568792819976807,-7.911230087280273
3,-4.942261695861816,-6.00771951675415,-7.7039947509765625,-6.00771951675415,-6.36425256729126,-7.677802085876465
4,-4.699382781982422,-5.632452964782715,-7.463746547698975,-5.632452964782715,-6.108351230621338,-8.039485931396484
5,-5.325109481811523,-6.696103096008301,-8.283811569213867,-6.696103096008301,-7.190762042999268,-7.011579513549805
6,-5.06319522857666,-6.922463417053223,-7.717142581939697,-6.922463417053223,-6.523965358734131,-7.712649345397949
7,-5.083413124084473,-6.772798538208008,-7.97769021987915,-6.772798538208008,-7.231016635894775,-7.911230087280273
8,-5.109763145446777,-6.552264213562012,-7.760340213775635,-6.552264213562012,-6.9429192543029785,-7.677802085876465
9,-4.848213195800781,-6.203238487243652,-7.546308994293213,-6.203238487243652,-6.907617568969727,-8.039485931396484
10,-5.483282566070557,-7.262513160705566,-8.14421272277832,-7.262513160705566,-7.311122417449951,-7.011579513549805
11,-5.784796714782715,-8.190964698791504,-7.758627891540527,-8.190964698791504,-7.14674186706543,-7.712649345397949
12,-6.110563278198242,-8.46056842803955,-8.056347846984863,-8.46056842803955,-7.526155948638916,-7.911230087280273
13,-6.128169536590576,-8.375615119934082,-7.907703399658203,-8.375615119934082,-7.051694393157959,-7.677802085876465
14,-5.963490962982178,-7.744612693786621,-7.5543951988220215,-7.744612693786621,-6.558313846588135,-8.039485931396484
15,-6.371445655822754,-8.482711791992188,-7.932576656341553,-8.482711791992188,-7.358006954193115,-7.011579513549805
16,-6.54928731918335,-7.096246242523193,-10.227194786071777,-7.096246242523193,-6.345784664154053,-11.152935981750488
17,-6.446748733520508,-7.490560054779053,-10.203519821166992,-7.490560054779053,-6.568792819976807,-11.239668846130371
18,-6.129337787628174,-7.428615570068359,-10.154561996459961,-7.428615570068359,-6.36425256729126,-11.028263092041016
19,-5.79159688949585,-7.030699253082275,-10.23689079284668,-7.030699253082275,-6.108351230621338,-10.59839916229248
20,-6.393250465393066,-8.103052139282227,-10.648329734802246,-8.103052139282227,-7.190762042999268,-10.50511646270752
21,-6.306761741638184,-7.390305042266846,-10.536073684692383,-7.390305042266846,-6.523965358734131,-11.152935981750488
22,-6.319696426391602,-8.106535911560059,-10.833272933959961,-8.106535911560059,-7.231016635894775,-11.239668846130371
23,-5.913013935089111,-7.866893768310547,-10.609211921691895,-7.866893768310547,-6.9429192543029785,-11.028263092041016
24,-5.656825542449951,-7.521867275238037,-10.69175910949707,-7.521867275238037,-6.907617568969727,-10.59839916229248
25,-6.338841915130615,-8.333773612976074,-11.047670364379883,-8.333773612976074,-7.311122417449951,-10.50511646270752
26,-7.41729736328125,-9.255451202392578,-10.502725601196289,-9.255451202392578,-7.14674186706543,-11.152935981750488
27,-7.5279035568237305,-10.344391822814941,-10.778824806213379,-10.344391822814941,-7.526155948638916,-11.239668846130371
28,-7.131280422210693,-9.894659996032715,-10.420252799987793,-9.894659996032715,-7.051694393157959,-11.028263092041016
29,-6.589893341064453,-9.09383487701416,-10.000131607055664,-9.09383487701416,-6.558313846588135,-10.59839916229248
30,-7.357431888580322,-9.783814430236816,-10.564289093017578,-9.783814430236816,-7.358006954193115,-10.50511646270752
31,-6.257471084594727,-8.007572174072266,-9.697138786315918,-8.007572174072266,-6.345784664154053,-10.13196849822998
32,-6.184694290161133,-7.4820332527160645,-9.902273178100586,-7.4820332527160645,-6.568792819976807,-10.297985076904297
33,-5.847940444946289,-7.512575626373291,-9.681380271911621,-7.512575626373291,-6.36425256729126,-10.10125732421875
34,-5.339110851287842,-6.718776702880859,-9.355766296386719,-6.718776702880859,-6.108351230621338,-9.706387519836426
35,-6.477725982666016,-8.786784172058105,-10.404007911682129,-8.786784172058105,-7.190762042999268,-10.08713436126709
36,-6.030580043792725,-8.86011028289795,-10.03624439239502,-8.86011028289795,-6.523965358734131,-10.13196849822998
37,-6.03081750869751,-8.569904327392578,-10.459114074707031,-8.569904327392578,-7.231016635894775,-10.297985076904297
38,-5.694046974182129,-8.562097549438477,-10.126233100891113,-8.562097549438477,-6.9429192543029785,-10.10125732421875
39,-5.278752326965332,-7.687349319458008,-9.886517524719238,-7.687349319458008,-6.907617568969727,-9.706387519836426
40,-6.4701762199401855,-9.63552188873291,-10.560298919677734,-9.63552188873291,-7.311122417449951,-10.08713436126709
41,-6.961355209350586,-10.863482475280762,-10.001898765563965,-10.863482475280762,-7.14674186706543,-10.13196849822998
42,-7.046070098876953,-10.8535737991333,-10.308274269104004,-10.8535737991333,-7.526155948638916,-10.297985076904297
43,-6.635087490081787,-10.765113830566406,-9.955093383789062,-10.765113830566406,-7.051694393157959,-10.10125732421875
44,-6.096653461456299,-9.445509910583496,-9.508041381835938,-9.445509910583496,-6.558313846588135,-9.706387519836426
45,-7.301794052124023,-11.3045072555542,-10.148940086364746,-11.3045072555542,-7.358006954193115,-10.08713436126709
46,-4.62977933883667,-5.295476913452148,-7.033600807189941,-5.295476913452148,-6.345784664154053,-6.928374290466309
47,-4.510642051696777,-4.931290626525879,-7.079347133636475,-4.931290626525879,-6.568792819976807,-7.541723251342773
48,-4.515986919403076,-4.835369110107422,-7.103842258453369,-4.835369110107422,-6.36425256729126,-7.153711318969727
49,-4.300825119018555,-4.382388591766357,-6.790640830993652,-4.382388591766357,-6.108351230621338,-7.423666000366211
50,-5.147388458251953,-6.089776992797852,-7.663720607757568,-6.089776992797852,-7.190762042999268,-7.303168296813965
51,-4.811099052429199,-5.697756767272949,-7.331446647644043,-5.697756767272949,-6.523965358734131,-6.928374290466309
52,-4.707345008850098,-5.241796970367432,-7.582314491271973,-5.241796970367432,-7.231016635894775,-7.541723251342773
