idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.521546363830566,-6.812611103057861,-8.466535568237305,-6.812611103057861,-8.298770904541016,-7.835692405700684
2,-8.510869979858398,-6.3669867515563965,-8.56799030303955,-6.3669867515563965,-8.497542381286621,-8.149332046508789
3,-8.560237884521484,-6.499452590942383,-8.53167724609375,-6.499452590942383,-8.363238334655762,-8.062868118286133
4,-8.261627197265625,-5.774620532989502,-8.180890083312988,-5.774620532989502,-7.59320068359375,-7.941280364990234
5,-9.043959617614746,-7.175288200378418,-8.999366760253906,-7.175288200378418,-9.15532398223877,-7.455371856689453
6,-8.57404613494873,-6.856000900268555,-8.029491424560547,-6.856000900268555,-8.208162307739258,-7.835692405700684
7,-8.545019149780273,-6.530884742736816,-8.24010181427002,-6.530884742736816,-8.611445426940918,-8.149332046508789
8,-8.619571685791016,-6.658947944641113,-8.070818901062012,-6.658947944641113,-8.3168306350708,-8.062868118286133
9,-8.217229843139648,-5.798655986785889,-7.838242530822754,-5.798655986785889,-7.616870403289795,-7.941280364990234
10,-9.2334623336792,-7.305419921875,-8.94032096862793,-7.305419921875,-9.56581974029541,-7.455371856689453
11,-8.249411582946777,-6.85921573638916,-8.476059913635254,-6.85921573638916,-8.262503623962402,-7.835692405700684
12,-8.370931625366211,-6.782166481018066,-8.813323020935059,-6.782166481018066,-8.67301082611084,-8.149332046508789
13,-8.34107780456543,-6.866159439086914,-8.652729034423828,-6.866159439086914,-8.392634391784668,-8.062868118286133
14,-8.100833892822266,-6.03240442276001,-8.377126693725586,-6.03240442276001,-7.52854585647583,-7.941280364990234
15,-8.684364318847656,-7.4043684005737305,-9.103852272033691,-7.4043684005737305,-9.19307804107666,-7.455371856689453
16,-10.501199722290039,-8.37973403930664,-10.414997100830078,-8.37973403930664,-8.298770904541016,-10.366267204284668
17,-10.603139877319336,-8.305232048034668,-10.498044967651367,-8.305232048034668,-8.497542381286621,-10.904693603515625
18,-11.152732849121094,-8.66268253326416,-10.559743881225586,-8.66268253326416,-8.363238334655762,-11.023882865905762
19,-10.603415489196777,-7.4584527015686035,-10.128990173339844,-7.4584527015686035,-7.59320068359375,-10.376776695251465
20,-10.988775253295898,-8.413482666015625,-10.939872741699219,-8.413482666015625,-9.15532398223877,-10.186493873596191
21,-10.652119636535645,-8.843073844909668,-10.188822746276855,-8.843073844909668,-8.208162307739258,-10.366267204284668
22,-10.824172973632812,-8.764172554016113,-10.413198471069336,-8.764172554016113,-8.611445426940918,-10.904693603515625
23,-11.400885581970215,-9.197457313537598,-10.361445426940918,-9.197457313537598,-8.3168306350708,-11.023882865905762
24,-10.719217300415039,-7.779121398925781,-9.988279342651367,-7.779121398925781,-7.616870403289795,-10.376776695251465
25,-11.19414234161377,-9.012344360351562,-10.990304946899414,-9.012344360351562,-9.56581974029541,-10.186493873596191
26,-11.091900825500488,-9.302108764648438,-10.877120018005371,-9.302108764648438,-8.262503623962402,-10.366267204284668
27,-11.205513954162598,-9.43973159790039,-11.226974487304688,-9.43973159790039,-8.67301082611084,-10.904693603515625
28,-11.71474838256836,-9.922760009765625,-11.087545394897461,-9.922760009765625,-8.392634391784668,-11.023882865905762
29,-11.12258243560791,-8.522013664245605,-10.662519454956055,-8.522013664245605,-7.52854585647583,-10.376776695251465
30,-11.545406341552734,-9.7830228805542,-11.512992858886719,-9.7830228805542,-9.19307804107666,-10.186493873596191
31,-10.846415519714355,-8.173419952392578,-11.085124969482422,-8.173419952392578,-8.298770904541016,-11.154873847961426
32,-10.769702911376953,-8.175230979919434,-10.973981857299805,-8.175230979919434,-8.497542381286621,-11.226944923400879
33,-10.86619758605957,-8.206379890441895,-10.945354461669922,-8.206379890441895,-8.363238334655762,-10.894450187683105
34,-10.120169639587402,-6.984559535980225,-10.262319564819336,-6.984559535980225,-7.59320068359375,-9.961467742919922
35,-11.69359302520752,-8.684956550598145,-11.631056785583496,-8.684956550598145,-9.15532398223877,-10.094808578491211
36,-10.908464431762695,-8.374224662780762,-11.204949378967285,-8.374224662780762,-8.208162307739258,-11.154873847961426
37,-10.851322174072266,-8.300472259521484,-11.414297103881836,-8.300472259521484,-8.611445426940918,-11.226944923400879
38,-10.988547325134277,-8.454974174499512,-11.181266784667969,-8.454974174499512,-8.3168306350708,-10.894450187683105
39,-10.150899887084961,-7.118679046630859,-10.49431037902832,-7.118679046630859,-7.616870403289795,-9.961467742919922
40,-11.965285301208496,-8.9079008102417,-11.963040351867676,-8.9079008102417,-9.56581974029541,-10.094808578491211
41,-11.175870895385742,-9.025466918945312,-12.110587120056152,-9.025466918945312,-8.262503623962402,-11.154873847961426
42,-11.194314956665039,-9.170037269592285,-12.382989883422852,-9.170037269592285,-8.67301082611084,-11.226944923400879
43,-11.340520858764648,-9.312270164489746,-12.344342231750488,-9.312270164489746,-8.392634391784668,-10.894450187683105
44,-10.576621055603027,-8.244243621826172,-11.80649185180664,-8.244243621826172,-7.52854585647583,-9.961467742919922
45,-11.895430564880371,-9.422396659851074,-12.808232307434082,-9.422396659851074,-9.19307804107666,-10.094808578491211
46,-8.480645179748535,-6.563179969787598,-9.2300386428833,-6.563179969787598,-8.298770904541016,-9.714315414428711
47,-8.089618682861328,-5.915583610534668,-9.145303726196289,-5.915583610534668,-8.497542381286621,-9.50841236114502
48,-8.435715675354004,-5.815509796142578,-9.379173278808594,-5.815509796142578,-8.363238334655762,-9.636738777160645
49,-7.978857517242432,-5.270174980163574,-9.06861686706543,-5.270174980163574,-7.59320068359375,-9.214073181152344
50,-8.976568222045898,-6.954814910888672,-9.80479621887207,-6.954814910888672,-9.15532398223877,-9.599085807800293
51,-8.706018447875977,-6.871842861175537,-9.577263832092285,-6.871842861175537,-8.208162307739258,-9.714315414428711
52,-8.348028182983398,-6.2555437088012695,-9.732458114624023,-6.2555437088012695,-8.611445426940918,-9.50841236114502
53,-8.727865219116211,-6.189996719360352,-9.764237403869629,-6.189996719360352,-8.3168306350708,-9.636738777160645
54,-8.192276954650879,-5.513089179992676,-9.398969650268555,-5.513089179992676,-7.616870403289795,-9.214073181152344
55,-9.29278564453125,-7.3106489181518555,-10.053586959838867,-7.3106489181518555,-9.56581974029541,-9.599085807800293
56,-8.97764778137207,-7.240482330322266,-9.843191146850586,-7.240482330322266,-8.262503623962402,-9.714315414428711
57,-8.712665557861328,-6.910321235656738,-9.953692436218262,-6.910321235656738,-8.67301082611084,-9.50841236114502
58,-8.9617338180542,-6.898303031921387,-9.94383430480957,-6.898303031921387,-8.392634391784668,-9.636738777160645
59,-8.457853317260742,-6.228107452392578,-9.638124465942383,-6.228107452392578,-7.52854585647583,-9.214073181152344
60,-9.186502456665039,-7.964107513427734,-9.99085521697998,-7.964107513427734,-9.19307804107666,-9.599085807800293
61,-10.82286262512207,-9.424469947814941,-11.03233528137207,-9.424469947814941,-8.298770904541016,-11.835284233093262
62,-10.99655818939209,-9.553065299987793,-11.21990966796875,-9.553065299987793,-8.497542381286621,-12.358866691589355
63,-10.982990264892578,-9.525622367858887,-11.291097640991211,-9.525622367858887,-8.363238334655762,-11.95407485961914
64,-10.65380859375,-8.574088096618652,-10.964305877685547,-8.574088096618652,-7.59320068359375,-11.486015319824219
65,-11.512327194213867,-10.107810974121094,-11.678150177001953,-10.107810974121094,-9.15532398223877,-10.591490745544434
66,-11.176459312438965,-10.13742446899414,-10.932711601257324,-10.13742446899414,-8.208162307739258,-11.835284233093262
67,-11.323186874389648,-10.080013275146484,-11.268745422363281,-10.080013275146484,-8.611445426940918,-12.358866691589355
68,-11.252912521362305,-9.973918914794922,-11.122379302978516,-9.973918914794922,-8.3168306350708,-11.95407485961914
69,-10.848376274108887,-8.837653160095215,-10.795453071594238,-8.837653160095215,-7.616870403289795,-11.486015319824219
70,-11.875334739685059,-10.77312183380127,-12.002771377563477,-10.77312183380127,-9.56581974029541,-10.591490745544434
71,-11.365973472595215,-10.89620304107666,-11.205340385437012,-10.89620304107666,-8.262503623962402,-11.835284233093262
72,-11.693120956420898,-11.000895500183105,-11.622919082641602,-11.000895500183105,-8.67301082611084,-12.358866691589355
73,-11.390563011169434,-11.045997619628906,-11.534900665283203,-11.045997619628906,-8.392634391784668,-11.95407485961914
74,-11.15542221069336,-10.115203857421875,-11.153304100036621,-10.115203857421875,-7.52854585647583,-11.486015319824219
75,-11.505685806274414,-11.54071044921875,-11.927692413330078,-11.54071044921875,-9.19307804107666,-10.591490745544434
76,-9.428478240966797,-7.134759902954102,-9.909566879272461,-7.134759902954102,-8.298770904541016,-9.766469955444336
77,-9.365161895751953,-7.076479911804199,-10.12586784362793,-7.076479911804199,-8.497542381286621,-9.838342666625977
78,-9.65366268157959,-6.86467170715332,-10.088929176330566,-6.86467170715332,-8.363238334655762,-10.137022972106934
79,-9.658934593200684,-6.52857780456543,-9.636590957641602,-6.52857780456543,-7.59320068359375,-9.994574546813965
80,-10.054156303405762,-7.642786026000977,-10.655835151672363,-7.642786026000977,-9.15532398223877,-9.932918548583984
81,-9.49183177947998,-7.16019868850708,-9.57789421081543,-7.16019868850708,-8.208162307739258,-9.766469955444336
82,-9.50346851348877,-7.182299613952637,-9.896074295043945,-7.182299613952637,-8.611445426940918,-9.838342666625977
83,-9.744817733764648,-7.051423072814941,-9.712260246276855,-7.051423072814941,-8.3168306350708,-10.137022972106934
84,-9.643320083618164,-6.593825340270996,-9.274030685424805,-6.593825340270996,-7.616870403289795,-9.994574546813965
85,-10.319859504699707,-7.819352149963379,-10.56106948852539,-7.819352149963379,-9.56581974029541,-9.932918548583984
