idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.850974082946777,-6.696470737457275,-8.559561729431152,-6.696470737457275,-6.891576290130615,-8.530035018920898
2,-8.03783893585205,-6.65667724609375,-8.858283996582031,-6.65667724609375,-7.11834192276001,-8.774166107177734
3,-8.066854476928711,-6.331430435180664,-8.92576789855957,-6.331430435180664,-7.298943042755127,-9.078359603881836
4,-8.261754035949707,-5.730330944061279,-8.871064186096191,-5.730330944061279,-6.744089126586914,-8.984500885009766
5,-8.399124145507812,-7.394892692565918,-9.06371021270752,-7.394892692565918,-7.860166072845459,-8.453439712524414
6,-8.438385009765625,-7.43571662902832,-8.155452728271484,-7.43571662902832,-6.945016384124756,-8.530035018920898
7,-8.679854393005371,-7.335155487060547,-8.472792625427246,-7.335155487060547,-7.312984466552734,-8.774166107177734
8,-8.675954818725586,-7.0933685302734375,-8.56371784210205,-7.0933685302734375,-7.420200824737549,-9.078359603881836
9,-8.806621551513672,-6.3440446853637695,-8.5540771484375,-6.3440446853637695,-7.0655670166015625,-8.984500885009766
10,-8.95526123046875,-8.020319938659668,-8.937395095825195,-8.020319938659668,-8.288260459899902,-8.453439712524414
11,-8.574444770812988,-7.880610942840576,-7.893951416015625,-7.880610942840576,-7.095339298248291,-8.530035018920898
12,-8.838374137878418,-7.913738250732422,-8.24462604522705,-7.913738250732422,-7.549694538116455,-8.774166107177734
13,-8.743507385253906,-7.523524284362793,-8.281625747680664,-7.523524284362793,-7.500450134277344,-9.078359603881836
14,-8.7847900390625,-6.806419849395752,-7.867384433746338,-6.806419849395752,-6.807895660400391,-8.984500885009766
15,-9.081016540527344,-8.424701690673828,-8.887414932250977,-8.424701690673828,-8.518877983093262,-8.453439712524414
16,-8.418766975402832,-6.789541244506836,-9.46989631652832,-6.789541244506836,-6.891576290130615,-9.49553108215332
17,-8.659421920776367,-6.833149433135986,-9.598454475402832,-6.833149433135986,-7.11834192276001,-9.884103775024414
18,-8.510177612304688,-6.927055358886719,-9.64758586883545,-6.927055358886719,-7.298943042755127,-9.77724552154541
19,-8.762215614318848,-6.440439701080322,-9.396378517150879,-6.440439701080322,-6.744089126586914,-9.654595375061035
20,-9.517870903015137,-7.610262393951416,-10.356744766235352,-7.610262393951416,-7.860166072845459,-9.991369247436523
21,-8.775999069213867,-7.332963466644287,-9.188335418701172,-7.332963466644287,-6.945016384124756,-9.49553108215332
22,-9.1146821975708,-7.481754302978516,-9.461408615112305,-7.481754302978516,-7.312984466552734,-9.884103775024414
23,-8.931654930114746,-7.460964202880859,-9.424278259277344,-7.460964202880859,-7.420200824737549,-9.77724552154541
24,-9.067795753479004,-6.856642246246338,-9.177894592285156,-6.856642246246338,-7.0655670166015625,-9.654595375061035
25,-9.868653297424316,-8.049405097961426,-10.368093490600586,-8.049405097961426,-8.288260459899902,-9.991369247436523
26,-9.43947982788086,-8.720064163208008,-9.481220245361328,-8.720064163208008,-7.095339298248291,-9.49553108215332
27,-9.892498970031738,-8.945247650146484,-9.769316673278809,-8.945247650146484,-7.549694538116455,-9.884103775024414
28,-9.619285583496094,-8.781219482421875,-9.658269882202148,-8.781219482421875,-7.500450134277344,-9.77724552154541
29,-9.593957901000977,-7.935788631439209,-9.095775604248047,-7.935788631439209,-6.807895660400391,-9.654595375061035
