idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.146513938903809,-6.1761674880981445,-8.886738777160645,-6.1761674880981445,-8.891827583312988,-8.855382919311523
2,-7.77347469329834,-5.70807409286499,-8.50019645690918,-5.70807409286499,-8.570483207702637,-8.236324310302734
3,-7.950997352600098,-5.643905162811279,-8.393092155456543,-5.643905162811279,-9.032873153686523,-8.683127403259277
4,-7.78164005279541,-5.305951118469238,-8.248881340026855,-5.305951118469238,-8.103057861328125,-8.579797744750977
5,-7.76037073135376,-6.6863884925842285,-8.332331657409668,-6.6863884925842285,-7.967046737670898,-7.633148193359375
6,-8.646162033081055,-6.528134346008301,-8.648582458496094,-6.528134346008301,-9.204562187194824,-8.855382919311523
7,-8.306042671203613,-6.08568000793457,-8.194366455078125,-6.08568000793457,-8.728816032409668,-8.236324310302734
8,-8.490824699401855,-6.067570209503174,-8.355644226074219,-6.067570209503174,-9.52233600616455,-8.683127403259277
9,-8.290426254272461,-5.685214996337891,-8.019036293029785,-5.685214996337891,-8.31577205657959,-8.579797744750977
10,-8.194231986999512,-6.91365909576416,-8.209375381469727,-6.91365909576416,-8.490702629089355,-7.633148193359375
11,-9.209466934204102,-7.193800926208496,-8.603785514831543,-7.193800926208496,-8.865066528320312,-8.855382919311523
12,-8.765725135803223,-7.111612319946289,-8.423372268676758,-7.111612319946289,-8.779765129089355,-8.236324310302734
13,-9.084569931030273,-7.037830829620361,-8.572549819946289,-7.037830829620361,-9.19516372680664,-8.683127403259277
14,-9.011589050292969,-6.653809547424316,-8.309154510498047,-6.653809547424316,-8.598662376403809,-8.579797744750977
15,-8.413040161132812,-7.414349555969238,-7.984733581542969,-7.414349555969238,-8.353559494018555,-7.633148193359375
16,-10.779630661010742,-8.379199981689453,-11.443231582641602,-8.379199981689453,-8.891827583312988,-11.523722648620605
17,-10.625435829162598,-8.246792793273926,-11.328924179077148,-8.246792793273926,-8.570483207702637,-11.458796501159668
18,-11.078691482543945,-8.33871841430664,-11.616945266723633,-8.33871841430664,-9.032873153686523,-11.781039237976074
19,-10.409625053405762,-7.094201564788818,-11.134706497192383,-7.094201564788818,-8.103057861328125,-11.196488380432129
20,-10.544979095458984,-8.713724136352539,-11.267748832702637,-8.713724136352539,-7.967046737670898,-9.668931007385254
21,-10.857422828674316,-8.624101638793945,-11.852561950683594,-8.624101638793945,-9.204562187194824,-11.523722648620605
22,-10.715944290161133,-8.528027534484863,-11.531635284423828,-8.528027534484863,-8.728816032409668,-11.458796501159668
23,-11.124977111816406,-8.673903465270996,-12.06714153289795,-8.673903465270996,-9.52233600616455,-11.781039237976074
24,-10.426045417785645,-7.356564998626709,-11.435676574707031,-7.356564998626709,-8.31577205657959,-11.196488380432129
25,-10.639546394348145,-8.74106502532959,-11.64282512664795,-8.74106502532959,-8.490702629089355,-9.668931007385254
26,-11.151432037353516,-9.529059410095215,-11.264629364013672,-9.529059410095215,-8.865066528320312,-11.523722648620605
27,-11.038322448730469,-9.515012741088867,-11.429019927978516,-9.515012741088867,-8.779765129089355,-11.458796501159668
28,-11.290196418762207,-9.434401512145996,-11.805060386657715,-9.434401512145996,-9.19516372680664,-11.781039237976074
29,-10.773576736450195,-8.347453117370605,-11.274785041809082,-8.347453117370605,-8.598662376403809,-11.196488380432129
30,-10.440129280090332,-9.260396003723145,-11.358964920043945,-9.260396003723145,-8.353559494018555,-9.668931007385254
31,-10.066678047180176,-7.235933780670166,-11.495075225830078,-7.235933780670166,-8.891827583312988,-11.346701622009277
32,-9.69406509399414,-6.559780120849609,-11.02083969116211,-6.559780120849609,-8.570483207702637,-10.585648536682129
33,-10.003523826599121,-6.792760372161865,-11.010181427001953,-6.792760372161865,-9.032873153686523,-11.119770050048828
34,-9.35380744934082,-5.76540994644165,-10.499775886535645,-5.76540994644165,-8.103057861328125,-10.687182426452637
35,-9.517658233642578,-8.072038650512695,-10.824355125427246,-8.072038650512695,-7.967046737670898,-9.6604642868042
36,-10.567666053771973,-7.971479892730713,-11.522754669189453,-7.971479892730713,-9.204562187194824,-11.346701622009277
37,-10.166030883789062,-7.287110805511475,-11.036773681640625,-7.287110805511475,-8.728816032409668,-10.585648536682129
38,-10.464183807373047,-7.561880588531494,-11.230990409851074,-7.561880588531494,-9.52233600616455,-11.119770050048828
39,-9.793248176574707,-6.377408504486084,-10.538822174072266,-6.377408504486084,-8.31577205657959,-10.687182426452637
40,-9.951791763305664,-8.501811027526855,-10.739408493041992,-8.501811027526855,-8.490702629089355,-9.6604642868042
41,-11.20012092590332,-9.617934226989746,-10.889923095703125,-9.617934226989746,-8.865066528320312,-11.346701622009277
42,-10.867208480834961,-9.278044700622559,-10.90914535522461,-9.278044700622559,-8.779765129089355,-10.585648536682129
43,-11.156747817993164,-9.183357238769531,-11.010251998901367,-9.183357238769531,-9.19516372680664,-11.119770050048828
44,-10.6277437210083,-8.086535453796387,-10.588004112243652,-8.086535453796387,-8.598662376403809,-10.687182426452637
45,-10.514610290527344,-9.848544120788574,-10.555306434631348,-9.848544120788574,-8.353559494018555,-9.6604642868042
46,-7.347372531890869,-5.1212310791015625,-9.483078956604004,-5.1212310791015625,-8.891827583312988,-9.213053703308105
47,-7.039009094238281,-4.875095367431641,-9.204046249389648,-4.875095367431641,-8.570483207702637,-8.882207870483398
48,-7.292834281921387,-4.501911163330078,-9.2572021484375,-4.501911163330078,-9.032873153686523,-9.276843070983887
49,-7.2691521644592285,-4.522974967956543,-9.080224990844727,-4.522974967956543,-8.103057861328125,-9.191210746765137
50,-7.138841152191162,-5.714268684387207,-9.085067749023438,-5.714268684387207,-7.967046737670898,-8.259851455688477
51,-7.704242706298828,-5.66243314743042,-9.566619873046875,-5.66243314743042,-9.204562187194824,-9.213053703308105
52,-7.378693580627441,-5.376880645751953,-9.264185905456543,-5.376880645751953,-8.728816032409668,-8.882207870483398
53,-7.699621677398682,-5.008620262145996,-9.440159797668457,-5.008620262145996,-9.52233600616455,-9.276843070983887
54,-7.7347412109375,-4.935189247131348,-9.118252754211426,-4.935189247131348,-8.31577205657959,-9.191210746765137
55,-7.454968452453613,-6.103193283081055,-9.090875625610352,-6.103193283081055,-8.490702629089355,-8.259851455688477
56,-8.62952995300293,-7.380613803863525,-9.344837188720703,-7.380613803863525,-8.865066528320312,-9.213053703308105
57,-8.279706001281738,-7.201168060302734,-9.247293472290039,-7.201168060302734,-8.779765129089355,-8.882207870483398
58,-8.585176467895508,-6.868660926818848,-9.376190185546875,-6.868660926818848,-9.19516372680664,-9.276843070983887
59,-8.684638977050781,-6.657393932342529,-9.113687515258789,-6.657393932342529,-8.598662376403809,-9.191210746765137
60,-8.215526580810547,-7.596137046813965,-8.848649978637695,-7.596137046813965,-8.353559494018555,-8.259851455688477
61,-11.255146026611328,-8.972468376159668,-12.101940155029297,-8.972468376159668,-8.891827583312988,-13.19836139678955
62,-10.596879959106445,-8.404452323913574,-11.73435115814209,-8.404452323913574,-8.570483207702637,-12.403380393981934
63,-11.092294692993164,-8.096117973327637,-11.717964172363281,-8.096117973327637,-9.032873153686523,-12.929131507873535
64,-10.833983421325684,-7.392076015472412,-11.571478843688965,-7.392076015472412,-8.103057861328125,-12.762131690979004
65,-10.782644271850586,-9.197102546691895,-11.87055492401123,-9.197102546691895,-7.967046737670898,-11.255581855773926
66,-11.821919441223145,-9.3246488571167,-11.980646133422852,-9.3246488571167,-9.204562187194824,-13.19836139678955
67,-11.14620590209961,-8.82337474822998,-11.657190322875977,-8.82337474822998,-8.728816032409668,-12.403380393981934
68,-11.646381378173828,-8.51793098449707,-11.86085319519043,-8.51793098449707,-9.52233600616455,-12.929131507873535
69,-11.370926856994629,-7.732380390167236,-11.39610481262207,-7.732380390167236,-8.31577205657959,-12.762131690979004
70,-11.109811782836914,-9.345577239990234,-11.799771308898926,-9.345577239990234,-8.490702629089355,-11.255581855773926
71,-12.121326446533203,-10.457452774047852,-11.70752239227295,-10.457452774047852,-8.865066528320312,-13.19836139678955
72,-11.61482048034668,-10.371520042419434,-11.743732452392578,-10.371520042419434,-8.779765129089355,-12.403380393981934
73,-12.005562782287598,-9.700581550598145,-11.98843765258789,-9.700581550598145,-9.19516372680664,-12.929131507873535
74,-11.789579391479492,-9.147626876831055,-11.574516296386719,-9.147626876831055,-8.598662376403809,-12.762131690979004
75,-11.372575759887695,-10.47290325164795,-11.232524871826172,-10.47290325164795,-8.353559494018555,-11.255581855773926
76,-9.765717506408691,-6.819452285766602,-9.575455665588379,-6.819452285766602,-8.891827583312988,-9.843375205993652
77,-9.053644180297852,-6.416585445404053,-9.199606895446777,-6.416585445404053,-8.570483207702637,-9.218717575073242
78,-9.342207908630371,-5.901902198791504,-9.38730239868164,-5.901902198791504,-9.032873153686523,-9.355475425720215
79,-9.376544952392578,-6.119200229644775,-9.243074417114258,-6.119200229644775,-8.103057861328125,-9.374685287475586
80,-8.459431648254395,-7.390749931335449,-8.998907089233398,-7.390749931335449,-7.967046737670898,-8.304327011108398
81,-10.263521194458008,-7.429466247558594,-9.474648475646973,-7.429466247558594,-9.204562187194824,-9.843375205993652
82,-9.570761680603027,-7.039462566375732,-9.08957290649414,-7.039462566375732,-8.728816032409668,-9.218717575073242
83,-9.814435005187988,-6.453366279602051,-9.318205833435059,-6.453366279602051,-9.52233600616455,-9.355475425720215
84,-9.93646240234375,-6.5536088943481445,-8.998763084411621,-6.5536088943481445,-8.31577205657959,-9.374685287475586
85,-8.831334114074707,-7.848731994628906,-9.061297416687012,-7.848731994628906,-8.490702629089355,-8.304327011108398
86,-10.85912799835205,-8.88517951965332,-8.92778491973877,-8.88517951965332,-8.865066528320312,-9.843375205993652
87,-10.28056526184082,-8.653766632080078,-8.819592475891113,-8.653766632080078,-8.779765129089355,-9.218717575073242
88,-10.559783935546875,-8.064620971679688,-8.927970886230469,-8.064620971679688,-9.19516372680664,-9.355475425720215
89,-10.574695587158203,-7.873561859130859,-8.58997631072998,-7.873561859130859,-8.598662376403809,-9.374685287475586
90,-9.53815746307373,-8.944822311401367,-8.280889511108398,-8.944822311401367,-8.353559494018555,-8.304327011108398
91,-11.92630672454834,-8.378995895385742,-11.202728271484375,-8.378995895385742,-8.891827583312988,-11.824844360351562
92,-11.484277725219727,-7.994647979736328,-10.997739791870117,-7.994647979736328,-8.570483207702637,-11.473362922668457
93,-12.202823638916016,-8.02493667602539,-11.28286075592041,-8.02493667602539,-9.032873153686523,-11.948334693908691
94,-11.481021881103516,-7.594741344451904,-10.798969268798828,-7.594741344451904,-8.103057861328125,-11.660560607910156
95,-10.745946884155273,-8.84717082977295,-10.621918678283691,-8.84717082977295,-7.967046737670898,-9.698369979858398
96,-12.241658210754395,-8.82595443725586,-11.274896621704102,-8.82595443725586,-9.204562187194824,-11.824844360351562
97,-11.835667610168457,-8.374978065490723,-10.935964584350586,-8.374978065490723,-8.728816032409668,-11.473362922668457
98,-12.425644874572754,-8.597575187683105,-11.451909065246582,-8.597575187683105,-9.52233600616455,-11.948334693908691
99,-11.760205268859863,-8.141886711120605,-10.892781257629395,-8.141886711120605,-8.31577205657959,-11.660560607910156
100,-10.920005798339844,-9.237200736999512,-10.889945983886719,-9.237200736999512,-8.490702629089355,-9.698369979858398
101,-12.379447937011719,-9.968326568603516,-11.001012802124023,-9.968326568603516,-8.865066528320312,-11.824844360351562
102,-11.903851509094238,-9.666705131530762,-10.923683166503906,-9.666705131530762,-8.779765129089355,-11.473362922668457
103,-12.361490249633789,-9.745512008666992,-11.396329879760742,-9.745512008666992,-9.19516372680664,-11.948334693908691
104,-11.932077407836914,-9.460051536560059,-10.95621109008789,-9.460051536560059,-8.598662376403809,-11.660560607910156
105,-11.091176986694336,-9.946843147277832,-10.673042297363281,-9.946843147277832,-8.353559494018555,-9.698369979858398
106,-9.844444274902344,-6.470512390136719,-11.30693531036377,-6.470512390136719,-8.891827583312988,-11.757466316223145
