idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.042436599731445,-5.548892974853516,-8.451866149902344,-5.548892974853516,-8.643847465515137,-7.704946517944336
2,-7.948212623596191,-5.046774864196777,-8.608280181884766,-5.046774864196777,-8.982921600341797,-7.480108737945557
3,-7.880112648010254,-4.945085525512695,-8.490449905395508,-4.945085525512695,-8.527018547058105,-7.459331512451172
4,-7.910643577575684,-4.230081081390381,-8.45373821258545,-4.230081081390381,-8.563040733337402,-7.429617881774902
5,-7.968320369720459,-6.0624847412109375,-8.181279182434082,-6.0624847412109375,-8.529816627502441,-6.634166717529297
6,-8.472578048706055,-6.010234832763672,-8.02160358428955,-6.010234832763672,-8.807120323181152,-7.704946517944336
7,-8.402952194213867,-5.544422149658203,-8.201128005981445,-5.544422149658203,-9.204704284667969,-7.480108737945557
8,-8.41423511505127,-5.430723190307617,-8.129701614379883,-5.430723190307617,-8.674864768981934,-7.459331512451172
9,-8.387706756591797,-4.65205192565918,-8.00432014465332,-4.65205192565918,-8.643610954284668,-7.429617881774902
10,-8.260307312011719,-6.543305397033691,-7.912657260894775,-6.543305397033691,-8.793583869934082,-6.634166717529297
11,-10.6986722946167,-8.555383682250977,-7.326404571533203,-8.555383682250977,-8.798172950744629,-7.704946517944336
12,-10.698616027832031,-7.94672155380249,-7.4919114112854,-7.94672155380249,-9.078521728515625,-7.480108737945557
13,-10.821390151977539,-7.919042587280273,-7.6526899337768555,-7.919042587280273,-8.944846153259277,-7.459331512451172
14,-10.550970077514648,-6.896121978759766,-7.357666969299316,-6.896121978759766,-8.168418884277344,-7.429617881774902
15,-10.28357982635498,-8.868575096130371,-7.240589141845703,-8.868575096130371,-8.192460060119629,-6.634166717529297
16,-11.559283256530762,-9.1815185546875,-11.885622024536133,-9.1815185546875,-8.643847465515137,-11.65119457244873
17,-11.584383964538574,-9.225064277648926,-12.122255325317383,-9.225064277648926,-8.982921600341797,-11.422431945800781
18,-11.541593551635742,-9.03034496307373,-11.955541610717773,-9.03034496307373,-8.527018547058105,-11.229222297668457
19,-11.580387115478516,-7.453751087188721,-11.82709789276123,-7.453751087188721,-8.563040733337402,-10.949875831604004
20,-11.549735069274902,-9.875962257385254,-11.356954574584961,-9.875962257385254,-8.529816627502441,-9.92541217803955
21,-12.213554382324219,-9.81947135925293,-11.630483627319336,-9.81947135925293,-8.807120323181152,-11.65119457244873
