idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-9.201726913452148,-6.817445755004883,-9.147520065307617,-6.817445755004883,-8.982929229736328,-9.04704475402832
2,-8.910379409790039,-6.549535751342773,-9.171621322631836,-6.549535751342773,-8.280282020568848,-8.930893898010254
3,-8.838042259216309,-5.687906265258789,-9.208221435546875,-5.687906265258789,-8.195833206176758,-8.776697158813477
4,-8.738412857055664,-5.433357238769531,-8.887784004211426,-5.433357238769531,-7.6785125732421875,-8.598859786987305
5,-8.61418342590332,-6.878746509552002,-8.8638916015625,-6.878746509552002,-8.61374282836914,-8.480051040649414
6,-9.309255599975586,-7.0216522216796875,-8.421733856201172,-7.0216522216796875,-9.071906089782715,-9.04704475402832
7,-9.056446075439453,-6.7738237380981445,-8.497732162475586,-6.7738237380981445,-8.55765438079834,-8.930893898010254
8,-8.997005462646484,-5.9465484619140625,-8.589703559875488,-5.9465484619140625,-8.69282054901123,-8.776697158813477
9,-8.877763748168945,-5.6260223388671875,-8.304964065551758,-5.6260223388671875,-8.067963600158691,-8.598859786987305
10,-8.693740844726562,-6.935677528381348,-8.362911224365234,-6.935677528381348,-8.904806137084961,-8.480051040649414
11,-10.829771041870117,-8.715507507324219,-9.10700798034668,-8.715507507324219,-10.091869354248047,-9.04704475402832
12,-10.540898323059082,-8.74628734588623,-9.075723648071289,-8.74628734588623,-10.063885688781738,-8.930893898010254
13,-10.424249649047852,-7.937007904052734,-8.834001541137695,-7.937007904052734,-9.758408546447754,-8.776697158813477
14,-10.25529670715332,-7.348775863647461,-8.230957984924316,-7.348775863647461,-8.259788513183594,-8.598859786987305
15,-9.9708251953125,-8.287981986999512,-8.631599426269531,-8.287981986999512,-9.896214485168457,-8.480051040649414
16,-11.156233787536621,-7.516599178314209,-12.396894454956055,-7.516599178314209,-8.982929229736328,-11.562061309814453
17,-10.79684829711914,-7.343832492828369,-11.994707107543945,-7.343832492828369,-8.280282020568848,-11.62264347076416
18,-10.523905754089355,-7.184916019439697,-12.125625610351562,-7.184916019439697,-8.195833206176758,-11.571674346923828
19,-10.383084297180176,-6.148733139038086,-11.859617233276367,-6.148733139038086,-7.6785125732421875,-11.224385261535645
20,-10.71882152557373,-7.787103176116943,-11.603019714355469,-7.787103176116943,-8.61374282836914,-11.371882438659668
21,-11.544540405273438,-7.896829128265381,-11.467405319213867,-7.896829128265381,-9.071906089782715,-11.562061309814453
22,-11.174938201904297,-7.7235870361328125,-11.339338302612305,-7.7235870361328125,-8.55765438079834,-11.62264347076416
23,-11.049440383911133,-7.650610446929932,-11.485847473144531,-7.650610446929932,-8.69282054901123,-11.571674346923828
24,-10.865700721740723,-6.4509196281433105,-10.95651626586914,-6.4509196281433105,-8.067963600158691,-11.224385261535645
25,-11.216776847839355,-8.121551513671875,-11.431741714477539,-8.121551513671875,-8.904806137084961,-11.371882438659668
26,-12.833248138427734,-9.50601577758789,-11.504351615905762,-9.50601577758789,-10.091869354248047,-11.562061309814453
27,-12.754020690917969,-9.788146018981934,-11.445230484008789,-9.788146018981934,-10.063885688781738,-11.62264347076416
28,-12.442537307739258,-9.746533393859863,-11.284538269042969,-9.746533393859863,-9.758408546447754,-11.571674346923828
29,-11.857009887695312,-7.839527130126953,-10.336737632751465,-7.839527130126953,-8.259788513183594,-11.224385261535645
30,-12.480098724365234,-9.320599555969238,-11.260783195495605,-9.320599555969238,-9.896214485168457,-11.371882438659668
31,-11.117799758911133,-7.175981521606445,-12.619062423706055,-7.175981521606445,-8.982929229736328,-12.12781810760498
32,-10.660764694213867,-7.057947635650635,-12.280418395996094,-7.057947635650635,-8.280282020568848,-12.042473793029785
33,-10.417698860168457,-6.6968231201171875,-12.340119361877441,-6.6968231201171875,-8.195833206176758,-11.836827278137207
34,-10.36199951171875,-6.260368347167969,-12.0673189163208,-6.260368347167969,-7.6785125732421875,-11.778534889221191
35,-11.11279296875,-7.431123733520508,-12.088098526000977,-7.431123733520508,-8.61374282836914,-12.131075859069824
36,-11.386079788208008,-7.517954349517822,-11.962350845336914,-7.517954349517822,-9.071906089782715,-12.12781810760498
37,-10.967317581176758,-7.412425994873047,-11.828495979309082,-7.412425994873047,-8.55765438079834,-12.042473793029785
38,-10.795144081115723,-7.156854152679443,-11.96893310546875,-7.156854152679443,-8.69282054901123,-11.836827278137207
39,-10.740720748901367,-6.638293743133545,-11.436470985412598,-6.638293743133545,-8.067963600158691,-11.778534889221191
40,-11.409025192260742,-7.729515075683594,-11.982231140136719,-7.729515075683594,-8.904806137084961,-12.131075859069824
41,-12.232155799865723,-9.100975036621094,-12.20777416229248,-9.100975036621094,-10.091869354248047,-12.12781810760498
42,-12.022510528564453,-9.183783531188965,-12.159908294677734,-9.183783531188965,-10.063885688781738,-12.042473793029785
43,-11.785507202148438,-8.859375,-12.001143455505371,-8.859375,-9.758408546447754,-11.836827278137207
44,-11.704050064086914,-8.155835151672363,-11.030861854553223,-8.155835151672363,-8.259788513183594,-11.778534889221191
45,-12.000612258911133,-8.655644416809082,-11.86763858795166,-8.655644416809082,-9.896214485168457,-12.131075859069824
46,-9.52138614654541,-6.888343811035156,-9.180434226989746,-6.888343811035156,-8.982929229736328,-9.299652099609375
47,-8.948253631591797,-6.221657752990723,-8.836488723754883,-6.221657752990723,-8.280282020568848,-8.790729522705078
48,-9.063961029052734,-6.195084095001221,-8.84073543548584,-6.195084095001221,-8.195833206176758,-8.716910362243652
49,-9.083806991577148,-5.797504425048828,-8.815043449401855,-5.797504425048828,-7.6785125732421875,-8.879817962646484
50,-9.668630599975586,-7.328241348266602,-9.099184036254883,-7.328241348266602,-8.61374282836914,-8.799339294433594
51,-9.29710865020752,-6.845450401306152,-8.81817626953125,-6.845450401306152,-9.071906089782715,-9.299652099609375
52,-8.772279739379883,-6.363885402679443,-8.63239574432373,-6.363885402679443,-8.55765438079834,-8.790729522705078
53,-8.807456970214844,-6.2700958251953125,-8.77244758605957,-6.2700958251953125,-8.69282054901123,-8.716910362243652
