idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.166152000427246,-6.203965187072754,-9.748517036437988,-6.203965187072754,-8.882827758789062,-9.476825714111328
2,-8.176970481872559,-6.261519908905029,-9.562284469604492,-6.261519908905029,-8.411693572998047,-9.667153358459473
3,-7.7501983642578125,-5.963072776794434,-9.179699897766113,-5.963072776794434,-7.6124749183654785,-9.442564010620117
4,-7.570000648498535,-5.0661516189575195,-9.331048965454102,-5.0661516189575195,-7.681372165679932,-9.205527305603027
5,-8.141092300415039,-6.47761344909668,-9.625926971435547,-6.47761344909668,-8.289067268371582,-9.048521995544434
6,-8.714998245239258,-6.811718940734863,-9.578835487365723,-6.811718940734863,-9.036417961120605,-9.476825714111328
7,-8.721394538879395,-6.800351142883301,-9.466226577758789,-6.800351142883301,-8.737610816955566,-9.667153358459473
8,-8.25080680847168,-6.532331466674805,-9.10481071472168,-6.532331466674805,-8.034098625183105,-9.442564010620117
9,-8.038759231567383,-5.567516326904297,-9.204862594604492,-5.567516326904297,-7.923593521118164,-9.205527305603027
10,-8.60946273803711,-6.931221961975098,-9.693994522094727,-6.931221961975098,-8.468509674072266,-9.048521995544434
11,-8.9899263381958,-7.364160537719727,-9.960054397583008,-7.364160537719727,-8.808377265930176,-9.476825714111328
12,-9.216756820678711,-7.313663482666016,-10.027204513549805,-7.313663482666016,-8.84374713897705,-9.667153358459473
13,-8.766435623168945,-7.131095886230469,-9.723028182983398,-7.131095886230469,-8.292323112487793,-9.442564010620117
14,-8.458638191223145,-6.120059013366699,-9.447492599487305,-6.120059013366699,-7.757866382598877,-9.205527305603027
15,-8.991544723510742,-7.307896614074707,-10.181013107299805,-7.307896614074707,-8.777533531188965,-9.048521995544434
16,-10.774246215820312,-8.24777889251709,-11.543603897094727,-8.24777889251709,-8.882827758789062,-11.296551704406738
17,-10.316654205322266,-8.237695693969727,-10.931864738464355,-8.237695693969727,-8.411693572998047,-11.332350730895996
18,-9.800863265991211,-8.174532890319824,-10.602710723876953,-8.174532890319824,-7.6124749183654785,-11.034586906433105
19,-9.58057689666748,-6.666036605834961,-10.81030559539795,-6.666036605834961,-7.681372165679932,-10.476944923400879
20,-10.645794868469238,-8.66305160522461,-11.113890647888184,-8.66305160522461,-8.289067268371582,-10.410357475280762
21,-11.593734741210938,-9.046950340270996,-11.599918365478516,-9.046950340270996,-9.036417961120605,-11.296551704406738
22,-11.16391658782959,-9.038914680480957,-11.036478042602539,-9.038914680480957,-8.737610816955566,-11.332350730895996
23,-10.618062973022461,-8.939699172973633,-10.791865348815918,-8.939699172973633,-8.034098625183105,-11.034586906433105
24,-10.36264419555664,-7.319725513458252,-10.96841049194336,-7.319725513458252,-7.923593521118164,-10.476944923400879
25,-11.233308792114258,-9.269744873046875,-11.290090560913086,-9.269744873046875,-8.468509674072266,-10.410357475280762
26,-11.8865327835083,-9.7855806350708,-12.548133850097656,-9.7855806350708,-8.808377265930176,-11.296551704406738
27,-11.608377456665039,-9.854513168334961,-12.30541706085205,-9.854513168334961,-8.84374713897705,-11.332350730895996
28,-11.163965225219727,-9.795796394348145,-12.085688591003418,-9.795796394348145,-8.292323112487793,-11.034586906433105
29,-10.556800842285156,-7.955410480499268,-11.714075088500977,-7.955410480499268,-7.757866382598877,-10.476944923400879
30,-11.116374015808105,-9.772638320922852,-12.037151336669922,-9.772638320922852,-8.777533531188965,-10.410357475280762
31,-10.24050235748291,-7.396825313568115,-11.274282455444336,-7.396825313568115,-8.882827758789062,-11.485014915466309
32,-9.76518440246582,-7.698312282562256,-10.771313667297363,-7.698312282562256,-8.411693572998047,-11.350602149963379
33,-9.367106437683105,-7.632832050323486,-10.39078140258789,-7.632832050323486,-7.6124749183654785,-11.24402904510498
34,-9.23558521270752,-6.300048828125,-10.504094123840332,-6.300048828125,-7.681372165679932,-10.67580509185791
35,-10.230844497680664,-7.912776947021484,-11.078348159790039,-7.912776947021484,-8.289067268371582,-10.864897727966309
36,-10.811342239379883,-8.34313678741455,-11.074329376220703,-8.34313678741455,-9.036417961120605,-11.485014915466309
37,-10.379841804504395,-8.562399864196777,-10.641182899475098,-8.562399864196777,-8.737610816955566,-11.350602149963379
38,-10.005414962768555,-8.435397148132324,-10.264060020446777,-8.435397148132324,-8.034098625183105,-11.24402904510498
39,-9.825584411621094,-7.122989654541016,-10.329599380493164,-7.122989654541016,-7.923593521118164,-10.67580509185791
40,-10.81569766998291,-8.658557891845703,-10.959510803222656,-8.658557891845703,-8.468509674072266,-10.864897727966309
41,-11.528059005737305,-9.394824028015137,-11.448793411254883,-9.394824028015137,-8.808377265930176,-11.485014915466309
42,-11.253213882446289,-9.65732479095459,-11.401338577270508,-9.65732479095459,-8.84374713897705,-11.350602149963379
43,-10.809316635131836,-9.681014060974121,-11.003657341003418,-9.681014060974121,-8.292323112487793,-11.24402904510498
44,-10.285675048828125,-8.166566848754883,-10.549177169799805,-8.166566848754883,-7.757866382598877,-10.67580509185791
45,-11.237052917480469,-9.574874877929688,-11.467098236083984,-9.574874877929688,-8.777533531188965,-10.864897727966309
46,-8.076375961303711,-6.456608772277832,-9.587766647338867,-6.456608772277832,-8.882827758789062,-9.771567344665527
47,-7.8412370681762695,-5.676095962524414,-9.366605758666992,-5.676095962524414,-8.411693572998047,-9.68043327331543
48,-7.673876762390137,-5.689496994018555,-8.992609024047852,-5.689496994018555,-7.6124749183654785,-9.52457332611084
49,-7.676835536956787,-4.939451694488525,-9.056432723999023,-4.939451694488525,-7.681372165679932,-9.593611717224121
50,-8.31967544555664,-6.852543830871582,-9.692471504211426,-6.852543830871582,-8.289067268371582,-9.366360664367676
51,-8.660099983215332,-7.095816135406494,-9.397351264953613,-7.095816135406494,-9.036417961120605,-9.771567344665527
52,-8.46385669708252,-6.22764778137207,-9.23358154296875,-6.22764778137207,-8.737610816955566,-9.68043327331543
53,-8.246095657348633,-6.308740139007568,-8.86271858215332,-6.308740139007568,-8.034098625183105,-9.52457332611084
54,-8.251177787780762,-5.4787187576293945,-8.90320873260498,-5.4787187576293945,-7.923593521118164,-9.593611717224121
55,-8.810312271118164,-7.4729695320129395,-9.575765609741211,-7.4729695320129395,-8.468509674072266,-9.366360664367676
56,-8.559446334838867,-6.903201103210449,-9.560270309448242,-6.903201103210449,-8.808377265930176,-9.771567344665527
57,-8.452688217163086,-6.236939907073975,-9.587127685546875,-6.236939907073975,-8.84374713897705,-9.68043327331543
58,-8.23966121673584,-6.418043613433838,-9.248655319213867,-6.418043613433838,-8.292323112487793,-9.52457332611084
59,-8.086774826049805,-5.427410125732422,-8.82917308807373,-5.427410125732422,-7.757866382598877,-9.593611717224121
60,-8.608598709106445,-7.303938388824463,-9.63398265838623,-7.303938388824463,-8.777533531188965,-9.366360664367676
61,-12.080671310424805,-9.668569564819336,-11.641399383544922,-9.668569564819336,-8.882827758789062,-12.78966236114502
