idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.558619499206543,-6.122304916381836,-7.927340507507324,-6.122304916381836,-6.809132099151611,-8.134146690368652
2,-7.704981803894043,-5.840271472930908,-8.473713874816895,-5.840271472930908,-7.328421115875244,-8.479228973388672
3,-7.733724117279053,-5.61007833480835,-8.001286506652832,-5.61007833480835,-6.912739276885986,-8.53177261352539
4,-7.659600734710693,-5.120597839355469,-7.817342281341553,-5.120597839355469,-6.0277557373046875,-8.328487396240234
5,-8.021535873413086,-6.387067794799805,-8.3919038772583,-6.387067794799805,-7.886045455932617,-8.31373119354248
6,-7.98651123046875,-6.572603225708008,-8.303888320922852,-6.572603225708008,-7.463249683380127,-8.134146690368652
7,-8.2371826171875,-6.329940319061279,-8.7938871383667,-6.329940319061279,-7.931661128997803,-8.479228973388672
8,-8.216623306274414,-6.059337615966797,-8.406332015991211,-6.059337615966797,-7.504759311676025,-8.53177261352539
9,-8.177045822143555,-5.530707359313965,-8.165112495422363,-5.530707359313965,-6.736456394195557,-8.328487396240234
10,-8.350353240966797,-6.650321006774902,-9.032896995544434,-6.650321006774902,-8.854504585266113,-8.31373119354248
11,-8.67419147491455,-7.348620891571045,-8.269651412963867,-7.348620891571045,-8.10344409942627,-8.134146690368652
12,-9.046346664428711,-7.3434319496154785,-9.037723541259766,-7.3434319496154785,-8.735663414001465,-8.479228973388672
13,-9.020398139953613,-7.2811384201049805,-8.644448280334473,-7.2811384201049805,-8.580591201782227,-8.53177261352539
14,-8.927177429199219,-6.319273471832275,-8.259434700012207,-6.319273471832275,-7.865499973297119,-8.328487396240234
15,-9.00703239440918,-7.279311656951904,-8.528230667114258,-7.279311656951904,-8.3566312789917,-8.31373119354248
16,-9.717944145202637,-7.4380717277526855,-10.32598876953125,-7.4380717277526855,-6.809132099151611,-12.407840728759766
17,-10.338459014892578,-7.201098918914795,-11.163784980773926,-7.201098918914795,-7.328421115875244,-13.23563289642334
18,-10.372340202331543,-7.116737365722656,-10.832351684570312,-7.116737365722656,-6.912739276885986,-13.246925354003906
19,-10.143582344055176,-6.59787130355835,-10.762748718261719,-6.59787130355835,-6.0277557373046875,-12.662617683410645
20,-11.018335342407227,-7.992361545562744,-10.958191871643066,-7.992361545562744,-7.886045455932617,-11.903826713562012
21,-10.060942649841309,-7.900482654571533,-10.932073593139648,-7.900482654571533,-7.463249683380127,-12.407840728759766
22,-10.730822563171387,-7.824134349822998,-11.362842559814453,-7.824134349822998,-7.931661128997803,-13.23563289642334
23,-10.678102493286133,-7.638784885406494,-11.100235939025879,-7.638784885406494,-7.504759311676025,-13.246925354003906
24,-10.510517120361328,-7.1239776611328125,-10.758012771606445,-7.1239776611328125,-6.736456394195557,-12.662617683410645
25,-11.479982376098633,-8.550618171691895,-11.711505889892578,-8.550618171691895,-8.854504585266113,-11.903826713562012
26,-11.0582857131958,-9.364568710327148,-10.985404968261719,-9.364568710327148,-8.10344409942627,-12.407840728759766
27,-11.914576530456543,-9.479405403137207,-11.672645568847656,-9.479405403137207,-8.735663414001465,-13.23563289642334
28,-11.751751899719238,-9.580299377441406,-11.47797679901123,-9.580299377441406,-8.580591201782227,-13.246925354003906
29,-11.454057693481445,-8.74499225616455,-10.800199508666992,-8.74499225616455,-7.865499973297119,-12.662617683410645
30,-12.29286003112793,-9.680549621582031,-11.450078010559082,-9.680549621582031,-8.3566312789917,-11.903826713562012
31,-9.577327728271484,-7.673208713531494,-10.897838592529297,-7.673208713531494,-6.809132099151611,-12.159716606140137
32,-10.170377731323242,-7.612393856048584,-11.430685997009277,-7.612393856048584,-7.328421115875244,-12.792826652526855
33,-10.021785736083984,-7.274044513702393,-10.895472526550293,-7.274044513702393,-6.912739276885986,-12.83973217010498
34,-9.604185104370117,-6.706099033355713,-10.453587532043457,-6.706099033355713,-6.0277557373046875,-12.315754890441895
35,-10.230683326721191,-8.860981941223145,-11.603048324584961,-8.860981941223145,-7.886045455932617,-12.23808765411377
36,-9.976825714111328,-8.22588062286377,-11.134425163269043,-8.22588062286377,-7.463249683380127,-12.159716606140137
37,-10.630998611450195,-8.133162498474121,-11.57211685180664,-8.133162498474121,-7.931661128997803,-12.792826652526855
38,-10.417600631713867,-7.743188381195068,-11.14185905456543,-7.743188381195068,-7.504759311676025,-12.83973217010498
39,-10.078943252563477,-7.285789966583252,-10.68465518951416,-7.285789966583252,-6.736456394195557,-12.315754890441895
40,-10.875696182250977,-9.311860084533691,-12.219734191894531,-9.311860084533691,-8.854504585266113,-12.23808765411377
41,-10.884223937988281,-9.570595741271973,-11.298938751220703,-9.570595741271973,-8.10344409942627,-12.159716606140137
42,-11.895146369934082,-9.82192325592041,-11.922524452209473,-9.82192325592041,-8.735663414001465,-12.792826652526855
43,-11.636283874511719,-9.787184715270996,-11.656705856323242,-9.787184715270996,-8.580591201782227,-12.83973217010498
44,-11.108521461486816,-8.767537117004395,-10.879060745239258,-8.767537117004395,-7.865499973297119,-12.315754890441895
45,-11.694831848144531,-10.25137996673584,-11.706233978271484,-10.25137996673584,-8.3566312789917,-12.23808765411377
46,-8.026448249816895,-5.973186492919922,-7.904759407043457,-5.973186492919922,-6.809132099151611,-8.602697372436523
47,-8.21548080444336,-5.643587112426758,-8.24345588684082,-5.643587112426758,-7.328421115875244,-8.950311660766602
48,-8.08788776397705,-5.355005264282227,-7.820303440093994,-5.355005264282227,-6.912739276885986,-8.994653701782227
49,-8.0380277633667,-5.083435535430908,-7.664093017578125,-5.083435535430908,-6.0277557373046875,-8.727144241333008
50,-8.246047973632812,-6.870004653930664,-8.86011028289795,-6.870004653930664,-7.886045455932617,-8.762290954589844
51,-8.35715389251709,-6.476614952087402,-8.292349815368652,-6.476614952087402,-7.463249683380127,-8.602697372436523
52,-8.624722480773926,-6.1265974044799805,-8.710273742675781,-6.1265974044799805,-7.931661128997803,-8.950311660766602
53,-8.504638671875,-5.8603620529174805,-8.260904312133789,-5.8603620529174805,-7.504759311676025,-8.994653701782227
54,-8.497491836547852,-5.570422649383545,-8.081095695495605,-5.570422649383545,-6.736456394195557,-8.727144241333008
55,-8.615275382995605,-7.340775966644287,-9.07872200012207,-7.340775966644287,-8.854504585266113,-8.762290954589844
56,-9.363835334777832,-7.8375043869018555,-8.214709281921387,-7.8375043869018555,-8.10344409942627,-8.602697372436523
57,-9.823610305786133,-7.625737190246582,-8.698112487792969,-7.625737190246582,-8.735663414001465,-8.950311660766602
58,-9.639264106750488,-7.330414772033691,-8.308417320251465,-7.330414772033691,-8.580591201782227,-8.994653701782227
59,-9.657994270324707,-6.865429878234863,-7.954047203063965,-6.865429878234863,-7.865499973297119,-8.727144241333008
60,-9.516420364379883,-8.416760444641113,-8.278364181518555,-8.416760444641113,-8.3566312789917,-8.762290954589844
61,-10.732585906982422,-8.741008758544922,-11.601278305053711,-8.741008758544922,-6.809132099151611,-12.994941711425781
62,-11.36659049987793,-8.30148983001709,-12.304115295410156,-8.30148983001709,-7.328421115875244,-13.737197875976562
63,-11.197030067443848,-8.590563774108887,-11.826018333435059,-8.590563774108887,-6.912739276885986,-13.915294647216797
