idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.231191635131836,-6.433049201965332,-9.12775993347168,-6.433049201965332,-7.950139999389648,-8.451191902160645
2,-8.157999992370605,-6.169824123382568,-9.193794250488281,-6.169824123382568,-8.104777336120605,-8.471242904663086
3,-8.537269592285156,-6.11976432800293,-9.636553764343262,-6.11976432800293,-8.508360862731934,-8.603433609008789
4,-8.410593032836914,-5.644848346710205,-9.024648666381836,-5.644848346710205,-7.2900824546813965,-8.294910430908203
5,-8.487421035766602,-6.728020191192627,-9.157694816589355,-6.728020191192627,-8.854632377624512,-8.641286849975586
6,-8.658875465393066,-6.930192947387695,-9.651360511779785,-6.930192947387695,-8.944735527038574,-8.451191902160645
7,-8.686498641967773,-6.6500959396362305,-9.590385437011719,-6.6500959396362305,-9.010436058044434,-8.471242904663086
8,-9.050657272338867,-6.566378593444824,-10.03909683227539,-6.566378593444824,-9.539456367492676,-8.603433609008789
9,-8.799190521240234,-6.073995590209961,-9.519087791442871,-6.073995590209961,-8.57224178314209,-8.294910430908203
10,-8.704599380493164,-6.972180366516113,-9.255338668823242,-6.972180366516113,-9.030779838562012,-8.641286849975586
11,-9.008121490478516,-7.519510269165039,-8.639497756958008,-7.519510269165039,-9.061001777648926,-8.451191902160645
12,-9.22321891784668,-7.309377193450928,-8.86800765991211,-7.309377193450928,-9.283760070800781,-8.471242904663086
13,-9.559168815612793,-7.338987350463867,-9.223348617553711,-7.338987350463867,-9.88329792022705,-8.603433609008789
14,-9.453008651733398,-6.662614345550537,-8.624547004699707,-6.662614345550537,-8.8294095993042,-8.294910430908203
15,-9.079252243041992,-7.3383965492248535,-8.57774543762207,-7.3383965492248535,-9.00357437133789,-8.641286849975586
16,-9.282426834106445,-6.947460174560547,-11.215670585632324,-6.947460174560547,-7.950139999389648,-10.363003730773926
17,-9.573799133300781,-7.118247985839844,-11.559296607971191,-7.118247985839844,-8.104777336120605,-10.675342559814453
18,-9.820897102355957,-6.866578578948975,-12.093912124633789,-6.866578578948975,-8.508360862731934,-10.913253784179688
19,-9.344292640686035,-5.820760250091553,-11.147912979125977,-5.820760250091553,-7.2900824546813965,-10.178718566894531
20,-9.366185188293457,-8.009303092956543,-11.075927734375,-8.009303092956543,-8.854632377624512,-10.102558135986328
21,-9.229850769042969,-7.431372165679932,-12.215607643127441,-7.431372165679932,-8.944735527038574,-10.363003730773926
22,-9.562604904174805,-7.568363189697266,-12.328226089477539,-7.568363189697266,-9.010436058044434,-10.675342559814453
23,-9.846029281616211,-7.4087982177734375,-13.052289962768555,-7.4087982177734375,-9.539456367492676,-10.913253784179688
24,-9.411584854125977,-6.118721008300781,-12.445440292358398,-6.118721008300781,-8.57224178314209,-10.178718566894531
25,-9.43043041229248,-8.030069351196289,-11.449393272399902,-8.030069351196289,-9.030779838562012,-10.102558135986328
26,-10.365585327148438,-8.857232093811035,-10.920635223388672,-8.857232093811035,-9.061001777648926,-10.363003730773926
27,-10.747461318969727,-9.338661193847656,-11.213502883911133,-9.338661193847656,-9.283760070800781,-10.675342559814453
28,-11.211210250854492,-9.22571849822998,-11.736197471618652,-9.22571849822998,-9.88329792022705,-10.913253784179688
29,-10.723913192749023,-7.757829189300537,-10.982523918151855,-7.757829189300537,-8.8294095993042,-10.178718566894531
30,-10.897171974182129,-9.257990837097168,-10.919357299804688,-9.257990837097168,-9.00357437133789,-10.102558135986328
31,-9.897506713867188,-7.61732292175293,-11.768068313598633,-7.61732292175293,-7.950139999389648,-11.281856536865234
32,-9.854902267456055,-7.496549129486084,-11.882667541503906,-7.496549129486084,-8.104777336120605,-11.78430461883545
33,-10.052377700805664,-7.086492538452148,-12.313583374023438,-7.086492538452148,-8.508360862731934,-11.922686576843262
34,-9.271785736083984,-6.4496636390686035,-11.358451843261719,-6.4496636390686035,-7.2900824546813965,-11.2579927444458
35,-10.562971115112305,-8.728569984436035,-11.979454040527344,-8.728569984436035,-8.854632377624512,-11.583465576171875
36,-10.570484161376953,-8.880572319030762,-12.241243362426758,-8.880572319030762,-8.944735527038574,-11.281856536865234
37,-10.630178451538086,-8.597710609436035,-12.284221649169922,-8.597710609436035,-9.010436058044434,-11.78430461883545
38,-10.82848072052002,-8.162426948547363,-12.917425155639648,-8.162426948547363,-9.539456367492676,-11.922686576843262
39,-9.991806030273438,-7.259510517120361,-12.166595458984375,-7.259510517120361,-8.57224178314209,-11.2579927444458
40,-11.190010070800781,-9.667681694030762,-12.0685396194458,-9.667681694030762,-9.030779838562012,-11.583465576171875
41,-10.544395446777344,-9.486092567443848,-11.82680892944336,-9.486092567443848,-9.061001777648926,-11.281856536865234
42,-10.77027702331543,-9.39615535736084,-11.959246635437012,-9.39615535736084,-9.283760070800781,-11.78430461883545
43,-11.213638305664062,-9.27394962310791,-12.449499130249023,-9.27394962310791,-9.88329792022705,-11.922686576843262
44,-10.58668327331543,-8.277012825012207,-11.7067289352417,-8.277012825012207,-8.8294095993042,-11.2579927444458
45,-11.176618576049805,-9.918047904968262,-11.707989692687988,-9.918047904968262,-9.00357437133789,-11.583465576171875
46,-8.352212905883789,-6.378230094909668,-9.510141372680664,-6.378230094909668,-7.950139999389648,-10.003551483154297
47,-8.100442886352539,-5.830321311950684,-9.555727005004883,-5.830321311950684,-8.104777336120605,-9.790297508239746
48,-8.797364234924316,-5.653533458709717,-9.992125511169434,-5.653533458709717,-8.508360862731934,-10.05010986328125
49,-8.296414375305176,-4.9026899337768555,-9.317901611328125,-4.9026899337768555,-7.2900824546813965,-9.755969047546387
50,-8.603946685791016,-6.797248840332031,-9.811529159545898,-6.797248840332031,-8.854632377624512,-9.925789833068848
51,-8.572975158691406,-6.857955455780029,-9.933235168457031,-6.857955455780029,-8.944735527038574,-10.003551483154297
52,-8.24770450592041,-6.213968276977539,-9.891295433044434,-6.213968276977539,-9.010436058044434,-9.790297508239746
53,-9.076781272888184,-6.100063323974609,-10.468985557556152,-6.100063323974609,-9.539456367492676,-10.05010986328125
54,-8.474783897399902,-5.222734451293945,-9.899791717529297,-5.222734451293945,-8.57224178314209,-9.755969047546387
55,-8.907003402709961,-7.119393825531006,-9.947431564331055,-7.119393825531006,-9.030779838562012,-9.925789833068848
56,-8.736021041870117,-7.2380547523498535,-9.64195728302002,-7.2380547523498535,-9.061001777648926,-10.003551483154297
57,-8.625866889953613,-6.5077972412109375,-9.72382640838623,-6.5077972412109375,-9.283760070800781,-9.790297508239746
58,-9.266486167907715,-6.4977922439575195,-10.240213394165039,-6.4977922439575195,-9.88329792022705,-10.05010986328125
59,-8.871127128601074,-5.714939594268799,-9.740133285522461,-5.714939594268799,-8.8294095993042,-9.755969047546387
60,-8.70826530456543,-7.254179000854492,-9.86624526977539,-7.254179000854492,-9.00357437133789,-9.925789833068848
61,-9.226668357849121,-7.852806091308594,-13.01673412322998,-7.852806091308594,-7.950139999389648,-12.334425926208496
62,-9.092474937438965,-7.555561065673828,-13.05381965637207,-7.555561065673828,-8.104777336120605,-12.305309295654297
63,-9.719545364379883,-7.502353668212891,-13.631028175354004,-7.502353668212891,-8.508360862731934,-12.659140586853027
64,-8.921335220336914,-6.707981109619141,-12.839712142944336,-6.707981109619141,-7.2900824546813965,-11.963881492614746
65,-10.056951522827148,-8.497180938720703,-13.171228408813477,-8.497180938720703,-8.854632377624512,-12.947434425354004
66,-9.896660804748535,-8.81084156036377,-13.517900466918945,-8.81084156036377,-8.944735527038574,-12.334425926208496
