idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.246730804443359,-5.734332084655762,-9.269693374633789,-5.734332084655762,-6.924047946929932,-8.582212448120117
2,-7.120347499847412,-5.513028621673584,-9.317182540893555,-5.513028621673584,-7.052305698394775,-8.630120277404785
3,-7.617425441741943,-5.368097305297852,-9.67133617401123,-5.368097305297852,-7.52147912979126,-8.717170715332031
4,-7.424307346343994,-4.709521770477295,-9.24102783203125,-4.709521770477295,-6.913305759429932,-8.412137985229492
5,-7.65521240234375,-5.428162097930908,-8.996455192565918,-5.428162097930908,-7.288112640380859,-7.919210433959961
6,-7.825762748718262,-6.430978775024414,-8.953495979309082,-6.430978775024414,-7.355932235717773,-8.582212448120117
7,-7.770938873291016,-6.1717424392700195,-8.885963439941406,-6.1717424392700195,-7.291925430297852,-8.630120277404785
8,-8.303515434265137,-6.0094170570373535,-9.285421371459961,-6.0094170570373535,-7.8841094970703125,-8.717170715332031
9,-8.030136108398438,-5.27506160736084,-8.77491569519043,-5.27506160736084,-7.360494613647461,-8.412137985229492
10,-8.223783493041992,-6.039678573608398,-8.874517440795898,-6.039678573608398,-8.004149436950684,-7.919210433959961
11,-9.183070182800293,-8.327530860900879,-9.353835105895996,-8.327530860900879,-8.020434379577637,-8.582212448120117
12,-9.090761184692383,-7.756000518798828,-9.24583911895752,-7.756000518798828,-8.38428783416748,-8.630120277404785
13,-9.60350227355957,-7.868816375732422,-9.586128234863281,-7.868816375732422,-8.57466983795166,-8.717170715332031
14,-9.270236015319824,-6.649200439453125,-8.840930938720703,-6.649200439453125,-7.300801753997803,-8.412137985229492
15,-8.99437141418457,-7.341851234436035,-9.116294860839844,-7.341851234436035,-7.898643493652344,-7.919210433959961
16,-9.195959091186523,-7.046329498291016,-9.998358726501465,-7.046329498291016,-6.924047946929932,-9.49846363067627
17,-9.318453788757324,-7.388547420501709,-10.092630386352539,-7.388547420501709,-7.052305698394775,-10.025059700012207
18,-9.622673034667969,-7.278771877288818,-10.51388168334961,-7.278771877288818,-7.52147912979126,-9.742652893066406
19,-9.291803359985352,-6.260209560394287,-9.8653564453125,-6.260209560394287,-6.913305759429932,-9.083227157592773
20,-10.11388874053955,-7.4317450523376465,-9.837056159973145,-7.4317450523376465,-7.288112640380859,-9.13313102722168
21,-9.45120620727539,-7.3791728019714355,-10.057762145996094,-7.3791728019714355,-7.355932235717773,-9.49846363067627
22,-9.706718444824219,-7.745527744293213,-10.109854698181152,-7.745527744293213,-7.291925430297852,-10.025059700012207
