idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.05138111114502,-6.158278465270996,-8.750497817993164,-6.158278465270996,-8.848764419555664,-8.44798469543457
2,-8.09900951385498,-5.689308166503906,-8.629254341125488,-5.689308166503906,-8.642582893371582,-8.335672378540039
3,-8.455405235290527,-5.668142318725586,-8.860807418823242,-5.668142318725586,-9.004494667053223,-8.556594848632812
4,-8.3622465133667,-4.995136260986328,-8.784500122070312,-4.995136260986328,-8.691622734069824,-8.335237503051758
5,-8.123968124389648,-6.994021415710449,-8.85619068145752,-6.994021415710449,-8.732982635498047,-8.059181213378906
6,-8.793676376342773,-6.857784748077393,-8.564957618713379,-6.857784748077393,-9.534793853759766,-8.44798469543457
7,-8.880071640014648,-6.3691277503967285,-8.331682205200195,-6.3691277503967285,-9.21844482421875,-8.335672378540039
8,-9.187230110168457,-6.356201171875,-8.706438064575195,-6.356201171875,-9.639090538024902,-8.556594848632812
9,-9.111008644104004,-5.606411933898926,-8.49693775177002,-5.606411933898926,-9.05498218536377,-8.335237503051758
10,-8.652534484863281,-7.475702285766602,-8.699922561645508,-7.475702285766602,-9.061985969543457,-8.059181213378906
11,-9.438239097595215,-7.7031049728393555,-8.447723388671875,-7.7031049728393555,-9.011443138122559,-8.44798469543457
12,-9.42896842956543,-7.315340042114258,-8.510197639465332,-7.315340042114258,-9.273993492126465,-8.335672378540039
13,-9.745171546936035,-7.348122596740723,-8.887346267700195,-7.348122596740723,-9.739035606384277,-8.556594848632812
14,-9.460332870483398,-6.639276504516602,-8.440042495727539,-6.639276504516602,-8.687390327453613,-8.335237503051758
15,-8.946310997009277,-7.861464500427246,-8.611934661865234,-7.861464500427246,-8.74170970916748,-8.059181213378906
16,-10.186306953430176,-7.282073974609375,-10.87971019744873,-7.282073974609375,-8.848764419555664,-11.251204490661621
17,-10.173384666442871,-6.880491733551025,-10.706430435180664,-6.880491733551025,-8.642582893371582,-11.02649211883545
18,-10.586440086364746,-7.044179439544678,-10.930706024169922,-7.044179439544678,-9.004494667053223,-11.843602180480957
19,-10.468279838562012,-6.271653652191162,-10.673530578613281,-6.271653652191162,-8.691622734069824,-11.136519432067871
20,-10.335140228271484,-7.670755863189697,-10.38150405883789,-7.670755863189697,-8.732982635498047,-10.013569831848145
21,-10.712686538696289,-7.872550964355469,-11.218180656433105,-7.872550964355469,-9.534793853759766,-11.251204490661621
22,-10.693490028381348,-7.576735019683838,-10.844480514526367,-7.576735019683838,-9.21844482421875,-11.02649211883545
23,-11.11178970336914,-7.880499362945557,-11.306158065795898,-7.880499362945557,-9.639090538024902,-11.843602180480957
24,-10.81057357788086,-6.812215328216553,-10.865018844604492,-6.812215328216553,-9.05498218536377,-11.136519432067871
25,-10.832867622375488,-8.0856294631958,-10.664207458496094,-8.0856294631958,-9.061985969543457,-10.013569831848145
26,-11.091194152832031,-9.054920196533203,-10.537334442138672,-9.054920196533203,-9.011443138122559,-11.251204490661621
27,-11.220486640930176,-9.290552139282227,-10.59947395324707,-9.290552139282227,-9.273993492126465,-11.02649211883545
28,-11.686758041381836,-9.556130409240723,-11.094497680664062,-9.556130409240723,-9.739035606384277,-11.843602180480957
29,-10.983245849609375,-8.174102783203125,-10.372834205627441,-8.174102783203125,-8.687390327453613,-11.136519432067871
30,-10.838435173034668,-9.076607704162598,-10.172429084777832,-9.076607704162598,-8.74170970916748,-10.013569831848145
31,-10.964924812316895,-8.146048545837402,-10.910972595214844,-8.146048545837402,-8.848764419555664,-10.647372245788574
32,-11.061095237731934,-7.853981018066406,-10.86501693725586,-7.853981018066406,-8.642582893371582,-10.45907211303711
33,-11.352202415466309,-7.6748223304748535,-11.017243385314941,-7.6748223304748535,-9.004494667053223,-10.939801216125488
34,-11.357076644897461,-6.383238315582275,-10.819122314453125,-6.383238315582275,-8.691622734069824,-10.508440971374512
35,-11.16578483581543,-8.404208183288574,-10.805990219116211,-8.404208183288574,-8.732982635498047,-10.095108032226562
36,-11.368124008178711,-8.686737060546875,-11.111964225769043,-8.686737060546875,-9.534793853759766,-10.647372245788574
37,-11.543256759643555,-8.441142082214355,-10.965189933776855,-8.441142082214355,-9.21844482421875,-10.45907211303711
38,-11.829323768615723,-8.3463716506958,-11.336599349975586,-8.3463716506958,-9.639090538024902,-10.939801216125488
39,-11.831348419189453,-6.835659027099609,-10.949462890625,-6.835659027099609,-9.05498218536377,-10.508440971374512
40,-11.368619918823242,-8.818517684936523,-10.853397369384766,-8.818517684936523,-9.061985969543457,-10.095108032226562
41,-11.71630573272705,-9.921210289001465,-10.371292114257812,-9.921210289001465,-9.011443138122559,-10.647372245788574
42,-11.882020950317383,-9.776983261108398,-10.587263107299805,-9.776983261108398,-9.273993492126465,-10.45907211303711
43,-12.253727912902832,-9.698728561401367,-10.971899032592773,-9.698728561401367,-9.739035606384277,-10.939801216125488
44,-12.127931594848633,-8.206250190734863,-10.482027053833008,-8.206250190734863,-8.687390327453613,-10.508440971374512
45,-11.407072067260742,-9.819735527038574,-10.33315658569336,-9.819735527038574,-8.74170970916748,-10.095108032226562
46,-8.045038223266602,-6.3263468742370605,-8.85551929473877,-6.3263468742370605,-8.848764419555664,-8.898602485656738
47,-7.918011665344238,-5.601724624633789,-8.567439079284668,-5.601724624633789,-8.642582893371582,-8.523087501525879
48,-8.40562629699707,-5.743875503540039,-8.722416877746582,-5.743875503540039,-9.004494667053223,-8.823073387145996
49,-8.907641410827637,-4.854332447052002,-8.907205581665039,-4.854332447052002,-8.691622734069824,-8.963508605957031
50,-8.388668060302734,-6.826301097869873,-9.062631607055664,-6.826301097869873,-8.732982635498047,-8.423879623413086
51,-8.134878158569336,-6.581116676330566,-9.373300552368164,-6.581116676330566,-9.534793853759766,-8.898602485656738
52,-8.081789016723633,-5.826572895050049,-8.988639831542969,-5.826572895050049,-9.21844482421875,-8.523087501525879
53,-8.549349784851074,-6.009296417236328,-9.304752349853516,-6.009296417236328,-9.639090538024902,-8.823073387145996
54,-8.964293479919434,-5.126001358032227,-9.24410629272461,-5.126001358032227,-9.05498218536377,-8.963508605957031
55,-8.484646797180176,-7.002546787261963,-9.603248596191406,-7.002546787261963,-9.061985969543457,-8.423879623413086
56,-9.12452220916748,-7.666900634765625,-8.84875202178955,-7.666900634765625,-9.011443138122559,-8.898602485656738
57,-9.125080108642578,-6.85685920715332,-8.824735641479492,-6.85685920715332,-9.273993492126465,-8.523087501525879
58,-9.513153076171875,-7.117259979248047,-9.178762435913086,-7.117259979248047,-9.739035606384277,-8.823073387145996
59,-9.788464546203613,-6.266423225402832,-8.851850509643555,-6.266423225402832,-8.687390327453613,-8.963508605957031
60,-9.235952377319336,-7.994709491729736,-8.780729293823242,-7.994709491729736,-8.74170970916748,-8.423879623413086
61,-11.03473949432373,-9.039715766906738,-11.383553504943848,-9.039715766906738,-8.848764419555664,-11.478351593017578
62,-11.359601020812988,-8.569324493408203,-11.24124526977539,-8.569324493408203,-8.642582893371582,-11.392302513122559
63,-11.489130020141602,-8.379579544067383,-11.480293273925781,-8.379579544067383,-9.004494667053223,-11.660223960876465
64,-11.648494720458984,-7.355194568634033,-11.332469940185547,-7.355194568634033,-8.691622734069824,-11.301365852355957
65,-11.15772819519043,-9.016036033630371,-11.23076343536377,-9.016036033630371,-8.732982635498047,-10.427079200744629
66,-11.360203742980957,-9.661086082458496,-11.861644744873047,-9.661086082458496,-9.534793853759766,-11.478351593017578
67,-11.682498931884766,-9.02094554901123,-11.610379219055176,-9.02094554901123,-9.21844482421875,-11.392302513122559
68,-11.729575157165527,-8.883537292480469,-12.021892547607422,-8.883537292480469,-9.639090538024902,-11.660223960876465
69,-11.854290008544922,-7.712996959686279,-11.697328567504883,-7.712996959686279,-9.05498218536377,-11.301365852355957
70,-11.338611602783203,-9.348687171936035,-11.836053848266602,-9.348687171936035,-9.061985969543457,-10.427079200744629
71,-12.233909606933594,-10.893233299255371,-11.754459381103516,-10.893233299255371,-9.011443138122559,-11.478351593017578
72,-12.310810089111328,-10.473505973815918,-11.92066764831543,-10.473505973815918,-9.273993492126465,-11.392302513122559
73,-12.442766189575195,-10.404229164123535,-12.23371696472168,-10.404229164123535,-9.739035606384277,-11.660223960876465
74,-12.256465911865234,-9.1284761428833,-11.674520492553711,-9.1284761428833,-8.687390327453613,-11.301365852355957
75,-11.79887580871582,-10.367167472839355,-11.633581161499023,-10.367167472839355,-8.74170970916748,-10.427079200744629
76,-9.033103942871094,-6.723909378051758,-8.762287139892578,-6.723909378051758,-8.848764419555664,-8.057254791259766
77,-9.038759231567383,-6.10519552230835,-8.588541030883789,-6.10519552230835,-8.642582893371582,-8.033697128295898
78,-9.318974494934082,-6.062704086303711,-8.659212112426758,-6.062704086303711,-9.004494667053223,-8.281384468078613
79,-9.425848007202148,-5.208867073059082,-8.755254745483398,-5.208867073059082,-8.691622734069824,-8.21122932434082
80,-8.697096824645996,-6.788505554199219,-8.679140090942383,-6.788505554199219,-8.732982635498047,-7.6713972091674805
81,-9.791651725769043,-7.462499141693115,-9.086324691772461,-7.462499141693115,-9.534793853759766,-8.057254791259766
82,-9.831293106079102,-6.880833148956299,-8.919905662536621,-6.880833148956299,-9.21844482421875,-8.033697128295898
83,-10.136459350585938,-6.77690315246582,-9.152047157287598,-6.77690315246582,-9.639090538024902,-8.281384468078613
84,-10.298434257507324,-5.775816917419434,-9.01875114440918,-5.775816917419434,-9.05498218536377,-8.21122932434082
85,-9.299104690551758,-7.466576099395752,-9.036578178405762,-7.466576099395752,-9.061985969543457,-7.6713972091674805
86,-10.236556053161621,-8.378116607666016,-8.516645431518555,-8.378116607666016,-9.011443138122559,-8.057254791259766
87,-10.342047691345215,-7.835885524749756,-8.612059593200684,-7.835885524749756,-9.273993492126465,-8.033697128295898
88,-10.729772567749023,-7.771021842956543,-8.843568801879883,-7.771021842956543,-9.739035606384277,-8.281384468078613
89,-10.869736671447754,-6.625441074371338,-8.535343170166016,-6.625441074371338,-8.687390327453613,-8.21122932434082
90,-9.584546089172363,-8.110894203186035,-8.440449714660645,-8.110894203186035,-8.74170970916748,-7.6713972091674805
91,-11.703385353088379,-8.7145357131958,-11.468061447143555,-8.7145357131958,-8.848764419555664,-12.091862678527832
92,-11.78866195678711,-8.630850791931152,-11.256821632385254,-8.630850791931152,-8.642582893371582,-12.095391273498535
93,-12.305152893066406,-8.645467758178711,-11.547462463378906,-8.645467758178711,-9.004494667053223,-12.808499336242676
