idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.878698348999023,-6.06949520111084,-9.092157363891602,-6.06949520111084,-8.411795616149902,-8.94654655456543
2,-8.730058670043945,-5.686976432800293,-8.879276275634766,-5.686976432800293,-8.111480712890625,-8.712434768676758
3,-8.71263313293457,-5.875435829162598,-9.035585403442383,-5.875435829162598,-8.1476411819458,-8.664209365844727
4,-8.443071365356445,-5.206780433654785,-8.626641273498535,-5.206780433654785,-7.727924823760986,-8.210589408874512
5,-8.946313858032227,-6.654497146606445,-9.278321266174316,-6.654497146606445,-9.149020195007324,-8.14050579071045
6,-9.27293586730957,-6.651293754577637,-8.957260131835938,-6.651293754577637,-8.935589790344238,-8.94654655456543
7,-9.170915603637695,-6.234226226806641,-9.147740364074707,-6.234226226806641,-8.956039428710938,-8.712434768676758
8,-9.186275482177734,-6.542046546936035,-9.286023139953613,-6.542046546936035,-9.2365083694458,-8.664209365844727
9,-8.630983352661133,-5.685125827789307,-8.65630054473877,-5.685125827789307,-8.211625099182129,-8.210589408874512
10,-9.471506118774414,-7.269169807434082,-9.394896507263184,-7.269169807434082,-9.951669692993164,-8.14050579071045
11,-9.74637508392334,-7.274347305297852,-9.120527267456055,-7.274347305297852,-9.155346870422363,-8.94654655456543
12,-9.87228012084961,-7.245565414428711,-9.204813003540039,-7.245565414428711,-9.473434448242188,-8.712434768676758
13,-10.03095531463623,-7.399031639099121,-9.308915138244629,-7.399031639099121,-9.431588172912598,-8.664209365844727
14,-9.366350173950195,-6.285581111907959,-8.704808235168457,-6.285581111907959,-8.383685111999512,-8.210589408874512
15,-9.844301223754883,-7.832444667816162,-9.14520263671875,-7.832444667816162,-9.569721221923828,-8.14050579071045
16,-11.000295639038086,-8.53997802734375,-10.88569450378418,-8.53997802734375,-8.411795616149902,-11.3473482131958
17,-11.088674545288086,-8.323124885559082,-10.518354415893555,-8.323124885559082,-8.111480712890625,-11.289456367492676
18,-11.03524398803711,-8.407208442687988,-10.687427520751953,-8.407208442687988,-8.1476411819458,-11.160640716552734
19,-10.472024917602539,-7.11842679977417,-10.305990219116211,-7.11842679977417,-7.727924823760986,-10.632813453674316
