idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.496734619140625,-5.404445648193359,-8.439359664916992,-5.404445648193359,-9.030235290527344,-7.121855735778809
2,-7.335094451904297,-5.573520183563232,-8.632381439208984,-5.573520183563232,-9.396470069885254,-6.955616474151611
3,-7.443194389343262,-5.221904754638672,-8.65837574005127,-5.221904754638672,-9.122986793518066,-7.242587089538574
4,-7.032186985015869,-4.66986083984375,-8.31123161315918,-4.66986083984375,-8.482939720153809,-6.454052925109863
5,-7.552079677581787,-5.81922721862793,-8.221599578857422,-5.81922721862793,-9.292880058288574,-6.879958629608154
6,-7.579141139984131,-5.5451788902282715,-8.180091857910156,-5.5451788902282715,-9.243454933166504,-7.121855735778809
7,-7.580065727233887,-5.86356258392334,-8.389542579650879,-5.86356258392334,-9.782158851623535,-6.955616474151611
8,-7.583849906921387,-5.483673095703125,-8.303502082824707,-5.483673095703125,-9.342183113098145,-7.242587089538574
9,-7.122117042541504,-4.953420162200928,-8.152608871459961,-4.953420162200928,-8.853011131286621,-6.454052925109863
10,-7.5541815757751465,-5.934351444244385,-8.020048141479492,-5.934351444244385,-9.352232933044434,-6.879958629608154
11,-8.608485221862793,-6.8302717208862305,-7.9899396896362305,-6.8302717208862305,-7.9109368324279785,-7.121855735778809
12,-8.825411796569824,-7.2934417724609375,-8.231722831726074,-7.2934417724609375,-8.549120903015137,-6.955616474151611
13,-8.69897174835205,-6.850875377655029,-8.374310493469238,-6.850875377655029,-8.540373802185059,-7.242587089538574
14,-8.231157302856445,-6.254380226135254,-8.060035705566406,-6.254380226135254,-7.867202281951904,-6.454052925109863
15,-8.540157318115234,-7.123164176940918,-7.849905967712402,-7.123164176940918,-8.60595989227295,-6.879958629608154
16,-9.854055404663086,-6.579808712005615,-11.833853721618652,-6.579808712005615,-9.030235290527344,-10.653038024902344
17,-10.23386287689209,-7.073544979095459,-12.120849609375,-7.073544979095459,-9.396470069885254,-11.04405689239502
18,-10.314789772033691,-6.487497806549072,-12.106233596801758,-6.487497806549072,-9.122986793518066,-11.69565200805664
19,-9.866053581237793,-5.7510857582092285,-11.544622421264648,-5.7510857582092285,-8.482939720153809,-10.781410217285156
20,-10.297982215881348,-7.424624919891357,-12.079377174377441,-7.424624919891357,-9.292880058288574,-11.037653923034668
21,-10.417061805725098,-7.115360260009766,-11.490166664123535,-7.115360260009766,-9.243454933166504,-10.653038024902344
22,-10.947484970092773,-7.896661281585693,-11.959179878234863,-7.896661281585693,-9.782158851623535,-11.04405689239502
23,-10.885064125061035,-7.31295919418335,-11.667763710021973,-7.31295919418335,-9.342183113098145,-11.69565200805664
24,-10.409205436706543,-6.243099212646484,-11.292119026184082,-6.243099212646484,-8.853011131286621,-10.781410217285156
25,-11.044281005859375,-8.01021671295166,-11.437895774841309,-8.01021671295166,-9.352232933044434,-11.037653923034668
26,-10.923664093017578,-7.550848484039307,-10.939382553100586,-7.550848484039307,-7.9109368324279785,-10.653038024902344
