idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.682317733764648,-6.816931247711182,-9.780077934265137,-6.816931247711182,-9.622328758239746,-9.602018356323242
2,-8.377763748168945,-6.052864074707031,-9.5731840133667,-6.052864074707031,-10.01326847076416,-9.320943832397461
3,-8.109920501708984,-5.732815742492676,-9.295893669128418,-5.732815742492676,-9.42406177520752,-9.44968318939209
4,-7.626023292541504,-5.2329301834106445,-9.07679557800293,-5.2329301834106445,-8.854487419128418,-8.547555923461914
5,-8.432241439819336,-6.506974220275879,-9.159732818603516,-6.506974220275879,-8.978828430175781,-9.005908966064453
6,-9.344255447387695,-7.574474334716797,-10.055882453918457,-7.574474334716797,-9.831494331359863,-9.602018356323242
7,-9.056121826171875,-6.760692596435547,-9.950119018554688,-6.760692596435547,-10.192855834960938,-9.320943832397461
8,-8.841636657714844,-6.539525032043457,-9.733757019042969,-6.539525032043457,-9.492962837219238,-9.44968318939209
9,-8.266636848449707,-5.820178985595703,-9.331792831420898,-5.820178985595703,-8.694510459899902,-8.547555923461914
10,-9.109672546386719,-7.492534637451172,-9.121088027954102,-7.492534637451172,-9.216693878173828,-9.005908966064453
11,-10.209431648254395,-8.725964546203613,-10.243383407592773,-8.725964546203613,-9.668639183044434,-9.602018356323242
12,-10.092489242553711,-8.247096061706543,-9.879437446594238,-8.247096061706543,-9.53226089477539,-9.320943832397461
13,-9.776838302612305,-8.157127380371094,-9.681777954101562,-8.157127380371094,-9.163542747497559,-9.44968318939209
14,-9.04469108581543,-7.168520927429199,-8.89192008972168,-7.168520927429199,-7.908208847045898,-8.547555923461914
15,-9.57170581817627,-8.739557266235352,-9.231315612792969,-8.739557266235352,-9.574009895324707,-9.005908966064453
16,-11.024467468261719,-7.983914852142334,-12.370009422302246,-7.983914852142334,-9.622328758239746,-12.744135856628418
17,-11.36967658996582,-7.7102370262146,-12.380897521972656,-7.7102370262146,-10.01326847076416,-12.9500150680542
18,-10.958683013916016,-7.865602970123291,-12.043486595153809,-7.865602970123291,-9.42406177520752,-13.016501426696777
