idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.755589485168457,-7.118988990783691,-8.7206392288208,-7.118988990783691,-7.410489559173584,-9.263259887695312
2,-8.879995346069336,-6.578614711761475,-8.773892402648926,-6.578614711761475,-7.617118835449219,-9.679051399230957
3,-8.958516120910645,-6.4086761474609375,-8.7802095413208,-6.4086761474609375,-7.192012786865234,-9.73341178894043
4,-8.830462455749512,-5.936273574829102,-8.656026840209961,-5.936273574829102,-7.096271514892578,-9.120199203491211
5,-8.853445053100586,-6.953339099884033,-8.698129653930664,-6.953339099884033,-8.383135795593262,-9.179960250854492
6,-9.636914253234863,-8.015606880187988,-8.685129165649414,-8.015606880187988,-8.191791534423828,-9.263259887695312
7,-9.876554489135742,-7.534983158111572,-8.942953109741211,-7.534983158111572,-8.61299991607666,-9.679051399230957
8,-9.926043510437012,-7.46854305267334,-9.0377197265625,-7.46854305267334,-8.466854095458984,-9.73341178894043
9,-9.676124572753906,-6.847066402435303,-8.861096382141113,-6.847066402435303,-8.229466438293457,-9.120199203491211
10,-9.908549308776855,-7.8530778884887695,-8.816232681274414,-7.8530778884887695,-9.892435073852539,-9.179960250854492
11,-9.855636596679688,-8.709613800048828,-9.13538932800293,-8.709613800048828,-9.47310733795166,-9.263259887695312
12,-10.130467414855957,-8.282647132873535,-9.397465705871582,-8.282647132873535,-9.843413352966309,-9.679051399230957
13,-10.003506660461426,-8.253534317016602,-9.484454154968262,-8.253534317016602,-9.786652565002441,-9.73341178894043
14,-9.749351501464844,-7.486586093902588,-9.047752380371094,-7.486586093902588,-8.961387634277344,-9.120199203491211
15,-10.521039962768555,-8.50281810760498,-9.394177436828613,-8.50281810760498,-10.237345695495605,-9.179960250854492
16,-9.75648307800293,-8.013090133666992,-11.92593002319336,-8.013090133666992,-7.410489559173584,-13.467968940734863
17,-9.9985990524292,-7.91664457321167,-12.283635139465332,-7.91664457321167,-7.617118835449219,-14.081047058105469
18,-10.121286392211914,-7.38515043258667,-12.208866119384766,-7.38515043258667,-7.192012786865234,-13.695103645324707
19,-10.054750442504883,-6.737424373626709,-12.055413246154785,-6.737424373626709,-7.096271514892578,-13.226573944091797
20,-10.02271842956543,-7.621259689331055,-11.912909507751465,-7.621259689331055,-8.383135795593262,-12.660465240478516
21,-10.304948806762695,-8.440584182739258,-11.583526611328125,-8.440584182739258,-8.191791534423828,-13.467968940734863
22,-10.645652770996094,-8.63493537902832,-12.17711353302002,-8.63493537902832,-8.61299991607666,-14.081047058105469
