idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.950510501861572,-5.979816436767578,-8.543635368347168,-5.979816436767578,-7.853649139404297,-8.12185001373291
2,-7.707143306732178,-5.603723526000977,-8.792322158813477,-5.603723526000977,-8.02291202545166,-7.9284772872924805
3,-7.9977617263793945,-5.427114486694336,-9.045591354370117,-5.427114486694336,-8.550257682800293,-8.165555953979492
4,-7.799310207366943,-4.966436386108398,-9.064607620239258,-4.966436386108398,-8.413192749023438,-7.805527687072754
5,-7.182088375091553,-5.985929489135742,-8.938249588012695,-5.985929489135742,-8.616065979003906,-7.626927375793457
6,-8.240281105041504,-6.172628402709961,-8.3201322555542,-6.172628402709961,-8.337512016296387,-8.12185001373291
7,-7.950891971588135,-5.8307037353515625,-8.518697738647461,-5.8307037353515625,-8.424365997314453,-7.9284772872924805
8,-8.198067665100098,-5.760829925537109,-8.806696891784668,-5.760829925537109,-8.805708885192871,-8.165555953979492
9,-7.98525857925415,-5.249113082885742,-8.730484008789062,-5.249113082885742,-8.507723808288574,-7.805527687072754
10,-7.454012393951416,-6.05674934387207,-8.779496192932129,-6.05674934387207,-8.930295944213867,-7.626927375793457
11,-8.008652687072754,-6.796501159667969,-8.76457691192627,-6.796501159667969,-9.20063304901123,-8.12185001373291
12,-7.933045864105225,-6.716975688934326,-8.810417175292969,-6.716975688934326,-9.208123207092285,-7.9284772872924805
13,-8.0924654006958,-6.600935935974121,-8.947750091552734,-6.600935935974121,-9.48362922668457,-8.165555953979492
14,-7.584522247314453,-5.767253875732422,-8.397790908813477,-5.767253875732422,-8.212021827697754,-7.805527687072754
15,-7.5098772048950195,-6.473644256591797,-8.089593887329102,-6.473644256591797,-8.192414283752441,-7.626927375793457
16,-11.311513900756836,-8.20905590057373,-12.074258804321289,-8.20905590057373,-7.853649139404297,-13.572587013244629
17,-11.26648235321045,-8.241068840026855,-12.312932968139648,-8.241068840026855,-8.02291202545166,-13.239472389221191
18,-11.666842460632324,-8.03109073638916,-12.672463417053223,-8.03109073638916,-8.550257682800293,-13.675514221191406
19,-11.81102180480957,-7.3908843994140625,-12.509653091430664,-7.3908843994140625,-8.413192749023438,-13.310791015625
20,-11.48913860321045,-8.72281265258789,-12.65762710571289,-8.72281265258789,-8.616065979003906,-13.15597915649414
21,-11.672253608703613,-8.689492225646973,-12.449480056762695,-8.689492225646973,-8.337512016296387,-13.572587013244629
22,-11.447151184082031,-8.688149452209473,-12.526646614074707,-8.688149452209473,-8.424365997314453,-13.239472389221191
23,-11.775836944580078,-8.537248611450195,-12.768430709838867,-8.537248611450195,-8.805708885192871,-13.675514221191406
24,-11.92011833190918,-7.732522487640381,-12.597834587097168,-7.732522487640381,-8.507723808288574,-13.310791015625
25,-11.745471954345703,-9.082905769348145,-12.964563369750977,-9.082905769348145,-8.930295944213867,-13.15597915649414
