idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.185555934906006,-4.837981224060059,-8.295611381530762,-4.837981224060059,-7.023000240325928,-7.890568733215332
2,-7.716731071472168,-4.891051292419434,-8.6141996383667,-4.891051292419434,-7.7935709953308105,-8.268872261047363
3,-8.075536727905273,-4.931166648864746,-8.918728828430176,-4.931166648864746,-8.050724983215332,-8.550712585449219
4,-8.050875663757324,-4.261106491088867,-9.232254028320312,-4.261106491088867,-8.423428535461426,-8.439130783081055
5,-7.613009452819824,-4.851329803466797,-8.576172828674316,-4.851329803466797,-8.000386238098145,-8.458474159240723
6,-7.605679988861084,-4.980181694030762,-7.774955749511719,-4.980181694030762,-7.000794887542725,-7.890568733215332
7,-8.012094497680664,-5.128106117248535,-8.253885269165039,-5.128106117248535,-7.804426193237305,-8.268872261047363
8,-8.467820167541504,-5.100558757781982,-8.557649612426758,-5.100558757781982,-8.16596794128418,-8.550712585449219
9,-8.438488006591797,-4.387755393981934,-8.800923347473145,-4.387755393981934,-8.32564640045166,-8.439130783081055
10,-7.8882317543029785,-4.998316287994385,-8.572522163391113,-4.998316287994385,-8.51232624053955,-8.458474159240723
11,-8.869780540466309,-6.7896013259887695,-8.245146751403809,-6.7896013259887695,-6.943400859832764,-7.890568733215332
12,-9.265073776245117,-6.942109107971191,-8.459181785583496,-6.942109107971191,-7.617385387420654,-8.268872261047363
13,-9.723572731018066,-7.072272300720215,-8.75173568725586,-7.072272300720215,-8.054293632507324,-8.550712585449219
14,-9.709672927856445,-6.163992404937744,-8.727636337280273,-6.163992404937744,-7.835323333740234,-8.439130783081055
15,-9.125104904174805,-6.610989570617676,-8.950492858886719,-6.610989570617676,-8.491242408752441,-8.458474159240723
16,-9.74660873413086,-7.1786789894104,-10.805228233337402,-7.1786789894104,-7.023000240325928,-9.83484172821045
17,-10.325239181518555,-6.959146499633789,-11.156647682189941,-6.959146499633789,-7.7935709953308105,-10.413689613342285
18,-10.53817081451416,-7.343601703643799,-11.325379371643066,-7.343601703643799,-8.050724983215332,-10.680072784423828
19,-10.66600227355957,-5.934859752655029,-11.679500579833984,-5.934859752655029,-8.423428535461426,-10.75755786895752
20,-11.25545883178711,-7.120975494384766,-11.289030075073242,-7.120975494384766,-8.000386238098145,-10.832862854003906
21,-9.808512687683105,-7.221452236175537,-9.988011360168457,-7.221452236175537,-7.000794887542725,-9.83484172821045
22,-10.33261489868164,-6.93145227432251,-10.681583404541016,-6.93145227432251,-7.804426193237305,-10.413689613342285
23,-10.593620300292969,-7.493585109710693,-10.924393653869629,-7.493585109710693,-8.16596794128418,-10.680072784423828
24,-10.630382537841797,-6.022165298461914,-11.282655715942383,-6.022165298461914,-8.32564640045166,-10.75755786895752
25,-11.37955093383789,-7.180436611175537,-10.955443382263184,-7.180436611175537,-8.51232624053955,-10.832862854003906
26,-10.25145435333252,-8.858831405639648,-10.923345565795898,-8.858831405639648,-6.943400859832764,-9.83484172821045
27,-10.783365249633789,-8.829662322998047,-11.117621421813965,-8.829662322998047,-7.617385387420654,-10.413689613342285
28,-11.010025978088379,-9.515921592712402,-11.443202018737793,-9.515921592712402,-8.054293632507324,-10.680072784423828
29,-11.00067138671875,-7.489525318145752,-11.34650993347168,-7.489525318145752,-7.835323333740234,-10.75755786895752
30,-11.143946647644043,-9.0139741897583,-11.854412078857422,-9.0139741897583,-8.491242408752441,-10.832862854003906
31,-9.629434585571289,-7.105126857757568,-10.09682559967041,-7.105126857757568,-7.023000240325928,-10.069113731384277
32,-10.142351150512695,-6.975294589996338,-10.506305694580078,-6.975294589996338,-7.7935709953308105,-10.522965431213379
33,-10.515778541564941,-7.100044250488281,-10.796101570129395,-7.100044250488281,-8.050724983215332,-10.74234390258789
34,-10.535470008850098,-5.833627223968506,-11.140390396118164,-5.833627223968506,-8.423428535461426,-10.975018501281738
35,-10.702591896057129,-7.269075393676758,-10.551959991455078,-7.269075393676758,-8.000386238098145,-10.7736177444458
36,-9.768425941467285,-7.3177337646484375,-10.013434410095215,-7.3177337646484375,-7.000794887542725,-10.069113731384277
37,-10.302875518798828,-7.216632843017578,-10.53097915649414,-7.216632843017578,-7.804426193237305,-10.522965431213379
38,-10.69595718383789,-7.400807857513428,-10.927599906921387,-7.400807857513428,-8.16596794128418,-10.74234390258789
39,-10.753870010375977,-6.063658237457275,-11.225802421569824,-6.063658237457275,-8.32564640045166,-10.975018501281738
40,-10.791000366210938,-7.350784778594971,-11.058488845825195,-7.350784778594971,-8.51232624053955,-10.7736177444458
41,-10.593732833862305,-8.867127418518066,-10.379188537597656,-8.867127418518066,-6.943400859832764,-10.069113731384277
42,-11.087823867797852,-9.07754898071289,-10.585468292236328,-9.07754898071289,-7.617385387420654,-10.522965431213379
43,-11.538154602050781,-9.678841590881348,-10.922502517700195,-9.678841590881348,-8.054293632507324,-10.74234390258789
44,-11.494321823120117,-8.036136627197266,-10.878931045532227,-8.036136627197266,-7.835323333740234,-10.975018501281738
45,-11.563358306884766,-9.304329872131348,-11.313365936279297,-9.304329872131348,-8.491242408752441,-10.7736177444458
46,-7.452269077301025,-5.621581077575684,-8.517007827758789,-5.621581077575684,-7.023000240325928,-8.845959663391113
47,-7.7403764724731445,-5.203468322753906,-8.697721481323242,-5.203468322753906,-7.7935709953308105,-8.772613525390625
48,-8.12267017364502,-5.268681049346924,-8.980989456176758,-5.268681049346924,-8.050724983215332,-8.983154296875
49,-8.501311302185059,-4.715029716491699,-9.182947158813477,-4.715029716491699,-8.423428535461426,-9.387115478515625
50,-8.112269401550293,-5.911853790283203,-9.198750495910645,-5.911853790283203,-8.000386238098145,-9.102821350097656
51,-7.690432548522949,-5.565062522888184,-7.757061958312988,-5.565062522888184,-7.000794887542725,-8.845959663391113
52,-8.04100227355957,-5.176898002624512,-8.20433235168457,-5.176898002624512,-7.804426193237305,-8.772613525390625
53,-8.379658699035645,-5.464327812194824,-8.596269607543945,-5.464327812194824,-8.16596794128418,-8.983154296875
54,-8.783318519592285,-4.7764105796813965,-8.694963455200195,-4.7764105796813965,-8.32564640045166,-9.387115478515625
55,-8.401734352111816,-5.915733337402344,-8.813322067260742,-5.915733337402344,-8.51232624053955,-9.102821350097656
56,-8.007617950439453,-6.308868408203125,-7.863208770751953,-6.308868408203125,-6.943400859832764,-8.845959663391113
57,-8.142183303833008,-6.115907669067383,-7.9975786209106445,-6.115907669067383,-7.617385387420654,-8.772613525390625
58,-8.594388961791992,-6.180246353149414,-8.279282569885254,-6.180246353149414,-8.054293632507324,-8.983154296875
59,-9.079154014587402,-5.415275573730469,-8.232532501220703,-5.415275573730469,-7.835323333740234,-9.387115478515625
60,-8.584749221801758,-6.507936477661133,-8.7886381149292,-6.507936477661133,-8.491242408752441,-9.102821350097656
61,-11.14892864227295,-9.37984561920166,-11.566831588745117,-9.37984561920166,-7.023000240325928,-11.049163818359375
62,-11.383259773254395,-9.026055335998535,-11.944595336914062,-9.026055335998535,-7.7935709953308105,-11.367558479309082
63,-11.646499633789062,-9.531861305236816,-12.399755477905273,-9.531861305236816,-8.050724983215332,-11.636752128601074
64,-11.990596771240234,-8.630961418151855,-12.523733139038086,-8.630961418151855,-8.423428535461426,-12.282666206359863
65,-12.426885604858398,-9.862536430358887,-12.410490989685059,-9.862536430358887,-8.000386238098145,-12.352490425109863
66,-10.913520812988281,-9.445662498474121,-11.25226879119873,-9.445662498474121,-7.000794887542725,-11.049163818359375
67,-11.075654983520508,-9.635037422180176,-11.888044357299805,-9.635037422180176,-7.804426193237305,-11.367558479309082
68,-11.292140007019043,-10.122710227966309,-12.401287078857422,-10.122710227966309,-8.16596794128418,-11.636752128601074
69,-11.651481628417969,-9.045014381408691,-12.513826370239258,-9.045014381408691,-8.32564640045166,-12.282666206359863
70,-12.475757598876953,-10.146679878234863,-12.5787992477417,-10.146679878234863,-8.51232624053955,-12.352490425109863
71,-12.180890083312988,-10.819891929626465,-11.24787425994873,-10.819891929626465,-6.943400859832764,-11.049163818359375
72,-12.276817321777344,-10.78404712677002,-11.54952621459961,-10.78404712677002,-7.617385387420654,-11.367558479309082
73,-12.594646453857422,-11.378883361816406,-11.981481552124023,-11.378883361816406,-8.054293632507324,-11.636752128601074
74,-12.814201354980469,-10.242094993591309,-11.984045028686523,-10.242094993591309,-7.835323333740234,-12.282666206359863
75,-13.111570358276367,-11.429415702819824,-12.755725860595703,-11.429415702819824,-8.491242408752441,-12.352490425109863
76,-8.613348007202148,-6.488688945770264,-9.15203857421875,-6.488688945770264,-7.023000240325928,-9.61617374420166
77,-8.9998779296875,-6.236082553863525,-9.416393280029297,-6.236082553863525,-7.7935709953308105,-9.270517349243164
78,-9.216842651367188,-5.8710126876831055,-9.7669038772583,-5.8710126876831055,-8.050724983215332,-9.333195686340332
79,-9.492466926574707,-5.475551605224609,-10.253169059753418,-5.475551605224609,-8.423428535461426,-9.513399124145508
80,-9.681449890136719,-6.656531810760498,-9.532567024230957,-6.656531810760498,-8.000386238098145,-10.112784385681152
81,-8.999990463256836,-6.866275787353516,-8.123018264770508,-6.866275787353516,-7.000794887542725,-9.61617374420166
82,-9.34117603302002,-6.614565849304199,-8.604034423828125,-6.614565849304199,-7.804426193237305,-9.270517349243164
83,-9.51536750793457,-6.255190849304199,-8.88007640838623,-6.255190849304199,-8.16596794128418,-9.333195686340332
84,-9.732635498046875,-5.761603355407715,-9.231880187988281,-5.761603355407715,-8.32564640045166,-9.513399124145508
85,-10.175201416015625,-7.034585952758789,-9.069555282592773,-7.034585952758789,-8.51232624053955,-10.112784385681152
86,-9.716405868530273,-7.451848030090332,-8.606762886047363,-7.451848030090332,-6.943400859832764,-9.61617374420166
87,-9.957099914550781,-7.680635452270508,-8.9260892868042,-7.680635452270508,-7.617385387420654,-9.270517349243164
88,-10.136703491210938,-7.090489864349365,-9.201286315917969,-7.090489864349365,-8.054293632507324,-9.333195686340332
89,-10.296577453613281,-6.56577205657959,-9.064010620117188,-6.56577205657959,-7.835323333740234,-9.513399124145508
90,-10.370506286621094,-7.832792282104492,-9.466108322143555,-7.832792282104492,-8.491242408752441,-10.112784385681152
91,-10.199283599853516,-7.574643611907959,-11.143256187438965,-7.574643611907959,-7.023000240325928,-11.710450172424316
92,-10.874122619628906,-7.552097797393799,-11.772666931152344,-7.552097797393799,-7.7935709953308105,-12.419611930847168
93,-11.152253150939941,-7.517238616943359,-11.937230110168457,-7.517238616943359,-8.050724983215332,-12.617720603942871
94,-11.530539512634277,-7.226799488067627,-12.208361625671387,-7.226799488067627,-8.423428535461426,-13.06545639038086
95,-11.253185272216797,-7.525249004364014,-12.099605560302734,-7.525249004364014,-8.000386238098145,-12.766016960144043
96,-10.438249588012695,-7.86477518081665,-10.783863067626953,-7.86477518081665,-7.000794887542725,-11.710450172424316
97,-11.189203262329102,-7.936122894287109,-11.574516296386719,-7.936122894287109,-7.804426193237305,-12.419611930847168
98,-11.486333847045898,-8.005501747131348,-11.890905380249023,-8.005501747131348,-8.16596794128418,-12.617720603942871
99,-11.771639823913574,-7.556190013885498,-11.998636245727539,-7.556190013885498,-8.32564640045166,-13.06545639038086
100,-11.494269371032715,-7.870216369628906,-12.106620788574219,-7.870216369628906,-8.51232624053955,-12.766016960144043
101,-11.084281921386719,-9.42219352722168,-10.662147521972656,-9.42219352722168,-6.943400859832764,-11.710450172424316
102,-11.690914154052734,-9.620345115661621,-11.108076095581055,-9.620345115661621,-7.617385387420654,-12.419611930847168
103,-12.148372650146484,-9.67867374420166,-11.525175094604492,-9.67867374420166,-8.054293632507324,-12.617720603942871
104,-12.31113052368164,-8.910616874694824,-11.386480331420898,-8.910616874694824,-7.835323333740234,-13.06545639038086
105,-12.020408630371094,-9.238306045532227,-11.906326293945312,-9.238306045532227,-8.491242408752441,-12.766016960144043
106,-9.624759674072266,-7.201303005218506,-10.470989227294922,-7.201303005218506,-7.023000240325928,-10.650484085083008
107,-10.205997467041016,-6.949072360992432,-10.797252655029297,-6.949072360992432,-7.7935709953308105,-10.948135375976562
108,-10.62218952178955,-7.0528082847595215,-11.073888778686523,-7.0528082847595215,-8.050724983215332,-11.115192413330078
109,-10.655935287475586,-5.528514862060547,-11.35881519317627,-5.528514862060547,-8.423428535461426,-11.512081146240234
110,-11.235355377197266,-6.9699387550354,-11.0030517578125,-6.9699387550354,-8.000386238098145,-11.631610870361328
111,-9.81591796875,-7.119006633758545,-10.235998153686523,-7.119006633758545,-7.000794887542725,-10.650484085083008
112,-10.359095573425293,-7.098758697509766,-10.58303451538086,-7.098758697509766,-7.804426193237305,-10.948135375976562
113,-10.801815032958984,-7.318150043487549,-11.003450393676758,-7.318150043487549,-8.16596794128418,-11.115192413330078
114,-10.860834121704102,-5.696004390716553,-11.102787971496582,-5.696004390716553,-8.32564640045166,-11.512081146240234
115,-11.427820205688477,-7.024293899536133,-11.099720001220703,-7.024293899536133,-8.51232624053955,-11.631610870361328
116,-10.459850311279297,-8.378689765930176,-10.851700782775879,-8.378689765930176,-6.943400859832764,-10.650484085083008
117,-10.963558197021484,-8.452122688293457,-11.030017852783203,-8.452122688293457,-7.617385387420654,-10.948135375976562
118,-11.366897583007812,-9.069289207458496,-11.435745239257812,-9.069289207458496,-8.054293632507324,-11.115192413330078
119,-11.363924026489258,-7.304541110992432,-11.342292785644531,-7.304541110992432,-7.835323333740234,-11.512081146240234
120,-11.777894020080566,-8.483271598815918,-11.745844841003418,-8.483271598815918,-8.491242408752441,-11.631610870361328
121,-7.144354343414307,-5.366509914398193,-7.560131549835205,-5.366509914398193,-7.023000240325928,-7.744039058685303
122,-7.595893859863281,-5.293025016784668,-7.676848888397217,-5.293025016784668,-7.7935709953308105,-7.995650291442871
123,-7.6781325340271,-5.671717166900635,-7.832828044891357,-5.671717166900635,-8.050724983215332,-7.932707786560059
124,-7.722629547119141,-4.977669715881348,-7.831732273101807,-4.977669715881348,-8.423428535461426,-7.617334842681885
125,-7.41815710067749,-5.5031256675720215,-7.819723129272461,-5.5031256675720215,-8.000386238098145,-7.793948173522949
126,-7.4962639808654785,-5.592357635498047,-7.044847011566162,-5.592357635498047,-7.000794887542725,-7.744039058685303
