idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.069631576538086,-6.671047210693359,-9.308887481689453,-6.671047210693359,-8.032832145690918,-8.338940620422363
2,-8.048555374145508,-6.218653678894043,-9.324662208557129,-6.218653678894043,-8.069977760314941,-8.331331253051758
3,-8.650511741638184,-5.633692741394043,-9.811491012573242,-5.633692741394043,-8.904271125793457,-8.905721664428711
4,-8.296470642089844,-5.608895301818848,-9.426360130310059,-5.608895301818848,-7.884239196777344,-8.825272560119629
5,-8.511615753173828,-6.531196594238281,-9.836370468139648,-6.531196594238281,-8.931050300598145,-8.338791847229004
6,-8.723931312561035,-7.396673202514648,-9.59078311920166,-7.396673202514648,-8.433639526367188,-8.338940620422363
7,-8.75428295135498,-7.026012420654297,-9.576555252075195,-7.026012420654297,-8.514788627624512,-8.331331253051758
8,-9.296195983886719,-6.425156593322754,-9.995341300964355,-6.425156593322754,-9.231701850891113,-8.905721664428711
9,-8.948263168334961,-6.335847854614258,-9.644848823547363,-6.335847854614258,-8.294821739196777,-8.825272560119629
10,-9.060585021972656,-7.268568992614746,-9.961652755737305,-7.268568992614746,-9.666296005249023,-8.338791847229004
11,-8.331391334533691,-6.866033554077148,-8.839659690856934,-6.866033554077148,-8.009796142578125,-8.338940620422363
12,-8.43525505065918,-6.95394229888916,-9.02033805847168,-6.95394229888916,-8.078728675842285,-8.331331253051758
13,-8.95364761352539,-6.433359146118164,-9.33100700378418,-6.433359146118164,-8.653267860412598,-8.905721664428711
14,-8.934040069580078,-6.329993724822998,-9.018378257751465,-6.329993724822998,-7.98997688293457,-8.825272560119629
15,-8.203813552856445,-6.614529609680176,-8.802640914916992,-6.614529609680176,-7.9953932762146,-8.338791847229004
16,-9.37386703491211,-7.462026119232178,-11.331160545349121,-7.462026119232178,-8.032832145690918,-11.455227851867676
17,-9.362326622009277,-7.557746410369873,-11.462684631347656,-7.557746410369873,-8.069977760314941,-11.751753807067871
18,-10.15857219696045,-7.413424968719482,-12.047805786132812,-7.413424968719482,-8.904271125793457,-12.417513847351074
19,-9.766185760498047,-6.741922378540039,-11.549232482910156,-6.741922378540039,-7.884239196777344,-11.679824829101562
20,-10.289582252502441,-8.05612850189209,-11.850533485412598,-8.05612850189209,-8.931050300598145,-11.229537963867188
21,-10.024397850036621,-8.132892608642578,-11.423223495483398,-8.132892608642578,-8.433639526367188,-11.455227851867676
22,-10.043708801269531,-8.3497896194458,-11.586519241333008,-8.3497896194458,-8.514788627624512,-11.751753807067871
23,-10.816283226013184,-8.204163551330566,-11.98027229309082,-8.204163551330566,-9.231701850891113,-12.417513847351074
24,-10.366172790527344,-7.3332085609436035,-11.477524757385254,-7.3332085609436035,-8.294821739196777,-11.679824829101562
25,-10.964462280273438,-8.684416770935059,-12.371338844299316,-8.684416770935059,-9.666296005249023,-11.229537963867188
26,-10.384720802307129,-8.026799201965332,-11.824480056762695,-8.026799201965332,-8.009796142578125,-11.455227851867676
27,-10.359466552734375,-8.220036506652832,-11.987366676330566,-8.220036506652832,-8.078728675842285,-11.751753807067871
28,-11.148080825805664,-8.396993637084961,-12.272157669067383,-8.396993637084961,-8.653267860412598,-12.417513847351074
29,-10.811066627502441,-7.542657375335693,-11.776786804199219,-7.542657375335693,-7.98997688293457,-11.679824829101562
30,-10.085380554199219,-8.172999382019043,-11.739809036254883,-8.172999382019043,-7.9953932762146,-11.229537963867188
31,-8.636436462402344,-7.749654293060303,-11.077644348144531,-7.749654293060303,-8.032832145690918,-11.336502075195312
32,-8.738778114318848,-7.86676025390625,-11.122391700744629,-7.86676025390625,-8.069977760314941,-11.23918628692627
33,-9.638500213623047,-7.353643894195557,-11.776925086975098,-7.353643894195557,-8.904271125793457,-12.293708801269531
34,-9.045245170593262,-6.289272308349609,-11.17626953125,-6.289272308349609,-7.884239196777344,-11.27298355102539
35,-10.544076919555664,-8.332802772521973,-12.112383842468262,-8.332802772521973,-8.931050300598145,-11.131800651550293
36,-9.426918029785156,-8.670952796936035,-10.931808471679688,-8.670952796936035,-8.433639526367188,-11.336502075195312
37,-9.528755187988281,-8.825213432312012,-11.058573722839355,-8.825213432312012,-8.514788627624512,-11.23918628692627
38,-10.393482208251953,-8.284831047058105,-11.667377471923828,-8.284831047058105,-9.231701850891113,-12.293708801269531
39,-9.75253677368164,-7.1382737159729,-11.046136856079102,-7.1382737159729,-8.294821739196777,-11.27298355102539
40,-11.169689178466797,-9.220964431762695,-12.231968879699707,-9.220964431762695,-9.666296005249023,-11.131800651550293
41,-9.95816707611084,-8.83935546875,-11.356023788452148,-8.83935546875,-8.009796142578125,-11.336502075195312
42,-9.99299144744873,-9.216826438903809,-11.548690795898438,-9.216826438903809,-8.078728675842285,-11.23918628692627
43,-10.654285430908203,-8.871020317077637,-11.847102165222168,-8.871020317077637,-8.653267860412598,-12.293708801269531
44,-10.254066467285156,-7.803153991699219,-11.46329116821289,-7.803153991699219,-7.98997688293457,-11.27298355102539
45,-10.492973327636719,-9.007874488830566,-11.612995147705078,-9.007874488830566,-7.9953932762146,-11.131800651550293
46,-8.307476043701172,-7.663887023925781,-9.867627143859863,-7.663887023925781,-8.032832145690918,-9.47886848449707
47,-8.324307441711426,-6.764030456542969,-9.769083976745605,-6.764030456542969,-8.069977760314941,-9.43703842163086
48,-9.402120590209961,-6.744420051574707,-10.202690124511719,-6.744420051574707,-8.904271125793457,-10.00088119506836
49,-8.877593040466309,-5.998594284057617,-9.941946029663086,-5.998594284057617,-7.884239196777344,-10.069571495056152
50,-10.068367958068848,-8.555391311645508,-10.565824508666992,-8.555391311645508,-8.931050300598145,-9.89120864868164
51,-8.879812240600586,-8.023805618286133,-10.045995712280273,-8.023805618286133,-8.433639526367188,-9.47886848449707
52,-8.783098220825195,-7.0826416015625,-10.018563270568848,-7.0826416015625,-8.514788627624512,-9.43703842163086
53,-9.890874862670898,-7.120870590209961,-10.341121673583984,-7.120870590209961,-9.231701850891113,-10.00088119506836
54,-9.305644035339355,-6.351778984069824,-10.175985336303711,-6.351778984069824,-8.294821739196777,-10.069571495056152
55,-10.322009086608887,-8.994660377502441,-10.744569778442383,-8.994660377502441,-9.666296005249023,-9.89120864868164
56,-9.077231407165527,-8.095430374145508,-10.06850814819336,-8.095430374145508,-8.009796142578125,-9.47886848449707
57,-8.758097648620605,-7.351056098937988,-10.116792678833008,-7.351056098937988,-8.078728675842285,-9.43703842163086
58,-9.65200138092041,-7.469358444213867,-10.328603744506836,-7.469358444213867,-8.653267860412598,-10.00088119506836
59,-9.482927322387695,-6.836268424987793,-10.131558418273926,-6.836268424987793,-7.98997688293457,-10.069571495056152
60,-10.089265823364258,-8.858135223388672,-9.918601989746094,-8.858135223388672,-7.9953932762146,-9.89120864868164
61,-10.769099235534668,-9.117253303527832,-11.985472679138184,-9.117253303527832,-8.032832145690918,-12.439318656921387
62,-10.783536911010742,-9.202987670898438,-11.94994068145752,-9.202987670898438,-8.069977760314941,-12.327975273132324
63,-11.678552627563477,-8.89124870300293,-12.51136589050293,-8.89124870300293,-8.904271125793457,-13.0264310836792
64,-11.31287956237793,-8.238421440124512,-12.007524490356445,-8.238421440124512,-7.884239196777344,-12.77022933959961
65,-12.232772827148438,-9.487622261047363,-12.533879280090332,-9.487622261047363,-8.931050300598145,-11.992386817932129
66,-11.614310264587402,-10.38841724395752,-12.353022575378418,-10.38841724395752,-8.433639526367188,-12.439318656921387
67,-11.638030052185059,-10.550612449645996,-12.431199073791504,-10.550612449645996,-8.514788627624512,-12.327975273132324
68,-12.505460739135742,-10.28543758392334,-12.947229385375977,-10.28543758392334,-9.231701850891113,-13.0264310836792
69,-12.107425689697266,-9.396449089050293,-12.466850280761719,-9.396449089050293,-8.294821739196777,-12.77022933959961
70,-13.183186531066895,-10.806793212890625,-13.17260456085205,-10.806793212890625,-9.666296005249023,-11.992386817932129
71,-11.46336555480957,-10.2201509475708,-11.817811012268066,-10.2201509475708,-8.009796142578125,-12.439318656921387
72,-11.608977317810059,-10.301411628723145,-11.822572708129883,-10.301411628723145,-8.078728675842285,-12.327975273132324
73,-12.352673530578613,-10.5261869430542,-12.204689979553223,-10.5261869430542,-8.653267860412598,-13.0264310836792
74,-12.02795696258545,-9.512946128845215,-11.705521583557129,-9.512946128845215,-7.98997688293457,-12.77022933959961
75,-11.995988845825195,-10.454737663269043,-11.520488739013672,-10.454737663269043,-7.9953932762146,-11.992386817932129
76,-7.615904331207275,-7.029029846191406,-9.19645881652832,-7.029029846191406,-8.032832145690918,-9.442108154296875
77,-7.718611240386963,-6.547534465789795,-9.115585327148438,-6.547534465789795,-8.069977760314941,-9.2833890914917
78,-8.287205696105957,-6.022419452667236,-9.512697219848633,-6.022419452667236,-8.904271125793457,-9.928678512573242
79,-8.236268997192383,-5.79754638671875,-9.3827486038208,-5.79754638671875,-7.884239196777344,-9.744343757629395
80,-8.343976974487305,-7.00355339050293,-9.735333442687988,-7.00355339050293,-8.931050300598145,-9.686727523803711
81,-8.197488784790039,-7.417607307434082,-9.33935260772705,-7.417607307434082,-8.433639526367188,-9.442108154296875
82,-8.219799995422363,-6.978283882141113,-9.383050918579102,-6.978283882141113,-8.514788627624512,-9.2833890914917
83,-8.780481338500977,-6.488020896911621,-9.680648803710938,-6.488020896911621,-9.231701850891113,-9.928678512573242
84,-8.723649024963379,-6.250292778015137,-9.496559143066406,-6.250292778015137,-8.294821739196777,-9.744343757629395
85,-8.810104370117188,-7.333622932434082,-9.866586685180664,-7.333622932434082,-9.666296005249023,-9.686727523803711
86,-8.352299690246582,-7.415903091430664,-9.390473365783691,-7.415903091430664,-8.009796142578125,-9.442108154296875
87,-8.26609992980957,-7.039778709411621,-9.621052742004395,-7.039778709411621,-8.078728675842285,-9.2833890914917
88,-8.833642959594727,-6.567769527435303,-9.799336433410645,-6.567769527435303,-8.653267860412598,-9.928678512573242
89,-8.81230640411377,-6.435425281524658,-9.665653228759766,-6.435425281524658,-7.98997688293457,-9.744343757629395
90,-8.401896476745605,-7.069369316101074,-9.301652908325195,-7.069369316101074,-7.9953932762146,-9.686727523803711
91,-9.294698715209961,-8.733302116394043,-11.315235137939453,-8.733302116394043,-8.032832145690918,-11.047398567199707
92,-9.401689529418945,-8.704126358032227,-11.464942932128906,-8.704126358032227,-8.069977760314941,-11.381038665771484
93,-10.125019073486328,-8.462745666503906,-11.944393157958984,-8.462745666503906,-8.904271125793457,-11.957756042480469
94,-9.973053932189941,-8.176358222961426,-11.52950382232666,-8.176358222961426,-7.884239196777344,-11.806975364685059
95,-10.445877075195312,-8.732178688049316,-11.997640609741211,-8.732178688049316,-8.931050300598145,-11.246971130371094
96,-9.872797012329102,-9.255590438842773,-11.345763206481934,-9.255590438842773,-8.433639526367188,-11.047398567199707
97,-10.0321626663208,-9.350750923156738,-11.55323314666748,-9.350750923156738,-8.514788627624512,-11.381038665771484
98,-10.786821365356445,-9.137137413024902,-11.913544654846191,-9.137137413024902,-9.231701850891113,-11.957756042480469
99,-10.497692108154297,-8.783675193786621,-11.482417106628418,-8.783675193786621,-8.294821739196777,-11.806975364685059
