idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.972001552581787,-5.395930290222168,-7.360028266906738,-5.395930290222168,-7.53825044631958,-7.904264450073242
2,-6.891117095947266,-5.155424118041992,-7.79025411605835,-5.155424118041992,-8.047691345214844,-7.679150581359863
3,-7.369532108306885,-5.311664581298828,-7.750506401062012,-5.311664581298828,-8.064586639404297,-7.712031364440918
4,-6.764975070953369,-4.597623348236084,-7.537960052490234,-4.597623348236084,-7.542524814605713,-7.356206893920898
5,-6.8586320877075195,-5.813138008117676,-7.564234256744385,-5.813138008117676,-7.957220554351807,-7.145546913146973
6,-7.224332332611084,-5.776907920837402,-7.344621181488037,-5.776907920837402,-7.741607666015625,-7.904264450073242
7,-7.2126030921936035,-5.55804967880249,-7.642881870269775,-5.55804967880249,-8.06790542602539,-7.679150581359863
8,-7.771477699279785,-5.813244819641113,-7.698792457580566,-5.813244819641113,-8.182680130004883,-7.712031364440918
9,-7.126131534576416,-5.0525007247924805,-7.551360130310059,-5.0525007247924805,-7.76628303527832,-7.356206893920898
10,-7.277020454406738,-6.094826698303223,-7.642225742340088,-6.094826698303223,-8.391112327575684,-7.145546913146973
11,-7.424521446228027,-6.482992649078369,-7.294402122497559,-6.482992649078369,-8.366816520690918,-7.904264450073242
12,-7.578714847564697,-6.605681896209717,-7.581106662750244,-6.605681896209717,-8.738978385925293,-7.679150581359863
13,-7.927900791168213,-6.685971736907959,-7.666297912597656,-6.685971736907959,-8.895352363586426,-7.712031364440918
14,-7.7160515785217285,-6.275343894958496,-7.256196022033691,-6.275343894958496,-8.240017890930176,-7.356206893920898
15,-7.558798313140869,-6.778482437133789,-7.7405195236206055,-6.778482437133789,-8.517991065979004,-7.145546913146973
16,-10.029297828674316,-8.442127227783203,-9.960487365722656,-8.442127227783203,-7.53825044631958,-10.408731460571289
17,-10.240167617797852,-8.239142417907715,-10.307958602905273,-8.239142417907715,-8.047691345214844,-10.882054328918457
18,-10.49416446685791,-8.56433391571045,-10.440422058105469,-8.56433391571045,-8.064586639404297,-10.946219444274902
19,-9.816021919250488,-6.914346218109131,-10.030494689941406,-6.914346218109131,-7.542524814605713,-9.70073413848877
20,-9.636174201965332,-9.016021728515625,-10.382080078125,-9.016021728515625,-7.957220554351807,-10.201815605163574
21,-10.705305099487305,-9.359770774841309,-10.173285484313965,-9.359770774841309,-7.741607666015625,-10.408731460571289
22,-10.990167617797852,-9.380878448486328,-10.44227123260498,-9.380878448486328,-8.06790542602539,-10.882054328918457
23,-11.167160034179688,-9.735858917236328,-10.693388938903809,-9.735858917236328,-8.182680130004883,-10.946219444274902
24,-10.434020042419434,-7.952438831329346,-10.472169876098633,-7.952438831329346,-7.76628303527832,-9.70073413848877
25,-10.369321823120117,-9.928390502929688,-10.824562072753906,-9.928390502929688,-8.391112327575684,-10.201815605163574
26,-10.67558479309082,-9.423956871032715,-10.045893669128418,-9.423956871032715,-8.366816520690918,-10.408731460571289
27,-11.087486267089844,-9.78197193145752,-10.347729682922363,-9.78197193145752,-8.738978385925293,-10.882054328918457
28,-11.153498649597168,-10.361420631408691,-10.548376083374023,-10.361420631408691,-8.895352363586426,-10.946219444274902
29,-10.763671875,-8.583771705627441,-9.838916778564453,-8.583771705627441,-8.240017890930176,-9.70073413848877
30,-10.322526931762695,-9.866923332214355,-10.285228729248047,-9.866923332214355,-8.517991065979004,-10.201815605163574
31,-9.201261520385742,-7.687004089355469,-10.548462867736816,-7.687004089355469,-7.53825044631958,-10.702045440673828
32,-9.12088394165039,-7.2906317710876465,-10.70966911315918,-7.2906317710876465,-8.047691345214844,-10.921890258789062
33,-9.163042068481445,-7.168592929840088,-10.724480628967285,-7.168592929840088,-8.064586639404297,-10.772664070129395
34,-8.653800964355469,-5.575022220611572,-10.344926834106445,-5.575022220611572,-7.542524814605713,-9.919568061828613
35,-9.056641578674316,-8.472386360168457,-10.8258056640625,-8.472386360168457,-7.957220554351807,-10.841973304748535
36,-9.592121124267578,-8.087523460388184,-10.824907302856445,-8.087523460388184,-7.741607666015625,-10.702045440673828
37,-9.598987579345703,-7.658067226409912,-10.910422325134277,-7.658067226409912,-8.06790542602539,-10.921890258789062
38,-9.474675178527832,-7.700833797454834,-10.994058609008789,-7.700833797454834,-8.182680130004883,-10.772664070129395
39,-8.911513328552246,-6.0871710777282715,-10.75089168548584,-6.0871710777282715,-7.76628303527832,-9.919568061828613
40,-9.19662857055664,-8.921435356140137,-11.226078033447266,-8.921435356140137,-8.391112327575684,-10.841973304748535
41,-10.212339401245117,-9.44902515411377,-10.695066452026367,-9.44902515411377,-8.366816520690918,-10.702045440673828
42,-10.4187593460083,-9.211569786071777,-10.686393737792969,-9.211569786071777,-8.738978385925293,-10.921890258789062
