idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.90424108505249,-5.820340156555176,-8.307870864868164,-5.820340156555176,-7.274674892425537,-8.706018447875977
2,-6.8948974609375,-5.709712982177734,-8.32309627532959,-5.709712982177734,-7.262784957885742,-8.695648193359375
3,-7.070971488952637,-5.834768772125244,-8.788252830505371,-5.834768772125244,-7.863925933837891,-8.95085620880127
4,-7.065462589263916,-5.013450622558594,-8.772431373596191,-5.013450622558594,-7.62695837020874,-8.698256492614746
5,-7.178476810455322,-5.857473373413086,-8.562137603759766,-5.857473373413086,-8.144978523254395,-7.90809965133667
6,-7.573916435241699,-6.661021709442139,-8.489013671875,-6.661021709442139,-8.686113357543945,-8.706018447875977
7,-7.572108268737793,-6.501071929931641,-8.220680236816406,-6.501071929931641,-8.535496711730957,-8.695648193359375
8,-7.690258979797363,-6.590953826904297,-8.786359786987305,-6.590953826904297,-9.203669548034668,-8.95085620880127
9,-7.631443977355957,-5.6460981369018555,-8.620382308959961,-5.6460981369018555,-8.864737510681152,-8.698256492614746
10,-7.559414863586426,-6.669284820556641,-8.466413497924805,-6.669284820556641,-8.862907409667969,-7.90809965133667
11,-8.162013053894043,-7.185328483581543,-8.902059555053711,-7.185328483581543,-8.605652809143066,-8.706018447875977
12,-8.250558853149414,-7.2252726554870605,-9.066473960876465,-7.2252726554870605,-8.764753341674805,-8.695648193359375
13,-8.254823684692383,-7.288651943206787,-9.455351829528809,-7.288651943206787,-9.3606538772583,-8.95085620880127
14,-8.05211067199707,-6.183603286743164,-8.808645248413086,-6.183603286743164,-8.444046020507812,-8.698256492614746
15,-8.15578842163086,-7.187185764312744,-8.672626495361328,-7.187185764312744,-7.834390640258789,-7.90809965133667
16,-9.501731872558594,-7.383826732635498,-10.295462608337402,-7.383826732635498,-7.274674892425537,-11.68200397491455
17,-9.463912963867188,-7.712726593017578,-10.463333129882812,-7.712726593017578,-7.262784957885742,-11.46467113494873
18,-9.721799850463867,-7.46003532409668,-10.968893051147461,-7.46003532409668,-7.863925933837891,-11.668037414550781
19,-9.410860061645508,-6.315620422363281,-10.83764934539795,-6.315620422363281,-7.62695837020874,-11.257596015930176
20,-10.239227294921875,-7.513782501220703,-10.49895191192627,-7.513782501220703,-8.144978523254395,-10.880928039550781
21,-10.184671401977539,-8.280961036682129,-11.110376358032227,-8.280961036682129,-8.686113357543945,-11.68200397491455
22,-10.175661087036133,-8.696084022521973,-10.940773010253906,-8.696084022521973,-8.535496711730957,-11.46467113494873
23,-10.337800979614258,-8.323882102966309,-11.466323852539062,-8.323882102966309,-9.203669548034668,-11.668037414550781
24,-10.047090530395508,-7.160476207733154,-11.158452987670898,-7.160476207733154,-8.864737510681152,-11.257596015930176
25,-10.75079345703125,-8.512602806091309,-10.915179252624512,-8.512602806091309,-8.862907409667969,-10.880928039550781
26,-10.833534240722656,-9.867744445800781,-11.125269889831543,-9.867744445800781,-8.605652809143066,-11.68200397491455
27,-10.853118896484375,-10.09432601928711,-11.23939323425293,-10.09432601928711,-8.764753341674805,-11.46467113494873
28,-10.963359832763672,-9.864289283752441,-11.659248352050781,-9.864289283752441,-9.3606538772583,-11.668037414550781
29,-10.695087432861328,-8.413125038146973,-10.803284645080566,-8.413125038146973,-8.444046020507812,-11.257596015930176
30,-11.10983943939209,-9.617433547973633,-10.567604064941406,-9.617433547973633,-7.834390640258789,-10.880928039550781
31,-10.152449607849121,-8.94570541381836,-10.790326118469238,-8.94570541381836,-7.274674892425537,-11.803199768066406
32,-10.021623611450195,-8.644125938415527,-10.781617164611816,-8.644125938415527,-7.262784957885742,-11.77080249786377
33,-10.387102127075195,-8.179078102111816,-11.300603866577148,-8.179078102111816,-7.863925933837891,-12.047565460205078
34,-9.798163414001465,-6.635011196136475,-11.085590362548828,-6.635011196136475,-7.62695837020874,-11.400500297546387
35,-10.942544937133789,-9.230504035949707,-11.24860668182373,-9.230504035949707,-8.144978523254395,-11.144950866699219
36,-10.788957595825195,-9.81932544708252,-11.466670989990234,-9.81932544708252,-8.686113357543945,-11.803199768066406
37,-10.679001808166504,-9.578094482421875,-11.209747314453125,-9.578094482421875,-8.535496711730957,-11.77080249786377
38,-10.907308578491211,-9.060782432556152,-11.710649490356445,-9.060782432556152,-9.203669548034668,-12.047565460205078
39,-10.393383979797363,-7.5641770362854,-11.332348823547363,-7.5641770362854,-8.864737510681152,-11.400500297546387
40,-11.384363174438477,-10.011188507080078,-11.51182746887207,-10.011188507080078,-8.862907409667969,-11.144950866699219
41,-11.833913803100586,-10.820551872253418,-11.511165618896484,-10.820551872253418,-8.605652809143066,-11.803199768066406
42,-11.726799964904785,-10.573211669921875,-11.51591968536377,-10.573211669921875,-8.764753341674805,-11.77080249786377
43,-11.827754020690918,-10.3270902633667,-11.95675277709961,-10.3270902633667,-9.3606538772583,-12.047565460205078
44,-11.34451675415039,-8.722743034362793,-11.319526672363281,-8.722743034362793,-8.444046020507812,-11.400500297546387
45,-11.914617538452148,-10.67823314666748,-11.178312301635742,-10.67823314666748,-7.834390640258789,-11.144950866699219
46,-7.090775489807129,-5.796444892883301,-8.789663314819336,-5.796444892883301,-7.274674892425537,-9.738972663879395
47,-6.947668552398682,-5.168471813201904,-8.663396835327148,-5.168471813201904,-7.262784957885742,-9.80060863494873
48,-7.055797576904297,-5.140859603881836,-9.22585678100586,-5.140859603881836,-7.863925933837891,-9.809355735778809
49,-6.838202476501465,-4.093416213989258,-8.946615219116211,-4.093416213989258,-7.62695837020874,-9.680477142333984
50,-7.5507917404174805,-6.465521812438965,-9.285420417785645,-6.465521812438965,-8.144978523254395,-9.506114959716797
51,-7.592903137207031,-6.123265266418457,-9.327993392944336,-6.123265266418457,-8.686113357543945,-9.738972663879395
52,-7.544772148132324,-5.415192604064941,-8.984931945800781,-5.415192604064941,-8.535496711730957,-9.80060863494873
53,-7.5516767501831055,-5.435444355010986,-9.539582252502441,-5.435444355010986,-9.203669548034668,-9.809355735778809
54,-7.414046287536621,-4.490942001342773,-9.09870719909668,-4.490942001342773,-8.864737510681152,-9.680477142333984
55,-7.793515682220459,-6.700122356414795,-9.467729568481445,-6.700122356414795,-8.862907409667969,-9.506114959716797
56,-8.25361156463623,-7.099133491516113,-9.237698554992676,-7.099133491516113,-8.605652809143066,-9.738972663879395
57,-8.321374893188477,-6.726490497589111,-9.242965698242188,-6.726490497589111,-8.764753341674805,-9.80060863494873
58,-8.320661544799805,-6.649168491363525,-9.6737699508667,-6.649168491363525,-9.3606538772583,-9.809355735778809
59,-7.998819828033447,-5.576112747192383,-8.97754955291748,-5.576112747192383,-8.444046020507812,-9.680477142333984
60,-8.492515563964844,-7.718703269958496,-8.998861312866211,-7.718703269958496,-7.834390640258789,-9.506114959716797
61,-10.779413223266602,-9.265792846679688,-10.103584289550781,-9.265792846679688,-7.274674892425537,-12.083645820617676
62,-10.928207397460938,-8.50169849395752,-10.12602424621582,-8.50169849395752,-7.262784957885742,-12.091063499450684
63,-11.085609436035156,-8.124661445617676,-10.506028175354004,-8.124661445617676,-7.863925933837891,-12.083287239074707
64,-10.764911651611328,-6.910597324371338,-10.242131233215332,-6.910597324371338,-7.62695837020874,-11.992218971252441
65,-10.937694549560547,-9.116788864135742,-10.71725845336914,-9.116788864135742,-8.144978523254395,-11.145564079284668
66,-11.701765060424805,-10.179378509521484,-10.748659133911133,-10.179378509521484,-8.686113357543945,-12.083645820617676
67,-11.875948905944824,-9.53447437286377,-10.55960464477539,-9.53447437286377,-8.535496711730957,-12.091063499450684
68,-11.995722770690918,-8.94146728515625,-10.976402282714844,-8.94146728515625,-9.203669548034668,-12.083287239074707
69,-11.803593635559082,-7.791235446929932,-10.60251235961914,-7.791235446929932,-8.864737510681152,-11.992218971252441
70,-11.799765586853027,-9.739105224609375,-10.874894142150879,-9.739105224609375,-8.862907409667969,-11.145564079284668
71,-12.327335357666016,-11.522174835205078,-11.148900985717773,-11.522174835205078,-8.605652809143066,-12.083645820617676
72,-12.553961753845215,-11.337145805358887,-11.3994140625,-11.337145805358887,-8.764753341674805,-12.091063499450684
73,-12.539629936218262,-11.190227508544922,-11.73378849029541,-11.190227508544922,-9.3606538772583,-12.083287239074707
74,-12.297744750976562,-9.514763832092285,-10.956645965576172,-9.514763832092285,-8.444046020507812,-11.992218971252441
75,-12.575809478759766,-10.948959350585938,-10.802783966064453,-10.948959350585938,-7.834390640258789,-11.145564079284668
76,-8.357635498046875,-6.825134754180908,-8.539999008178711,-6.825134754180908,-7.274674892425537,-8.618578910827637
77,-8.0374116897583,-6.675882339477539,-8.291234970092773,-6.675882339477539,-7.262784957885742,-8.597722053527832
78,-8.17199420928955,-6.197906494140625,-8.678680419921875,-6.197906494140625,-7.863925933837891,-8.521446228027344
79,-8.181673049926758,-5.183213710784912,-8.497305870056152,-5.183213710784912,-7.62695837020874,-8.56749439239502
80,-8.695300102233887,-6.976532936096191,-9.024452209472656,-6.976532936096191,-8.144978523254395,-9.343477249145508
81,-8.691396713256836,-7.150534629821777,-9.025615692138672,-7.150534629821777,-8.686113357543945,-8.618578910827637
82,-8.504629135131836,-7.024966239929199,-8.662004470825195,-7.024966239929199,-8.535496711730957,-8.597722053527832
83,-8.4822359085083,-6.53192663192749,-9.25075912475586,-6.53192663192749,-9.203669548034668,-8.521446228027344
84,-8.528570175170898,-5.605898380279541,-8.955147743225098,-5.605898380279541,-8.864737510681152,-8.56749439239502
85,-8.947542190551758,-7.268099784851074,-9.019372940063477,-7.268099784851074,-8.862907409667969,-9.343477249145508
86,-9.016637802124023,-7.694561004638672,-8.851202011108398,-7.694561004638672,-8.605652809143066,-8.618578910827637
87,-8.90996265411377,-7.645959854125977,-8.693890571594238,-7.645959854125977,-8.764753341674805,-8.597722053527832
88,-8.829912185668945,-7.258923530578613,-9.134275436401367,-7.258923530578613,-9.3606538772583,-8.521446228027344
89,-8.8031644821167,-6.26945161819458,-8.563488960266113,-6.26945161819458,-8.444046020507812,-8.56749439239502
90,-9.114720344543457,-7.875143527984619,-8.580950736999512,-7.875143527984619,-7.834390640258789,-9.343477249145508
91,-9.88891887664795,-7.735294342041016,-10.10130786895752,-7.735294342041016,-7.274674892425537,-11.500872611999512
92,-9.543655395507812,-7.506002902984619,-10.23203182220459,-7.506002902984619,-7.262784957885742,-11.171311378479004
93,-10.320586204528809,-7.454308986663818,-11.00317096710205,-7.454308986663818,-7.863925933837891,-11.649741172790527
94,-10.33524227142334,-7.277198791503906,-10.681466102600098,-7.277198791503906,-7.62695837020874,-11.713577270507812
95,-10.177244186401367,-7.790252685546875,-10.670809745788574,-7.790252685546875,-8.144978523254395,-10.534796714782715
96,-10.448163032531738,-8.40817928314209,-11.122846603393555,-8.40817928314209,-8.686113357543945,-11.500872611999512
97,-10.282544136047363,-8.3134126663208,-11.085258483886719,-8.3134126663208,-8.535496711730957,-11.171311378479004
98,-10.788257598876953,-8.067373275756836,-11.847667694091797,-8.067373275756836,-9.203669548034668,-11.649741172790527
99,-10.881834983825684,-7.777084827423096,-11.38794231414795,-7.777084827423096,-8.864737510681152,-11.713577270507812
100,-10.625006675720215,-8.516387939453125,-10.617069244384766,-8.516387939453125,-8.862907409667969,-10.534796714782715
101,-11.460174560546875,-9.911211967468262,-10.603410720825195,-9.911211967468262,-8.605652809143066,-11.500872611999512
102,-11.166413307189941,-9.61963176727295,-10.628328323364258,-9.61963176727295,-8.764753341674805,-11.171311378479004
103,-11.682670593261719,-9.481705665588379,-11.377552032470703,-9.481705665588379,-9.3606538772583,-11.649741172790527
104,-11.802179336547852,-9.047579765319824,-10.67090892791748,-9.047579765319824,-8.444046020507812,-11.713577270507812
105,-11.243667602539062,-9.330669403076172,-10.52241039276123,-9.330669403076172,-7.834390640258789,-10.534796714782715
106,-9.968070030212402,-8.060707092285156,-10.644665718078613,-8.060707092285156,-7.274674892425537,-11.556565284729004
107,-9.910465240478516,-7.88065767288208,-10.57129192352295,-7.88065767288208,-7.262784957885742,-11.653000831604004
108,-9.957751274108887,-7.433802127838135,-10.89228630065918,-7.433802127838135,-7.863925933837891,-11.749038696289062
109,-9.488954544067383,-5.642946243286133,-10.598926544189453,-5.642946243286133,-7.62695837020874,-11.201164245605469
110,-10.567964553833008,-8.519579887390137,-10.986244201660156,-8.519579887390137,-8.144978523254395,-10.923739433288574
111,-10.193504333496094,-8.467822074890137,-11.451876640319824,-8.467822074890137,-8.686113357543945,-11.556565284729004
112,-10.240342140197754,-8.278637886047363,-11.212051391601562,-8.278637886047363,-8.535496711730957,-11.653000831604004
113,-10.237893104553223,-7.728916168212891,-11.550844192504883,-7.728916168212891,-9.203669548034668,-11.749038696289062
114,-9.832508087158203,-6.143632411956787,-11.15495491027832,-6.143632411956787,-8.864737510681152,-11.201164245605469
115,-10.624918937683105,-8.996769905090332,-11.373144149780273,-8.996769905090332,-8.862907409667969,-10.923739433288574
116,-10.628812789916992,-9.53624439239502,-11.380264282226562,-9.53624439239502,-8.605652809143066,-11.556565284729004
117,-10.870959281921387,-9.453640937805176,-11.549701690673828,-9.453640937805176,-8.764753341674805,-11.653000831604004
118,-10.720966339111328,-9.104277610778809,-11.799186706542969,-9.104277610778809,-9.3606538772583,-11.749038696289062
119,-10.248942375183105,-7.474059581756592,-10.993273735046387,-7.474059581756592,-8.444046020507812,-11.201164245605469
120,-10.66865062713623,-9.417720794677734,-10.84922981262207,-9.417720794677734,-7.834390640258789,-10.923739433288574
121,-6.331113338470459,-4.644617080688477,-6.660884380340576,-4.644617080688477,-7.274674892425537,-6.967222690582275
122,-6.436679840087891,-4.930425643920898,-6.654615879058838,-4.930425643920898,-7.262784957885742,-7.1007585525512695
123,-6.660890102386475,-4.629975318908691,-7.019607067108154,-4.629975318908691,-7.863925933837891,-7.3142499923706055
124,-6.202411651611328,-4.159289360046387,-6.914772033691406,-4.159289360046387,-7.62695837020874,-6.801531791687012
125,-7.1252760887146,-5.242771625518799,-7.162265300750732,-5.242771625518799,-8.144978523254395,-6.713475227355957
126,-7.051883697509766,-5.324385643005371,-7.333106994628906,-5.324385643005371,-8.686113357543945,-6.967222690582275
127,-7.109975337982178,-5.541517734527588,-7.2266845703125,-5.541517734527588,-8.535496711730957,-7.1007585525512695
128,-7.292911529541016,-5.313654899597168,-7.6898627281188965,-5.313654899597168,-9.203669548034668,-7.3142499923706055
129,-6.820396423339844,-4.797749042510986,-7.5089192390441895,-4.797749042510986,-8.864737510681152,-6.8015336990356445
130,-7.497689723968506,-5.753439903259277,-7.369157791137695,-5.753439903259277,-8.862907409667969,-6.713475227355957
131,-7.38623571395874,-5.745867729187012,-7.2582926750183105,-5.745867729187012,-8.605652809143066,-6.96722412109375
132,-7.577877044677734,-6.080585956573486,-7.236167907714844,-6.080585956573486,-8.764753341674805,-7.100759029388428
133,-7.654154300689697,-5.986995220184326,-7.492530345916748,-5.986995220184326,-9.3606538772583,-7.314251899719238
134,-7.17730188369751,-5.44832706451416,-6.913961410522461,-5.44832706451416,-8.444046020507812,-6.8015336990356445
135,-7.738273620605469,-6.171676158905029,-6.971060276031494,-6.171676158905029,-7.834390640258789,-6.713475227355957
136,-7.455081462860107,-6.683511734008789,-7.5402512550354,-6.683511734008789,-7.274674892425537,-7.5101776123046875
137,-7.4223809242248535,-6.707854747772217,-7.690932750701904,-6.707854747772217,-7.262784957885742,-7.491940975189209
138,-7.554312705993652,-6.380024433135986,-8.033533096313477,-6.380024433135986,-7.863925933837891,-7.640791416168213
139,-7.425881385803223,-5.373603820800781,-8.054961204528809,-5.373603820800781,-7.62695837020874,-7.5055108070373535
140,-7.374552249908447,-6.650239944458008,-7.7147135734558105,-6.650239944458008,-8.144978523254395,-7.1174774169921875
141,-7.797478675842285,-6.938783168792725,-8.014668464660645,-6.938783168792725,-8.686113357543945,-7.5101776123046875
142,-7.745390892028809,-6.927529811859131,-8.01784896850586,-6.927529811859131,-8.535496711730957,-7.491940975189209
143,-7.863123416900635,-6.613380432128906,-8.343777656555176,-6.613380432128906,-9.203669548034668,-7.640791416168213
144,-7.7140021324157715,-5.639232635498047,-8.2919282913208,-5.639232635498047,-8.864737510681152,-7.5055108070373535
145,-7.600159645080566,-6.908888339996338,-7.897411346435547,-6.908888339996338,-8.862907409667969,-7.1174774169921875
146,-8.175561904907227,-7.418030261993408,-7.641073703765869,-7.418030261993408,-8.605652809143066,-7.5101776123046875
147,-8.154908180236816,-7.470426559448242,-7.606853485107422,-7.470426559448242,-8.764753341674805,-7.491940975189209
148,-8.201627731323242,-7.323444366455078,-7.930985927581787,-7.323444366455078,-9.3606538772583,-7.640791416168213
149,-8.028470993041992,-6.291289806365967,-7.533660411834717,-6.291289806365967,-8.444046020507812,-7.5055108070373535
150,-7.9712982177734375,-7.385142803192139,-7.527884006500244,-7.385142803192139,-7.834390640258789,-7.1174774169921875
151,-7.669784069061279,-6.322832107543945,-10.437676429748535,-6.322832107543945,-7.274674892425537,-10.784228324890137
152,-7.5670390129089355,-5.98930549621582,-10.54267406463623,-5.98930549621582,-7.262784957885742,-11.047889709472656
153,-8.201753616333008,-6.250982761383057,-11.154123306274414,-6.250982761383057,-7.863925933837891,-11.37320327758789
154,-8.097780227661133,-5.4730448722839355,-11.019952774047852,-5.4730448722839355,-7.62695837020874,-11.049266815185547
155,-7.869376182556152,-6.120774745941162,-10.534595489501953,-6.120774745941162,-8.144978523254395,-10.460285186767578
156,-8.01612663269043,-7.110538959503174,-11.106144905090332,-7.110538959503174,-8.686113357543945,-10.784228324890137
157,-7.986413478851318,-6.588140964508057,-11.21406364440918,-6.588140964508057,-8.535496711730957,-11.047889709472656
158,-8.497547149658203,-6.676644802093506,-11.816413879394531,-6.676644802093506,-9.203669548034668,-11.37320327758789
159,-8.378724098205566,-5.954151153564453,-11.448354721069336,-5.954151153564453,-8.864737510681152,-11.049266815185547
160,-8.165000915527344,-6.878452777862549,-10.539774894714355,-6.878452777862549,-8.862907409667969,-10.460285186767578
161,-9.60237979888916,-9.566315650939941,-11.42468547821045,-9.566315650939941,-8.605652809143066,-10.784228324890137
162,-9.870706558227539,-9.109841346740723,-11.663037300109863,-9.109841346740723,-8.764753341674805,-11.047889709472656
163,-10.332130432128906,-9.345702171325684,-12.184060096740723,-9.345702171325684,-9.3606538772583,-11.37320327758789
164,-9.972023010253906,-8.210358619689941,-11.530097007751465,-8.210358619689941,-8.444046020507812,-11.049266815185547
165,-9.508888244628906,-9.059197425842285,-11.093990325927734,-9.059197425842285,-7.834390640258789,-10.460285186767578
166,-7.787944793701172,-5.755911350250244,-9.885438919067383,-5.755911350250244,-7.274674892425537,-10.250988006591797
167,-7.701534271240234,-5.772153377532959,-10.13308048248291,-5.772153377532959,-7.262784957885742,-10.36774730682373
168,-8.460201263427734,-5.804492950439453,-10.540393829345703,-5.804492950439453,-7.863925933837891,-10.714850425720215
169,-8.209646224975586,-4.966342926025391,-10.352683067321777,-4.966342926025391,-7.62695837020874,-10.234023094177246
170,-8.191665649414062,-5.90539026260376,-9.964522361755371,-5.90539026260376,-8.144978523254395,-9.483393669128418
171,-8.20362663269043,-7.019860744476318,-10.692642211914062,-7.019860744476318,-8.686113357543945,-10.250988006591797
172,-8.201862335205078,-6.859498500823975,-10.846364974975586,-6.859498500823975,-8.535496711730957,-10.36774730682373
173,-8.651137351989746,-6.61842155456543,-11.224876403808594,-6.61842155456543,-9.203669548034668,-10.714850425720215
174,-8.492234230041504,-5.684535503387451,-10.888288497924805,-5.684535503387451,-8.864737510681152,-10.234023094177246
175,-8.68958854675293,-6.941408634185791,-10.123700141906738,-6.941408634185791,-8.862907409667969,-9.483393669128418
176,-9.407811164855957,-8.447898864746094,-11.152076721191406,-8.447898864746094,-8.605652809143066,-10.250988006591797
177,-9.67119312286377,-8.28796672821045,-11.364571571350098,-8.28796672821045,-8.764753341674805,-10.36774730682373
178,-10.073015213012695,-8.377297401428223,-11.750805854797363,-8.377297401428223,-9.3606538772583,-10.714850425720215
179,-9.81929874420166,-7.148932933807373,-11.01690673828125,-7.148932933807373,-8.444046020507812,-10.234023094177246
180,-9.068862915039062,-8.144403457641602,-10.64476490020752,-8.144403457641602,-7.834390640258789,-9.483393669128418
181,-7.571897983551025,-6.052643775939941,-9.011884689331055,-6.052643775939941,-7.274674892425537,-8.506030082702637
182,-7.715461730957031,-6.312141418457031,-9.136468887329102,-6.312141418457031,-7.262784957885742,-8.648173332214355
183,-7.925233364105225,-6.287789344787598,-9.584349632263184,-6.287789344787598,-7.863925933837891,-8.872137069702148
184,-7.974366664886475,-5.956905841827393,-9.573785781860352,-5.956905841827393,-7.62695837020874,-8.952054023742676
185,-8.296079635620117,-7.0136003494262695,-9.205873489379883,-7.0136003494262695,-8.144978523254395,-8.970197677612305
