idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.5512871742248535,-6.925914764404297,-8.075723648071289,-6.925914764404297,-7.420257568359375,-8.13460636138916
2,-6.9231858253479,-6.241874694824219,-7.887748718261719,-6.241874694824219,-6.930899143218994,-7.719560146331787
3,-7.1059370040893555,-6.182709693908691,-8.244046211242676,-6.182709693908691,-7.483831882476807,-7.846818923950195
4,-6.984121799468994,-5.066823959350586,-8.210619926452637,-5.066823959350586,-7.377909183502197,-7.69736909866333
5,-7.556169033050537,-6.359580039978027,-8.093600273132324,-6.359580039978027,-7.829751968383789,-7.813100814819336
6,-7.697848320007324,-7.4008636474609375,-8.151863098144531,-7.4008636474609375,-7.7536773681640625,-8.13460636138916
7,-7.152574062347412,-6.657064437866211,-8.024152755737305,-6.657064437866211,-7.418466091156006,-7.719560146331787
8,-7.31790828704834,-6.617274284362793,-8.343412399291992,-6.617274284362793,-7.98283052444458,-7.846818923950195
9,-7.030301094055176,-5.4425554275512695,-8.381975173950195,-5.4425554275512695,-7.873432159423828,-7.69736909866333
10,-7.905052185058594,-6.797399520874023,-8.330158233642578,-6.797399520874023,-8.557635307312012,-7.813100814819336
11,-8.175037384033203,-8.082878112792969,-8.109875679016113,-8.082878112792969,-7.937330722808838,-8.13460636138916
12,-7.713043212890625,-7.5705766677856445,-7.933929443359375,-7.5705766677856445,-7.69171142578125,-7.719560146331787
13,-7.9243597984313965,-7.568630218505859,-8.15271282196045,-7.568630218505859,-8.107955932617188,-7.846818923950195
14,-7.416251182556152,-6.168951034545898,-7.8324995040893555,-6.168951034545898,-7.444583892822266,-7.69736909866333
15,-8.126866340637207,-7.394319534301758,-8.396687507629395,-7.394319534301758,-8.486224174499512,-7.813100814819336
16,-9.787518501281738,-7.977896213531494,-10.340526580810547,-7.977896213531494,-7.420257568359375,-11.143653869628906
17,-9.23837661743164,-7.921712875366211,-10.078365325927734,-7.921712875366211,-6.930899143218994,-10.766047477722168
18,-9.491640090942383,-7.796040058135986,-10.539360046386719,-7.796040058135986,-7.483831882476807,-11.017851829528809
19,-9.444701194763184,-6.679903507232666,-10.541681289672852,-6.679903507232666,-7.377909183502197,-10.370551109313965
20,-9.982172012329102,-8.025500297546387,-10.60517406463623,-8.025500297546387,-7.829751968383789,-10.474459648132324
21,-10.141352653503418,-8.357468605041504,-10.648820877075195,-8.357468605041504,-7.7536773681640625,-11.143653869628906
22,-9.641820907592773,-8.474778175354004,-10.749418258666992,-8.474778175354004,-7.418466091156006,-10.766047477722168
23,-9.902385711669922,-8.378045082092285,-11.119940757751465,-8.378045082092285,-7.98283052444458,-11.017851829528809
24,-9.902885437011719,-7.1326775550842285,-11.199317932128906,-7.1326775550842285,-7.873432159423828,-10.370551109313965
25,-10.343864440917969,-8.324774742126465,-10.943904876708984,-8.324774742126465,-8.557635307312012,-10.474459648132324
26,-10.324525833129883,-8.660755157470703,-11.110700607299805,-8.660755157470703,-7.937330722808838,-11.143653869628906
27,-9.794641494750977,-8.566576957702637,-11.014028549194336,-8.566576957702637,-7.69171142578125,-10.766047477722168
28,-10.01892375946045,-8.58379077911377,-11.290440559387207,-8.58379077911377,-8.107955932617188,-11.017851829528809
29,-9.654146194458008,-7.117848873138428,-10.94738483428955,-7.117848873138428,-7.444583892822266,-10.370551109313965
30,-10.148921966552734,-8.394816398620605,-11.665846824645996,-8.394816398620605,-8.486224174499512,-10.474459648132324
31,-9.952878952026367,-8.515015602111816,-9.436261177062988,-8.515015602111816,-7.420257568359375,-10.864472389221191
32,-9.588520050048828,-7.8965983390808105,-9.143671989440918,-7.8965983390808105,-6.930899143218994,-10.473834991455078
33,-9.596343994140625,-7.830637454986572,-9.545427322387695,-7.830637454986572,-7.483831882476807,-10.569238662719727
34,-9.309515953063965,-6.2351202964782715,-9.408123016357422,-6.2351202964782715,-7.377909183502197,-9.803970336914062
35,-10.144923210144043,-8.416707038879395,-9.372398376464844,-8.416707038879395,-7.829751968383789,-11.224461555480957
36,-10.170888900756836,-8.949629783630371,-9.66502857208252,-8.949629783630371,-7.7536773681640625,-10.864472389221191
37,-9.832242012023926,-8.442461967468262,-9.629857063293457,-8.442461967468262,-7.418466091156006,-10.473834991455078
38,-9.784221649169922,-8.40534496307373,-9.933537483215332,-8.40534496307373,-7.98283052444458,-10.569238662719727
39,-9.342399597167969,-6.678345203399658,-9.930356979370117,-6.678345203399658,-7.873432159423828,-9.803970336914062
40,-10.31946849822998,-9.018597602844238,-9.717962265014648,-9.018597602844238,-8.557635307312012,-11.224461555480957
41,-10.297996520996094,-9.155069351196289,-9.799177169799805,-9.155069351196289,-7.937330722808838,-10.864472389221191
42,-9.944958686828613,-8.49992847442627,-9.592591285705566,-8.49992847442627,-7.69171142578125,-10.473834991455078
43,-9.969047546386719,-8.679215431213379,-9.953553199768066,-8.679215431213379,-8.107955932617188,-10.569238662719727
44,-9.356149673461914,-6.8939080238342285,-9.422499656677246,-6.8939080238342285,-7.444583892822266,-9.803970336914062
45,-10.4222993850708,-8.891143798828125,-10.643752098083496,-8.891143798828125,-8.486224174499512,-11.224461555480957
46,-8.519762992858887,-7.150446891784668,-8.877469062805176,-7.150446891784668,-7.420257568359375,-10.810683250427246
47,-8.037213325500488,-6.5118865966796875,-8.619107246398926,-6.5118865966796875,-6.930899143218994,-10.410991668701172
48,-8.012621879577637,-6.199063301086426,-9.011224746704102,-6.199063301086426,-7.483831882476807,-10.517663955688477
49,-8.056039810180664,-5.534992218017578,-8.84084701538086,-5.534992218017578,-7.377909183502197,-10.122279167175293
50,-8.226629257202148,-7.343504428863525,-9.458041191101074,-7.343504428863525,-7.829751968383789,-10.326335906982422
51,-8.88581371307373,-7.597294330596924,-9.292380332946777,-7.597294330596924,-7.7536773681640625,-10.810683250427246
52,-8.327237129211426,-6.819955825805664,-9.121969223022461,-6.819955825805664,-7.418466091156006,-10.410991668701172
53,-8.246328353881836,-6.5126800537109375,-9.385497093200684,-6.5126800537109375,-7.98283052444458,-10.517663955688477
54,-8.262019157409668,-5.8780035972595215,-9.449460983276367,-5.8780035972595215,-7.873432159423828,-10.122279167175293
55,-8.634838104248047,-7.634161949157715,-9.667211532592773,-7.634161949157715,-8.557635307312012,-10.326335906982422
56,-9.434514999389648,-8.152414321899414,-9.447931289672852,-8.152414321899414,-7.937330722808838,-10.810683250427246
57,-8.776174545288086,-7.369319915771484,-9.106133460998535,-7.369319915771484,-7.69171142578125,-10.410991668701172
58,-8.74814224243164,-7.153124809265137,-9.592602729797363,-7.153124809265137,-8.107955932617188,-10.517663955688477
59,-8.494329452514648,-6.318447589874268,-9.281293869018555,-6.318447589874268,-7.444583892822266,-10.122279167175293
