idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-6.598008632659912,-6.899963855743408,-7.619528293609619,-6.899963855743408,-6.948050022125244,-8.218255996704102
2,-6.062995433807373,-6.566740036010742,-7.081217288970947,-6.566740036010742,-6.145205020904541,-7.891548156738281
3,-6.276885032653809,-6.618403911590576,-7.157362937927246,-6.618403911590576,-5.920682907104492,-7.8318657875061035
4,-6.142386436462402,-5.740488529205322,-7.1737823486328125,-5.740488529205322,-5.993330478668213,-7.64743185043335
5,-6.796886444091797,-7.124153137207031,-7.0989580154418945,-7.124153137207031,-6.470815181732178,-7.2205634117126465
6,-6.649199485778809,-6.936496734619141,-7.350779056549072,-6.936496734619141,-7.243964672088623,-8.218255996704102
7,-6.161860466003418,-6.76243782043457,-6.8518877029418945,-6.76243782043457,-6.666263103485107,-7.891548156738281
8,-6.4361772537231445,-6.753945350646973,-6.960444450378418,-6.753945350646973,-6.418874740600586,-7.8318657875061035
9,-6.26580810546875,-5.855772495269775,-6.875933647155762,-5.855772495269775,-6.296438694000244,-7.64743185043335
10,-6.83593225479126,-7.128583908081055,-7.188979148864746,-7.128583908081055,-6.538355350494385,-7.2205634117126465
11,-6.844548225402832,-7.199339866638184,-7.257489204406738,-7.199339866638184,-6.855220794677734,-8.218255996704102
12,-6.551670074462891,-7.359201431274414,-7.144275665283203,-7.359201431274414,-6.6591410636901855,-7.891548156738281
13,-6.745234489440918,-7.222273826599121,-7.20623779296875,-7.222273826599121,-6.467153072357178,-7.8318657875061035
14,-6.525881290435791,-6.225231647491455,-6.900656223297119,-6.225231647491455,-5.8944478034973145,-7.64743185043335
15,-7.048603057861328,-7.248075485229492,-7.212838172912598,-7.248075485229492,-6.707032680511475,-7.2205634117126465
16,-7.34269905090332,-7.07033109664917,-10.40255355834961,-7.07033109664917,-6.948050022125244,-10.62693977355957
17,-7.047125339508057,-7.281925201416016,-9.915800094604492,-7.281925201416016,-6.145205020904541,-10.029640197753906
18,-7.106535911560059,-7.0971832275390625,-9.647722244262695,-7.0971832275390625,-5.920682907104492,-9.89064884185791
19,-6.78712797164917,-6.093086242675781,-9.83753490447998,-6.093086242675781,-5.993330478668213,-9.61074161529541
20,-7.447657108306885,-7.687033176422119,-9.691079139709473,-7.687033176422119,-6.470815181732178,-9.499268531799316
21,-7.560015678405762,-7.676854610443115,-10.057551383972168,-7.676854610443115,-7.243964672088623,-10.62693977355957
22,-7.3543572425842285,-8.082659721374512,-9.770572662353516,-8.082659721374512,-6.666263103485107,-10.029640197753906
23,-7.458665370941162,-7.814260005950928,-9.626187324523926,-7.814260005950928,-6.418874740600586,-9.89064884185791
24,-7.139086723327637,-6.69554328918457,-9.683638572692871,-6.69554328918457,-6.296438694000244,-9.61074161529541
25,-7.6758270263671875,-8.244292259216309,-9.856021881103516,-8.244292259216309,-6.538355350494385,-9.499268531799316
26,-8.143363952636719,-8.492623329162598,-10.246593475341797,-8.492623329162598,-6.855220794677734,-10.62693977355957
27,-7.959338665008545,-9.304734230041504,-10.206564903259277,-9.304734230041504,-6.6591410636901855,-10.029640197753906
28,-8.100973129272461,-9.149739265441895,-10.124722480773926,-9.149739265441895,-6.467153072357178,-9.89064884185791
29,-7.870725154876709,-7.677791595458984,-9.671531677246094,-7.677791595458984,-5.8944478034973145,-9.61074161529541
30,-8.213356018066406,-8.804413795471191,-9.847040176391602,-8.804413795471191,-6.707032680511475,-9.499268531799316
31,-8.0491943359375,-8.28940486907959,-10.050148010253906,-8.28940486907959,-6.948050022125244,-10.533713340759277
32,-7.532827377319336,-8.134057998657227,-9.369292259216309,-8.134057998657227,-6.145205020904541,-10.234143257141113
33,-7.727452278137207,-7.856884002685547,-9.327033996582031,-7.856884002685547,-5.920682907104492,-10.14655876159668
34,-7.233131408691406,-6.536060333251953,-9.430641174316406,-6.536060333251953,-5.993330478668213,-9.547699928283691
35,-7.963458061218262,-9.318633079528809,-9.437881469726562,-9.318633079528809,-6.470815181732178,-10.077467918395996
36,-8.246573448181152,-8.591742515563965,-9.875040054321289,-8.591742515563965,-7.243964672088623,-10.533713340759277
37,-7.827993869781494,-8.610919952392578,-9.318559646606445,-8.610919952392578,-6.666263103485107,-10.234143257141113
38,-8.016766548156738,-8.303962707519531,-9.347399711608887,-8.303962707519531,-6.418874740600586,-10.14655876159668
39,-7.508020401000977,-6.845930099487305,-9.281997680664062,-6.845930099487305,-6.296438694000244,-9.547699928283691
40,-8.217256546020508,-9.613360404968262,-9.481083869934082,-9.613360404968262,-6.538355350494385,-10.077467918395996
41,-8.839927673339844,-9.311649322509766,-9.927928924560547,-9.311649322509766,-6.855220794677734,-10.533713340759277
42,-8.662347793579102,-9.800743103027344,-9.838390350341797,-9.800743103027344,-6.6591410636901855,-10.234143257141113
43,-8.790023803710938,-9.49899959564209,-9.861151695251465,-9.49899959564209,-6.467153072357178,-10.14655876159668
44,-8.26414680480957,-7.828660488128662,-9.373851776123047,-7.828660488128662,-5.8944478034973145,-9.547699928283691
45,-8.815162658691406,-10.1478910446167,-9.690893173217773,-10.1478910446167,-6.707032680511475,-10.077467918395996
46,-6.453448295593262,-6.5170698165893555,-8.263202667236328,-6.5170698165893555,-6.948050022125244,-9.261850357055664
47,-5.863162994384766,-6.096552848815918,-7.688239097595215,-6.096552848815918,-6.145205020904541,-8.393278121948242
48,-6.116267204284668,-6.296744346618652,-7.718422889709473,-6.296744346618652,-5.920682907104492,-8.300161361694336
49,-6.262413024902344,-5.598557472229004,-7.746827125549316,-5.598557472229004,-5.993330478668213,-8.7552490234375
50,-6.750506401062012,-7.302640914916992,-7.8977952003479,-7.302640914916992,-6.470815181732178,-8.347908973693848
51,-6.571124076843262,-6.784796714782715,-8.21776294708252,-6.784796714782715,-7.243964672088623,-9.261850357055664
52,-6.054838180541992,-6.382885932922363,-7.7042341232299805,-6.382885932922363,-6.666263103485107,-8.393278121948242
53,-6.295203685760498,-6.553802490234375,-7.800825595855713,-6.553802490234375,-6.418874740600586,-8.300161361694336
54,-6.397218704223633,-5.88908576965332,-7.772730827331543,-5.88908576965332,-6.296438694000244,-8.7552490234375
55,-7.181679725646973,-7.531877517700195,-7.837933540344238,-7.531877517700195,-6.538355350494385,-8.347908973693848
56,-7.038485527038574,-7.245218276977539,-7.980895042419434,-7.245218276977539,-6.855220794677734,-9.261850357055664
57,-6.546080112457275,-7.178723335266113,-7.7480926513671875,-7.178723335266113,-6.6591410636901855,-8.393278121948242
58,-6.7709455490112305,-7.062311172485352,-7.778849124908447,-7.062311172485352,-6.467153072357178,-8.300161361694336
59,-6.702869415283203,-6.244619846343994,-7.586037635803223,-6.244619846343994,-5.8944478034973145,-8.7552490234375
60,-7.36920690536499,-7.900510787963867,-8.097356796264648,-7.900510787963867,-6.707032680511475,-8.347908973693848
61,-9.274178504943848,-9.496594429016113,-10.261832237243652,-9.496594429016113,-6.948050022125244,-10.606964111328125
62,-8.683477401733398,-9.297593116760254,-9.670495986938477,-9.297593116760254,-6.145205020904541,-10.193724632263184
63,-8.719669342041016,-9.020469665527344,-9.501797676086426,-9.020469665527344,-5.920682907104492,-10.03256893157959
64,-8.730412483215332,-8.04508113861084,-9.708724975585938,-8.04508113861084,-5.993330478668213,-9.708223342895508
65,-9.407609939575195,-10.279850959777832,-9.55572509765625,-10.279850959777832,-6.470815181732178,-10.0862398147583
66,-9.475107192993164,-9.957993507385254,-10.103785514831543,-9.957993507385254,-7.243964672088623,-10.606964111328125
67,-9.012310981750488,-9.786105155944824,-9.668184280395508,-9.786105155944824,-6.666263103485107,-10.193724632263184
68,-9.079618453979492,-9.466663360595703,-9.553328514099121,-9.466663360595703,-6.418874740600586,-10.03256893157959
69,-9.177438735961914,-8.49485969543457,-9.546783447265625,-8.49485969543457,-6.296438694000244,-9.708223342895508
70,-9.776985168457031,-10.507709503173828,-9.577676773071289,-10.507709503173828,-6.538355350494385,-10.0862398147583
71,-9.844599723815918,-10.642800331115723,-9.828850746154785,-10.642800331115723,-6.855220794677734,-10.606964111328125
72,-9.515621185302734,-10.809050559997559,-9.748491287231445,-10.809050559997559,-6.6591410636901855,-10.193724632263184
73,-9.594379425048828,-10.6983060836792,-9.695878982543945,-10.6983060836792,-6.467153072357178,-10.03256893157959
74,-9.514927864074707,-9.478423118591309,-9.27764892578125,-9.478423118591309,-5.8944478034973145,-9.708223342895508
75,-10.07414436340332,-11.1780424118042,-9.656986236572266,-11.1780424118042,-6.707032680511475,-10.0862398147583
76,-7.26804256439209,-6.890585899353027,-8.027383804321289,-6.890585899353027,-6.948050022125244,-8.863768577575684
77,-6.73843240737915,-6.6584248542785645,-7.6127028465271,-6.6584248542785645,-6.145205020904541,-8.203936576843262
78,-6.523354530334473,-6.182364463806152,-7.536501884460449,-6.182364463806152,-5.920682907104492,-8.035271644592285
79,-6.609768867492676,-5.888663291931152,-7.627549648284912,-5.888663291931152,-5.993330478668213,-7.720208168029785
80,-7.382851600646973,-7.479584693908691,-7.469821929931641,-7.479584693908691,-6.470815181732178,-7.734376907348633
81,-7.587294101715088,-7.169623374938965,-8.108842849731445,-7.169623374938965,-7.243964672088623,-8.863768577575684
82,-7.036782741546631,-6.9780120849609375,-7.890934944152832,-6.9780120849609375,-6.666263103485107,-8.203936576843262
