idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.208165168762207,-6.394877910614014,-7.7575225830078125,-6.394877910614014,-7.101041316986084,-8.101536750793457
2,-8.310506820678711,-6.425262451171875,-8.266189575195312,-6.425262451171875,-8.071887016296387,-8.172971725463867
3,-8.21977424621582,-6.043723106384277,-8.443514823913574,-6.043723106384277,-8.064234733581543,-7.9959917068481445
4,-8.28361701965332,-5.394404411315918,-8.217124938964844,-5.394404411315918,-7.667588710784912,-8.06178092956543
5,-7.961641788482666,-6.638581275939941,-8.064242362976074,-6.638581275939941,-7.879247665405273,-7.616494655609131
6,-8.537736892700195,-6.778626441955566,-7.717857360839844,-6.778626441955566,-7.730724811553955,-8.101536750793457
7,-8.624895095825195,-6.812182426452637,-8.105093002319336,-6.812182426452637,-8.667434692382812,-8.172971725463867
8,-8.546266555786133,-6.322309970855713,-8.370210647583008,-6.322309970855713,-8.732926368713379,-7.9959917068481445
9,-8.625883102416992,-5.640827178955078,-8.137603759765625,-5.640827178955078,-8.394593238830566,-8.06178092956543
10,-8.149828910827637,-6.964975357055664,-8.183789253234863,-6.964975357055664,-8.430310249328613,-7.616494655609131
11,-9.446653366088867,-7.910948753356934,-7.835938930511475,-7.910948753356934,-8.200263977050781,-8.101536750793457
12,-9.516365051269531,-7.91408634185791,-7.850019931793213,-7.91408634185791,-8.501858711242676,-8.172971725463867
13,-9.42146110534668,-7.75690221786499,-7.925504207611084,-7.75690221786499,-8.448119163513184,-7.9959917068481445
14,-9.45117473602295,-6.849891662597656,-7.602719306945801,-6.849891662597656,-7.6811394691467285,-8.06178092956543
15,-8.968210220336914,-8.067668914794922,-7.093680381774902,-8.067668914794922,-7.364614963531494,-7.616494655609131
16,-8.99055290222168,-6.935264587402344,-10.693124771118164,-6.935264587402344,-7.101041316986084,-11.057827949523926
17,-9.645466804504395,-7.212160587310791,-11.310214042663574,-7.212160587310791,-8.071887016296387,-11.565178871154785
18,-9.62306022644043,-7.254192352294922,-11.384700775146484,-7.254192352294922,-8.064234733581543,-11.03322696685791
19,-9.526713371276855,-6.539518356323242,-11.152108192443848,-6.539518356323242,-7.667588710784912,-10.736058235168457
20,-9.692614555358887,-7.500162601470947,-10.969184875488281,-7.500162601470947,-7.879247665405273,-9.979479789733887
21,-9.365690231323242,-7.360230922698975,-10.794316291809082,-7.360230922698975,-7.730724811553955,-11.057827949523926
22,-9.971805572509766,-7.742112636566162,-11.261695861816406,-7.742112636566162,-8.667434692382812,-11.565178871154785
23,-9.974416732788086,-7.799699306488037,-11.421248435974121,-7.799699306488037,-8.732926368713379,-11.03322696685791
24,-9.845053672790527,-6.934483051300049,-11.24754524230957,-6.934483051300049,-8.394593238830566,-10.736058235168457
25,-9.885251998901367,-7.904679775238037,-11.024091720581055,-7.904679775238037,-8.430310249328613,-9.979479789733887
26,-10.34354019165039,-8.71915054321289,-11.191020965576172,-8.71915054321289,-8.200263977050781,-11.057827949523926
27,-10.660783767700195,-9.10306453704834,-11.318305015563965,-9.10306453704834,-8.501858711242676,-11.565178871154785
28,-10.598224639892578,-9.297752380371094,-11.327156066894531,-9.297752380371094,-8.448119163513184,-11.03322696685791
29,-10.334402084350586,-8.021636962890625,-10.732455253601074,-8.021636962890625,-7.6811394691467285,-10.736058235168457
30,-10.348031997680664,-9.059094429016113,-10.400598526000977,-9.059094429016113,-7.364614963531494,-9.979479789733887
31,-9.622052192687988,-7.131524562835693,-10.422372817993164,-7.131524562835693,-7.101041316986084,-11.212237358093262
32,-10.15902328491211,-7.567361831665039,-11.031396865844727,-7.567361831665039,-8.071887016296387,-11.414448738098145
33,-10.15859603881836,-7.2382965087890625,-11.120264053344727,-7.2382965087890625,-8.064234733581543,-11.276531219482422
34,-9.839326858520508,-6.50201940536499,-10.861270904541016,-6.50201940536499,-7.667588710784912,-10.990974426269531
35,-9.956872940063477,-8.373335838317871,-10.837085723876953,-8.373335838317871,-7.879247665405273,-10.486106872558594
36,-10.32680606842041,-8.036130905151367,-10.389923095703125,-8.036130905151367,-7.730724811553955,-11.212237358093262
