idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.199786186218262,-6.331868648529053,-8.024273872375488,-6.331868648529053,-7.394929885864258,-7.1956048011779785
2,-7.880908012390137,-6.248053550720215,-7.741159915924072,-6.248053550720215,-7.141613483428955,-6.9635090827941895
3,-8.12808609008789,-5.806543827056885,-7.878227233886719,-5.806543827056885,-7.0715651512146,-7.3339948654174805
4,-8.015040397644043,-5.5414814949035645,-7.96734619140625,-5.5414814949035645,-7.03000020980835,-7.360331058502197
5,-8.477903366088867,-6.770075798034668,-8.034638404846191,-6.770075798034668,-8.004325866699219,-7.442797660827637
6,-8.241842269897461,-6.507369041442871,-7.905359745025635,-6.507369041442871,-8.014111518859863,-7.1956048011779785
7,-7.907506465911865,-6.503791809082031,-7.6563873291015625,-6.503791809082031,-7.643838405609131,-6.9635090827941895
8,-8.179391860961914,-6.027787208557129,-7.717029571533203,-6.027787208557129,-7.521498203277588,-7.3339948654174805
9,-8.083711624145508,-5.704713821411133,-7.9568634033203125,-5.704713821411133,-7.698614597320557,-7.360331058502197
10,-8.427820205688477,-6.900465965270996,-7.9057416915893555,-6.900465965270996,-7.989696025848389,-7.442797660827637
11,-7.989132881164551,-6.550291061401367,-7.952183723449707,-6.550291061401367,-7.756934642791748,-7.1956048011779785
12,-7.797959804534912,-6.928537845611572,-7.714010715484619,-6.928537845611572,-7.700476169586182,-6.9635090827941895
13,-8.076642036437988,-6.570980072021484,-7.8873491287231445,-6.570980072021484,-7.760478973388672,-7.3339948654174805
14,-7.959539890289307,-5.960995197296143,-7.6294450759887695,-5.960995197296143,-7.323537349700928,-7.360331058502197
15,-8.072851181030273,-6.601024627685547,-7.480307102203369,-6.601024627685547,-7.1501851081848145,-7.442797660827637
16,-9.947900772094727,-7.793424129486084,-10.242396354675293,-7.793424129486084,-7.394929885864258,-10.174548149108887
17,-9.689798355102539,-7.461421489715576,-9.995332717895508,-7.461421489715576,-7.141613483428955,-10.236788749694824
18,-9.578044891357422,-7.461906909942627,-10.026958465576172,-7.461906909942627,-7.0715651512146,-10.195889472961426
19,-9.533979415893555,-7.011728763580322,-10.022218704223633,-7.011728763580322,-7.03000020980835,-9.989232063293457
20,-10.044401168823242,-8.579031944274902,-10.351188659667969,-8.579031944274902,-8.004325866699219,-10.535223007202148
21,-10.01529598236084,-8.27493953704834,-10.320794105529785,-8.27493953704834,-8.014111518859863,-10.174548149108887
22,-9.787860870361328,-8.025700569152832,-10.067936897277832,-8.025700569152832,-7.643838405609131,-10.236788749694824
23,-9.66184139251709,-7.960867404937744,-10.04603099822998,-7.960867404937744,-7.521498203277588,-10.195889472961426
24,-9.627986907958984,-7.284444332122803,-10.202265739440918,-7.284444332122803,-7.698614597320557,-9.989232063293457
25,-9.881885528564453,-8.94591999053955,-10.173666000366211,-8.94591999053955,-7.989696025848389,-10.535223007202148
26,-10.279382705688477,-8.6759672164917,-10.493694305419922,-8.6759672164917,-7.756934642791748,-10.174548149108887
27,-10.189868927001953,-8.857284545898438,-10.322030067443848,-8.857284545898438,-7.700476169586182,-10.236788749694824
28,-10.016993522644043,-8.740704536437988,-10.424513816833496,-8.740704536437988,-7.760478973388672,-10.195889472961426
29,-9.836305618286133,-7.541844844818115,-9.907330513000488,-7.541844844818115,-7.323537349700928,-9.989232063293457
