idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.033353805541992,-6.805225372314453,-9.431188583374023,-6.805225372314453,-7.958455562591553,-9.291173934936523
2,-7.812075614929199,-6.327305793762207,-9.536249160766602,-6.327305793762207,-8.241653442382812,-9.039688110351562
3,-8.255674362182617,-6.523179054260254,-9.90338134765625,-6.523179054260254,-8.409065246582031,-9.30498218536377
4,-7.830636024475098,-5.805899143218994,-9.450027465820312,-5.805899143218994,-7.847483158111572,-8.552963256835938
5,-8.161678314208984,-6.711280822753906,-9.455923080444336,-6.711280822753906,-8.126677513122559,-9.229379653930664
6,-8.280160903930664,-7.128465175628662,-9.08275032043457,-7.128465175628662,-8.398652076721191,-9.291173934936523
7,-8.137129783630371,-6.7064080238342285,-9.351921081542969,-6.7064080238342285,-9.173933029174805,-9.039688110351562
8,-8.54540729522705,-6.922440528869629,-9.732280731201172,-6.922440528869629,-9.415139198303223,-9.30498218536377
9,-7.995810508728027,-6.040225982666016,-9.294415473937988,-6.040225982666016,-8.828129768371582,-8.552963256835938
10,-8.314664840698242,-6.736116409301758,-9.087471961975098,-6.736116409301758,-8.49771499633789,-9.229379653930664
11,-8.531898498535156,-7.567119121551514,-8.894248962402344,-7.567119121551514,-8.874293327331543,-9.291173934936523
12,-8.577108383178711,-7.356074810028076,-9.2393159866333,-7.356074810028076,-9.502750396728516,-9.039688110351562
13,-8.798608779907227,-7.53507137298584,-9.443733215332031,-7.53507137298584,-9.734200477600098,-9.30498218536377
14,-8.431370735168457,-6.537035942077637,-8.565017700195312,-6.537035942077637,-8.532331466674805,-8.552963256835938
15,-8.850505828857422,-7.217744827270508,-8.797143936157227,-7.217744827270508,-8.527327537536621,-9.229379653930664
16,-9.759316444396973,-7.396605014801025,-10.265615463256836,-7.396605014801025,-7.958455562591553,-11.083160400390625
17,-9.765835762023926,-6.6570515632629395,-10.15141773223877,-6.6570515632629395,-8.241653442382812,-11.407398223876953
18,-10.127706527709961,-6.936398029327393,-10.68860912322998,-6.936398029327393,-8.409065246582031,-11.089435577392578
19,-9.581308364868164,-5.648061275482178,-10.425691604614258,-5.648061275482178,-7.847483158111572,-9.973187446594238
20,-9.960714340209961,-7.374914646148682,-9.930533409118652,-7.374914646148682,-8.126677513122559,-10.594941139221191
21,-10.332863807678223,-7.98310661315918,-10.04166030883789,-7.98310661315918,-8.398652076721191,-11.083160400390625
22,-10.392623901367188,-7.314062595367432,-10.225648880004883,-7.314062595367432,-9.173933029174805,-11.407398223876953
23,-10.711555480957031,-7.508106231689453,-10.66777229309082,-7.508106231689453,-9.415139198303223,-11.089435577392578
24,-10.162398338317871,-6.153407573699951,-10.152374267578125,-6.153407573699951,-8.828129768371582,-9.973187446594238
25,-10.401233673095703,-7.757801055908203,-9.717720031738281,-7.757801055908203,-8.49771499633789,-10.594941139221191
26,-10.907806396484375,-9.158534049987793,-9.672327041625977,-9.158534049987793,-8.874293327331543,-11.083160400390625
27,-10.939279556274414,-8.868976593017578,-10.118842124938965,-8.868976593017578,-9.502750396728516,-11.407398223876953
28,-11.10265064239502,-8.936734199523926,-10.370756149291992,-8.936734199523926,-9.734200477600098,-11.089435577392578
29,-10.44761848449707,-7.238168716430664,-9.402515411376953,-7.238168716430664,-8.532331466674805,-9.973187446594238
30,-11.040912628173828,-8.611430168151855,-9.490997314453125,-8.611430168151855,-8.527327537536621,-10.594941139221191
31,-10.03874397277832,-7.5916666984558105,-10.420726776123047,-7.5916666984558105,-7.958455562591553,-11.712437629699707
32,-9.919229507446289,-6.922049045562744,-10.419473648071289,-6.922049045562744,-8.241653442382812,-11.808483123779297
33,-10.210114479064941,-7.038808345794678,-10.757898330688477,-7.038808345794678,-8.409065246582031,-11.579297065734863
34,-9.50598430633545,-6.269491672515869,-10.544455528259277,-6.269491672515869,-7.847483158111572,-10.481325149536133
35,-9.931595802307129,-8.40625286102295,-10.527780532836914,-8.40625286102295,-8.126677513122559,-11.13976001739502
36,-10.211000442504883,-7.6412129402160645,-10.186262130737305,-7.6412129402160645,-8.398652076721191,-11.712437629699707
37,-10.173809051513672,-7.046178340911865,-10.443818092346191,-7.046178340911865,-9.173933029174805,-11.808483123779297
38,-10.480907440185547,-7.074510097503662,-10.787352561950684,-7.074510097503662,-9.415139198303223,-11.579297065734863
39,-9.791959762573242,-6.31774377822876,-10.381818771362305,-6.31774377822876,-8.828129768371582,-10.481325149536133
40,-10.010510444641113,-8.145731925964355,-10.368017196655273,-8.145731925964355,-8.49771499633789,-11.13976001739502
41,-10.479583740234375,-8.542410850524902,-10.33126449584961,-8.542410850524902,-8.874293327331543,-11.712437629699707
42,-10.429802894592285,-8.049361228942871,-10.66397762298584,-8.049361228942871,-9.502750396728516,-11.808483123779297
43,-10.572582244873047,-8.071064949035645,-10.926107406616211,-8.071064949035645,-9.734200477600098,-11.579297065734863
44,-9.831841468811035,-7.262973785400391,-9.930938720703125,-7.262973785400391,-8.532331466674805,-10.481325149536133
45,-10.663216590881348,-8.366344451904297,-10.164913177490234,-8.366344451904297,-8.527327537536621,-11.13976001739502
46,-7.495192050933838,-5.676036834716797,-8.858230590820312,-5.676036834716797,-7.958455562591553,-9.453347206115723
47,-6.841484069824219,-5.046955585479736,-8.91978645324707,-5.046955585479736,-8.241653442382812,-8.970510482788086
48,-7.4086012840271,-5.144335746765137,-9.245882034301758,-5.144335746765137,-8.409065246582031,-9.202786445617676
49,-6.979612827301025,-4.987909317016602,-8.91641616821289,-4.987909317016602,-7.847483158111572,-8.792610168457031
50,-7.966799736022949,-6.640151500701904,-8.795984268188477,-6.640151500701904,-8.126677513122559,-9.024588584899902
51,-7.646265506744385,-5.953771114349365,-8.896042823791504,-5.953771114349365,-8.398652076721191,-9.453347206115723
52,-7.0189361572265625,-5.291714668273926,-9.022406578063965,-5.291714668273926,-9.173933029174805,-8.970510482788086
53,-7.542487144470215,-5.300436019897461,-9.396772384643555,-5.300436019897461,-9.415139198303223,-9.202786445617676
54,-7.077803134918213,-5.0841965675354,-9.070253372192383,-5.0841965675354,-8.828129768371582,-8.792610168457031
55,-8.017128944396973,-6.670495986938477,-8.887568473815918,-6.670495986938477,-8.49771499633789,-9.024588584899902
56,-8.407196998596191,-6.523828983306885,-8.479043006896973,-6.523828983306885,-8.874293327331543,-9.453347206115723
57,-7.810884952545166,-6.11789608001709,-8.484188079833984,-6.11789608001709,-9.502750396728516,-8.970510482788086
58,-8.107328414916992,-5.90989875793457,-8.76456356048584,-5.90989875793457,-9.734200477600098,-9.202786445617676
59,-7.789202690124512,-5.584271430969238,-8.17155647277832,-5.584271430969238,-8.532331466674805,-8.792610168457031
60,-8.65255355834961,-7.027205944061279,-8.18814468383789,-7.027205944061279,-8.527327537536621,-9.024588584899902
61,-10.241610527038574,-9.314059257507324,-11.828314781188965,-9.314059257507324,-7.958455562591553,-13.096843719482422
62,-10.057723999023438,-8.714370727539062,-12.046619415283203,-8.714370727539062,-8.241653442382812,-12.79596996307373
63,-10.519430160522461,-8.757550239562988,-12.267013549804688,-8.757550239562988,-8.409065246582031,-12.938965797424316
64,-10.174112319946289,-7.589382648468018,-11.961214065551758,-7.589382648468018,-7.847483158111572,-12.27715015411377
65,-10.799296379089355,-9.790143013000488,-11.640395164489746,-9.790143013000488,-8.126677513122559,-12.487608909606934
66,-10.510557174682617,-9.717022895812988,-12.300427436828613,-9.717022895812988,-8.398652076721191,-13.096843719482422
67,-10.446542739868164,-9.238064765930176,-12.601312637329102,-9.238064765930176,-9.173933029174805,-12.79596996307373
68,-10.800045013427734,-9.22050952911377,-12.906458854675293,-9.22050952911377,-9.415139198303223,-12.938965797424316
69,-10.437505722045898,-7.789947986602783,-12.374895095825195,-7.789947986602783,-8.828129768371582,-12.27715015411377
70,-10.90981388092041,-9.885371208190918,-12.044001579284668,-9.885371208190918,-8.49771499633789,-12.487608909606934
71,-11.428346633911133,-11.059176445007324,-12.198692321777344,-11.059176445007324,-8.874293327331543,-13.096843719482422
72,-11.315204620361328,-10.595364570617676,-12.518162727355957,-10.595364570617676,-9.502750396728516,-12.79596996307373
73,-11.531255722045898,-10.707244873046875,-12.68256950378418,-10.707244873046875,-9.734200477600098,-12.938965797424316
74,-11.014034271240234,-9.5421781539917,-11.843463897705078,-9.5421781539917,-8.532331466674805,-12.27715015411377
75,-11.761527061462402,-10.679621696472168,-11.665051460266113,-10.679621696472168,-8.527327537536621,-12.487608909606934
76,-8.11011028289795,-5.626768112182617,-8.495868682861328,-5.626768112182617,-7.958455562591553,-8.21334171295166
77,-7.818703651428223,-5.456884860992432,-8.607184410095215,-5.456884860992432,-8.241653442382812,-7.736168384552002
78,-8.207403182983398,-5.103568077087402,-8.851853370666504,-5.103568077087402,-8.409065246582031,-8.257768630981445
79,-7.7049241065979,-4.916804790496826,-8.488913536071777,-4.916804790496826,-7.847483158111572,-7.6725006103515625
80,-8.337059020996094,-6.307826995849609,-8.3019437789917,-6.307826995849609,-8.126677513122559,-8.288232803344727
81,-8.530197143554688,-6.047599792480469,-8.310576438903809,-6.047599792480469,-8.398652076721191,-8.21334171295166
82,-8.236334800720215,-5.890683174133301,-8.556386947631836,-5.890683174133301,-9.173933029174805,-7.736168384552002
83,-8.547904968261719,-5.565205097198486,-8.825575828552246,-5.565205097198486,-9.415139198303223,-8.257768630981445
84,-8.008816719055176,-5.263169288635254,-8.423565864562988,-5.263169288635254,-8.828129768371582,-7.6725006103515625
85,-8.593520164489746,-6.5247931480407715,-8.181015014648438,-6.5247931480407715,-8.49771499633789,-8.288232803344727
86,-9.563395500183105,-7.469593048095703,-8.131048202514648,-7.469593048095703,-8.874293327331543,-8.21334171295166
87,-9.217639923095703,-7.4756879806518555,-8.33818531036377,-7.4756879806518555,-9.502750396728516,-7.736168384552002
88,-9.456324577331543,-7.056777000427246,-8.534292221069336,-7.056777000427246,-9.734200477600098,-8.257768630981445
89,-8.903196334838867,-6.523348331451416,-7.788252353668213,-6.523348331451416,-8.532331466674805,-7.6725006103515625
90,-9.649203300476074,-7.703783988952637,-8.053598403930664,-7.703783988952637,-8.527327537536621,-8.288232803344727
91,-9.850228309631348,-7.6264519691467285,-11.443711280822754,-7.6264519691467285,-7.958455562591553,-12.411381721496582
92,-9.903374671936035,-7.579805374145508,-11.202341079711914,-7.579805374145508,-8.241653442382812,-12.134493827819824
93,-10.247340202331543,-7.291131496429443,-11.78523063659668,-7.291131496429443,-8.409065246582031,-12.119270324707031
94,-9.842571258544922,-6.7832865715026855,-11.640132904052734,-6.7832865715026855,-7.847483158111572,-11.369174003601074
95,-9.344270706176758,-7.930806636810303,-10.846932411193848,-7.930806636810303,-8.126677513122559,-11.358360290527344
96,-9.630549430847168,-7.776527404785156,-11.265536308288574,-7.776527404785156,-8.398652076721191,-12.411381721496582
97,-9.65045166015625,-7.606203556060791,-11.49951171875,-7.606203556060791,-9.173933029174805,-12.134493827819824
98,-10.032252311706543,-7.357458591461182,-12.010645866394043,-7.357458591461182,-9.415139198303223,-12.119270324707031
99,-9.696012496948242,-6.770562648773193,-11.713455200195312,-6.770562648773193,-8.828129768371582,-11.369174003601074
100,-9.485309600830078,-7.635868072509766,-10.783853530883789,-7.635868072509766,-8.49771499633789,-11.358360290527344
101,-11.129862785339355,-9.585884094238281,-11.10637378692627,-9.585884094238281,-8.874293327331543,-12.411381721496582
102,-10.903909683227539,-10.017019271850586,-11.34287166595459,-10.017019271850586,-9.502750396728516,-12.134493827819824
103,-11.166173934936523,-9.699713706970215,-11.693822860717773,-9.699713706970215,-9.734200477600098,-12.119270324707031
104,-10.671213150024414,-8.776654243469238,-10.757211685180664,-8.776654243469238,-8.532331466674805,-11.369174003601074
105,-10.761564254760742,-9.334090232849121,-10.857895851135254,-9.334090232849121,-8.527327537536621,-11.358360290527344
106,-9.996633529663086,-7.672753810882568,-10.298935890197754,-7.672753810882568,-7.958455562591553,-10.918206214904785
107,-10.274949073791504,-7.746746063232422,-10.549516677856445,-7.746746063232422,-8.241653442382812,-11.274238586425781
108,-10.52939224243164,-7.566847324371338,-10.923484802246094,-7.566847324371338,-8.409065246582031,-10.955531120300293
109,-9.659189224243164,-6.207788944244385,-10.367798805236816,-6.207788944244385,-7.847483158111572,-9.601564407348633
110,-10.235960006713867,-8.191597938537598,-10.211432456970215,-8.191597938537598,-8.126677513122559,-10.649752616882324
111,-10.406673431396484,-7.957869052886963,-10.25322151184082,-7.957869052886963,-8.398652076721191,-10.918206214904785
112,-10.754284858703613,-7.950918674468994,-10.595770835876465,-7.950918674468994,-9.173933029174805,-11.274238586425781
113,-10.977848052978516,-7.8256964683532715,-10.960528373718262,-7.8256964683532715,-9.415139198303223,-10.955531120300293
114,-10.0474853515625,-6.338508129119873,-10.36634635925293,-6.338508129119873,-8.828129768371582,-9.601564407348633
115,-10.620745658874512,-8.24964427947998,-10.202005386352539,-8.24964427947998,-8.49771499633789,-10.649752616882324
116,-10.930952072143555,-9.20727825164795,-10.156623840332031,-9.20727825164795,-8.874293327331543,-10.918206214904785
