idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-9.025918960571289,-5.948486328125,-9.422826766967773,-5.948486328125,-8.502001762390137,-9.144031524658203
2,-8.709230422973633,-6.012333869934082,-8.920781135559082,-6.012333869934082,-8.072269439697266,-8.898789405822754
3,-8.947720527648926,-5.468082904815674,-9.277374267578125,-5.468082904815674,-8.29555892944336,-9.001836776733398
4,-8.97411823272705,-5.28913688659668,-9.169189453125,-5.28913688659668,-7.920154571533203,-8.947720527648926
5,-9.160309791564941,-6.399706840515137,-9.560454368591309,-6.399706840515137,-8.682904243469238,-8.415206909179688
6,-9.746391296386719,-6.8671088218688965,-9.297253608703613,-6.8671088218688965,-9.527155876159668,-9.144031524658203
7,-9.489526748657227,-6.964424133300781,-8.809308052062988,-6.964424133300781,-9.052460670471191,-8.898789405822754
8,-9.670072555541992,-6.351596355438232,-9.052789688110352,-6.351596355438232,-9.223912239074707,-9.001836776733398
9,-9.703760147094727,-6.121668815612793,-8.950597763061523,-6.121668815612793,-8.903507232666016,-8.947720527648926
10,-9.802738189697266,-7.211994171142578,-9.212750434875488,-7.211994171142578,-9.456671714782715,-8.415206909179688
11,-10.292202949523926,-7.625776290893555,-9.406502723693848,-7.625776290893555,-8.505970001220703,-9.144031524658203
12,-9.967196464538574,-7.6644062995910645,-8.876860618591309,-7.6644062995910645,-8.112558364868164,-8.898789405822754
13,-10.09446907043457,-7.266717910766602,-8.921930313110352,-7.266717910766602,-7.952966213226318,-9.001836776733398
14,-9.799354553222656,-6.7767839431762695,-8.868969917297363,-6.7767839431762695,-7.72912073135376,-8.947720527648926
15,-10.619881629943848,-7.987777233123779,-9.522435188293457,-7.987777233123779,-9.19062328338623,-8.415206909179688
16,-10.143710136413574,-7.360542297363281,-11.978461265563965,-7.360542297363281,-8.502001762390137,-12.188384056091309
17,-9.838699340820312,-6.99700403213501,-11.58976936340332,-6.99700403213501,-8.072269439697266,-12.176643371582031
18,-9.89736557006836,-6.817714214324951,-11.653517723083496,-6.817714214324951,-8.29555892944336,-12.096054077148438
19,-10.072484970092773,-6.212673187255859,-11.700308799743652,-6.212673187255859,-7.920154571533203,-11.92693042755127
20,-10.512176513671875,-7.381498336791992,-12.42825698852539,-7.381498336791992,-8.682904243469238,-11.965198516845703
21,-11.02078914642334,-8.661059379577637,-11.75306510925293,-8.661059379577637,-9.527155876159668,-12.188384056091309
22,-10.828235626220703,-8.29137134552002,-11.189208030700684,-8.29137134552002,-9.052460670471191,-12.176643371582031
23,-10.759295463562012,-8.165804862976074,-11.292600631713867,-8.165804862976074,-9.223912239074707,-12.096054077148438
24,-10.902002334594727,-7.2754225730896,-11.207891464233398,-7.2754225730896,-8.903507232666016,-11.92693042755127
25,-11.081244468688965,-8.67980670928955,-11.738229751586914,-8.67980670928955,-9.456671714782715,-11.965198516845703
26,-12.318337440490723,-10.718232154846191,-11.57186222076416,-10.718232154846191,-8.505970001220703,-12.188384056091309
27,-12.119913101196289,-10.201969146728516,-11.189350128173828,-10.201969146728516,-8.112558364868164,-12.176643371582031
28,-11.989459991455078,-10.083270072937012,-10.907389640808105,-10.083270072937012,-7.952966213226318,-12.096054077148438
29,-11.769479751586914,-8.460783958435059,-10.709393501281738,-8.460783958435059,-7.72912073135376,-11.92693042755127
30,-12.300792694091797,-10.722309112548828,-11.783998489379883,-10.722309112548828,-9.19062328338623,-11.965198516845703
31,-10.947456359863281,-8.877171516418457,-12.032535552978516,-8.877171516418457,-8.502001762390137,-11.646297454833984
32,-10.638107299804688,-8.2819185256958,-11.638845443725586,-8.2819185256958,-8.072269439697266,-11.749378204345703
33,-10.646333694458008,-7.970180034637451,-11.872140884399414,-7.970180034637451,-8.29555892944336,-11.614883422851562
34,-10.802765846252441,-7.440950870513916,-11.777214050292969,-7.440950870513916,-7.920154571533203,-11.366253852844238
35,-11.114265441894531,-8.870354652404785,-12.375683784484863,-8.870354652404785,-8.682904243469238,-10.841378211975098
36,-11.902575492858887,-10.280282020568848,-12.22643756866455,-10.280282020568848,-9.527155876159668,-11.646297454833984
37,-11.685956001281738,-9.641074180603027,-11.718881607055664,-9.641074180603027,-9.052460670471191,-11.749378204345703
38,-11.601554870605469,-9.2223482131958,-11.947381973266602,-9.2223482131958,-9.223912239074707,-11.614883422851562
39,-11.644451141357422,-8.369534492492676,-11.821052551269531,-8.369534492492676,-8.903507232666016,-11.366253852844238
40,-11.952083587646484,-10.309473991394043,-12.312837600708008,-10.309473991394043,-9.456671714782715,-10.841378211975098
41,-13.009958267211914,-11.530486106872559,-11.921613693237305,-11.530486106872559,-8.505970001220703,-11.646297454833984
