idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.823441982269287,-5.843838691711426,-9.01978874206543,-5.843838691711426,-8.753985404968262,-9.398818016052246
2,-8.514180183410645,-5.635427474975586,-8.964421272277832,-5.635427474975586,-9.24455738067627,-9.761898040771484
3,-8.2586088180542,-5.190767288208008,-8.931013107299805,-5.190767288208008,-8.643275260925293,-9.47264289855957
4,-8.513322830200195,-4.759833335876465,-9.07078742980957,-4.759833335876465,-8.797282218933105,-9.20776081085205
5,-8.717920303344727,-5.349876403808594,-8.972066879272461,-5.349876403808594,-9.018074989318848,-9.588077545166016
6,-8.045604705810547,-6.410489082336426,-8.837560653686523,-6.410489082336426,-8.99897289276123,-9.398818016052246
7,-8.550207138061523,-6.031313896179199,-8.729425430297852,-6.031313896179199,-9.453415870666504,-9.761898040771484
8,-8.537933349609375,-5.735339164733887,-8.878669738769531,-5.735339164733887,-9.333576202392578,-9.47264289855957
9,-8.828980445861816,-5.024206638336182,-8.880510330200195,-5.024206638336182,-9.353883743286133,-9.20776081085205
10,-8.97242546081543,-5.648859024047852,-8.764162063598633,-5.648859024047852,-9.571359634399414,-9.588077545166016
11,-8.6027193069458,-6.982295036315918,-9.238658905029297,-6.982295036315918,-8.876323699951172,-9.398818016052246
12,-9.263082504272461,-7.02353572845459,-8.773996353149414,-7.02353572845459,-8.766722679138184,-9.761898040771484
13,-9.019739151000977,-6.762714862823486,-8.887575149536133,-6.762714862823486,-8.80193042755127,-9.47264289855957
14,-9.167448043823242,-6.1844353675842285,-8.761951446533203,-6.1844353675842285,-8.568058967590332,-9.20776081085205
15,-9.105557441711426,-6.411883354187012,-9.265276908874512,-6.411883354187012,-8.758097648620605,-9.588077545166016
16,-9.945841789245605,-6.901515960693359,-12.240655899047852,-6.901515960693359,-8.753985404968262,-14.293682098388672
17,-11.084969520568848,-7.161983489990234,-12.462751388549805,-7.161983489990234,-9.24455738067627,-15.781436920166016
18,-10.683444023132324,-7.266591548919678,-12.211289405822754,-7.266591548919678,-8.643275260925293,-14.999336242675781
19,-10.945343017578125,-6.4071502685546875,-12.514592170715332,-6.4071502685546875,-8.797282218933105,-14.830302238464355
20,-11.65063190460205,-7.2580084800720215,-12.03714370727539,-7.2580084800720215,-9.018074989318848,-13.780678749084473
21,-10.586647033691406,-7.631124019622803,-12.392023086547852,-7.631124019622803,-8.99897289276123,-14.293682098388672
22,-11.650754928588867,-7.669124603271484,-12.4965238571167,-7.669124603271484,-9.453415870666504,-15.781436920166016
23,-11.394558906555176,-8.054378509521484,-12.629260063171387,-8.054378509521484,-9.333576202392578,-14.999336242675781
24,-11.471708297729492,-6.7912983894348145,-12.678656578063965,-6.7912983894348145,-9.353883743286133,-14.830302238464355
25,-12.027246475219727,-7.635831356048584,-12.219657897949219,-7.635831356048584,-9.571359634399414,-13.780678749084473
26,-10.764963150024414,-7.9909515380859375,-13.377427101135254,-7.9909515380859375,-8.876323699951172,-14.293682098388672
27,-11.8701810836792,-8.568744659423828,-13.036014556884766,-8.568744659423828,-8.766722679138184,-15.781436920166016
