idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.105104446411133,-6.516566753387451,-9.033413887023926,-6.516566753387451,-8.294745445251465,-8.663734436035156
2,-8.504899024963379,-5.9871368408203125,-9.657696723937988,-5.9871368408203125,-9.460977554321289,-8.692671775817871
3,-8.026908874511719,-5.6472883224487305,-9.444878578186035,-5.6472883224487305,-8.620701789855957,-8.446432113647461
4,-8.078679084777832,-5.521306991577148,-9.418112754821777,-5.521306991577148,-8.52161693572998,-8.332477569580078
5,-8.758356094360352,-6.206824779510498,-9.565595626831055,-6.206824779510498,-8.872600555419922,-7.469157695770264
6,-8.244178771972656,-6.7196044921875,-9.307792663574219,-6.7196044921875,-8.47455883026123,-8.663734436035156
7,-8.589975357055664,-6.197750091552734,-9.796610832214355,-6.197750091552734,-9.507163047790527,-8.692671775817871
8,-8.115991592407227,-5.911762237548828,-9.53327751159668,-5.911762237548828,-8.62595272064209,-8.446432113647461
9,-8.20802116394043,-5.547566890716553,-9.384483337402344,-5.547566890716553,-8.464006423950195,-8.332477569580078
10,-8.86423397064209,-6.4287004470825195,-9.561410903930664,-6.4287004470825195,-9.067032814025879,-7.469157695770264
11,-9.511873245239258,-7.781194686889648,-9.505804061889648,-7.781194686889648,-9.788025856018066,-8.663734436035156
12,-9.625350952148438,-7.474939346313477,-9.642288208007812,-7.474939346313477,-10.345480918884277,-8.692671775817871
13,-9.319992065429688,-7.228333473205566,-9.429025650024414,-7.228333473205566,-9.983444213867188,-8.446432113647461
14,-9.358604431152344,-6.768588542938232,-9.042194366455078,-6.768588542938232,-9.622573852539062,-8.332477569580078
15,-9.505355834960938,-7.501222610473633,-9.624445915222168,-7.501222610473633,-10.373485565185547,-7.469157695770264
16,-10.363927841186523,-7.980844974517822,-10.85460376739502,-7.980844974517822,-8.294745445251465,-11.103779792785645
17,-10.84714126586914,-7.3832573890686035,-11.519926071166992,-7.3832573890686035,-9.460977554321289,-11.391983032226562
18,-10.078102111816406,-7.263436794281006,-11.092009544372559,-7.263436794281006,-8.620701789855957,-10.707154273986816
19,-10.222005844116211,-6.657902240753174,-11.112071990966797,-6.657902240753174,-8.52161693572998,-10.84873104095459
20,-10.786775588989258,-8.062865257263184,-11.259815216064453,-8.062865257263184,-8.872600555419922,-9.694034576416016
