idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-7.849084377288818,-5.309037208557129,-8.820220947265625,-5.309037208557129,-8.850370407104492,-9.101354598999023
2,-7.444154262542725,-5.014289855957031,-8.525959014892578,-5.014289855957031,-8.61768913269043,-8.759088516235352
3,-7.7400054931640625,-5.340306282043457,-8.927934646606445,-5.340306282043457,-9.012749671936035,-8.804811477661133
4,-7.372103214263916,-4.889601707458496,-8.617907524108887,-4.889601707458496,-8.2562255859375,-8.365303039550781
5,-7.5219011306762695,-5.480672836303711,-8.88115119934082,-5.480672836303711,-8.698147773742676,-8.224748611450195
6,-8.152009963989258,-5.871670246124268,-8.888644218444824,-5.871670246124268,-9.283459663391113,-9.101354598999023
7,-7.801898002624512,-5.488211631774902,-8.6899995803833,-5.488211631774902,-8.921219825744629,-8.759088516235352
8,-8.031881332397461,-5.818734169006348,-9.070035934448242,-5.818734169006348,-9.304458618164062,-8.804811477661133
9,-7.583111763000488,-5.337947845458984,-8.631335258483887,-5.337947845458984,-8.475578308105469,-8.365303039550781
10,-7.7595062255859375,-5.978498458862305,-9.264083862304688,-5.978498458862305,-9.857100486755371,-8.224748611450195
11,-9.189874649047852,-7.1384124755859375,-8.737299919128418,-7.1384124755859375,-8.870749473571777,-9.101354598999023
12,-8.624504089355469,-6.924461364746094,-8.42657470703125,-6.924461364746094,-8.300637245178223,-8.759088516235352
13,-8.781911849975586,-7.380119323730469,-8.625446319580078,-7.380119323730469,-8.454401969909668,-8.804811477661133
14,-8.343343734741211,-6.839417457580566,-8.233600616455078,-6.839417457580566,-7.802917003631592,-8.365303039550781
15,-8.583977699279785,-7.313811302185059,-8.529888153076172,-7.313811302185059,-9.010475158691406,-8.224748611450195
16,-10.928451538085938,-7.135556697845459,-11.674154281616211,-7.135556697845459,-8.850370407104492,-13.406268119812012
17,-10.466069221496582,-7.324239253997803,-11.510112762451172,-7.324239253997803,-8.61768913269043,-13.455641746520996
18,-11.117652893066406,-7.642369747161865,-11.993335723876953,-7.642369747161865,-9.012749671936035,-13.68101978302002
19,-10.587932586669922,-7.001047134399414,-11.638941764831543,-7.001047134399414,-8.2562255859375,-12.710200309753418
20,-11.114285469055176,-7.463654041290283,-11.74621868133545,-7.463654041290283,-8.698147773742676,-12.639527320861816
21,-11.389429092407227,-7.952131748199463,-11.297075271606445,-7.952131748199463,-9.283459663391113,-13.406268119812012
22,-10.941936492919922,-8.055150985717773,-11.400538444519043,-8.055150985717773,-8.921219825744629,-13.455641746520996
23,-11.479856491088867,-8.399603843688965,-11.672429084777832,-8.399603843688965,-9.304458618164062,-13.68101978302002
24,-10.887397766113281,-7.425496578216553,-11.251007080078125,-7.425496578216553,-8.475578308105469,-12.710200309753418
25,-11.171100616455078,-8.06283950805664,-12.191415786743164,-8.06283950805664,-9.857100486755371,-12.639527320861816
26,-11.408085823059082,-8.713032722473145,-11.791253089904785,-8.713032722473145,-8.870749473571777,-13.406268119812012
27,-10.896207809448242,-8.83922290802002,-11.41473388671875,-8.83922290802002,-8.300637245178223,-13.455641746520996
28,-11.189994812011719,-9.256401062011719,-11.497097969055176,-9.256401062011719,-8.454401969909668,-13.68101978302002
29,-10.561336517333984,-8.103289604187012,-10.858280181884766,-8.103289604187012,-7.802917003631592,-12.710200309753418
30,-11.158397674560547,-8.50727367401123,-11.589847564697266,-8.50727367401123,-9.010475158691406,-12.639527320861816
31,-10.23135757446289,-6.914066314697266,-11.692909240722656,-6.914066314697266,-8.850370407104492,-12.78446102142334
32,-9.636469841003418,-6.450191497802734,-11.19976806640625,-6.450191497802734,-8.61768913269043,-12.320549011230469
