idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-4.786893367767334,-6.135234832763672,-8.000399589538574,-6.135234832763672,-7.321746349334717,-7.2062883377075195
2,-4.420872688293457,-5.700932502746582,-8.2875337600708,-5.700932502746582,-7.4518256187438965,-7.289275646209717
3,-4.346302032470703,-5.604461669921875,-8.013975143432617,-5.604461669921875,-7.033616542816162,-7.331207752227783
4,-4.2555413246154785,-5.114504814147949,-8.025540351867676,-5.114504814147949,-7.253286361694336,-6.845032691955566
5,-4.830925941467285,-6.275001525878906,-7.6310625076293945,-6.275001525878906,-6.466794490814209,-7.140520095825195
6,-4.811139106750488,-6.563412189483643,-7.909013271331787,-6.563412189483643,-7.5175299644470215,-7.2062883377075195
7,-4.586668491363525,-6.1774582862854,-8.070737838745117,-6.1774582862854,-7.568247318267822,-7.289275646209717
8,-4.4691877365112305,-6.109558582305908,-7.8408522605896,-6.109558582305908,-7.097337245941162,-7.331207752227783
9,-4.343544960021973,-5.525824546813965,-7.820364475250244,-5.525824546813965,-7.200664520263672,-6.845032691955566
10,-4.925362586975098,-6.6071248054504395,-7.465897560119629,-6.6071248054504395,-6.436153888702393,-7.140520095825195
11,-5.776236534118652,-7.60374116897583,-7.644012451171875,-7.60374116897583,-6.444590091705322,-7.2062883377075195
12,-5.771822929382324,-7.466518402099609,-8.058181762695312,-7.466518402099609,-6.918310642242432,-7.289275646209717
13,-5.630101680755615,-7.413938045501709,-7.789059638977051,-7.413938045501709,-6.459403991699219,-7.331207752227783
14,-5.291655540466309,-6.780484199523926,-7.271371364593506,-6.780484199523926,-5.533458709716797,-6.845032691955566
15,-5.9594292640686035,-7.66865348815918,-7.508580207824707,-7.66865348815918,-6.141925811767578,-7.140520095825195
16,-6.957790851593018,-7.633383274078369,-10.243404388427734,-7.633383274078369,-7.321746349334717,-9.246966361999512
17,-6.537714958190918,-7.688832759857178,-10.479068756103516,-7.688832759857178,-7.4518256187438965,-9.093761444091797
18,-6.1478590965271,-7.457317352294922,-10.225775718688965,-7.457317352294922,-7.033616542816162,-8.681575775146484
19,-5.901612758636475,-6.543787002563477,-10.03804874420166,-6.543787002563477,-7.253286361694336,-7.643577575683594
20,-6.428393840789795,-7.699260234832764,-9.395336151123047,-7.699260234832764,-6.466794490814209,-8.836490631103516
21,-7.383053302764893,-8.534065246582031,-10.078140258789062,-8.534065246582031,-7.5175299644470215,-9.246966361999512
22,-7.093852996826172,-8.589556694030762,-10.263612747192383,-8.589556694030762,-7.568247318267822,-9.093761444091797
23,-6.641164779663086,-8.335759162902832,-9.897226333618164,-8.335759162902832,-7.097337245941162,-8.681575775146484
24,-6.224817752838135,-7.224303722381592,-9.586186408996582,-7.224303722381592,-7.200664520263672,-7.643577575683594
25,-6.756608009338379,-8.615005493164062,-8.931390762329102,-8.615005493164062,-6.436153888702393,-8.836490631103516
26,-7.480216026306152,-9.507091522216797,-10.005062103271484,-9.507091522216797,-6.444590091705322,-9.246966361999512
27,-7.492379665374756,-9.62592601776123,-10.305615425109863,-9.62592601776123,-6.918310642242432,-9.093761444091797
28,-7.09434700012207,-9.515084266662598,-9.912109375,-9.515084266662598,-6.459403991699219,-8.681575775146484
29,-6.510515213012695,-8.295361518859863,-9.134753227233887,-8.295361518859863,-5.533458709716797,-7.643577575683594
30,-7.2073469161987305,-9.227828979492188,-9.492911338806152,-9.227828979492188,-6.141925811767578,-8.836490631103516
31,-6.132407188415527,-7.415472507476807,-10.401362419128418,-7.415472507476807,-7.321746349334717,-8.970973014831543
32,-5.53720235824585,-7.269898891448975,-10.638948440551758,-7.269898891448975,-7.4518256187438965,-9.072989463806152
33,-5.290911674499512,-6.774503707885742,-10.278772354125977,-6.774503707885742,-7.033616542816162,-8.70495891571045
34,-4.963907718658447,-6.0161004066467285,-10.233908653259277,-6.0161004066467285,-7.253286361694336,-8.06173324584961
35,-6.075678825378418,-7.877775192260742,-9.782454490661621,-7.877775192260742,-6.466794490814209,-9.190875053405762
36,-6.09229850769043,-7.885662078857422,-10.040721893310547,-7.885662078857422,-7.5175299644470215,-8.970973014831543
37,-5.587554931640625,-7.77287483215332,-10.180127143859863,-7.77287483215332,-7.568247318267822,-9.072989463806152
38,-5.331599712371826,-7.425532817840576,-9.805458068847656,-7.425532817840576,-7.097337245941162,-8.70495891571045
39,-4.922179698944092,-6.562262058258057,-9.664003372192383,-6.562262058258057,-7.200664520263672,-8.06173324584961
40,-6.104382514953613,-8.221233367919922,-9.008649826049805,-8.221233367919922,-6.436153888702393,-9.190875053405762
41,-6.949061393737793,-9.24688720703125,-9.743569374084473,-9.24688720703125,-6.444590091705322,-8.970973014831543
42,-6.817947864532471,-9.547066688537598,-10.24046802520752,-9.547066688537598,-6.918310642242432,-9.072989463806152
43,-6.498701095581055,-9.145323753356934,-9.886478424072266,-9.145323753356934,-6.459403991699219,-8.70495891571045
44,-6.013563632965088,-8.056483268737793,-9.246955871582031,-8.056483268737793,-5.533458709716797,-8.06173324584961
45,-6.898411750793457,-9.366780281066895,-9.541145324707031,-9.366780281066895,-6.141925811767578,-9.190875053405762
46,-5.9199018478393555,-6.547809600830078,-8.811681747436523,-6.547809600830078,-7.321746349334717,-8.374222755432129
47,-5.3157958984375,-6.177687168121338,-8.983602523803711,-6.177687168121338,-7.4518256187438965,-8.265933990478516
48,-5.134525299072266,-6.023716926574707,-8.714142799377441,-6.023716926574707,-7.033616542816162,-8.036979675292969
49,-5.239660739898682,-5.460834503173828,-8.869603157043457,-5.460834503173828,-7.253286361694336,-7.5794477462768555
50,-5.73663330078125,-7.117674827575684,-8.565980911254883,-7.117674827575684,-6.466794490814209,-8.357176780700684
51,-5.991223335266113,-6.9005584716796875,-8.623263359069824,-6.9005584716796875,-7.5175299644470215,-8.374222755432129
52,-5.427604675292969,-6.512580871582031,-8.690924644470215,-6.512580871582031,-7.568247318267822,-8.265933990478516
53,-5.3065948486328125,-6.463963508605957,-8.457979202270508,-6.463963508605957,-7.097337245941162,-8.036979675292969
54,-5.4293928146362305,-5.781487941741943,-8.524494171142578,-5.781487941741943,-7.200664520263672,-7.5794477462768555
55,-5.937368392944336,-7.418452262878418,-8.199697494506836,-7.418452262878418,-6.436153888702393,-8.357176780700684
56,-6.274373531341553,-7.105326175689697,-7.875761985778809,-7.105326175689697,-6.444590091705322,-8.374222755432129
57,-6.144495964050293,-6.936121940612793,-8.255731582641602,-6.936121940612793,-6.918310642242432,-8.265933990478516
58,-6.017223358154297,-7.007873058319092,-7.933326721191406,-7.007873058319092,-6.459403991699219,-8.036979675292969
59,-5.916097164154053,-6.251726150512695,-7.5974626541137695,-6.251726150512695,-5.533458709716797,-7.5794477462768555
60,-6.410243034362793,-7.706926345825195,-7.897865295410156,-7.706926345825195,-6.141925811767578,-8.357176780700684
61,-7.380316734313965,-7.915335178375244,-10.508309364318848,-7.915335178375244,-7.321746349334717,-10.595365524291992
62,-6.888853073120117,-7.415971279144287,-10.756246566772461,-7.415971279144287,-7.4518256187438965,-10.655808448791504
