idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-5.031717777252197,-6.204677581787109,-7.850179195404053,-6.204677581787109,-7.035091876983643,-7.147747993469238
2,-4.616259574890137,-5.872946739196777,-7.355949401855469,-5.872946739196777,-6.264362335205078,-6.990063190460205
3,-4.594970703125,-6.012106895446777,-7.667825222015381,-6.012106895446777,-6.652618885040283,-7.184091567993164
4,-4.622027397155762,-5.81734561920166,-7.468794822692871,-5.81734561920166,-6.220053195953369,-6.719611644744873
5,-5.3992919921875,-6.193229675292969,-7.535771369934082,-6.193229675292969,-6.455313205718994,-6.85111141204834
6,-5.414445400238037,-6.853638172149658,-7.635105133056641,-6.853638172149658,-7.072622299194336,-7.147747993469238
7,-4.941449165344238,-6.451630592346191,-7.283848762512207,-6.451630592346191,-6.64461088180542,-6.990063190460205
8,-4.9031267166137695,-6.543807029724121,-7.471398830413818,-6.543807029724121,-6.7886128425598145,-7.184091567993164
9,-4.830294609069824,-6.32855749130249,-7.31259822845459,-6.32855749130249,-6.457613468170166,-6.719611644744873
10,-5.604365348815918,-6.675100326538086,-7.423774719238281,-6.675100326538086,-6.555975437164307,-6.85111141204834
11,-5.3538360595703125,-6.972280502319336,-7.340740203857422,-6.972280502319336,-6.9213995933532715,-7.147747993469238
12,-5.220751762390137,-6.828366279602051,-7.5879340171813965,-6.828366279602051,-7.328507900238037,-6.990063190460205
13,-5.081716060638428,-6.916224002838135,-7.671450138092041,-6.916224002838135,-7.328640460968018,-7.184091567993164
14,-4.880190849304199,-6.505862236022949,-7.066542625427246,-6.505862236022949,-6.356317520141602,-6.719611644744873
15,-5.417379856109619,-6.4311699867248535,-7.16449499130249,-6.4311699867248535,-6.705801486968994,-6.85111141204834
16,-6.3932108879089355,-7.560205936431885,-9.1001558303833,-7.560205936431885,-7.035091876983643,-8.065837860107422
17,-5.97264289855957,-6.962451934814453,-8.513079643249512,-6.962451934814453,-6.264362335205078,-7.799779415130615
18,-5.763484001159668,-7.147210597991943,-8.772900581359863,-7.147210597991943,-6.652618885040283,-7.657167434692383
19,-5.52141809463501,-6.220810413360596,-8.682860374450684,-6.220810413360596,-6.220053195953369,-7.082838535308838
20,-6.478064060211182,-7.704160690307617,-8.819755554199219,-7.704160690307617,-6.455313205718994,-8.049229621887207
21,-6.8062543869018555,-8.134156227111816,-8.881879806518555,-8.134156227111816,-7.072622299194336,-8.065837860107422
22,-6.418729782104492,-7.5706305503845215,-8.66212272644043,-7.5706305503845215,-6.64461088180542,-7.799779415130615
23,-6.110699653625488,-7.621646404266357,-8.677452087402344,-7.621646404266357,-6.7886128425598145,-7.657167434692383
24,-5.747382164001465,-6.49872350692749,-8.595895767211914,-6.49872350692749,-6.457613468170166,-7.082838535308838
25,-6.66500997543335,-8.178563117980957,-9.028606414794922,-8.178563117980957,-6.555975437164307,-8.049229621887207
26,-7.318612098693848,-8.947049140930176,-8.796480178833008,-8.947049140930176,-6.9213995933532715,-8.065837860107422
27,-7.226171970367432,-8.815491676330566,-8.957468032836914,-8.815491676330566,-7.328507900238037,-7.799779415130615
28,-6.769366264343262,-8.77126693725586,-8.904483795166016,-8.77126693725586,-7.328640460968018,-7.657167434692383
29,-6.266948699951172,-7.351428985595703,-8.18409252166748,-7.351428985595703,-6.356317520141602,-7.082838535308838
30,-7.058660507202148,-8.433003425598145,-8.657785415649414,-8.433003425598145,-6.705801486968994,-8.049229621887207
31,-5.806816101074219,-6.5574164390563965,-9.652017593383789,-6.5574164390563965,-7.035091876983643,-9.399041175842285
32,-5.2731475830078125,-6.415213108062744,-9.095488548278809,-6.415213108062744,-6.264362335205078,-9.245240211486816
33,-5.070952892303467,-6.494330883026123,-9.3679838180542,-6.494330883026123,-6.652618885040283,-8.905566215515137
34,-4.974198818206787,-5.687907695770264,-9.085644721984863,-5.687907695770264,-6.220053195953369,-8.735785484313965
35,-5.821528911590576,-7.281852722167969,-9.589319229125977,-7.281852722167969,-6.455313205718994,-9.130961418151855
36,-5.7838311195373535,-6.888744354248047,-9.62647819519043,-6.888744354248047,-7.072622299194336,-9.399041175842285
37,-5.2423295974731445,-6.682894229888916,-9.244808197021484,-6.682894229888916,-6.64461088180542,-9.245240211486816
38,-5.040440559387207,-6.6363043785095215,-9.352062225341797,-6.6363043785095215,-6.7886128425598145,-8.905566215515137
39,-4.799737453460693,-5.648939609527588,-9.11975383758545,-5.648939609527588,-6.457613468170166,-8.735785484313965
40,-5.641640663146973,-7.425724029541016,-9.641969680786133,-7.425724029541016,-6.555975437164307,-9.130961418151855
41,-6.016597747802734,-7.627451419830322,-9.491673469543457,-7.627451419830322,-6.9213995933532715,-9.399041175842285
42,-5.844751834869385,-7.7707061767578125,-9.669389724731445,-7.7707061767578125,-7.328507900238037,-9.245240211486816
43,-5.505178928375244,-7.660488128662109,-9.687065124511719,-7.660488128662109,-7.328640460968018,-8.905566215515137
44,-5.1633782386779785,-6.807657718658447,-9.0184326171875,-6.807657718658447,-6.356317520141602,-8.735785484313965
45,-5.773744583129883,-7.469155788421631,-9.268084526062012,-7.469155788421631,-6.705801486968994,-9.130961418151855
46,-5.440730094909668,-5.717386245727539,-7.911462306976318,-5.717386245727539,-7.035091876983643,-8.280195236206055
47,-4.662352085113525,-5.1241135597229,-7.1995649337768555,-5.1241135597229,-6.264362335205078,-8.102907180786133
48,-4.789612770080566,-5.357122898101807,-7.5642499923706055,-5.357122898101807,-6.652618885040283,-8.138418197631836
49,-4.826503753662109,-5.219581604003906,-7.4032301902771,-5.219581604003906,-6.220053195953369,-7.819849967956543
50,-5.380044460296631,-6.173752784729004,-7.770918369293213,-6.173752784729004,-6.455313205718994,-7.6180338859558105
51,-5.496884346008301,-5.987405776977539,-8.125920295715332,-5.987405776977539,-7.072622299194336,-8.280195236206055
52,-4.726962089538574,-5.37965202331543,-7.481725215911865,-5.37965202331543,-6.64461088180542,-8.102907180786133
53,-4.845990180969238,-5.526412487030029,-7.736079216003418,-5.526412487030029,-6.7886128425598145,-8.138418197631836
54,-4.778840065002441,-5.384675979614258,-7.516040802001953,-5.384675979614258,-6.457613468170166,-7.819849967956543
55,-5.3292107582092285,-6.299983978271484,-7.721282958984375,-6.299983978271484,-6.555975437164307,-7.6180338859558105
56,-6.2183518409729,-6.834872245788574,-7.682977199554443,-6.834872245788574,-6.9213995933532715,-8.280195236206055
57,-5.67147159576416,-6.462306022644043,-7.662652492523193,-6.462306022644043,-7.328507900238037,-8.102907180786133
58,-5.568348407745361,-6.5818915367126465,-7.819165229797363,-6.5818915367126465,-7.328640460968018,-8.138418197631836
59,-5.422519683837891,-6.189250469207764,-7.238941192626953,-6.189250469207764,-6.356317520141602,-7.819849967956543
60,-5.755806922912598,-6.690517425537109,-7.3556809425354,-6.690517425537109,-6.705801486968994,-7.6180338859558105
61,-6.951571464538574,-8.939903259277344,-10.440956115722656,-8.939903259277344,-7.035091876983643,-10.085270881652832
62,-6.264349460601807,-8.123680114746094,-9.753931999206543,-8.123680114746094,-6.264362335205078,-9.89383602142334
63,-6.2345147132873535,-8.330342292785645,-10.079838752746582,-8.330342292785645,-6.652618885040283,-9.841344833374023
64,-6.1906843185424805,-7.797731876373291,-9.916862487792969,-7.797731876373291,-6.220053195953369,-9.361403465270996
65,-7.061074733734131,-8.88853931427002,-10.152825355529785,-8.88853931427002,-6.455313205718994,-9.924036979675293
66,-7.326910972595215,-9.679549217224121,-10.428617477416992,-9.679549217224121,-7.072622299194336,-10.085270881652832
67,-6.644301414489746,-8.742833137512207,-10.005733489990234,-8.742833137512207,-6.64461088180542,-9.89383602142334
68,-6.5787506103515625,-8.800904273986816,-10.1207275390625,-8.800904273986816,-6.7886128425598145,-9.841344833374023
69,-6.361527442932129,-8.034478187561035,-9.881840705871582,-8.034478187561035,-6.457613468170166,-9.361403465270996
70,-7.2535505294799805,-9.472562789916992,-10.283790588378906,-9.472562789916992,-6.555975437164307,-9.924036979675293
71,-7.542023181915283,-10.122271537780762,-9.797237396240234,-10.122271537780762,-6.9213995933532715,-10.085270881652832
72,-7.184625625610352,-9.65485668182373,-9.959226608276367,-9.65485668182373,-7.328507900238037,-9.89383602142334
73,-6.952067852020264,-9.626578330993652,-10.066964149475098,-9.626578330993652,-7.328640460968018,-9.841344833374023
74,-6.659801483154297,-8.855267524719238,-9.469762802124023,-8.855267524719238,-6.356317520141602,-9.361403465270996
75,-7.217038154602051,-9.41802978515625,-9.67200756072998,-9.41802978515625,-6.705801486968994,-9.924036979675293
76,-6.014161586761475,-6.000225067138672,-8.162101745605469,-6.000225067138672,-7.035091876983643,-8.337387084960938
77,-5.684037685394287,-5.701164245605469,-7.663221836090088,-5.701164245605469,-6.264362335205078,-7.989469528198242
78,-5.417448997497559,-5.704313278198242,-7.921948432922363,-5.704313278198242,-6.652618885040283,-8.226903915405273
79,-5.4069390296936035,-5.465856552124023,-7.729214668273926,-5.465856552124023,-6.220053195953369,-7.626046180725098
80,-5.973028659820557,-6.334324836730957,-7.817837715148926,-6.334324836730957,-6.455313205718994,-7.884214878082275
81,-6.134316444396973,-6.097952365875244,-8.038095474243164,-6.097952365875244,-7.072622299194336,-8.337387084960938
82,-5.807314395904541,-5.845494270324707,-7.688036918640137,-5.845494270324707,-6.64461088180542,-7.989469528198242
83,-5.449339866638184,-5.743440628051758,-7.819436073303223,-5.743440628051758,-6.7886128425598145,-8.226903915405273
84,-5.327358245849609,-5.3999128341674805,-7.678192138671875,-5.3999128341674805,-6.457613468170166,-7.626046180725098
85,-5.8780107498168945,-6.167122840881348,-7.676751613616943,-6.167122840881348,-6.555975437164307,-7.884214878082275
86,-7.0834856033325195,-7.352904796600342,-7.4932355880737305,-7.352904796600342,-6.9213995933532715,-8.337387084960938
87,-7.0197038650512695,-7.107550621032715,-7.747062683105469,-7.107550621032715,-7.328507900238037,-7.989469528198242
88,-6.560563564300537,-7.101383209228516,-7.7004241943359375,-7.101383209228516,-7.328640460968018,-8.226903915405273
89,-6.258520126342773,-6.5552754402160645,-7.020503997802734,-6.5552754402160645,-6.356317520141602,-7.626046180725098
90,-6.704543113708496,-7.028885841369629,-7.3282976150512695,-7.028885841369629,-6.705801486968994,-7.884214878082275
91,-7.058248519897461,-7.723056793212891,-9.89417839050293,-7.723056793212891,-7.035091876983643,-10.280943870544434
92,-6.86902379989624,-7.306630611419678,-9.403593063354492,-7.306630611419678,-6.264362335205078,-10.420817375183105
93,-6.952413558959961,-7.87244176864624,-9.778615951538086,-7.87244176864624,-6.652618885040283,-10.72022533416748
94,-6.842928409576416,-7.232624053955078,-9.549959182739258,-7.232624053955078,-6.220053195953369,-10.039996147155762
95,-7.387333869934082,-7.9291839599609375,-9.576288223266602,-7.9291839599609375,-6.455313205718994,-9.907553672790527
96,-7.248363018035889,-8.024070739746094,-9.601309776306152,-8.024070739746094,-7.072622299194336,-10.280943870544434
97,-7.066400051116943,-7.623476505279541,-9.411371231079102,-7.623476505279541,-6.64461088180542,-10.420817375183105
98,-7.081786632537842,-8.136988639831543,-9.591267585754395,-8.136988639831543,-6.7886128425598145,-10.72022533416748
99,-6.846574783325195,-7.416308879852295,-9.41244125366211,-7.416308879852295,-6.457613468170166,-10.039996147155762
100,-7.439141750335693,-8.042923927307129,-9.477466583251953,-8.042923927307129,-6.555975437164307,-9.907553672790527
101,-7.86199951171875,-9.215927124023438,-9.507792472839355,-9.215927124023438,-6.9213995933532715,-10.280943870544434
102,-7.823559761047363,-9.062647819519043,-9.928695678710938,-9.062647819519043,-7.328507900238037,-10.420817375183105
