idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.811177228628459,-9.471431033894817,-8.407019726250214,-9.471431033894818,-6.672668826361815,-9.141416212122433
2,-9.022680679300894,-9.735810347235361,-8.618523176922649,-9.735810347235361,-7.025174577482541,-9.405795525462977
3,-8.946178936475054,-9.64018316870306,-8.542021434096808,-9.64018316870306,-6.897671672772806,-9.310168346930675
4,-8.638618080477915,-9.255732098706638,-8.234460578099668,-9.255732098706638,-6.385070246110909,-8.925717276934252
5,-8.94505501141668,-9.63877826238009,-8.540897509038434,-9.638778262380091,-6.895798464342181,-9.308763440607706
6,-8.949839230958498,-9.644758536807364,-8.545681728580252,-9.644758536807364,-6.9037721635785445,-9.141416212122433
7,-9.161342681630932,-9.909137850147907,-8.757185179252687,-9.909137850147909,-7.256277914699271,-9.405795525462977
8,-9.084840938805092,-9.813510671615607,-8.680683436426847,-9.813510671615608,-7.128775009989536,-9.310168346930675
9,-8.777280082807954,-9.429059601619183,-8.373122580429708,-9.429059601619183,-6.616173583327638,-8.925717276934252
10,-9.083717013746716,-9.812105765292637,-8.67955951136847,-9.812105765292639,-7.126901801558909,-9.308763440607706
11,-9.114551681084487,-9.850649099464851,-8.710394178706242,-9.850649099464851,-7.178292913788527,-9.141416212122433
12,-9.326055131756922,-10.115028412805394,-8.921897629378677,-10.115028412805396,-7.530798664909253,-9.405795525462977
13,-9.249553388931082,-10.019401234273094,-8.845395886552836,-10.019401234273095,-7.403295760199519,-9.310168346930675
14,-8.941992532933943,-9.63495016427667,-8.537835030555698,-9.63495016427667,-6.8906943335376205,-8.925717276934252
15,-9.248429463872705,-10.017996327950124,-8.84427196149446,-10.017996327950126,-7.401422551768892,-9.308763440607706
16,-8.239961524289521,-8.929894696531685,-7.734764646316714,-8.929894696531685,-6.672668826361815,-8.489874934168505
17,-8.504340837630064,-9.282400447652412,-7.999143959657259,-9.282400447652412,-7.025174577482541,-8.84238068528923
18,-8.408713659097764,-9.154897542942678,-7.903516781124958,-9.154897542942678,-6.897671672772806,-8.714877780579497
19,-8.02426258910134,-8.642296116280779,-7.519065711128534,-8.642296116280779,-6.385070246110909,-8.202276353917599
20,-8.407308752774794,-9.15302433451205,-7.902111874801988,-9.15302433451205,-6.895798464342181,-8.71300457214887
21,-8.413289027202067,-9.160998033748415,-7.908092149229262,-9.160998033748415,-6.9037721635785445,-8.489874934168505
22,-8.677668340542612,-9.513503784869142,-8.172471462569806,-9.513503784869142,-7.256277914699271,-8.84238068528923
23,-8.582041162010311,-9.386000880159408,-8.076844284037506,-9.386000880159408,-7.128775009989536,-8.714877780579497
24,-8.197590092013886,-8.873399453497509,-7.692393214041082,-8.873399453497509,-6.616173583327638,-8.202276353917599
25,-8.580636255687342,-9.38412767172878,-8.075439377714535,-9.38412767172878,-7.126901801558909,-8.71300457214887
26,-8.619179589859554,-9.435518783958399,-8.113982711886749,-9.435518783958399,-7.178292913788527,-8.489874934168505
27,-8.883558903200099,-9.788024535079124,-8.378362025227293,-9.788024535079124,-7.530798664909253,-8.84238068528923
28,-8.787931724667798,-9.66052163036939,-8.282734846694993,-9.66052163036939,-7.403295760199519,-8.714877780579497
29,-8.403480654671373,-9.147920203707491,-7.898283776698569,-9.147920203707491,-6.8906943335376205,-8.202276353917599
