idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.847308193305306,-9.517028503764903,-8.443269511774327,-9.517028503764902,-6.672156698734358,-9.18702499641509
2,-9.058469108161367,-9.780979647334977,-8.654430426630384,-9.780979647334977,-7.024091556827789,-9.450976139985164
3,-8.982084299214964,-9.685498636151976,-8.578045617683983,-9.685498636151975,-6.896783541917121,-9.355495128802163
4,-8.67460354564245,-9.30114769418633,-8.270564864111467,-9.30114769418633,-6.3843156192962605,-8.971144186836517
5,-8.981177679348768,-9.68436536131923,-8.577138997817787,-9.684365361319228,-6.895272508806793,-9.354361853969417
6,-8.986111372505647,-9.690532477765327,-8.582072690974666,-9.690532477765327,-6.903495330734924,-9.18702499641509
7,-9.197272287361704,-9.954483621335402,-8.793233605830725,-9.954483621335402,-7.255430188828356,-9.450976139985164
8,-9.120887478415304,-9.8590026101524,-8.716848796884324,-9.8590026101524,-7.1281221739176885,-9.355495128802163
9,-8.813406724842789,-9.474651668186755,-8.409368043311808,-9.474651668186755,-6.615654251296828,-8.971144186836517
10,-9.119980858549107,-9.857869335319654,-8.715942177018126,-9.857869335319654,-7.12661114080736,-9.354361853969417
11,-9.150737553404303,-9.896315203888648,-8.746698871873324,-9.896315203888648,-7.177872298899351,-9.18702499641509
12,-9.36189846826036,-10.160266347458721,-8.957859786729381,-10.160266347458721,-7.529807156992782,-9.450976139985164
13,-9.28551365931396,-10.06478533627572,-8.88147497778298,-10.06478533627572,-7.402499142082114,-9.355495128802163
14,-8.978032905741445,-9.680434394310074,-8.573994224210464,-9.680434394310074,-6.890031219461254,-8.971144186836517
15,-9.284607039447764,-10.063652061442975,-8.880568357916783,-10.063652061442975,-7.400988108971785,-9.354361853969417
16,-8.238885808213762,-8.929038760462712,-7.733837456300039,-8.929038760462712,-6.672156698734358,-8.489034083996293
17,-8.502836951783838,-9.280973618556143,-7.997788599870113,-9.280973618556143,-7.024091556827789,-8.840968942089726
18,-8.407355940600835,-9.153665603645473,-7.902307588687112,-9.153665603645473,-6.896783541917121,-8.713660927179056
19,-8.02300499863519,-8.641197681024614,-7.5179566467214665,-8.641197681024614,-6.3843156192962605,-8.201193004558197
20,-8.40622266576809,-9.152154570535146,-7.901174313854366,-9.152154570535146,-6.895272508806793,-8.712149894068729
21,-8.412389782214188,-9.160377392463278,-7.907341430300463,-9.160377392463278,-6.903495330734924,-8.489034083996293
22,-8.676340925784263,-9.51231225055671,-8.171292573870538,-9.51231225055671,-7.255430188828356,-8.840968942089726
23,-8.58085991460126,-9.385004235646042,-8.075811562687536,-9.385004235646042,-7.1281221739176885,-8.713660927179056
24,-8.196508972635616,-8.872536313025181,-7.691460620721891,-8.872536313025181,-6.615654251296828,-8.201193004558197
25,-8.579726639768515,-9.383493202535712,-8.07467828785479,-9.383493202535712,-7.12661114080736,-8.712149894068729
26,-8.618172508337508,-9.434754360627704,-8.113124156423783,-9.434754360627704,-7.177872298899351,-8.489034083996293
27,-8.882123651907582,-9.786689218721135,-8.377075299993859,-9.786689218721135,-7.529807156992782,-8.840968942089726
28,-8.786642640724581,-9.659381203810467,-8.281594288810856,-9.659381203810467,-7.402499142082114,-8.713660927179056
29,-8.402291698758935,-9.146913281189606,-7.897243346845212,-9.146913281189606,-6.890031219461254,-8.201193004558197
30,-8.785509365891835,-9.657870170700138,-8.28046101397811,-9.657870170700138,-7.400988108971785,-8.712149894068729
31,-8.371103190785576,-9.105328603891795,-7.866054838871851,-9.105328603891795,-6.672156698734358,-8.665323927425378
32,-8.635054334355651,-9.457263461985226,-8.130005982441926,-9.457263461985226,-7.024091556827789,-9.017258785518809
33,-8.539573323172649,-9.329955447074559,-8.034524971258923,-9.329955447074559,-6.896783541917121,-8.88995077060814
34,-8.155222381207004,-8.817487524453698,-7.650174029293279,-8.817487524453698,-6.3843156192962605,-8.377482847987281
35,-8.538440048339902,-9.32844441396423,-8.033391696426177,-9.32844441396423,-6.895272508806793,-8.888439737497812
36,-8.544607164786001,-9.336667235892362,-8.039558812872276,-9.336667235892362,-6.903495330734924,-8.665323927425378
37,-8.808558308356076,-9.688602093985793,-8.303509956442351,-9.688602093985793,-7.255430188828356,-9.017258785518809
38,-8.713077297173074,-9.561294079075125,-8.208028945259349,-9.561294079075125,-7.1281221739176885,-8.88995077060814
39,-8.32872635520743,-9.048826156454265,-7.823678003293704,-9.048826156454265,-6.615654251296828,-8.377482847987281
40,-8.711944022340328,-9.559783045964798,-8.206895670426603,-9.559783045964798,-7.12661114080736,-8.888439737497812
41,-8.750389890909322,-9.611044204056787,-8.245341538995596,-9.611044204056787,-7.177872298899351,-8.665323927425378
42,-9.014341034479395,-9.96297906215022,-8.50929268256567,-9.96297906215022,-7.529807156992782,-9.017258785518809
43,-8.918860023296395,-9.83567104723955,-8.41381167138267,-9.83567104723955,-7.402499142082114,-8.88995077060814
44,-8.534509081330748,-9.323203124618692,-8.029460729417023,-9.323203124618692,-6.890031219461254,-8.377482847987281
45,-8.917726748463648,-9.834160014129223,-8.412678396549923,-9.834160014129223,-7.400988108971785,-8.888439737497812
46,-7.73894623809571,-8.63662441166663,-7.73894623809571,-8.63662441166663,-6.672156698734358,-7.801572552403093
47,-7.950107152951768,-8.900575555236706,-7.950107152951768,-8.900575555236706,-7.024091556827789,-8.065523695973166
48,-7.873722344005367,-8.805094544053704,-7.873722344005367,-8.805094544053704,-6.896783541917121,-7.970042684790165
49,-7.566241590432851,-8.42074360208806,-7.566241590432851,-8.42074360208806,-6.3843156192962605,-7.585691742824521
50,-7.87281572413917,-8.803961269220958,-7.87281572413917,-8.803961269220958,-6.895272508806793,-7.968909409957419
51,-7.87774941729605,-8.810128385667056,-7.87774941729605,-8.810128385667056,-6.903495330734924,-7.801572552403093
52,-8.088910332152107,-9.07407952923713,-8.088910332152107,-9.07407952923713,-7.255430188828356,-8.065523695973166
53,-8.012525523205706,-8.97859851805413,-8.012525523205706,-8.97859851805413,-7.1281221739176885,-7.970042684790165
54,-7.705044769633192,-8.594247576088483,-7.705044769633192,-8.594247576088483,-6.615654251296828,-7.585691742824521
55,-8.01161890333951,-8.977465243221383,-8.01161890333951,-8.977465243221383,-7.12661114080736,-7.968909409957419
56,-8.042375598194706,-9.015911111790377,-8.042375598194706,-9.015911111790377,-7.177872298899351,-7.801572552403093
57,-8.253536513050765,-9.279862255360449,-8.253536513050765,-9.279862255360449,-7.529807156992782,-8.065523695973166
58,-8.177151704104364,-9.184381244177448,-8.177151704104364,-9.184381244177448,-7.402499142082114,-7.970042684790165
59,-7.869670950531846,-8.800030302211804,-7.869670950531846,-8.800030302211804,-6.890031219461254,-7.585691742824521
60,-8.176245084238166,-9.183247969344702,-8.176245084238166,-9.183247969344702,-7.400988108971785,-7.968909409957419
61,-7.850877765541314,-9.085092506117745,-7.850877765541314,-9.085092506117745,-6.672156698734358,-7.971690027099693
62,-8.114828909111388,-9.437027364211175,-8.114828909111388,-9.437027364211175,-7.024091556827789,-8.323624885193125
63,-8.019347897928386,-9.309719349300508,-8.019347897928386,-9.309719349300508,-6.896783541917121,-8.196316870282457
64,-7.634996955962741,-8.797251426679647,-7.634996955962741,-8.797251426679647,-6.3843156192962605,-7.683848947661596
65,-8.01821462309564,-9.30820831619018,-8.01821462309564,-9.30820831619018,-6.895272508806793,-8.194805837172128
66,-8.024381739541738,-9.31643113811831,-8.024381739541738,-9.31643113811831,-6.903495330734924,-7.971690027099693
67,-8.288332883111813,-9.668365996211742,-8.288332883111813,-9.668365996211742,-7.255430188828356,-8.323624885193125
68,-8.192851871928811,-9.541057981301073,-8.192851871928811,-9.541057981301073,-7.1281221739176885,-8.196316870282457
69,-7.8085009299631665,-9.028590058680214,-7.8085009299631665,-9.028590058680214,-6.615654251296828,-7.683848947661596
70,-8.191718597096065,-9.539546948190745,-8.191718597096065,-9.539546948190745,-7.12661114080736,-8.194805837172128
71,-8.230164465665059,-9.590808106282738,-8.230164465665059,-9.590808106282738,-7.177872298899351,-7.971690027099693
72,-8.49411560923513,-9.94274296437617,-8.49411560923513,-9.94274296437617,-7.529807156992782,-8.323624885193125
73,-8.39863459805213,-9.8154349494655,-8.39863459805213,-9.8154349494655,-7.402499142082114,-8.196316870282457
74,-8.014283656086485,-9.302967026844641,-8.014283656086485,-9.302967026844641,-6.890031219461254,-7.683848947661596
75,-8.397501323219384,-9.813923916355172,-8.397501323219384,-9.813923916355172,-7.400988108971785,-8.194805837172128
76,-8.14254401322361,-9.141121630576507,-8.14254401322361,-9.141121630576507,-6.672156698734358,-8.30606977131297
77,-8.35370492807967,-9.405072774146582,-8.35370492807967,-9.405072774146582,-7.024091556827789,-8.570020914883045
78,-8.277320119133268,-9.30959176296358,-8.277320119133268,-9.30959176296358,-6.896783541917121,-8.474539903700043
79,-7.969839365560754,-8.925240820997935,-7.969839365560754,-8.925240820997935,-6.3843156192962605,-8.090188961734398
80,-8.276413499267072,-9.308458488130833,-8.276413499267072,-9.308458488130833,-6.895272508806793,-8.473406628867297
81,-8.28134719242395,-9.314625604576932,-8.28134719242395,-9.314625604576932,-6.903495330734924,-8.30606977131297
82,-8.492508107280011,-9.578576748147007,-8.492508107280011,-9.578576748147007,-7.255430188828356,-8.570020914883045
83,-8.41612329833361,-9.483095736964005,-8.41612329833361,-9.483095736964005,-7.1281221739176885,-8.474539903700043
84,-8.108642544761093,-9.09874479499836,-8.108642544761093,-9.09874479499836,-6.615654251296828,-8.090188961734398
85,-8.415216678467413,-9.481962462131259,-8.415216678467413,-9.481962462131259,-7.12661114080736,-8.473406628867297
86,-8.445973373322607,-9.520408330700253,-8.445973373322607,-9.520408330700253,-7.177872298899351,-8.30606977131297
87,-8.657134288178664,-9.784359474270328,-8.657134288178664,-9.784359474270326,-7.529807156992782,-8.570020914883045
88,-8.580749479232264,-9.688878463087326,-8.580749479232264,-9.688878463087326,-7.402499142082114,-8.474539903700043
89,-8.273268725659749,-9.304527521121681,-8.273268725659749,-9.30452752112168,-6.890031219461254,-8.090188961734398
90,-8.579842859366067,-9.68774518825458,-8.579842859366067,-9.68774518825458,-7.400988108971785,-8.473406628867297
91,-7.942159054907122,-9.206800891938823,-7.942159054907122,-9.206800891938823,-6.672156698734358,-8.093398412920772
92,-8.206110198477194,-9.558735750032254,-8.206110198477194,-9.558735750032254,-7.024091556827789,-8.445333271014203
93,-8.110629187294194,-9.431427735121586,-8.110629187294194,-9.431427735121586,-6.896783541917121,-8.318025256103533
94,-7.726278245328549,-8.918959812500725,-7.726278245328549,-8.918959812500725,-6.3843156192962605,-7.805557333482675
95,-8.109495912461448,-9.429916702011257,-8.109495912461448,-9.429916702011257,-6.895272508806793,-8.316514222993206
96,-8.115663028907548,-9.43813952393939,-8.115663028907548,-9.43813952393939,-6.903495330734924,-8.093398412920772
97,-8.37961417247762,-9.79007438203282,-8.37961417247762,-9.79007438203282,-7.255430188828356,-8.445333271014203
98,-8.28413316129462,-9.662766367122153,-8.28413316129462,-9.662766367122153,-7.1281221739176885,-8.318025256103533
99,-7.899782219328975,-9.150298444501292,-7.899782219328975,-9.150298444501292,-6.615654251296828,-7.805557333482675
100,-8.282999886461873,-9.661255334011825,-8.282999886461873,-9.661255334011825,-7.12661114080736,-8.316514222993206
101,-8.321445755030867,-9.712516492103815,-8.321445755030867,-9.712516492103815,-7.177872298899351,-8.093398412920772
102,-8.58539689860094,-10.064451350197247,-8.58539689860094,-10.064451350197247,-7.529807156992782,-8.445333271014203
103,-8.48991588741794,-9.937143335286578,-8.48991588741794,-9.937143335286578,-7.402499142082114,-8.318025256103533
104,-8.105564945452294,-9.424675412665719,-8.105564945452294,-9.424675412665719,-6.890031219461254,-7.805557333482675
105,-8.488782612585194,-9.93563230217625,-8.488782612585194,-9.93563230217625,-7.400988108971785,-8.316514222993206
106,-7.823036130611804,-9.04797032621173,-7.823036130611804,-9.04797032621173,-6.672156698734358,-7.934567847193681
107,-8.086987274181878,-9.399905184305164,-8.086987274181878,-9.399905184305164,-7.024091556827789,-8.286502705287113
108,-7.991506262998877,-9.272597169394494,-7.991506262998877,-9.272597169394494,-6.896783541917121,-8.159194690376443
109,-7.607155321033232,-8.760129246773635,-7.607155321033232,-8.760129246773635,-6.3843156192962605,-7.646726767755584
110,-7.990372988166131,-9.271086136284167,-7.990372988166131,-9.271086136284167,-6.895272508806793,-8.157683657266116
111,-7.996540104612229,-9.2793089582123,-7.996540104612229,-9.2793089582123,-6.903495330734924,-7.934567847193681
