idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.84810194565602,-9.517848396978177,-8.443902610040075,-9.517848396978177,-6.6719099960036266,-9.187810112758427
2,-9.059763103403354,-9.782424844162344,-8.65556376778741,-9.782424844162344,-7.024678592249181,-9.452386559942592
3,-8.983233896039334,-9.68676333495732,-8.57903456042339,-9.68676333495732,-6.89712991330915,-9.35672505073757
4,-8.67549301189778,-9.302087229780376,-8.271293676281834,-9.302087229780376,-6.38422843973989,-8.972048945560624
5,-8.981836374825058,-9.685016433439474,-8.577637039209112,-9.685016433439474,-6.894800711285353,-9.354978149219722
6,-8.986810155613394,-9.691233659424896,-8.582610819997452,-9.691233659424896,-6.903090345932585,-9.187810112758427
7,-9.198471313360729,-9.955810106609063,-8.794271977744785,-9.955810106609063,-7.255858942178139,-9.452386559942592
8,-9.121942105996709,-9.860148597404038,-8.717742770380767,-9.860148597404038,-7.128310263238109,-9.35672505073757
9,-8.814201221855154,-9.475472492227095,-8.410001886239211,-9.475472492227095,-6.615408789668848,-8.972048945560624
10,-9.120544584782433,-9.858401695886192,-8.716345249166489,-9.858401695886192,-7.125981061214311,-9.354978149219722
11,-9.151749599408044,-9.897407964168202,-8.747550263792098,-9.897407964168202,-7.177989418923661,-9.187810112758427
12,-9.363410757155375,-10.16198441135237,-8.95921142153943,-10.16198441135237,-7.530758015169216,-9.452386559942592
13,-9.286881549791357,-10.066322902147345,-8.882682214175412,-10.066322902147345,-7.403209336229184,-9.35672505073757
14,-8.979140665649801,-9.681646796970401,-8.574941330033855,-9.681646796970401,-6.890307862659924,-8.972048945560624
15,-9.285484028577079,-10.064576000629499,-8.881284692961135,-10.064576000629499,-7.400880134205387,-9.354978149219722
16,-8.238796922561086,-8.928690516625648,-7.7335477530411545,-8.928690516625648,-6.6719099960036266,-8.488639470999313
17,-8.503373369745251,-9.281459112871204,-7.998124200225321,-9.281459112871204,-7.024678592249181,-8.841408067244869
18,-8.407711860540228,-9.153910433931172,-7.902462691020297,-9.153910433931172,-6.89712991330915,-8.713859388304837
19,-8.023035755363283,-8.641008960361914,-7.517786585843352,-8.641008960361914,-6.38422843973989,-8.200957914735577
20,-8.40596495902238,-9.151581231907377,-7.900715789502449,-9.151581231907377,-6.894800711285353,-8.71153018628104
21,-8.412182185007804,-9.159870866554607,-7.906933015487874,-9.159870866554607,-6.903090345932585,-8.488639470999313
22,-8.67675863219197,-9.512639462800161,-8.17150946267204,-9.512639462800161,-7.255858942178139,-8.841408067244869
23,-8.581097122986947,-9.38509078386013,-8.075847953467015,-9.38509078386013,-7.128310263238109,-8.713859388304837
24,-8.196421017810001,-8.87218931029087,-7.691171848290072,-8.87218931029087,-6.615408789668848,-8.200957914735577
25,-8.579350221469099,-9.382761581836334,-8.07410105194917,-9.382761581836334,-7.125981061214311,-8.71153018628104
26,-8.618356489751111,-9.434769939545683,-8.11310732023118,-9.434769939545683,-7.177989418923661,-8.488639470999313
27,-8.882932936935278,-9.787538535791237,-8.377683767415347,-9.787538535791237,-7.530758015169216,-8.841408067244869
28,-8.787271427730253,-9.659989856851206,-8.282022258210322,-9.659989856851206,-7.403209336229184,-8.713859388304837
29,-8.40259532255331,-9.147088383281947,-7.897346153033379,-9.147088383281947,-6.890307862659924,-8.200957914735577
30,-8.785524526212408,-9.65766065482741,-8.280275356692476,-9.65766065482741,-7.400880134205387,-8.71153018628104
31,-8.372366835479422,-9.106783733850099,-7.8671176659594915,-9.106783733850099,-6.6719099960036266,-8.666732688223762
32,-8.636943282663587,-9.459552330095653,-8.131694113143658,-9.459552330095653,-7.024678592249181,-9.019501284469316
33,-8.541281773458564,-9.332003651155622,-8.036032603938633,-9.332003651155622,-6.89712991330915,-8.891952605529285
34,-8.15660566828162,-8.81910217758636,-7.6513564987616896,-8.81910217758636,-6.38422843973989,-8.379051131960026
35,-8.539534871940717,-9.329674449131824,-8.034285702420787,-9.329674449131824,-6.894800711285353,-8.889623403505489
36,-8.54575209792614,-9.337964083779056,-8.040502928406209,-9.337964083779056,-6.903090345932585,-8.666732688223762
37,-8.810328545110305,-9.690732680024611,-8.305079375590376,-9.690732680024611,-7.255858942178139,-9.019501284469316
38,-8.714667035905283,-9.56318400108458,-8.209417866385351,-9.56318400108458,-7.128310263238109,-8.891952605529285
39,-8.329990930728338,-9.05028252751532,-7.824741761208408,-9.05028252751532,-6.615408789668848,-8.379051131960026
40,-8.712920134387435,-9.560854799060783,-8.207670964867505,-9.560854799060783,-7.125981061214311,-8.889623403505489
41,-8.751926402669447,-9.612863156770134,-8.246677233149518,-9.612863156770134,-7.177989418923661,-8.666732688223762
42,-9.016502849853614,-9.965631753015687,-8.511253680333684,-9.965631753015687,-7.530758015169216,-9.019501284469316
43,-8.92084134064859,-9.838083074075657,-8.41559217112866,-9.838083074075657,-7.403209336229184,-8.891952605529285
44,-8.536165235471646,-9.325181600506397,-8.030916065951715,-9.325181600506397,-6.890307862659924,-8.379051131960026
45,-8.919094439130744,-9.83575387205186,-8.413845269610812,-9.83575387205186,-7.400880134205387,-8.889623403505489
46,-7.738348135355703,-8.63590530362271,-7.738348135355702,-8.63590530362271,-6.6719099960036266,-7.800617849883028
47,-7.950009293103037,-8.900481750806875,-7.950009293103035,-8.900481750806875,-7.024678592249181,-8.065194297067194
48,-7.873480085739017,-8.804820241601853,-7.873480085739016,-8.804820241601853,-6.89712991330915,-7.96953278786217
49,-7.565739201597461,-8.420144136424907,-7.565739201597461,-8.420144136424907,-6.38422843973989,-7.584856682685226
50,-7.872082564524739,-8.803073340084005,-7.872082564524739,-8.803073340084005,-6.894800711285353,-7.967785886344323
51,-7.877056345313077,-8.809290566069429,-7.877056345313076,-8.809290566069429,-6.903090345932585,-7.800617849883028
52,-8.088717503060412,-9.073867013253594,-8.08871750306041,-9.073867013253594,-7.255858942178139,-8.065194297067194
53,-8.012188295696392,-8.97820550404857,-8.01218829569639,-8.97820550404857,-7.128310263238109,-7.96953278786217
54,-7.704447411554836,-8.593529398871626,-7.704447411554836,-8.593529398871626,-6.615408789668848,-7.584856682685226
55,-8.010790774482114,-8.976458602530723,-8.010790774482114,-8.976458602530723,-7.125981061214311,-7.967785886344323
56,-8.041995789107725,-9.015464870812735,-8.041995789107723,-9.015464870812735,-7.177989418923661,-7.800617849883028
57,-8.253656946855056,-9.280041317996902,-8.253656946855056,-9.280041317996902,-7.530758015169216,-8.065194297067194
58,-8.177127739491038,-9.184379808791878,-8.177127739491038,-9.184379808791878,-7.403209336229184,-7.96953278786217
59,-7.869386855349482,-8.799703703614934,-7.869386855349481,-8.799703703614934,-6.890307862659924,-7.584856682685226
60,-8.17573021827676,-9.182632907274032,-8.175730218276758,-9.182632907274032,-7.400880134205387,-7.967785886344323
61,-7.850692818202671,-9.084883936841004,-7.850692818202671,-9.084883936841004,-6.6719099960036266,-7.971167331854761
62,-8.115269265386837,-9.43765253308656,-8.115269265386837,-9.43765253308656,-7.024678592249181,-8.323935928100317
63,-8.019607756181813,-9.310103854146528,-8.019607756181813,-9.310103854146528,-6.89712991330915,-8.196387249160283
64,-7.6349316510048695,-8.797202380577268,-7.6349316510048695,-8.797202380577268,-6.38422843973989,-7.683485775591024
65,-8.017860854663967,-9.307774652122731,-8.017860854663967,-9.307774652122731,-6.894800711285353,-8.194058047136489
66,-8.024078080649389,-9.316064286769963,-8.024078080649389,-9.316064286769963,-6.903090345932585,-7.971167331854761
67,-8.288654527833556,-9.668832883015517,-8.288654527833556,-9.668832883015517,-7.255858942178139,-8.323935928100317
68,-8.192993018628531,-9.541284204075486,-8.192993018628531,-9.541284204075486,-7.128310263238109,-8.196387249160283
69,-7.808316913451588,-9.028382730506225,-7.808316913451588,-9.028382730506225,-6.615408789668848,-7.683485775591024
70,-8.191246117110685,-9.538955002051688,-8.191246117110685,-9.538955002051688,-7.125981061214311,-8.194058047136489
71,-8.230252385392697,-9.590963359761039,-8.230252385392697,-9.590963359761039,-7.177989418923661,-7.971167331854761
72,-8.494828832576864,-9.943731956006594,-8.494828832576864,-9.943731956006594,-7.530758015169216,-8.323935928100317
73,-8.39916732337184,-9.816183277066562,-8.39916732337184,-9.816183277066562,-7.403209336229184,-8.196387249160283
74,-8.014491218194895,-9.303281803497304,-8.014491218194895,-9.303281803497304,-6.890307862659924,-7.683485775591024
75,-8.397420421853992,-9.813854075042768,-8.397420421853992,-9.813854075042768,-7.400880134205387,-8.194058047136489
76,-8.142416627733857,-9.140990919095405,-8.142416627733857,-9.140990919095405,-6.6719099960036266,-8.305703465355721
77,-8.354077785481191,-9.40556736627957,-8.354077785481191,-9.40556736627957,-7.024678592249181,-8.570279912539888
78,-8.277548578117171,-9.309905857074547,-8.277548578117171,-9.309905857074547,-6.89712991330915,-8.474618403334864
79,-7.969807693975616,-8.925229751897602,-7.969807693975616,-8.925229751897602,-6.38422843973989,-8.089942298157919
80,-8.276151056902894,-9.3081589555567,-8.276151056902894,-9.3081589555567,-6.894800711285353,-8.472871501817016
81,-8.281124837691232,-9.314376181542123,-8.281124837691232,-9.314376181542123,-6.903090345932585,-8.305703465355721
82,-8.492785995438565,-9.578952628726288,-8.492785995438565,-9.578952628726288,-7.255858942178139,-8.570279912539888
83,-8.416256788074545,-9.483291119521265,-8.416256788074545,-9.483291119521265,-7.128310263238109,-8.474618403334864
84,-8.108515903932991,-9.09861501434432,-8.108515903932991,-9.09861501434432,-6.615408789668848,-8.089942298157919
85,-8.414859266860269,-9.481544218003418,-8.414859266860269,-9.481544218003418,-7.125981061214311,-8.472871501817016
86,-8.446064281485878,-9.52055048628543,-8.446064281485878,-9.52055048628543,-7.177989418923661,-8.305703465355721
87,-8.65772543923321,-9.785126933469595,-8.65772543923321,-9.785126933469597,-7.530758015169216,-8.570279912539888
88,-8.58119623186919,-9.689465424264572,-8.58119623186919,-9.689465424264572,-7.403209336229184,-8.474618403334864
89,-8.273455347727637,-9.304789319087627,-8.273455347727637,-9.304789319087629,-6.890307862659924,-8.089942298157919
90,-8.579798710654915,-9.687718522746724,-8.579798710654915,-9.687718522746726,-7.400880134205387,-8.472871501817016
91,-7.94197410756848,-9.206592322662082,-7.9419741075684795,-9.206592322662082,-6.6719099960036266,-8.09287571767584
92,-8.206550554752646,-9.559360918907638,-8.206550554752646,-9.559360918907638,-7.024678592249181,-8.445644313921393
93,-8.110889045547623,-9.431812239967606,-8.110889045547623,-9.431812239967606,-6.89712991330915,-8.318095634981363
94,-7.726212940370678,-8.918910766398346,-7.726212940370678,-8.918910766398346,-6.38422843973989,-7.805194161412103
95,-8.109142144029775,-9.42948303794381,-8.109142144029775,-9.42948303794381,-6.894800711285353,-8.315766432957567
96,-8.115359370015199,-9.437772672591041,-8.115359370015199,-9.437772672591041,-6.903090345932585,-8.09287571767584
97,-8.379935817199364,-9.790541268836597,-8.379935817199364,-9.790541268836597,-7.255858942178139,-8.445644313921393
98,-8.284274307994341,-9.662992589896565,-8.284274307994341,-9.662992589896565,-7.128310263238109,-8.318095634981363
99,-7.899598202817396,-9.150091116327305,-7.899598202817396,-9.150091116327305,-6.615408789668848,-7.805194161412103
100,-8.282527406476493,-9.660663387872768,-8.282527406476493,-9.660663387872768,-7.125981061214311,-8.315766432957567
101,-8.321533674758506,-9.712671745582117,-8.321533674758506,-9.712671745582117,-7.177989418923661,-8.09287571767584
102,-8.586110121942673,-10.065440341827673,-8.586110121942673,-10.065440341827673,-7.530758015169216,-8.445644313921393
103,-8.490448612737648,-9.93789166288764,-8.490448612737648,-9.93789166288764,-7.403209336229184,-8.318095634981363
104,-8.105772507560705,-9.42499018931838,-8.105772507560705,-9.42499018931838,-6.890307862659924,-7.805194161412103
105,-8.488701711219802,-9.935562460863844,-8.488701711219802,-9.935562460863844,-7.400880134205387,-8.315766432957567
106,-7.8225519612147005,-9.047362794190375,-7.8225519612147005,-9.047362794190375,-6.6719099960036266,-7.933646189204133
107,-8.087128408398867,-9.40013139043593,-8.087128408398867,-9.40013139043593,-7.024678592249181,-8.286414785449688
108,-7.991466899193843,-9.272582711495899,-7.991466899193843,-9.272582711495899,-6.89712991330915,-8.158866106509656
109,-7.606790794016899,-8.75968123792664,-7.606790794016899,-8.75968123792664,-6.38422843973989,-7.645964632940395
110,-7.989719997675996,-9.270253509472104,-7.989719997675996,-9.270253509472104,-6.894800711285353,-8.15653690448586
111,-7.995937223661419,-9.278543144119334,-7.995937223661419,-9.278543144119334,-6.903090345932585,-7.933646189204133
112,-8.260513670845585,-9.631311740364888,-8.260513670845585,-9.631311740364888,-7.255858942178139,-8.286414785449688
113,-8.16485216164056,-9.503763061424857,-8.16485216164056,-9.503763061424857,-7.128310263238109,-8.158866106509656
114,-7.780176056463617,-8.990861587855598,-7.780176056463617,-8.990861587855598,-6.615408789668848,-7.645964632940395
115,-8.163105260122714,-9.501433859401061,-8.163105260122714,-9.501433859401061,-7.125981061214311,-8.15653690448586
116,-8.202111528404725,-9.55344221711041,-8.202111528404725,-9.55344221711041,-7.177989418923661,-7.933646189204133
117,-8.466687975588892,-9.906210813355965,-8.466687975588892,-9.906210813355965,-7.530758015169216,-8.286414785449688
118,-8.371026466383867,-9.778662134415933,-8.371026466383867,-9.778662134415933,-7.403209336229184,-8.158866106509656
119,-7.986350361206924,-9.265760660846674,-7.986350361206924,-9.265760660846674,-6.890307862659924,-7.645964632940395
120,-8.369279564866021,-9.776332932392137,-8.369279564866021,-9.776332932392137,-7.400880134205387,-8.15653690448586
121,-8.313252467548294,-9.146279068600418,-8.313252467548294,-9.146279068600418,-6.6719099960036266,-8.47804910560867
122,-8.48963676567107,-9.35794022634775,-8.48963676567107,-9.35794022634775,-7.024678592249181,-8.689710263356003
123,-8.425862426201055,-9.281411018983732,-8.425862426201055,-9.281411018983732,-6.89712991330915,-8.613181055991983
124,-8.169411689416425,-8.973670134842177,-8.169411689416425,-8.973670134842177,-6.38422843973989,-8.30544017185043
125,-8.424697825189156,-9.280013497769454,-8.424697825189156,-9.280013497769454,-6.894800711285353,-8.611783534777707
126,-8.428842642512771,-9.284987278557793,-8.428842642512771,-9.284987278557793,-6.903090345932585,-8.47804910560867
127,-8.60522694063555,-9.496648436305126,-8.60522694063555,-9.496648436305126,-7.255858942178139,-8.689710263356003
128,-8.541452601165533,-9.420119228941108,-8.541452601165533,-9.420119228941108,-7.128310263238109,-8.613181055991983
129,-8.285001864380904,-9.11237834479955,-8.285001864380904,-9.112378344799552,-6.615408789668848,-8.30544017185043
130,-8.540288000153636,-9.418721707726828,-8.540288000153636,-9.41872170772683,-7.125981061214311,-8.611783534777707
131,-8.56629217900831,-9.449926722352439,-8.566292179008313,-9.449926722352439,-7.177989418923661,-8.47804910560867
132,-8.742676477131088,-9.66158788009977,-8.74267647713109,-9.661587880099772,-7.530758015169216,-8.689710263356003
133,-8.67890213766107,-9.585058672735752,-8.678902137661074,-9.585058672735752,-7.403209336229184,-8.613181055991983
134,-8.422451400876442,-9.277317788594196,-8.422451400876444,-9.277317788594198,-6.890307862659924,-8.30544017185043
135,-8.677737536649174,-9.583661151521474,-8.677737536649175,-9.583661151521476,-7.400880134205387,-8.611783534777707
136,-9.03029064182269,-9.507153058731907,-8.741576830668444,-9.507153058731907,-6.6719099960036266,-9.287127535918737
137,-9.181477183070784,-9.683537356854684,-8.892763371916539,-9.683537356854684,-7.024678592249181,-9.463511834041515
138,-9.126813463525057,-9.619763017384669,-8.838099652370811,-9.619763017384669,-6.89712991330915,-9.399737494571498
139,-8.90699854628109,-9.36331228060004,-8.618284735126844,-9.363312280600038,-6.38422843973989,-9.14328675778687
140,-9.125815234086287,-9.618598416372771,-8.837101422932042,-9.61859841637277,-6.894800711285353,-9.398572893559601
141,-9.129367934649386,-9.622743233696385,-8.84065412349514,-9.622743233696385,-6.903090345932585,-9.287127535918737
142,-9.280554475897484,-9.799127531819163,-8.991840664743235,-9.799127531819163,-7.255858942178139,-9.463511834041515
143,-9.225890756351754,-9.735353192349146,-8.937176945197507,-9.735353192349146,-7.128310263238109,-9.399737494571498
144,-9.006075839107785,-9.478902455564517,-8.71736202795354,-9.478902455564517,-6.615408789668848,-9.14328675778687
145,-9.224892526912983,-9.734188591337249,-8.936178715758738,-9.734188591337249,-7.125981061214311,-9.398572893559601
146,-9.247181823074133,-9.760192770191923,-8.958468011919887,-9.760192770191923,-7.177989418923661,-9.287127535918737
147,-9.398368364322229,-9.936577068314701,-9.109654553167982,-9.936577068314701,-7.530758015169216,-9.463511834041515
148,-9.3437046447765,-9.872802728844684,-9.054990833622254,-9.872802728844684,-7.403209336229184,-9.399737494571498
149,-9.123889727532532,-9.616351992060055,-8.835175916378287,-9.616351992060055,-6.890307862659924,-9.14328675778687
150,-9.34270641533773,-9.871638127832787,-9.053992604183485,-9.871638127832787,-7.400880134205387,-9.398572893559601
151,-7.445935240171287,-8.54520716613249,-7.445935240171287,-8.54520716613249,-6.6719099960036266,-7.431490561146248
152,-7.710511687355453,-8.897975762378046,-7.710511687355453,-8.897975762378046,-7.024678592249181,-7.784259157391802
153,-7.614850178150429,-8.770427083438014,-7.614850178150429,-8.770427083438014,-6.89712991330915,-7.656710478451771
154,-7.230174072973485,-8.257525609868756,-7.230174072973485,-8.257525609868756,-6.38422843973989,-7.1438090048825105
155,-7.613103276632582,-8.768097881414219,-7.613103276632582,-8.768097881414219,-6.894800711285353,-7.654381276427974
156,-7.619320502618005,-8.77638751606145,-7.619320502618005,-8.77638751606145,-6.903090345932585,-7.431490561146248
157,-7.883896949802171,-9.129156112307003,-7.883896949802171,-9.129156112307003,-7.255858942178139,-7.784259157391802
158,-7.7882354405971475,-9.001607433366972,-7.7882354405971475,-9.001607433366972,-7.128310263238109,-7.656710478451771
159,-7.403559335420203,-8.488705959797713,-7.403559335420203,-8.488705959797713,-6.615408789668848,-7.1438090048825105
160,-7.786488539079301,-8.999278231343176,-7.786488539079301,-8.999278231343176,-7.125981061214311,-7.654381276427974
161,-7.825494807361312,-9.051286589052525,-7.825494807361312,-9.051286589052525,-7.177989418923661,-7.431490561146248
162,-8.090071254545478,-9.40405518529808,-8.090071254545478,-9.40405518529808,-7.530758015169216,-7.784259157391802
163,-7.994409745340454,-9.276506506358048,-7.994409745340454,-9.276506506358048,-7.403209336229184,-7.656710478451771
