idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.993749970944029,-9.61050076026741,-8.569946861762542,-9.61050076026741,-6.7536425416138846,-9.380597394154034
2,-9.209507103640778,-9.880197176138346,-8.785703994459292,-9.880197176138346,-7.113237762775132,-9.65029381002497
3,-9.131605764206103,-9.782820501845002,-8.707802655024617,-9.782820501845002,-6.983402197050675,-9.552917135731626
4,-8.817142283490568,-9.389741150950584,-8.393339174309082,-9.389741150950584,-6.459296395858117,-9.159837784837208
5,-9.126681779885496,-9.776665521444244,-8.70287867070401,-9.776665521444244,-6.97519555651633,-9.546762155330867
6,-9.1346641591684,-9.786643495547874,-8.710861049986914,-9.786643495547874,-6.988499521987838,-9.380597394154034
7,-9.35042129186515,-10.05633991141881,-8.926618182683663,-10.05633991141881,-7.348094743149086,-9.65029381002497
8,-9.272519952430475,-9.958963237125467,-8.848716843248988,-9.958963237125467,-7.218259177424628,-9.552917135731626
9,-8.95805647171494,-9.565883886231049,-8.534253362533454,-9.565883886231049,-6.69415337623207,-9.159837784837208
10,-9.267595968109868,-9.952808256724708,-8.843792858928381,-9.952808256724708,-7.210052536890284,-9.546762155330867
11,-9.29936915742008,-9.992524743362473,-8.875566048238593,-9.992524743362473,-7.263007852407305,-9.380597394154034
12,-9.515126290116829,-10.262221159233409,-9.091323180935342,-10.262221159233409,-7.622603073568552,-9.65029381002497
13,-9.437224950682154,-10.164844484940067,-9.01342184150067,-10.164844484940067,-7.492767507844095,-9.552917135731626
14,-9.12276146996662,-9.77176513404565,-8.698958360785134,-9.77176513404565,-6.968661706651537,-9.159837784837208
15,-9.432300966361549,-10.158689504539309,-9.008497857180062,-10.158689504539309,-7.48456086730975,-9.546762155330867
16,-8.359211027136183,-8.970032431631411,-7.8294571406593265,-8.970032431631411,-6.7536425416138846,-8.66349461014691
17,-8.628907443007119,-9.329627652792658,-8.099153556530261,-9.329627652792658,-7.113237762775132,-9.023089831308157
18,-8.531530768713777,-9.199792087068202,-8.00177688223692,-9.199792087068202,-6.983402197050675,-8.8932542655837
19,-8.13845141781936,-8.675686285875644,-7.608697531342501,-8.675686285875644,-6.459296395858117,-8.369148464391143
20,-8.525375788313019,-9.191585446533857,-7.995621901836161,-9.191585446533857,-6.97519555651633,-8.885047625049356
21,-8.535353762416651,-9.204889412005366,-8.005599875939794,-9.204889412005366,-6.988499521987838,-8.66349461014691
22,-8.805050178287587,-9.564484633166613,-8.27529629181073,-9.564484633166613,-7.348094743149086,-9.023089831308157
23,-8.707673503994243,-9.434649067442157,-8.177919617517386,-9.434649067442157,-7.218259177424628,-8.8932542655837
24,-8.314594153099826,-8.910543266249599,-7.784840266622967,-8.910543266249599,-6.69415337623207,-8.369148464391143
25,-8.701518523593485,-9.426442426907812,-8.171764637116627,-9.426442426907812,-7.210052536890284,-8.885047625049356
26,-8.74123501023125,-9.479397742424831,-8.211481123754393,-9.479397742424831,-7.263007852407305,-8.66349461014691
27,-9.010931426102186,-9.838992963586078,-8.481177539625328,-9.838992963586078,-7.622603073568552,-9.023089831308157
28,-8.913554751808842,-9.709157397861622,-8.383800865331985,-9.709157397861622,-7.492767507844095,-8.8932542655837
29,-8.520475400914425,-9.185051596669064,-7.990721514437566,-9.185051596669064,-6.968661706651537,-8.369148464391143
30,-8.907399771408084,-9.700950757327277,-8.377645884931226,-9.700950757327277,-7.48456086730975,-8.885047625049356
31,-8.485876932135966,-9.138920304964454,-7.956123045659109,-9.138920304964454,-6.7536425416138846,-8.832382483479952
32,-8.755573348006902,-9.498515526125702,-8.225819461530044,-9.498515526125702,-7.113237762775132,-9.1919777046412
33,-8.65819667371356,-9.368679960401245,-8.128442787236702,-9.368679960401245,-6.983402197050675,-9.062142138916743
