idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.85807187414804,-9.530515293002882,-8.45400414584962,-9.530515293002882,-6.689694973011382,-9.195196016215498
2,-9.075417878065917,-9.802197797900229,-8.671350149767497,-9.802197797900227,-7.051938312874512,-9.466878521112843
3,-9.000556402635418,-9.708620953612105,-8.596488674337,-9.708620953612105,-6.927169187157014,-9.37330167682472
4,-8.69053991915713,-9.321100349264245,-8.286472190858712,-9.321100349264245,-6.410475048026535,-8.985781072476861
5,-8.991210624051368,-9.696938730382044,-8.587142895752951,-9.696938730382044,-6.911592889516932,-9.36161945359466
6,-8.997378712351258,-9.704648840756905,-8.593310984052838,-9.704648840756905,-6.9218730366834125,-9.195196016215498
7,-9.214724716269135,-9.97633134565425,-8.810656987970715,-9.97633134565425,-7.2841163765465415,-9.466878521112843
8,-9.139863240838636,-9.882754501366128,-8.735795512540218,-9.882754501366128,-7.159347250829043,-9.37330167682472
9,-8.829846757360349,-9.495233897018268,-8.42577902906193,-9.495233897018268,-6.642653111698564,-8.985781072476861
10,-9.130517462254588,-9.871072278136065,-8.726449733956168,-9.871072278136065,-7.143770953188962,-9.36161945359466
11,-9.160201213141196,-9.908176966744326,-8.756133484842776,-9.908176966744326,-7.1932438713333084,-9.195196016215498
12,-9.377547217059071,-10.179859471641672,-8.973479488760653,-10.179859471641672,-7.555487211196437,-9.466878521112843
13,-9.302685741628574,-10.08628262735355,-8.898618013330154,-10.08628262735355,-7.430718085478939,-9.37330167682472
14,-8.992669258150286,-9.69876202300569,-8.588601529851868,-9.69876202300569,-6.91402394634846,-8.985781072476861
15,-9.293339963044525,-10.074600404123487,-8.889272234746105,-10.074600404123487,-7.415141787838858,-9.36161945359466
16,-8.252597972614067,-8.947364563909199,-7.747513312241042,-8.947364563909199,-6.689694973011382,-8.50027219485935
17,-8.524280477511413,-9.309607903772326,-8.019195817138387,-9.309607903772326,-7.051938312874512,-8.862515534722482
18,-8.43070363322329,-9.18483877805483,-7.925618972850264,-9.18483877805483,-6.927169187157014,-8.737746409004982
19,-8.043183028875431,-8.668144638924351,-7.538098368502405,-8.668144638924351,-6.410475048026535,-8.221052269874503
20,-8.419021409993228,-9.169262480414748,-7.913936749620203,-9.169262480414748,-6.911592889516932,-8.722170111364902
21,-8.426731520368088,-9.17954262758123,-7.9216468599950645,-9.17954262758123,-6.9218730366834125,-8.50027219485935
22,-8.698414025265436,-9.541785967444357,-8.19332936489241,-9.541785967444357,-7.2841163765465415,-8.862515534722482
23,-8.604837180977313,-9.417016841726861,-8.099752520604287,-9.417016841726861,-7.159347250829043,-8.737746409004982
24,-8.217316576629454,-8.900322702596382,-7.712231916256428,-8.900322702596382,-6.642653111698564,-8.221052269874503
25,-8.59315495774725,-9.401440544086778,-8.088070297374227,-9.401440544086778,-7.143770953188962,-8.722170111364902
26,-8.63025964635551,-9.450913462231126,-8.125174985982486,-9.450913462231126,-7.1932438713333084,-8.50027219485935
27,-8.901942151252857,-9.813156802094253,-8.396857490879832,-9.813156802094253,-7.555487211196437,-8.862515534722482
28,-8.808365306964735,-9.688387676376756,-8.303280646591709,-9.688387676376756,-7.430718085478939,-8.737746409004982
29,-8.420844702616876,-9.171693537246277,-7.91576004224385,-9.171693537246277,-6.91402394634846,-8.221052269874503
30,-8.796683083734672,-9.672811378736673,-8.291598423361648,-9.672811378736673,-7.415141787838858,-8.722170111364902
31,-8.386075363405203,-9.12533441829738,-7.880990703032179,-9.12533441829738,-6.689694973011382,-8.678242049247535
32,-8.657757868302548,-9.48757775816051,-8.152673207929524,-9.48757775816051,-7.051938312874512,-9.040485389110662
33,-8.564181024014426,-9.362808632443011,-8.059096363641402,-9.362808632443011,-6.927169187157014,-8.915716263393165
34,-8.176660419666566,-8.846114493312532,-7.6715757592935425,-8.846114493312532,-6.410475048026535,-8.399022124262686
35,-8.552498800784363,-9.34723233480293,-8.047414140411341,-9.34723233480293,-6.911592889516932,-8.900139965753082
36,-8.560208911159226,-9.35751248196941,-8.0551242507862,-9.35751248196941,-6.9218730366834125,-8.678242049247535
37,-8.831891416056571,-9.719755821832537,-8.326806755683547,-9.719755821832537,-7.2841163765465415,-9.040485389110662
