idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.848866555147538,-9.518775668330674,-8.444748734769567,-9.518775668330674,-6.673194217433143,-9.188722033178312
2,-9.060222959251977,-9.782971173461224,-8.656105138874006,-9.782971173461224,-7.025454890940542,-9.45291753830886
3,-8.983746763758164,-9.687375929093957,-8.579628943380193,-9.687375929093957,-6.897994565117521,-9.357322293941595
4,-8.676128521338333,-9.302853126069168,-8.272010700960362,-9.302853126069168,-6.385297494417803,-8.972799490916806
5,-8.982566360163052,-9.685900424600066,-8.57844853978508,-9.685900424600066,-6.896027225792332,-9.355846789447703
6,-8.987705251733146,-9.692324039062687,-8.583587431355175,-9.692324039062687,-6.904592045075826,-9.188722033178312
7,-9.199061655837586,-9.956519544193235,-8.794943835459614,-9.956519544193235,-7.256852718583225,-9.45291753830886
8,-9.122585460343775,-9.86092429982597,-8.718467639965802,-9.86092429982597,-7.129392392760203,-9.357322293941595
9,-8.814967217923943,-9.47640149680118,-8.41084939754597,-9.47640149680118,-6.616695322060486,-8.972799490916806
10,-9.12140505674866,-9.859448795332078,-8.717287236370689,-9.859448795332078,-7.127425053435014,-9.355846789447703
11,-9.152518806287116,-9.898340982255148,-8.748400985909146,-9.898340982255146,-7.179281302665774,-9.188722033178312
12,-9.363875210391555,-10.162536487385697,-8.959757390013584,-10.162536487385696,-7.531541976173173,-9.45291753830886
13,-9.287399014897742,-10.06694124301843,-8.883281194519771,-10.06694124301843,-7.404081650350151,-9.357322293941595
14,-8.979780772477913,-9.682418439993642,-8.575662952099941,-9.682418439993642,-6.891384579650434,-8.972799490916806
15,-9.28621861130263,-10.065465738524539,-8.882100790924659,-10.065465738524537,-7.402114311024962,-9.355846789447703
16,-8.239766051561752,-8.929944701277341,-7.734618776089289,-8.929944701277341,-6.673194217433143,-8.489873187740857
17,-8.503961556692301,-9.28220537478474,-7.998814281219838,-9.28220537478474,-7.025454890940542,-8.842133861248255
18,-8.408366312325036,-9.154745048961717,-7.9032190368525725,-9.154745048961717,-6.897994565117521,-8.714673535425234
19,-8.023843509300248,-8.642047978262001,-7.518696233827784,-8.642047978262001,-6.385297494417803,-8.201976464725517
20,-8.406890807831143,-9.15277770963653,-7.90174353235868,-9.15277770963653,-6.896027225792332,-8.712706196100045
21,-8.413314422293766,-9.161342528920024,-7.9081671468213015,-9.161342528920024,-6.904592045075826,-8.489873187740857
22,-8.677509927424314,-9.513603202427422,-8.17236265195185,-9.513603202427422,-7.256852718583225,-8.842133861248255
23,-8.581914683057049,-9.386142876604401,-8.076767407584585,-9.386142876604401,-7.129392392760203,-8.714673535425234
24,-8.19739188003226,-8.873445805904684,-7.6922446045597965,-8.873445805904684,-6.616695322060486,-8.201976464725517
25,-8.580439178563157,-9.384175537279212,-8.075291903090694,-9.384175537279212,-7.127425053435014,-8.712706196100045
26,-8.619331365486225,-9.436031786509972,-8.114184090013762,-9.436031786509972,-7.179281302665774,-8.489873187740857
27,-8.883526870616775,-9.78829246001737,-8.378379595144311,-9.78829246001737,-7.531541976173173,-8.842133861248255
28,-8.78793162624951,-9.660832134194349,-8.282784350777046,-9.660832134194349,-7.404081650350151,-8.714673535425234
