idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.971498345520924,-9.670182792565042,-8.57032328297073,-9.67018279256504,-6.713286688707754,-9.340240159911358
2,-9.188273586297589,-9.941151843535874,-8.787098523747394,-9.941151843535874,-7.074578756668866,-9.61120921088219
3,-9.105655634781456,-9.837879404140708,-8.704480572231262,-9.837879404140706,-6.936882170808642,-9.507936771487024
4,-8.79063111682773,-9.444098756698548,-8.389456054277534,-9.444098756698548,-6.411841307552431,-9.114156124044865
5,-9.104664271754618,-9.83664020035716,-8.703489209204424,-9.83664020035716,-6.935229899097245,-9.506697567703476
6,-9.11161877875623,-9.845333334109174,-8.710443716206036,-9.845333334109174,-6.946820744099933,-9.340240159911358
7,-9.328394019532897,-10.116302385080008,-8.927218956982703,-10.116302385080008,-7.308112812061045,-9.61120921088219
8,-9.245776068016763,-10.01302994568484,-8.844601005466568,-10.01302994568484,-7.170416226200821,-9.507936771487024
9,-8.930751550063034,-9.619249298242682,-8.529576487512841,-9.61924929824268,-6.645375362944609,-9.114156124044865
10,-9.244784704989923,-10.011790741901294,-8.84360964243973,-10.011790741901292,-7.168763954489424,-9.506697567703476
11,-9.278812845057656,-10.054325916985958,-8.877637782507461,-10.054325916985958,-7.225477521268978,-9.340240159911358
12,-9.495588085834322,-10.325294967956792,-9.094413023284128,-10.32529496795679,-7.58676958923009,-9.61120921088219
13,-9.41297013431819,-10.222022528561624,-9.011795071767995,-10.222022528561624,-7.4490730033698656,-9.507936771487024
14,-9.097945616364461,-9.828241881119466,-8.696770553814266,-9.828241881119464,-6.9240321401136535,-9.114156124044865
15,-9.41197877129135,-10.220783324778075,-9.010803708741156,-10.220783324778075,-7.447420731658468,-9.506697567703476
16,-8.266989536689271,-8.963732529804211,-7.765520708501528,-8.963732529804211,-6.713286688707754,-8.523809019599303
17,-8.537958587660105,-9.325024597765323,-8.03648975947236,-9.325024597765323,-7.074578756668866,-8.885101087560413
18,-8.434686148264937,-9.1873280119051,-7.933217320077194,-9.1873280119051,-6.936882170808642,-8.74740450170019
19,-8.04090550082278,-8.662287148648888,-7.539436672635035,-8.662287148648888,-6.411841307552431,-8.222363638443978
20,-8.433446944481389,-9.185675740193703,-7.931978116293646,-9.185675740193703,-6.935229899097245,-8.745752229988794
21,-8.442140078233406,-9.19726658519639,-7.940671250045662,-9.19726658519639,-6.946820744099933,-8.523809019599303
22,-8.713109129204238,-9.558558653157501,-8.211640301016494,-9.558558653157501,-7.308112812061045,-8.885101087560413
23,-8.609836689809072,-9.420862067297278,-8.108367861621328,-9.420862067297278,-7.170416226200821,-8.74740450170019
24,-8.216056042366912,-8.895821204041066,-7.714587214179169,-8.895821204041066,-6.645375362944609,-8.222363638443978
25,-8.608597486025523,-9.41920979558588,-8.10712865783778,-9.41920979558588,-7.168763954489424,-8.745752229988794
26,-8.65113266111019,-9.475923362365435,-8.149663832922446,-9.475923362365435,-7.225477521268978,-8.523809019599303
27,-8.922101712081023,-9.837215430326546,-8.42063288389328,-9.837215430326546,-7.58676958923009,-8.885101087560413
28,-8.818829272685855,-9.699518844466324,-8.317360444498112,-9.699518844466324,-7.4490730033698656,-8.74740450170019
29,-8.425048625243695,-9.174477981210112,-7.923579797055953,-9.174477981210112,-6.9240321401136535,-8.222363638443978
30,-8.817590068902307,-9.697866572754926,-8.316121240714564,-9.697866572754926,-7.447420731658468,-8.745752229988794
31,-8.401048758021092,-9.14247815824664,-7.899579929833349,-9.14247815824664,-6.713286688707754,-8.702554648041732
32,-8.672017808991926,-9.50377022620775,-8.170548980804181,-9.50377022620775,-7.074578756668866,-9.06384671600284
33,-8.568745369596758,-9.366073640347528,-8.067276541409015,-9.366073640347528,-6.936882170808642,-8.926150130142618
34,-8.1749647221546,-8.841032777091316,-7.673495893966856,-8.841032777091316,-6.411841307552431,-8.401109266886406
35,-8.56750616581321,-9.364421368636132,-8.066037337625467,-9.364421368636132,-6.935229899097245,-8.924497858431222
36,-8.576199299565227,-9.376012213638818,-8.074730471377483,-9.376012213638818,-6.946820744099933,-8.702554648041732
37,-8.847168350536059,-9.73730428159993,-8.345699522348315,-9.73730428159993,-7.308112812061045,-9.06384671600284
38,-8.743895911140893,-9.599607695739707,-8.24242708295315,-9.599607695739707,-7.170416226200821,-8.926150130142618
39,-8.350115263698733,-9.074566832483494,-7.84864643551099,-9.074566832483494,-6.645375362944609,-8.401109266886406
40,-8.742656707357344,-9.597955424028308,-8.241187879169601,-9.597955424028308,-7.168763954489424,-8.924497858431222
41,-8.78519188244201,-9.654668990807863,-8.283723054254267,-9.654668990807863,-7.225477521268978,-8.702554648041732
42,-9.056160933412844,-10.015961058768974,-8.5546921052251,-10.015961058768974,-7.58676958923009,-9.06384671600284
43,-8.952888494017676,-9.878264472908752,-8.451419665829933,-9.878264472908752,-7.4490730033698656,-8.926150130142618
44,-8.559107846575516,-9.35322360965254,-8.057639018387773,-9.35322360965254,-6.9240321401136535,-8.401109266886406
45,-8.951649290234128,-9.876612201197354,-8.450180462046385,-9.876612201197354,-7.447420731658468,-8.924497858431222
46,-7.7631584675090775,-8.66122677323798,-7.763158467509079,-8.661226773237978,-6.713286688707754,-7.829815312396553
47,-7.979933708285745,-8.932195824208812,-7.979933708285745,-8.932195824208812,-7.074578756668866,-8.100784363367385
48,-7.89731575676961,-8.828923384813645,-7.897315756769612,-8.828923384813644,-6.936882170808642,-7.997511923972219
49,-7.582291238815884,-8.435142737371486,-7.582291238815884,-8.435142737371486,-6.411841307552431,-7.60373127653006
50,-7.896324393742773,-8.827684181030097,-7.896324393742773,-8.827684181030097,-6.935229899097245,-7.996272720188671
51,-7.903278900744385,-8.836377314782112,-7.903278900744385,-8.836377314782112,-6.946820744099933,-7.829815312396553
52,-8.120054141521052,-9.107346365752946,-8.120054141521052,-9.107346365752946,-7.308112812061045,-8.100784363367385
53,-8.037436190004918,-9.004073926357778,-8.037436190004918,-9.004073926357778,-7.170416226200821,-7.997511923972219
54,-7.72241167205119,-8.61029327891562,-7.722411672051192,-8.610293278915618,-6.645375362944609,-7.60373127653006
55,-8.03644482697808,-9.002834722574232,-8.03644482697808,-9.00283472257423,-7.168763954489424,-7.996272720188671
56,-8.070472967045813,-9.045369897658896,-8.070472967045813,-9.045369897658896,-7.225477521268978,-7.829815312396553
57,-8.287248207822477,-9.31633894862973,-8.28724820782248,-9.316338948629728,-7.58676958923009,-8.100784363367385
58,-8.204630256306345,-9.213066509234562,-8.204630256306345,-9.213066509234562,-7.4490730033698656,-7.997511923972219
59,-7.889605738352617,-8.819285861792403,-7.889605738352619,-8.819285861792402,-6.9240321401136535,-7.60373127653006
60,-8.203638893279507,-9.211827305451013,-8.203638893279507,-9.211827305451013,-7.447420731658468,-7.996272720188671
61,-7.883400371882379,-9.120905414312013,-7.883400371882379,-9.120905414312013,-6.713286688707754,-8.012356799856777
62,-8.154369422853211,-9.482197482273124,-8.154369422853211,-9.482197482273124,-7.074578756668866,-8.37364886781789
63,-8.051096983458045,-9.344500896412901,-8.051096983458045,-9.344500896412901,-6.936882170808642,-8.235952281957665
