idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.97457547192316,-9.673741081242346,-8.573193893753473,-9.673741081242346,-6.717720393853354,-9.341497442058493
2,-9.191902691447439,-9.945400105647694,-8.790521113277752,-9.945400105647694,-7.079932426393818,-9.613156466463842
3,-9.10927621671867,-9.842117012236733,-8.707894638548982,-9.842117012236733,-6.9422216351792025,-9.50987337305288
4,-8.793915573530303,-9.447916208251275,-8.392533995360614,-9.447916208251275,-6.416620563198592,-9.11567256906742
5,-9.108762920650223,-9.841475392151175,-8.707381342480534,-9.841475392151175,-6.941366141731794,-9.509231752967322
6,-9.114344212150698,-9.848452006526768,-8.71296263398101,-9.848452006526768,-6.950668294232583,-9.341497442058493
7,-9.331671431674977,-10.120111030932117,-8.930289853505288,-10.120111030932117,-7.312880326773048,-9.613156466463842
8,-9.249044956946207,-10.016827937521155,-8.847663378776518,-10.016827937521155,-7.175169535558432,-9.50987337305288
9,-8.93368431375784,-9.622627133535698,-8.532302735588152,-9.622627133535698,-6.649568463577822,-9.11567256906742
10,-9.248531660877761,-10.016186317435597,-8.847150082708072,-10.016186317435597,-7.174314042111021,-9.509231752967322
11,-9.281758970826449,-10.057720454871456,-8.88037739265676,-10.057720454871456,-7.229692892025501,-9.341497442058493
12,-9.499086190350727,-10.329379479276804,-9.097704612181039,-10.329379479276804,-7.5919049245659656,-9.613156466463842
13,-9.416459715621958,-10.226096385865842,-9.015078137452269,-10.226096385865842,-7.45419413335135,-9.50987337305288
14,-9.10109907243359,-9.831895581880385,-8.699717494263902,-9.831895581880385,-6.928593061370738,-9.11567256906742
15,-9.41594641955351,-10.225454765780285,-9.014564841383823,-10.225454765780285,-7.45333863990394,-9.509231752967322
16,-8.270675508650559,-8.968262999985273,-7.768948535938447,-8.968262999985273,-6.717720393853354,-8.525271481073469
17,-8.542334533055907,-9.330475032525738,-8.040607560343796,-9.330475032525738,-7.079932426393818,-8.887483513613935
18,-8.439051439644945,-9.192764241311123,-7.937324466932834,-9.192764241311123,-6.9422216351792025,-8.74977272239932
19,-8.044850635659486,-8.667163169330511,-7.543123662947376,-8.667163169330511,-6.416620563198592,-8.224171650418707
20,-8.438409819559388,-9.191908747863712,-7.936682846847276,-9.191908747863712,-6.941366141731794,-8.748917228951909
21,-8.445386433934981,-9.2012109003645,-7.94365946122287,-9.2012109003645,-6.950668294232583,-8.525271481073469
22,-8.71704545834033,-9.563422932904965,-8.215318485628218,-9.563422932904965,-7.312880326773048,-8.887483513613935
23,-8.613762364929368,-9.425712141690349,-8.112035392217257,-9.425712141690349,-7.175169535558432,-8.74977272239932
24,-8.219561560943909,-8.90011106970974,-7.717834588231798,-8.90011106970974,-6.649568463577822,-8.224171650418707
25,-8.61312074484381,-9.424856648242939,-8.111393772131699,-9.424856648242939,-7.174314042111021,-8.748917228951909
26,-8.654654882279669,-9.48023549815742,-8.152927909567557,-9.48023549815742,-7.229692892025501,-8.525271481073469
27,-8.926313906685017,-9.842447530697884,-8.424586933972906,-9.842447530697884,-7.5919049245659656,-8.887483513613935
28,-8.823030813274055,-9.704736739483268,-8.321303840561944,-9.704736739483268,-7.45419413335135,-8.74977272239932
29,-8.428830009288596,-9.179135667502658,-7.927103036576486,-9.179135667502658,-6.928593061370738,-8.224171650418707
30,-8.822389193188497,-9.703881246035857,-8.320662220476386,-9.703881246035857,-7.45333863990394,-8.748917228951909
31,-8.404989289802021,-9.147348041520557,-7.90326231708991,-9.147348041520557,-6.717720393853354,-8.704356522608753
32,-8.67664831420737,-9.50956007406102,-8.174921341495258,-9.50956007406102,-7.079932426393818,-9.066568555149217
33,-8.573365220796408,-9.371849282846405,-8.071638248084296,-9.371849282846405,-6.9422216351792025,-8.928857763934602
34,-8.179164416810949,-8.846248210865793,-7.677437444098838,-8.846248210865793,-6.416620563198592,-8.40325669195399
35,-8.57272360071085,-9.370993789398995,-8.070996627998738,-9.370993789398995,-6.941366141731794,-8.928002270487191
36,-8.579700215086444,-9.380295941899783,-8.077973242374332,-9.380295941899783,-6.950668294232583,-8.704356522608753
37,-8.851359239491792,-9.74250797444025,-8.34963226677968,-9.74250797444025,-7.312880326773048,-9.066568555149217
38,-8.74807614608083,-9.604797183225633,-8.246349173368719,-9.604797183225633,-7.175169535558432,-8.928857763934602
39,-8.353875342095371,-9.079196111245022,-7.8521483693832606,-9.079196111245022,-6.649568463577822,-8.40325669195399
40,-8.747434525995272,-9.603941689778223,-8.245707553283161,-9.603941689778223,-7.174314042111021,-8.928002270487191
41,-8.788968663431131,-9.659320539692702,-8.28724169071902,-9.659320539692702,-7.229692892025501,-8.704356522608753
42,-9.06062768783648,-10.021532572233168,-8.558900715124368,-10.021532572233168,-7.5919049245659656,-9.066568555149217
43,-8.957344594425518,-9.883821781018552,-8.455617621713406,-9.883821781018552,-7.45419413335135,-8.928857763934602
44,-8.563143790440058,-9.35822070903794,-8.061416817727949,-9.35822070903794,-6.928593061370738,-8.40325669195399
45,-8.95670297433996,-9.882966287571142,-8.454976001627848,-9.882966287571142,-7.45333863990394,-8.928002270487191
46,-7.764651122408232,-8.663062617060797,-7.764651122408232,-8.663062617060797,-6.717720393853354,-7.829092005164833
47,-7.9819783419325105,-8.934721641466146,-7.9819783419325105,-8.934721641466146,-7.079932426393818,-8.100751029570182
48,-7.899351867203741,-8.831438548055184,-7.899351867203741,-8.831438548055184,-6.9422216351792025,-7.99746793615922
49,-7.583991224015375,-8.437237744069726,-7.583991224015375,-8.437237744069726,-6.416620563198592,-7.6032671321737615
50,-7.898838571135295,-8.830796927969626,-7.898838571135295,-8.830796927969626,-6.941366141731794,-7.996826316073662
51,-7.90441986263577,-8.837773542345218,-7.90441986263577,-8.837773542345218,-6.950668294232583,-7.829092005164833
52,-8.121747082160049,-9.109432566750566,-8.121747082160049,-9.109432566750566,-7.312880326773048,-8.100751029570182
53,-8.039120607431279,-9.006149473339605,-8.039120607431279,-9.006149473339605,-7.175169535558432,-7.99746793615922
54,-7.723759964242913,-8.611948669354145,-7.723759964242913,-8.611948669354145,-6.649568463577822,-7.6032671321737615
55,-8.038607311362833,-9.005507853254047,-8.038607311362833,-9.005507853254047,-7.174314042111021,-7.996826316073662
56,-8.07183462131152,-9.047041990689907,-8.07183462131152,-9.047041990689907,-7.229692892025501,-7.829092005164833
57,-8.2891618408358,-9.318701015095256,-8.2891618408358,-9.318701015095256,-7.5919049245659656,-8.100751029570182
58,-8.20653536610703,-9.215417921684294,-8.20653536610703,-9.215417921684294,-7.45419413335135,-7.99746793615922
59,-7.891174722918663,-8.821217117698836,-7.891174722918663,-8.821217117698836,-6.928593061370738,-7.6032671321737615
60,-8.206022070038582,-9.214776301598736,-8.206022070038582,-9.214776301598736,-7.45333863990394,-7.996826316073662
61,-7.887228949211547,-9.125970217682736,-7.887228949211547,-9.125970217682736,-6.717720393853354,-8.014009401821452
62,-8.158887973616896,-9.488182250223202,-8.158887973616896,-9.488182250223202,-7.079932426393818,-8.376221434361916
63,-8.055604880205934,-9.350471459008586,-8.055604880205934,-9.350471459008586,-6.9422216351792025,-8.2385106431473
64,-7.661404076220475,-8.824870387027975,-7.661404076220475,-8.824870387027975,-6.416620563198592,-7.712909571166691
65,-8.054963260120376,-9.349615965561176,-8.054963260120376,-9.349615965561176,-6.941366141731794,-8.237655149699892
66,-8.061939874495968,-9.358918118061966,-8.061939874495968,-9.358918118061966,-6.950668294232583,-8.014009401821452
67,-8.333598898901316,-9.721130150602432,-8.333598898901316,-9.721130150602432,-7.312880326773048,-8.376221434361916
68,-8.230315805490354,-9.583419359387817,-8.230315805490354,-9.583419359387817,-7.175169535558432,-8.2385106431473
69,-7.836115001504896,-9.057818287407205,-7.836115001504896,-9.057818287407205,-6.649568463577822,-7.712909571166691
70,-8.229674185404797,-9.582563865940406,-8.229674185404797,-9.582563865940406,-7.174314042111021,-8.237655149699892
71,-8.271208322840657,-9.637942715854884,-8.271208322840657,-9.637942715854884,-7.229692892025501,-8.014009401821452
72,-8.542867347246005,-10.000154748395348,-8.542867347246005,-10.000154748395348,-7.5919049245659656,-8.376221434361916
73,-8.439584253835044,-9.862443957180732,-8.439584253835044,-9.862443957180732,-7.45419413335135,-8.2385106431473
74,-8.045383449849584,-9.336842885200122,-8.045383449849584,-9.336842885200122,-6.928593061370738,-7.712909571166691
75,-8.438942633749486,-9.861588463733321,-8.438942633749486,-9.861588463733321,-7.45333863990394,-8.237655149699892
76,-8.17021053079729,-9.170011877547118,-8.17021053079729,-9.170011877547118,-6.717720393853354,-8.336041265651156
77,-8.387537750321568,-9.441670901952467,-8.387537750321568,-9.441670901952467,-7.079932426393818,-8.607700290056504
78,-8.304911275592799,-9.338387808541505,-8.304911275592799,-9.338387808541505,-6.9422216351792025,-8.504417196645543
79,-7.989550632404433,-8.944187004556046,-7.989550632404433,-8.944187004556046,-6.416620563198592,-8.110216392660085
