idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.849361551754345,-9.51914021778142,-8.445016343165896,-9.51914021778142,-6.672937741037295,-9.189011288157289
2,-9.061223075463655,-9.783967122418055,-8.656877866875204,-9.783967122418055,-7.026040280552809,-9.453838192793924
3,-8.98464544099913,-9.688245079337399,-8.58030023241068,-9.688245079337399,-6.8984108897786,-9.358116149713268
4,-8.677005805342812,-9.303695534767003,-8.272660596754363,-9.303695534767003,-6.38567816368474,-8.973566605142873
5,-8.983206445972709,-9.686446335554374,-8.57886123738426,-9.686446335554374,-6.8960125647345665,-9.356317405930243
6,-8.988151524448043,-9.69262768364854,-8.583806315859594,-9.69262768364854,-6.904254362193456,-9.189011288157289
7,-9.20001304815735,-9.957454588285175,-8.795667839568901,-9.957454588285175,-7.257356901708969,-9.453838192793924
8,-9.123435413692826,-9.86173254520452,-8.719090205104376,-9.86173254520452,-7.129727510934761,-9.358116149713268
9,-8.81579577803651,-9.477183000634124,-8.41145056944806,-9.477183000634124,-6.616994784840902,-8.973566605142873
10,-9.121996418666406,-9.859933801421494,-8.717651210077957,-9.859933801421494,-7.127329185890727,-9.356317405930243
11,-9.15289626134854,-9.898558604774161,-8.748551052760089,-9.898558604774161,-7.178828923694283,-9.189011288157289
12,-9.364757785057847,-10.163385509410796,-8.960412576469398,-10.163385509410796,-7.531931463209797,-9.453838192793924
13,-9.288180150593323,-10.06766346633014,-8.883834942004873,-10.06766346633014,-7.404302072435589,-9.358116149713268
14,-8.980540514937006,-9.683113921759745,-8.576195306348556,-9.683113921759745,-6.891569346341729,-8.973566605142873
15,-9.286741155566903,-10.065864722547115,-8.882395946978452,-10.065864722547115,-7.401903747391555,-9.356317405930243
16,-8.239749702472364,-8.929583974081135,-7.7343181917368025,-8.929583974081135,-6.672937741037295,-8.489412067915628
17,-8.504576607109,-9.28268651359665,-7.999145096373438,-9.28268651359665,-7.026040280552809,-8.842514607431143
18,-8.408854564028344,-9.155057122822441,-7.903423053292782,-9.155057122822441,-6.8984108897786,-8.714885216656935
19,-8.024305019457948,-8.642324396728581,-7.518873508722387,-8.642324396728581,-6.38567816368474,-8.202152490563074
20,-8.407055820245319,-9.152658797778408,-7.9016243095097565,-9.152658797778408,-6.8960125647345665,-8.712486891612901
21,-8.413237168339485,-9.160900595237297,-7.907805657603924,-9.160900595237297,-6.904254362193456,-8.489412067915628
22,-8.67806407297612,-9.51400313475281,-8.172632562240558,-9.51400313475281,-7.257356901708969,-8.842514607431143
23,-8.582342029895464,-9.386373743978604,-8.076910519159902,-9.386373743978604,-7.129727510934761,-8.714885216656935
24,-8.19779248532507,-8.873641017884744,-7.6923609745895085,-8.873641017884744,-6.616994784840902,-8.202152490563074
25,-8.58054328611244,-9.38397541893457,-8.075111775376879,-9.38397541893457,-7.127329185890727,-8.712486891612901
26,-8.619168089465106,-9.435475156738125,-8.113736578729544,-9.435475156738125,-7.178828923694283,-8.489412067915628
27,-8.88399499410174,-9.788577696253638,-8.378563483366179,-9.788577696253638,-7.531931463209797,-8.842514607431143
28,-8.788272951021085,-9.660948305479431,-8.282841440285523,-9.660948305479431,-7.404302072435589,-8.714885216656935
29,-8.403723406450691,-9.148215579385571,-7.898291895715129,-9.148215579385571,-6.891569346341729,-8.202152490563074
30,-8.786474207238061,-9.658549980435398,-8.2810426965025,-9.658549980435398,-7.401903747391555,-8.712486891612901
31,-8.373140980156235,-9.107439010992962,-7.867709469420673,-9.107439010992962,-6.672937741037295,-8.667267104827456
32,-8.63796788479287,-9.460541550508475,-8.132536374057308,-9.460541550508475,-7.026040280552809,-9.020369644342969
33,-8.542245841712214,-9.332912159734269,-8.036814330976652,-9.332912159734269,-6.8984108897786,-8.892740253568762
34,-8.157696297141818,-8.820179433640408,-7.652264786406257,-8.820179433640408,-6.38567816368474,-8.380007527474902
35,-8.540447097929189,-9.330513834690235,-8.035015587193627,-9.330513834690235,-6.8960125647345665,-8.890341928524728
36,-8.546628446023355,-9.338755632149125,-8.041196935287793,-9.338755632149125,-6.904254362193456,-8.667267104827456
37,-8.81145535065999,-9.691858171664638,-8.306023839924428,-9.691858171664638,-7.257356901708969,-9.020369644342969
38,-8.715733307579335,-9.56422878089043,-8.210301796843773,-9.56422878089043,-7.129727510934761,-8.892740253568762
39,-8.33118376300894,-9.051496054796571,-7.825752252273379,-9.051496054796571,-6.616994784840902,-8.380007527474902
40,-8.713934563796311,-9.561830455846396,-8.208503053060749,-9.561830455846396,-7.127329185890727,-8.890341928524728
41,-8.752559367148976,-9.613330193649952,-8.247127856413414,-9.613330193649952,-7.178828923694283,-8.667267104827456
42,-9.017386271785611,-9.966432733165465,-8.511954761050049,-9.966432733165465,-7.531931463209797,-9.020369644342969
43,-8.921664228704955,-9.838803342391257,-8.416232717969393,-9.838803342391257,-7.404302072435589,-8.892740253568762
44,-8.537114684134561,-9.326070616297399,-8.031683173399,-9.326070616297399,-6.891569346341729,-8.380007527474902
45,-8.919865484921932,-9.836405017347223,-8.41443397418637,-9.836405017347223,-7.401903747391555,-8.890341928524728
46,-7.73896419024854,-8.636575026634723,-7.73896419024854,-8.636575026634723,-6.672937741037295,-7.801014586275031
47,-7.9508257139578475,-8.901401931271359,-7.9508257139578475,-8.901401931271359,-7.026040280552809,-8.065841490911666
48,-7.874248079493323,-8.805679888190703,-7.874248079493323,-8.805679888190703,-6.8984108897786,-7.97011944783101
49,-7.566608443837007,-8.421130343620307,-7.566608443837007,-8.421130343620307,-6.38567816368474,-7.585569903260615
50,-7.872809084466903,-8.803881144407677,-7.872809084466903,-8.803881144407677,-6.8960125647345665,-7.968320704047985
51,-7.877754162942236,-8.810062492501844,-7.877754162942236,-8.810062492501844,-6.904254362193456,-7.801014586275031
52,-8.089615686651545,-9.07488939713848,-8.089615686651545,-9.07488939713848,-7.257356901708969,-8.065841490911666
53,-8.013038052187019,-8.979167354057823,-8.013038052187019,-8.979167354057823,-7.129727510934761,-7.97011944783101
54,-7.705398416530703,-8.594617809487428,-7.705398416530703,-8.594617809487428,-6.616994784840902,-7.585569903260615
55,-8.011599057160598,-8.977368610274798,-8.011599057160598,-8.977368610274798,-7.127329185890727,-7.968320704047985
56,-8.042498899842732,-9.015993413627465,-8.042498899842732,-9.015993413627465,-7.178828923694283,-7.801014586275031
57,-8.25436042355204,-9.2808203182641,-8.25436042355204,-9.2808203182641,-7.531931463209797,-8.065841490911666
58,-8.177782789087516,-9.185098275183444,-8.177782789087516,-9.185098275183444,-7.404302072435589,-7.97011944783101
59,-7.870143153431199,-8.800548730613048,-7.870143153431199,-8.800548730613048,-6.891569346341729,-7.585569903260615
60,-8.176343794061095,-9.183299531400419,-8.176343794061095,-9.183299531400419,-7.401903747391555,-7.968320704047985
61,-7.851798153130584,-9.086223922606179,-7.851798153130584,-9.086223922606179,-6.672937741037295,-7.972143335459921
62,-8.11662505776722,-9.439326462121691,-8.11662505776722,-9.439326462121691,-7.026040280552809,-8.325245874975435
63,-8.020903014686564,-9.311697071347483,-8.020903014686564,-9.311697071347483,-6.8984108897786,-8.197616484201227
64,-7.636353470116169,-8.798964345253625,-7.636353470116169,-8.798964345253625,-6.38567816368474,-7.684883758107367
65,-8.019104270903538,-9.30929874630345,-8.019104270903538,-9.30929874630345,-6.8960125647345665,-8.195218159157193
66,-8.025285618997705,-9.31754054376234,-8.025285618997705,-9.31754054376234,-6.904254362193456,-7.972143335459921
67,-8.29011252363434,-9.670643083277852,-8.29011252363434,-9.670643083277852,-7.257356901708969,-8.325245874975435
68,-8.194390480553684,-9.543013692503644,-8.194390480553684,-9.543013692503644,-7.129727510934761,-8.197616484201227
69,-7.809840935983289,-9.030280966409785,-7.809840935983289,-9.030280966409785,-6.616994784840902,-7.684883758107367
70,-8.192591736770659,-9.54061536745961,-8.192591736770659,-9.54061536745961,-7.127329185890727,-8.195218159157193
71,-8.231216540123325,-9.592115105263167,-8.231216540123325,-9.592115105263167,-7.178828923694283,-7.972143335459921
72,-8.49604344475996,-9.94521764477868,-8.49604344475996,-9.94521764477868,-7.531931463209797,-8.325245874975435
73,-8.400321401679305,-9.817588254004471,-8.400321401679305,-9.817588254004471,-7.404302072435589,-8.197616484201227
74,-8.01577185710891,-9.304855527910613,-8.01577185710891,-9.304855527910613,-6.891569346341729,-7.684883758107367
75,-8.39852265789628,-9.815189928960438,-8.39852265789628,-9.815189928960438,-7.401903747391555,-8.195218159157193
76,-8.143042937722198,-9.141673460976797,-8.143042937722198,-9.141673460976797,-6.672937741037295,-8.306113020617104
77,-8.354904461431506,-9.406500365613432,-8.354904461431506,-9.406500365613432,-7.026040280552809,-8.57093992525374
78,-8.278326826966982,-9.310778322532776,-8.278326826966982,-9.310778322532776,-6.8984108897786,-8.475217882173084
79,-7.970687191310665,-8.92622877796238,-7.970687191310665,-8.92622877796238,-6.38567816368474,-8.090668337602688
80,-8.276887831940561,-9.308979578749751,-8.276887831940561,-9.308979578749751,-6.8960125647345665,-8.473419138390058
81,-8.281832910415895,-9.315160926843918,-8.281832910415895,-9.315160926843918,-6.904254362193456,-8.306113020617104
82,-8.493694434125203,-9.579987831480553,-8.493694434125203,-9.579987831480553,-7.257356901708969,-8.57093992525374
83,-8.417116799660679,-9.484265788399897,-8.417116799660679,-9.484265788399897,-7.129727510934761,-8.475217882173084
84,-8.109477164004362,-9.099716243829501,-8.109477164004362,-9.099716243829501,-6.616994784840902,-8.090668337602688
85,-8.415677804634258,-9.482467044616872,-8.415677804634258,-9.482467044616872,-7.127329185890727,-8.473419138390058
86,-8.446577647316392,-9.521091847969538,-8.446577647316392,-9.521091847969538,-7.178828923694283,-8.306113020617104
87,-8.6584391710257,-9.785918752606173,-8.6584391710257,-9.785918752606173,-7.531931463209797,-8.57093992525374
88,-8.581861536561174,-9.690196709525518,-8.581861536561174,-9.690196709525518,-7.404302072435589,-8.475217882173084
89,-8.274221900904859,-9.305647164955122,-8.274221900904859,-9.305647164955122,-6.891569346341729,-8.090668337602688
90,-8.580422541534755,-9.688397965742492,-8.580422541534755,-9.688397965742492,-7.401903747391555,-8.473419138390058
91,-7.942503582390052,-9.207164494952135,-7.942503582390052,-9.207164494952135,-6.672937741037295,-8.093083907805878
92,-8.207330487026688,-9.560267034467648,-8.207330487026688,-9.560267034467648,-7.026040280552809,-8.446186447321393
93,-8.111608443946032,-9.432637643693441,-8.111608443946032,-9.432637643693441,-6.8984108897786,-8.318557056547185
94,-7.727058899375637,-8.919904917599581,-7.727058899375637,-8.919904917599581,-6.38567816368474,-7.805824330453324
95,-8.109809700163005,-9.430239318649408,-8.109809700163005,-9.430239318649408,-6.8960125647345665,-8.316158731503151
96,-8.115991048257174,-9.438481116108298,-8.115991048257174,-9.438481116108298,-6.904254362193456,-8.093083907805878
97,-8.380817952893809,-9.79158365562381,-8.380817952893809,-9.79158365562381,-7.257356901708969,-8.446186447321393
98,-8.285095909813153,-9.663954264849602,-8.285095909813153,-9.663954264849602,-7.129727510934761,-8.318557056547185
