idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.849586406999212,-9.519421771192839,-8.44533211625886,-9.519421771192837,-6.673929460019842,-9.189285810748098
2,-9.061046608543325,-9.783747023122979,-8.656792317802973,-9.783747023122979,-7.026363129260031,-9.453611062678238
3,-8.984464645101001,-9.688019568820074,-8.580210354360648,-9.688019568820074,-6.898726523522824,-9.357883608375333
4,-8.677005142208435,-9.303695190204367,-8.272750851468084,-9.303695190204365,-6.3862940187018795,-8.973559229759626
5,-8.983335395256685,-9.686608006514678,-8.579081104516332,-9.686608006514676,-6.8968444404489615,-9.356472046069937
6,-8.98838999278207,-9.692926253421408,-8.584135702041717,-9.692926253421408,-6.905268769657937,-9.189285810748098
7,-9.199850194326181,-9.957251505351548,-8.795595903585829,-9.957251505351548,-7.257702438898124,-9.453611062678238
8,-9.123268230883857,-9.861524051048644,-8.719013940143505,-9.861524051048644,-7.130065833160917,-9.357883608375333
9,-8.815808727991293,-9.477199672432937,-8.411554437250938,-9.477199672432937,-6.617633328339974,-8.973559229759626
10,-9.12213898103954,-9.860112488743248,-8.717884690299188,-9.860112488743248,-7.128183750087056,-9.356472046069937
11,-9.153254919720172,-9.899007412094038,-8.74900062897982,-9.899007412094036,-7.180043647888108,-9.189285810748098
12,-9.364715121264284,-10.163332664024178,-8.960460830523932,-10.163332664024177,-7.532477317128296,-9.453611062678238
13,-9.28813315782196,-10.067605209721274,-8.88387886708161,-10.067605209721272,-7.404840711391088,-9.357883608375333
14,-8.980673654929394,-9.683280831105566,-8.576419364189043,-9.683280831105565,-6.8924082065701455,-8.973559229759626
15,-9.287003907977644,-10.066193647415878,-8.882749617237291,-10.066193647415876,-7.402958628317227,-9.356472046069937
16,-8.240487746927466,-8.930568679161716,-7.735169883502026,-8.930568679161716,-6.673929460019842,-8.49038739856873
17,-8.504812998857608,-9.283002348401906,-7.999495135432166,-9.283002348401906,-7.026363129260031,-8.842821067808918
18,-8.409085544554703,-9.155365742664697,-7.903767681129262,-9.155365742664697,-6.898726523522824,-8.715184462071711
19,-8.024761165938994,-8.642933237843755,-7.5194433025135545,-8.642933237843755,-6.3862940187018795,-8.202751957250769
20,-8.407673982249305,-9.153483659590835,-7.902356118823866,-9.153483659590835,-6.8968444404489615,-8.71330237899785
21,-8.413992229156037,-9.161907988799811,-7.908674365730596,-9.161907988799811,-6.905268769657937,-8.49038739856873
22,-8.678317481086177,-9.514341658039998,-8.172999617660736,-9.514341658039998,-7.257702438898124,-8.842821067808918
23,-8.582590026783272,-9.386705052302792,-8.077272163357831,-9.386705052302792,-7.130065833160917,-8.715184462071711
24,-8.198265648167565,-8.87427254748185,-7.692947784742124,-8.87427254748185,-6.617633328339974,-8.202751957250769
25,-8.581178464477876,-9.38482296922893,-8.075860601052435,-9.38482296922893,-7.128183750087056,-8.71330237899785
26,-8.620073387828665,-9.436682867029981,-8.114755524403224,-9.436682867029981,-7.180043647888108,-8.49038739856873
27,-8.884398639758805,-9.789116536270171,-8.379080776333366,-9.789116536270171,-7.532477317128296,-8.842821067808918
28,-8.7886711854559,-9.661479930532964,-8.283353322030461,-9.661479930532964,-7.404840711391088,-8.715184462071711
29,-8.404346806840193,-9.14904742571202,-7.899028943414752,-9.14904742571202,-6.8924082065701455,-8.202751957250769
30,-8.787259623150504,-9.659597847459102,-8.281941759725063,-9.659597847459102,-7.402958628317227,-8.71330237899785
31,-8.373774268691093,-9.10828404151322,-7.868456405265654,-9.10828404151322,-6.673929460019842,-8.668102760920235
32,-8.638099520621235,-9.460717710753409,-8.132781657195794,-9.460717710753409,-7.026363129260031,-9.020536430160421
33,-8.542372066318329,-9.333081105016202,-8.03705420289289,-9.333081105016202,-6.898726523522824,-8.892899824423216
34,-8.158047687702622,-8.820648600195257,-7.652729824277182,-8.820648600195257,-6.3862940187018795,-8.380467319602273
35,-8.540960504012933,-9.33119902194234,-8.035642640587493,-9.33119902194234,-6.8968444404489615,-8.891017741349353
36,-8.547278750919665,-9.339623351151316,-8.041960887494223,-9.339623351151316,-6.905268769657937,-8.668102760920235
37,-8.811604002849805,-9.692057020391502,-8.306286139424364,-9.692057020391502,-7.257702438898124,-9.020536430160421
38,-8.7158765485469,-9.564420414654295,-8.210558685121459,-9.564420414654295,-7.130065833160917,-8.892899824423216
39,-8.331552169931193,-9.051987909833352,-7.826234306505752,-9.051987909833352,-6.617633328339974,-8.380467319602273
40,-8.714464986241504,-9.562538331580434,-8.209147122816063,-9.562538331580434,-7.128183750087056,-8.891017741349353
41,-8.753359909592293,-9.614398229381486,-8.248042046166852,-9.614398229381486,-7.180043647888108,-8.668102760920235
42,-9.017685161522433,-9.966831898621676,-8.512367298096994,-9.966831898621676,-7.532477317128296,-9.020536430160421
43,-8.921957707219528,-9.839195292884467,-8.416639843794087,-9.839195292884467,-7.404840711391088,-8.892899824423216
44,-8.537633328603821,-9.326762788063524,-8.03231546517838,-9.326762788063524,-6.8924082065701455,-8.380467319602273
45,-8.920546144914132,-9.837313209810604,-8.415228281488691,-9.837313209810604,-7.402958628317227,-8.891017741349353
46,-7.739553463647053,-8.637198455428079,-7.739553463647053,-8.637198455428079,-6.673929460019842,-7.801744631557897
47,-7.951013665191165,-8.90152370735822,-7.951013665191165,-8.90152370735822,-7.026363129260031,-8.066069883488039
48,-7.874431701748842,-8.805796253055314,-7.874431701748842,-8.805796253055314,-6.898726523522824,-7.970342429185133
49,-7.566972198856275,-8.421471874439607,-7.566972198856275,-8.421471874439607,-6.3862940187018795,-7.586018050569425
50,-7.873302451904524,-8.804384690749918,-7.873302451904524,-8.804384690749918,-6.8968444404489615,-7.968930866879736
51,-7.878357049429908,-8.810702937656648,-7.878357049429908,-8.810702937656648,-6.905268769657937,-7.801744631557897
52,-8.089817250974022,-9.07502818958679,-8.089817250974022,-9.07502818958679,-7.257702438898124,-8.066069883488039
53,-8.013235287531696,-8.979300735283886,-8.013235287531696,-8.979300735283886,-7.130065833160917,-7.970342429185133
54,-7.7057757846391315,-8.594976356668177,-7.7057757846391315,-8.594976356668177,-6.617633328339974,-7.586018050569425
55,-8.01210603768738,-8.977889172978488,-8.01210603768738,-8.977889172978488,-7.128183750087056,-7.968930866879736
56,-8.043221976368013,-9.016784096329276,-8.043221976368011,-9.016784096329278,-7.180043647888108,-7.801744631557897
57,-8.254682177912125,-9.281109348259418,-8.254682177912125,-9.281109348259418,-7.532477317128296,-8.066069883488039
58,-8.1781002144698,-9.185381893956514,-8.178100214469799,-9.185381893956514,-7.404840711391088,-7.970342429185133
59,-7.870640711577235,-8.801057515340805,-7.870640711577233,-8.801057515340807,-6.8924082065701455,-7.586018050569425
60,-8.176970964625484,-9.183970331651116,-8.176970964625482,-9.183970331651118,-7.402958628317227,-7.968930866879736
61,-7.852545088975564,-9.087068953126435,-7.852545088975564,-9.087068953126435,-6.673929460019842,-7.973130521299528
62,-8.116870340905706,-9.439502622366625,-8.116870340905706,-9.439502622366625,-7.026363129260031,-8.325564190539716
63,-8.0211428866028,-9.311866016629418,-8.0211428866028,-9.311866016629418,-6.898726523522824,-8.197927584802509
64,-7.636818507987092,-8.799433511808473,-7.636818507987092,-8.799433511808473,-6.3862940187018795,-7.685495079981567
65,-8.019731324297403,-9.309983933555555,-8.019731324297403,-9.309983933555555,-6.8968444404489615,-8.196045501728648
66,-8.026049571204135,-9.31840826276453,-8.026049571204135,-9.31840826276453,-6.905268769657937,-7.973130521299528
67,-8.290374823134275,-9.670841932004718,-8.290374823134275,-9.670841932004718,-7.257702438898124,-8.325564190539716
68,-8.19464736883137,-9.543205326267511,-8.19464736883137,-9.543205326267511,-7.130065833160917,-8.197927584802509
69,-7.8103229902156635,-9.030772821446568,-7.8103229902156635,-9.030772821446568,-6.617633328339974,-7.685495079981567
70,-8.193235806525974,-9.54132324319365,-8.193235806525974,-9.54132324319365,-7.128183750087056,-8.196045501728648
71,-8.232130729876763,-9.593183140994702,-8.232130729876763,-9.593183140994702,-7.180043647888108,-7.973130521299528
72,-8.496455981806903,-9.945616810234888,-8.496455981806903,-9.945616810234888,-7.532477317128296,-8.325564190539716
73,-8.400728527503999,-9.817980204497681,-8.400728527503999,-9.817980204497681,-7.404840711391088,-8.197927584802509
74,-8.016404148888292,-9.305547699676739,-8.016404148888292,-9.305547699676739,-6.8924082065701455,-7.685495079981567
75,-8.399316965198603,-9.81609812142382,-8.399316965198603,-9.81609812142382,-7.402958628317227,-8.196045501728648
76,-8.143383287692982,-9.141985735485491,-8.143383287692982,-9.141985735485491,-6.673929460019842,-8.306531911615311
77,-8.354843489237094,-9.406310987415631,-8.354843489237094,-9.406310987415633,-7.026363129260031,-8.570857163545451
78,-8.278261525794772,-9.310583533112727,-8.278261525794772,-9.310583533112727,-6.898726523522824,-8.475129709242546
79,-7.970802022902205,-8.92625915449702,-7.970802022902205,-8.92625915449702,-6.3862940187018795,-8.09080533062684
80,-8.277132275950454,-9.30917197080733,-8.277132275950454,-9.30917197080733,-6.8968444404489615,-8.47371814693715
81,-8.28218687347584,-9.315490217714062,-8.28218687347584,-9.315490217714062,-6.905268769657937,-8.306531911615311
82,-8.493647075019952,-9.579815469644203,-8.493647075019952,-9.579815469644203,-7.257702438898124,-8.570857163545451
83,-8.417065111577628,-9.484088015341298,-8.417065111577628,-9.484088015341298,-7.130065833160917,-8.475129709242546
84,-8.109605608685062,-9.09976363672559,-8.109605608685062,-9.09976363672559,-6.617633328339974,-8.09080533062684
85,-8.415935861733312,-9.482676453035902,-8.415935861733312,-9.482676453035902,-7.128183750087056,-8.47371814693715
86,-8.447051800413941,-9.52157137638669,-8.447051800413941,-9.52157137638669,-7.180043647888108,-8.306531911615311
87,-8.658512001958055,-9.78589662831683,-8.658512001958055,-9.78589662831683,-7.532477317128296,-8.570857163545451
88,-8.58193003851573,-9.690169174013926,-8.58193003851573,-9.690169174013926,-7.404840711391088,-8.475129709242546
89,-8.274470535623164,-9.305844795398219,-8.274470535623164,-9.305844795398219,-6.8924082065701455,-8.09080533062684
90,-8.580800788671414,-9.68875761170853,-8.580800788671414,-9.68875761170853,-7.402958628317227,-8.47371814693715
91,-7.943250518235033,-9.208009525472393,-7.943250518235033,-9.208009525472393,-6.673929460019842,-8.094071093645484
92,-8.207575770165173,-9.560443194712581,-8.207575770165173,-9.560443194712581,-7.026363129260031,-8.446504762885674
93,-8.111848315862268,-9.432806588975374,-8.111848315862268,-9.432806588975374,-6.898726523522824,-8.318868157148467
94,-7.727523937246561,-8.920374084154432,-7.727523937246561,-8.920374084154432,-6.3862940187018795,-7.806435652327522
95,-8.110436753556872,-9.430924505901514,-8.110436753556872,-9.430924505901514,-6.8968444404489615,-8.316986074074604
96,-8.116755000463602,-9.439348835110486,-8.116755000463602,-9.439348835110486,-6.905268769657937,-8.094071093645484
97,-8.381080252393744,-9.791782504350676,-8.381080252393744,-9.791782504350676,-7.257702438898124,-8.446504762885674
98,-8.285352798090837,-9.664145898613468,-8.285352798090837,-9.664145898613468,-7.130065833160917,-8.318868157148467
99,-7.90102841947513,-9.151713393792525,-7.90102841947513,-9.151713393792525,-6.617633328339974,-7.806435652327522
100,-8.283941235785441,-9.662263815539605,-8.283941235785441,-9.662263815539605,-7.128183750087056,-8.316986074074604
101,-8.322836159136232,-9.71412371334066,-8.322836159136232,-9.71412371334066,-7.180043647888108,-8.094071093645484
102,-8.587161411066372,-10.066557382580847,-8.587161411066372,-10.066557382580847,-7.532477317128296,-8.446504762885674
103,-8.491433956763467,-9.93892077684364,-8.491433956763467,-9.93892077684364,-7.404840711391088,-8.318868157148467
104,-8.10710957814776,-9.426488272022697,-8.10710957814776,-9.426488272022697,-6.8924082065701455,-7.806435652327522
105,-8.490022394458071,-9.937038693769779,-8.490022394458071,-9.937038693769779,-7.402958628317227,-8.316986074074604
106,-7.824668138436817,-9.049899685741439,-7.824668138436818,-9.049899685741439,-6.673929460019842,-7.935961253914532
107,-8.088993390366959,-9.402333354981629,-8.088993390366959,-9.402333354981629,-7.026363129260031,-8.288394923154721
108,-7.993265936064053,-9.274696749244422,-7.993265936064054,-9.274696749244422,-6.898726523522824,-8.160758317417512
109,-7.608941557448345,-8.762264244423477,-7.608941557448347,-8.762264244423477,-6.3862940187018795,-7.64832581259657
110,-7.991854373758656,-9.272814666170559,-7.991854373758658,-9.272814666170559,-6.8968444404489615,-8.158876234343651
111,-7.998172620665388,-9.281238995379534,-7.998172620665388,-9.281238995379534,-6.905268769657937,-7.935961253914532
112,-8.262497872595528,-9.633672664619722,-8.262497872595528,-9.633672664619722,-7.257702438898124,-8.288394923154721
113,-8.166770418292623,-9.506036058882515,-8.166770418292623,-9.506036058882515,-7.130065833160917,-8.160758317417512
114,-7.782446039676916,-8.993603554061572,-7.782446039676916,-8.993603554061572,-6.617633328339974,-7.64832581259657
115,-8.165358855987227,-9.504153975808654,-8.165358855987227,-9.504153975808654,-7.128183750087056,-8.158876234343651
116,-8.204253779338016,-9.556013873609706,-8.204253779338016,-9.556013873609706,-7.180043647888108,-7.935961253914532
117,-8.468579031268158,-9.908447542849894,-8.468579031268158,-9.908447542849894,-7.532477317128296,-8.288394923154721
118,-8.372851576965253,-9.780810937112687,-8.372851576965253,-9.780810937112687,-7.404840711391088,-8.160758317417512
119,-7.988527198349544,-9.268378432291742,-7.988527198349544,-9.268378432291742,-6.8924082065701455,-7.64832581259657
120,-8.371440014659855,-9.778928854038824,-8.371440014659855,-9.778928854038824,-7.402958628317227,-8.158876234343651
121,-8.314255464417013,-9.147311857995827,-8.314255464417014,-9.147311857995826,-6.673929460019842,-8.478948798899681
122,-8.490472299037107,-9.35877205953994,-8.490472299037107,-9.358772059539938,-7.026363129260031,-8.690409000443793
123,-8.426653996168502,-9.282190096097615,-8.426653996168504,-9.282190096097613,-6.898726523522824,-8.61382703700147
124,-8.170437743758031,-8.974730593205049,-8.170437743758033,-8.974730593205049,-6.3862940187018795,-8.306367534108904
125,-8.425712954631573,-9.281060846253299,-8.425712954631573,-9.281060846253297,-6.8968444404489615,-8.612697787157153
126,-8.42992511923606,-9.286115443778682,-8.42992511923606,-9.286115443778682,-6.905268769657937,-8.478948798899681
127,-8.606141953856154,-9.497575645322794,-8.606141953856154,-9.497575645322794,-7.257702438898124,-8.690409000443793
128,-8.54232365098755,-9.420993681880471,-8.54232365098755,-9.420993681880471,-7.130065833160917,-8.61382703700147
129,-8.286107398577078,-9.113534178987905,-8.286107398577078,-9.113534178987905,-6.617633328339974,-8.306367534108904
130,-8.54138260945062,-9.419864432036153,-8.54138260945062,-9.419864432036153,-7.128183750087056,-8.612697787157153
131,-8.567312558351146,-9.450980370716785,-8.567312558351146,-9.450980370716785,-7.180043647888108,-8.478948798899681
132,-8.743529392971238,-9.662440572260897,-8.743529392971238,-9.662440572260897,-7.532477317128296,-8.690409000443793
133,-8.679711090102636,-9.585858608818572,-8.679711090102636,-9.585858608818572,-7.404840711391088,-8.61382703700147
134,-8.423494837692164,-9.278399105926008,-8.423494837692164,-9.278399105926008,-6.8924082065701455,-8.306367534108904
135,-8.678770048565704,-9.584729358974256,-8.678770048565704,-9.584729358974256,-7.402958628317227,-8.612697787157153
136,-9.030836903130721,-9.507602228615058,-8.742083838316185,-9.507602228615058,-6.673929460019842,-9.287511588318564
137,-9.181879904233659,-9.683819063235152,-8.893126839419121,-9.68381906323515,-7.026363129260031,-9.463728422938656
138,-9.127178501774855,-9.62000076036655,-8.83842543696032,-9.620000760366548,-6.898726523522824,-9.399910120070054
139,-8.907564571137309,-9.363784507956078,-8.618811506322773,-9.363784507956076,-6.3862940187018795,-9.143693867659582
140,-9.126371894743201,-9.619059718829618,-8.837618829928664,-9.619059718829616,-6.8968444404489615,-9.398969078533122
141,-9.129982321547049,-9.623271883434105,-8.84122925673251,-9.623271883434105,-6.905268769657937,-9.287511588318564
142,-9.281025322649985,-9.799488718054198,-8.992272257835447,-9.799488718054198,-7.257702438898124,-9.463728422938656
143,-9.226323920191183,-9.735670415185595,-8.937570855376645,-9.735670415185595,-7.130065833160917,-9.399910120070054
144,-9.006709989553636,-9.479454162775124,-8.717956924739097,-9.479454162775124,-6.617633328339974,-9.143693867659582
145,-9.225517313159527,-9.734729373648664,-8.93676424834499,-9.734729373648664,-7.128183750087056,-9.398969078533122
146,-9.247742983645692,-9.76065932254919,-8.958989918831156,-9.76065932254919,-7.180043647888108,-9.287511588318564
147,-9.39878598474863,-9.936876157169284,-9.110032919934094,-9.936876157169284,-7.532477317128296,-9.463728422938656
148,-9.344084582289826,-9.873057854300681,-9.055331517475292,-9.873057854300681,-7.404840711391088,-9.399910120070054
