idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.968772660152446,-9.666994063582628,-8.567543332074132,-9.666994063582628,-6.7107398901291715,-9.337014558800359
2,-9.18575682200169,-9.938224265894183,-8.784527493923376,-9.938224265894183,-7.072380159877912,-9.608244761111914
3,-9.103075364857023,-9.834872444463349,-8.70184603677871,-9.83487244446335,-6.9345777313034676,-9.504892939681081
4,-8.78816498340792,-9.441234467651972,-8.386935655329609,-9.441234467651974,-6.409727095554964,-9.111254962869705
5,-9.102229578425966,-9.833815211424525,-8.70100025034765,-9.833815211424527,-6.933168087251704,-9.503835706642258
6,-9.108644310734395,-9.841833626810065,-8.707414982656081,-9.841833626810065,-6.943859307765753,-9.337014558800359
7,-9.32562847258364,-10.11306382912162,-8.924399144505326,-10.11306382912162,-7.305499577514493,-9.608244761111914
8,-9.242947015438974,-10.009712007690787,-8.84171768736066,-10.009712007690787,-7.16769714894005,-9.504892939681081
9,-8.928036633989871,-9.61607403087941,-8.526807305911557,-9.61607403087941,-6.642846513191547,-9.111254962869705
10,-9.242101229007915,-10.008654774651964,-8.840871900929601,-10.008654774651964,-7.1662875048882855,-9.503835706642258
11,-9.275670596471493,-10.050616483981436,-8.874441268393179,-10.050616483981436,-7.222236450660915,-9.337014558800359
12,-9.492654758320736,-10.321846686292991,-9.091425430242422,-10.321846686292991,-7.5838767204096555,-9.608244761111914
13,-9.40997330117607,-10.218494864862159,-9.008743973097756,-10.218494864862159,-7.446074291835212,-9.504892939681081
14,-9.095062919726967,-9.824856888050782,-8.693833591648655,-9.824856888050782,-6.921223656086709,-9.111254962869705
15,-9.409127514745013,-10.217437631823335,-9.007898186666697,-10.217437631823335,-7.444664647783448,-9.503835706642258
16,-8.265038409279928,-8.961422196895995,-7.763501749182035,-8.961422196895995,-6.7107398901291715,-8.52144952385297
17,-8.536268611591483,-9.323062466644735,-8.03473195149359,-9.323062466644735,-7.072380159877912,-8.883089793601712
18,-8.432916790160649,-9.185260038070291,-7.931380130062758,-9.185260038070291,-6.9345777313034676,-8.745287365027266
19,-8.039278813349272,-8.660409402321788,-7.53774215325138,-8.660409402321788,-6.409727095554964,-8.220436729278765
20,-8.431859557121825,-9.183850394018528,-7.930322897023935,-9.183850394018528,-6.933168087251704,-8.743877720975503
21,-8.439877972507364,-9.194541614532579,-7.938341312409472,-9.194541614532579,-6.943859307765753,-8.52144952385297
22,-8.71110817481892,-9.55618188428132,-8.209571514721027,-9.55618188428132,-7.305499577514493,-8.883089793601712
23,-8.607756353388087,-9.418379455706875,-8.106219693290194,-9.418379455706875,-7.16769714894005,-8.745287365027266
24,-8.21411837657671,-8.893528819958371,-7.712581716478817,-8.893528819958371,-6.642846513191547,-8.220436729278765
25,-8.606699120349264,-9.41696981165511,-8.105162460251371,-9.41696981165511,-7.1662875048882855,-8.743877720975503
26,-8.648660829678736,-9.47291875742774,-8.147124169580843,-9.47291875742774,-7.222236450660915,-8.52144952385297
27,-8.919891031990291,-9.834559027176482,-8.418354371892399,-9.834559027176482,-7.5838767204096555,-8.883089793601712
28,-8.816539210559458,-9.696756598602036,-8.315002550461566,-9.696756598602036,-7.446074291835212,-8.745287365027266
29,-8.422901233748082,-9.171905962853534,-7.921364573650188,-9.171905962853534,-6.921223656086709,-8.220436729278765
30,-8.815481977520635,-9.695346954550272,-8.313945317422743,-9.695346954550272,-7.444664647783448,-8.743877720975503
31,-8.397947806157227,-9.13863472606573,-7.896411146059336,-9.13863472606573,-6.7107398901291715,-8.698662053022705
32,-8.669178008468784,-9.50027499581447,-8.167641348370891,-9.50027499581447,-7.072380159877912,-9.060302322771447
33,-8.565826187037949,-9.362472567240026,-8.064289526940058,-9.362472567240026,-6.9345777313034676,-8.922499894197001
34,-8.172188210226572,-8.837621931491523,-7.670651550128681,-8.837621931491523,-6.409727095554964,-8.397649258448498
