idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.97145379758875,-9.670066251975285,-8.57000353790654,-9.670066251975285,-6.715218866735593,-9.337782163609386
2,-9.188786964195629,-9.941732710233884,-8.787336704513418,-9.941732710233884,-7.077440811080391,-9.609448621867985
3,-9.106147552300698,-9.838433445365222,-8.704697292618487,-9.838433445365222,-6.9397084579221735,-9.506149356999323
4,-8.79092624320138,-9.444406808991074,-8.389475983519171,-9.444406808991074,-6.414339609423312,-9.112122720625175
5,-9.105665419338909,-9.837830779162985,-8.7042151596567,-9.837830779162985,-6.9389049029858585,-9.505546690797086
6,-9.110980145845032,-9.844474187295639,-8.709529886162823,-9.844474187295639,-6.947762780496063,-9.337782163609386
7,-9.328313312451911,-10.116140645554237,-8.9268630527697,-10.116140645554237,-7.309984724840862,-9.609448621867985
8,-9.24567390055698,-10.012841380685575,-8.84422364087477,-10.012841380685575,-7.172252371682645,-9.506149356999323
9,-8.930452591457662,-9.618814744311427,-8.529002331775454,-9.618814744311427,-6.646883523183782,-9.112122720625175
10,-9.245191767595191,-10.012238714483338,-8.843741507912982,-10.012238714483338,-7.17144881674633,-9.505546690797086
11,-9.278289090329276,-10.053610367900943,-8.876838830647067,-10.053610367900943,-7.226611021303135,-9.337782163609386
12,-9.495622256936155,-10.325276826159541,-9.094171997253946,-10.325276826159541,-7.588832965647935,-9.609448621867985
13,-9.412982845041224,-10.221977561290878,-9.011532585359015,-10.221977561290878,-7.451100612489718,-9.506149356999323
14,-9.097761535941906,-9.827950924916731,-8.696311276259697,-9.827950924916731,-6.925731763990856,-9.112122720625175
15,-9.412500712079435,-10.221374895088642,-9.011050452397226,-10.221374895088642,-7.450297057553403,-9.505546690797086
16,-8.268783211314041,-8.966042955071186,-7.766970386711279,-8.966042955071186,-6.715218866735593,-8.522997503916654
17,-8.54044966957264,-9.328264899415986,-8.03863684496988,-9.328264899415986,-7.077440811080391,-8.885219448261452
18,-8.437150404703978,-9.190532546257769,-7.935337580101216,-9.190532546257769,-6.9397084579221735,-8.747487095103235
19,-8.04312376832983,-8.665163697758906,-7.541310943727069,-8.665163697758906,-6.414339609423312,-8.222118246604373
20,-8.43654773850174,-9.189728991321454,-7.934734913898979,-9.189728991321454,-6.9389049029858585,-8.74668354016692
21,-8.443191146634394,-9.198586868831656,-7.941378322031632,-9.198586868831656,-6.947762780496063,-8.522997503916654
22,-8.714857604892993,-9.560808813176456,-8.213044780290232,-9.560808813176456,-7.309984724840862,-8.885219448261452
23,-8.611558340024331,-9.423076460018239,-8.109745515421569,-9.423076460018239,-7.172252371682645,-8.747487095103235
24,-8.217531703650183,-8.897707611519378,-7.715718879047422,-8.897707611519378,-6.646883523183782,-8.222118246604373
25,-8.610955673822094,-9.422272905081924,-8.109142849219332,-9.422272905081924,-7.17144881674633,-8.74668354016692
26,-8.652327327239698,-9.477435109638732,-8.150514502636938,-9.477435109638732,-7.226611021303135,-8.522997503916654
27,-8.923993785498297,-9.83965705398353,-8.422180960895536,-9.83965705398353,-7.588832965647935,-8.885219448261452
28,-8.820694520629633,-9.701924700825312,-8.318881696026875,-9.701924700825312,-7.451100612489718,-8.747487095103235
29,-8.426667884255487,-9.17655585232645,-7.924855059652727,-9.17655585232645,-6.925731763990856,-8.222118246604373
30,-8.820091854427398,-9.701121145888997,-8.318279029824637,-9.701121145888997,-7.450297057553403,-8.74668354016692
31,-8.401945409796143,-9.143592553047325,-7.900132585193383,-9.143592553047325,-6.715218866735593,-8.70054710189279
32,-8.673611868054742,-9.505814497392123,-8.171799043451982,-9.505814497392123,-7.077440811080391,-9.06276904623759
33,-8.570312603186078,-9.368082144233906,-8.06849977858332,-9.368082144233906,-6.9397084579221735,-8.925036693079372
34,-8.176285966811932,-8.842713295735043,-7.674473142209172,-8.842713295735043,-6.414339609423312,-8.39966784458051
35,-8.569709936983843,-9.367278589297591,-8.067897112381083,-9.367278589297591,-6.9389049029858585,-8.924233138143057
36,-8.576353345116496,-9.376136466807795,-8.074540520513736,-9.376136466807795,-6.947762780496063,-8.70054710189279
37,-8.848019803375095,-9.738358411152594,-8.346206978772335,-9.738358411152594,-7.309984724840862,-9.06276904623759
38,-8.744720538506431,-9.600626057994377,-8.242907713903673,-9.600626057994377,-7.172252371682645,-8.925036693079372
39,-8.350693902132285,-9.075257209495515,-7.8488810775295255,-9.075257209495515,-6.646883523183782,-8.39966784458051
40,-8.744117872304196,-9.599822503058062,-8.242305047701436,-9.599822503058062,-7.17144881674633,-8.924233138143057
41,-8.7854895257218,-9.654984707614867,-8.28367670111904,-9.654984707614867,-7.226611021303135,-8.70054710189279
42,-9.0571559839804,-10.017206651959667,-8.555343159377639,-10.017206651959667,-7.588832965647935,-9.06276904623759
43,-8.953856719111737,-9.87947429880145,-8.452043894508975,-9.87947429880145,-7.451100612489718,-8.925036693079372
44,-8.559830082737589,-9.354105450302587,-8.058017258134829,-9.354105450302587,-6.925731763990856,-8.39966784458051
45,-8.9532540529095,-9.878670743865134,-8.45144122830674,-9.878670743865134,-7.450297057553403,-8.924233138143057
46,-7.763246387662859,-8.661619814170685,-7.763246387662859,-8.661619814170685,-6.715218866735593,-7.827522901202023
47,-7.980579554269738,-8.933286272429283,-7.980579554269738,-8.933286272429283,-7.077440811080391,-8.099189359460622
48,-7.897940142374807,-8.829987007560621,-7.897940142374807,-8.829987007560621,-6.9397084579221735,-7.995890094591959
49,-7.58271883327549,-8.435960371186473,-7.58271883327549,-8.435960371186473,-6.414339609423312,-7.601863458217813
50,-7.897458009413019,-8.829384341358384,-7.897458009413019,-8.829384341358384,-6.9389049029858585,-7.995287428389723
51,-7.902772735919141,-8.836027749491038,-7.902772735919141,-8.836027749491038,-6.947762780496063,-7.827522901202023
52,-8.12010590252602,-9.107694207749637,-8.12010590252602,-9.107694207749637,-7.309984724840862,-8.099189359460622
53,-8.03746649063109,-9.004394942880975,-8.03746649063109,-9.004394942880975,-7.172252371682645,-7.995890094591959
54,-7.722245181531773,-8.610368306506826,-7.722245181531773,-8.610368306506826,-6.646883523183782,-7.601863458217813
55,-8.0369843576693,-9.003792276678737,-8.0369843576693,-9.003792276678737,-7.17144881674633,-7.995287428389723
56,-8.070081680403385,-9.045163930096342,-8.070081680403387,-9.045163930096342,-7.226611021303135,-7.827522901202023
57,-8.287414847010265,-9.31683038835494,-8.287414847010265,-9.31683038835494,-7.588832965647935,-8.099189359460622
58,-8.204775435115334,-9.213531123486277,-8.204775435115334,-9.213531123486277,-7.451100612489718,-7.995890094591959
59,-7.889554126016016,-8.81950448711213,-7.889554126016018,-8.81950448711213,-6.925731763990856,-7.601863458217813
60,-8.204293302153545,-9.212928457284042,-8.204293302153546,-9.212928457284042,-7.450297057553403,-7.995287428389723
61,-7.8855248143344205,-9.124115525235375,-7.8855248143344205,-9.124115525235375,-6.715218866735593,-8.011986307943827
62,-8.157191272593021,-9.486337469580175,-8.157191272593021,-9.486337469580175,-7.077440811080391,-8.374208252288627
63,-8.053892007724357,-9.348605116421957,-8.053892007724357,-9.348605116421957,-6.9397084579221735,-8.23647589913041
64,-7.659865371350211,-8.823236267923095,-7.659865371350211,-8.823236267923095,-6.414339609423312,-7.711107050631547
65,-8.05328934152212,-9.347801561485642,-8.05328934152212,-9.347801561485642,-6.9389049029858585,-8.235672344194095
66,-8.059932749654774,-9.356659438995846,-8.059932749654774,-9.356659438995846,-6.947762780496063,-8.011986307943827
