idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.809000868606711,-9.469247240742945,-8.404873655871613,-9.469247240742945,-6.670483736125104,-9.139272503186227
2,-9.020539676673323,-9.73367075082621,-8.616412463938227,-9.73367075082621,-7.023048416236126,-9.403696013269492
3,-8.944017185205166,-9.638017636491012,-8.539889972470068,-9.638017636491012,-6.895510930455861,-9.308042898934294
4,-8.636439430420003,-9.25354544300956,-8.232312217684903,-9.25354544300956,-6.382881339147257,-8.923570705452843
5,-8.942919452168152,-9.636645470194747,-8.538792239433056,-9.636645470194747,-6.893681375394174,-9.306670732638029
6,-8.947662854153226,-9.642574722676088,-8.543535641418128,-9.642574722676088,-6.901587045369294,-9.139272503186227
7,-9.159201662219838,-9.906998232759353,-8.755074449484741,-9.906998232759353,-7.254151725480316,-9.403696013269492
8,-9.082679170751678,-9.811345118424155,-8.67855195801658,-9.811345118424155,-7.126614239700051,-9.308042898934294
9,-8.775101415966517,-9.426872924942703,-8.370974203231418,-9.426872924942703,-6.6139846483914475,-8.923570705452843
10,-9.081581437714666,-9.80997295212789,-8.67745422497957,-9.80997295212789,-7.124784684638365,-9.306670732638029
11,-9.1123918510984,-9.848485968857556,-8.708264638363302,-9.848485968857556,-7.1761353736112525,-9.139272503186227
12,-9.323930659165011,-10.112909478940821,-8.919803446429915,-10.112909478940821,-7.528700053722273,-9.403696013269492
13,-9.247408167696854,-10.017256364605624,-8.843280954961756,-10.017256364605624,-7.401162567942009,-9.308042898934294
14,-8.939830412911693,-9.632784171124172,-8.535703200176593,-9.63278417112417,-6.888532976633404,-8.923570705452843
15,-9.246310434659842,-10.015884198309358,-8.842183221924746,-10.015884198309358,-7.399333012880322,-9.306670732638029
16,-8.237732167867431,-8.92763776380265,-7.732573151948559,-8.92763776380265,-6.670483736125104,-8.48767144706036
17,-8.502155677950697,-9.280202443913671,-7.996996662031824,-9.280202443913671,-7.023048416236126,-8.840236127171382
18,-8.406502563615499,-9.152664958133407,-7.9013435476966265,-9.152664958133407,-6.895510930455861,-8.712698641391116
19,-8.022030370134047,-8.640035366824803,-7.516871354215173,-8.640035366824803,-6.382881339147257,-8.200069050082513
20,-8.405130397319233,-9.150835403071719,-7.899971381400361,-9.150835403071719,-6.893681375394174,-8.71086908632943
21,-8.411059649800574,-9.15874107304684,-7.905900633881702,-9.15874107304684,-6.901587045369294,-8.48767144706036
22,-8.67548315988384,-9.511305753157862,-8.170324143964967,-9.511305753157862,-7.254151725480316,-8.840236127171382
23,-8.579830045548642,-9.383768267377597,-8.07467102962977,-9.383768267377597,-7.126614239700051,-8.712698641391116
24,-8.19535785206719,-8.871138676068993,-7.690198836148316,-8.871138676068993,-6.6139846483914475,-8.200069050082513
25,-8.578457879252376,-9.38193871231591,-8.073298863333504,-9.38193871231591,-7.124784684638365,-8.71086908632943
26,-8.616970895982043,-9.433289401288796,-8.111811880063168,-9.433289401288796,-7.1761353736112525,-8.48767144706036
27,-8.881394406065308,-9.785854081399817,-8.376235390146434,-9.785854081399817,-7.528700053722273,-8.840236127171382
28,-8.78574129173011,-9.658316595619553,-8.280582275811236,-9.658316595619553,-7.401162567942009,-8.712698641391116
29,-8.401269098248656,-9.145687004310949,-7.896110082329783,-9.145687004310949,-6.888532976633404,-8.200069050082513
30,-8.784369125433845,-9.656487040557867,-8.27921010951497,-9.656487040557867,-7.399333012880322,-8.71086908632943
31,-8.3695941843524,-9.103453785782607,-7.864435168433527,-9.103453785782607,-6.670483736125104,-8.663487469040318
32,-8.634017694435666,-9.456018465893628,-8.128858678516792,-9.456018465893628,-7.023048416236126,-9.016052149151339
33,-8.538364580100467,-9.328480980113364,-8.033205564181594,-9.328480980113364,-6.895510930455861,-8.888514663371074
34,-8.153892386619013,-8.81585138880476,-7.648733370700142,-8.81585138880476,-6.382881339147257,-8.37588507206247
35,-8.536992413804203,-9.326651425051677,-8.031833397885329,-9.326651425051677,-6.893681375394174,-8.886685108309388
36,-8.542921666285542,-9.334557095026797,-8.03776265036667,-9.334557095026797,-6.901587045369294,-8.663487469040318
37,-8.807345176368809,-9.68712177513782,-8.302186160449935,-9.68712177513782,-7.254151725480316,-9.016052149151339
38,-8.71169206203361,-9.559584289357554,-8.206533046114737,-9.559584289357554,-7.126614239700051,-8.888514663371074
39,-8.327219868552156,-9.046954698048951,-7.822060852633284,-9.046954698048951,-6.6139846483914475,-8.37588507206247
40,-8.710319895737346,-9.557754734295868,-8.205160879818472,-9.557754734295868,-7.124784684638365,-8.886685108309388
41,-8.74883291246701,-9.609105423268753,-8.243673896548136,-9.609105423268753,-7.1761353736112525,-8.663487469040318
42,-9.013256422550276,-9.961670103379776,-8.508097406631403,-9.961670103379776,-7.528700053722273,-9.016052149151339
43,-8.917603308215078,-9.83413261759951,-8.412444292296204,-9.83413261759951,-7.401162567942009,-8.888514663371074
44,-8.533131114733624,-9.321503026290907,-8.02797209881475,-9.321503026290907,-6.888532976633404,-8.37588507206247
45,-8.916231141918812,-9.832303062537823,-8.41107212599994,-9.832303062537823,-7.399333012880322,-8.886685108309388
46,-7.736974864658583,-8.634373751726658,-7.736974864658583,-8.634373751726658,-6.670483736125104,-7.799239998251068
47,-7.948513672725196,-8.898797261809925,-7.948513672725196,-8.898797261809925,-7.023048416236126,-8.063663508334333
48,-7.871991181257037,-8.803144147474725,-7.871991181257037,-8.803144147474725,-6.895510930455861,-7.968010393999135
49,-7.564413426471876,-8.418671953993272,-7.564413426471876,-8.418671953993272,-6.382881339147257,-7.583538200517682
50,-7.870893448220025,-8.801771981178462,-7.870893448220025,-8.801771981178462,-6.893681375394174,-7.9666382277028704
51,-7.8756368502050975,-8.8077012336598,-7.8756368502050975,-8.8077012336598,-6.901587045369294,-7.799239998251068
52,-8.08717565827171,-9.072124743743068,-8.08717565827171,-9.072124743743068,-7.254151725480316,-8.063663508334333
53,-8.010653166803552,-8.976471629407868,-8.010653166803552,-8.976471629407868,-7.126614239700051,-7.968010393999135
54,-7.70307541201839,-8.591999435926414,-7.70307541201839,-8.591999435926414,-6.6139846483914475,-7.583538200517682
55,-8.00955543376654,-8.975099463111604,-8.00955543376654,-8.975099463111604,-7.124784684638365,-7.9666382277028704
56,-8.040365847150273,-9.01361247984127,-8.040365847150273,-9.01361247984127,-7.1761353736112525,-7.799239998251068
57,-8.251904655216885,-9.278035989924534,-8.251904655216885,-9.278035989924534,-7.528700053722273,-8.063663508334333
58,-8.175382163748726,-9.182382875589337,-8.175382163748726,-9.182382875589337,-7.401162567942009,-7.968010393999135
59,-7.867804408963563,-8.797910682107883,-7.867804408963563,-8.797910682107883,-6.888532976633404,-7.583538200517682
60,-8.174284430711714,-9.181010709293071,-8.174284430711714,-9.181010709293071,-7.399333012880322,-7.9666382277028704
61,-7.850787565997985,-9.085256982535219,-7.850787565997985,-9.085256982535219,-6.670483736125104,-7.971745311234431
62,-8.115211076081252,-9.43782166264624,-8.115211076081252,-9.43782166264624,-7.023048416236126,-8.324309991345453
63,-8.019557961746052,-9.310284176865975,-8.019557961746052,-9.310284176865975,-6.895510930455861,-8.196772505565187
64,-7.6350857682646,-8.797654585557371,-7.6350857682646,-8.797654585557371,-6.382881339147257,-7.684142914256584
65,-8.018185795449789,-9.30845462180429,-8.018185795449789,-9.30845462180429,-6.893681375394174,-8.194942950503501
66,-8.024115047931128,-9.316360291779409,-8.024115047931128,-9.316360291779409,-6.901587045369294,-7.971745311234431
67,-8.288538558014395,-9.66892497189043,-8.288538558014395,-9.66892497189043,-7.254151725480316,-8.324309991345453
68,-8.192885443679195,-9.541387486110166,-8.192885443679195,-9.541387486110166,-7.126614239700051,-8.196772505565187
69,-7.808413250197742,-9.028757894801561,-7.808413250197742,-9.028757894801561,-6.6139846483914475,-7.684142914256584
70,-8.191513277382931,-9.53955793104848,-8.191513277382931,-9.53955793104848,-7.124784684638365,-8.194942950503501
71,-8.230026294112596,-9.590908620021366,-8.230026294112596,-9.590908620021366,-7.1761353736112525,-7.971745311234431
72,-8.494449804195861,-9.943473300132387,-8.494449804195861,-9.943473300132387,-7.528700053722273,-8.324309991345453
73,-8.398796689860664,-9.815935814352123,-8.398796689860664,-9.815935814352123,-7.401162567942009,-8.196772505565187
74,-8.01432449637921,-9.303306223043519,-8.01432449637921,-9.303306223043519,-6.888532976633404,-7.684142914256584
75,-8.397424523564398,-9.814106259290435,-8.397424523564398,-9.814106259290435,-7.399333012880322,-8.194942950503501
76,-8.141483892907493,-9.140010037037795,-8.141483892907493,-9.140010037037795,-6.670483736125104,-8.304876283562205
77,-8.353022700974105,-9.404433547121062,-8.353022700974105,-9.404433547121062,-7.023048416236126,-8.56929979364547
78,-8.276500209505947,-9.308780432785863,-8.276500209505947,-9.308780432785863,-6.895510930455861,-8.473646679310272
79,-7.9689224547207855,-8.924308239304409,-7.9689224547207855,-8.924308239304409,-6.382881339147257,-8.08917448582882
80,-8.275402476468935,-9.307408266489599,-8.275402476468935,-9.307408266489599,-6.893681375394174,-8.472274513014007
81,-8.280145878454007,-9.313337518970938,-8.280145878454007,-9.313337518970938,-6.901587045369294,-8.304876283562205
82,-8.49168468652062,-9.577761029054205,-8.49168468652062,-9.577761029054205,-7.254151725480316,-8.56929979364547
83,-8.415162195052462,-9.482107914719005,-8.415162195052462,-9.482107914719005,-7.126614239700051,-8.473646679310272
84,-8.1075844402673,-9.097635721237552,-8.1075844402673,-9.097635721237552,-6.6139846483914475,-8.08917448582882
85,-8.41406446201545,-9.480735748422742,-8.41406446201545,-9.480735748422742,-7.124784684638365,-8.472274513014007
86,-8.444874875399183,-9.519248765152405,-8.444874875399181,-9.519248765152406,-7.1761353736112525,-8.304876283562205
87,-8.656413683465795,-9.78367227523567,-8.656413683465795,-9.783672275235672,-7.528700053722273,-8.56929979364547
88,-8.579891191997636,-9.688019160900472,-8.579891191997636,-9.688019160900474,-7.401162567942009,-8.473646679310272
89,-8.272313437212475,-9.30354696741902,-8.272313437212471,-9.30354696741902,-6.888532976633404,-8.08917448582882
90,-8.578793458960623,-9.686646994604207,-8.578793458960623,-9.686646994604208,-7.399333012880322,-8.472274513014007
91,-7.940172554579169,-9.20443696731013,-7.940172554579169,-9.20443696731013,-6.670483736125104,-8.090925296009344
