idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.846093995810302,-9.515613543464156,-8.441966783075202,-9.515613543464156,-6.670484161258212,-9.185638805907438
2,-9.057632803876913,-9.78003705354742,-8.653505591141814,-9.78003705354742,-7.023048841369234,-9.450062315990703
3,-8.981110312408756,-9.684383939212223,-8.576983099673656,-9.684383939212221,-6.895511355588969,-9.354409201655505
4,-8.673532557623592,-9.29991174573077,-8.269405344888494,-9.29991174573077,-6.382881764280364,-8.969937008174051
5,-8.980012579371742,-9.683011772915957,-8.575885366636644,-9.683011772915957,-6.893681800527282,-9.35303703535924
6,-8.984755981356816,-9.688941025397298,-8.580628768621716,-9.688941025397298,-6.9015874705024025,-9.185638805907438
7,-9.196294789423428,-9.953364535480564,-8.792167576688328,-9.953364535480564,-7.254152150613424,-9.450062315990703
8,-9.119772297955269,-9.857711421145366,-8.71564508522017,-9.857711421145366,-7.126614664833159,-9.354409201655505
9,-8.812194543170106,-9.473239227663912,-8.408067330435006,-9.473239227663912,-6.613985073524554,-8.969937008174051
10,-9.118674564918257,-9.8563392548491,-8.714547352183157,-9.8563392548491,-7.124785109771472,-9.35303703535924
11,-9.149484978301988,-9.894852271578765,-8.74535776556689,-9.894852271578765,-7.176135798744359,-9.185638805907438
12,-9.361023786368602,-10.15927578166203,-8.956896573633504,-10.15927578166203,-7.52870047885538,-9.450062315990703
13,-9.284501294900442,-10.063622667326833,-8.880374082165345,-10.063622667326833,-7.401162993075116,-9.354409201655505
14,-8.97692354011528,-9.679150473845379,-8.572796327380182,-9.679150473845379,-6.888533401766511,-8.969937008174051
15,-9.28340356186343,-10.062250501030567,-8.879276349128332,-10.062250501030567,-7.399333438013429,-9.35303703535924
16,-8.237732593000537,-8.927638188935758,-7.732573577081666,-8.927638188935758,-6.670484161258212,-8.487671872193467
17,-8.502156103083804,-9.280202869046777,-7.996997087164932,-9.280202869046777,-7.023048841369234,-8.840236552304487
18,-8.406502988748606,-9.152665383266514,-7.901343972829734,-9.152665383266514,-6.895511355588969,-8.712699066524223
19,-8.022030795267153,-8.640035791957908,-7.51687177934828,-8.640035791957908,-6.382881764280364,-8.200069475215619
20,-8.405130822452339,-9.150835828204826,-7.899971806533468,-9.150835828204826,-6.893681800527282,-8.710869511462535
21,-8.411060074933681,-9.158741498179948,-7.905901059014809,-9.158741498179948,-6.9015874705024025,-8.487671872193467
22,-8.675483585016947,-9.511306178290967,-8.170324569098074,-9.511306178290967,-7.254152150613424,-8.840236552304487
23,-8.579830470681749,-9.383768692510705,-8.074671454762877,-9.383768692510705,-7.126614664833159,-8.712699066524223
24,-8.195358277200295,-8.871139101202099,-7.690199261281423,-8.871139101202099,-6.613985073524554,-8.200069475215619
25,-8.578458304385483,-9.381939137449017,-8.073299288466611,-9.381939137449017,-7.124785109771472,-8.710869511462535
26,-8.616971321115148,-9.433289826421904,-8.111812305196276,-9.433289826421904,-7.176135798744359,-8.487671872193467
27,-8.881394831198413,-9.785854506532926,-8.376235815279541,-9.785854506532926,-7.52870047885538,-8.840236552304487
28,-8.785741716863216,-9.65831702075266,-8.280582700944343,-9.65831702075266,-7.401162993075116,-8.712699066524223
29,-8.401269523381762,-9.145687429444056,-7.89611050746289,-9.145687429444056,-6.888533401766511,-8.200069475215619
30,-8.78436955056695,-9.656487465690974,-8.279210534648078,-9.656487465690974,-7.399333438013429,-8.710869511462535
31,-8.369594609485507,-9.103454210915714,-7.864435593566634,-9.103454210915714,-6.670484161258212,-8.663487894173425
32,-8.634018119568772,-9.456018891026735,-8.1288591036499,-9.456018891026735,-7.023048841369234,-9.016052574284446
33,-8.538365005233574,-9.328481405246471,-8.033205989314702,-9.328481405246471,-6.895511355588969,-8.888515088504182
34,-8.15389281175212,-8.815851813937867,-7.648733795833248,-8.815851813937867,-6.382881764280364,-8.375885497195577
35,-8.536992838937309,-9.326651850184783,-8.031833823018436,-9.326651850184783,-6.893681800527282,-8.886685533442494
36,-8.54292209141865,-9.334557520159905,-8.037763075499777,-9.334557520159905,-6.9015874705024025,-8.663487894173425
37,-8.807345601501915,-9.687122200270926,-8.302186585583042,-9.687122200270926,-7.254152150613424,-9.016052574284446
38,-8.711692487166717,-9.559584714490661,-8.206533471247845,-9.559584714490661,-7.126614664833159,-8.888515088504182
39,-8.327220293685263,-9.046955123182057,-7.822061277766391,-9.046955123182057,-6.613985073524554,-8.375885497195577
40,-8.710320320870451,-9.557755159428973,-8.205161304951579,-9.557755159428973,-7.124785109771472,-8.886685533442494
41,-8.748833337600118,-9.609105848401862,-8.243674321681244,-9.609105848401862,-7.176135798744359,-8.663487894173425
42,-9.013256847683383,-9.961670528512883,-8.50809783176451,-9.961670528512883,-7.52870047885538,-9.016052574284446
43,-8.917603733348185,-9.834133042732619,-8.412444717429313,-9.834133042732619,-7.401162993075116,-8.888515088504182
44,-8.533131539866732,-9.321503451424014,-8.02797252394786,-9.321503451424014,-6.888533401766511,-8.375885497195577
45,-8.91623156705192,-9.832303487670933,-8.411072551133046,-9.832303487670933,-7.399333438013429,-8.886685533442494
46,-7.737668751794175,-8.635241004362872,-7.7376687517941765,-8.635241004362872,-6.670484161258212,-7.800107250887281
47,-7.949207559860788,-8.899664514446137,-7.949207559860788,-8.899664514446137,-7.023048841369234,-8.064530760970547
48,-7.87268506839263,-8.804011400110939,-7.87268506839263,-8.804011400110937,-6.895511355588969,-7.968877646635349
49,-7.565107313607467,-8.419539206629485,-7.565107313607467,-8.419539206629485,-6.382881764280364,-7.584405453153895
50,-7.871587335355616,-8.802639233814674,-7.871587335355618,-8.802639233814674,-6.893681800527282,-7.967505480339083
51,-7.87633073734069,-8.808568486296014,-7.87633073734069,-8.808568486296014,-6.9015874705024025,-7.800107250887281
52,-8.087869545407303,-9.07299199637928,-8.087869545407303,-9.07299199637928,-7.254152150613424,-8.064530760970547
53,-8.011347053939144,-8.977338882044082,-8.011347053939144,-8.977338882044082,-7.126614664833159,-7.968877646635349
54,-7.703769299153981,-8.592866688562628,-7.703769299153981,-8.592866688562628,-6.613985073524554,-7.584405453153895
55,-8.010249320902131,-8.975966715747816,-8.010249320902131,-8.975966715747816,-7.124785109771472,-7.967505480339083
56,-8.041059734285863,-9.014479732477483,-8.041059734285863,-9.014479732477481,-7.176135798744359,-7.800107250887281
57,-8.252598542352477,-9.278903242560748,-8.252598542352477,-9.278903242560746,-7.52870047885538,-8.064530760970547
58,-8.176076050884317,-9.183250128225549,-8.176076050884317,-9.183250128225549,-7.401162993075116,-7.968877646635349
59,-7.868498296099155,-8.798777934744097,-7.868498296099155,-8.798777934744095,-6.888533401766511,-7.584405453153895
60,-8.174978317847305,-9.181877961929285,-8.174978317847305,-9.181877961929283,-7.399333438013429,-7.967505480339083
61,-7.850787991131092,-9.085257407668324,-7.850787991131092,-9.085257407668324,-6.670484161258212,-7.971745736367539
62,-8.115211501214358,-9.437822087779345,-8.115211501214358,-9.437822087779345,-7.023048841369234,-8.32431041647856
63,-8.01955838687916,-9.310284601999081,-8.01955838687916,-9.310284601999081,-6.895511355588969,-8.196772930698296
64,-7.635086193397706,-8.797655010690477,-7.635086193397706,-8.797655010690477,-6.382881764280364,-7.684143339389691
65,-8.018186220582894,-9.308455046937395,-8.018186220582894,-9.308455046937395,-6.893681800527282,-8.194943375636608
66,-8.024115473064235,-9.316360716912515,-8.024115473064235,-9.316360716912515,-6.9015874705024025,-7.971745736367539
67,-8.2885389831475,-9.668925397023536,-8.2885389831475,-9.668925397023536,-7.254152150613424,-8.32431041647856
68,-8.192885868812303,-9.541387911243271,-8.192885868812303,-9.541387911243271,-7.126614664833159,-8.196772930698296
69,-7.808413675330849,-9.028758319934667,-7.808413675330849,-9.028758319934667,-6.613985073524554,-7.684143339389691
70,-8.191513702516037,-9.539558356181585,-8.191513702516037,-9.539558356181585,-7.124785109771472,-8.194943375636608
71,-8.230026719245704,-9.590909045154474,-8.230026719245704,-9.590909045154474,-7.176135798744359,-7.971745736367539
72,-8.494450229328969,-9.943473725265493,-8.494450229328969,-9.943473725265493,-7.52870047885538,-8.32431041647856
73,-8.398797114993771,-9.81593623948523,-8.39879711499377,-9.81593623948523,-7.401162993075116,-8.196772930698296
74,-8.014324921512317,-9.303306648176624,-8.014324921512317,-9.303306648176624,-6.888533401766511,-7.684143339389691
75,-8.397424948697505,-9.814106684423543,-8.397424948697505,-9.814106684423543,-7.399333438013429,-8.194943375636608
76,-8.1414843180406,-9.140010462170903,-8.1414843180406,-9.140010462170903,-6.670484161258212,-8.304876708695312
77,-8.353023126107214,-9.404433972254168,-8.353023126107212,-9.404433972254168,-7.023048841369234,-8.569300218778578
78,-8.276500634639055,-9.30878085791897,-8.276500634639053,-9.308780857918968,-6.895511355588969,-8.47364710444338
