idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.846582899813473,-9.516073868696232,-8.442407757098831,-9.516073868696232,-6.670956287503773,-9.186111605055146
2,-9.05808635048591,-9.780453182036776,-8.653911207771268,-9.780453182036776,-7.023462038624499,-9.45049091839569
3,-8.98158460766007,-9.684826003504476,-8.577409464945427,-9.684826003504476,-6.895959133914765,-9.35486373986339
4,-8.67402375166293,-9.300374933508051,-8.269848608948287,-9.300374933508051,-6.383357707252866,-8.970412669866965
5,-8.980460682601693,-9.683421097181505,-8.57628553988705,-9.683421097181505,-6.894085925484138,-9.353458833540419
6,-8.985244902143512,-9.68940137160878,-8.581069759428868,-9.68940137160878,-6.902059624720503,-9.186111605055146
7,-9.196748352815948,-9.953780684949322,-8.792573210101304,-9.953780684949324,-7.254565375841227,-9.45049091839569
8,-9.120246609990108,-9.858153506417022,-8.716071467275464,-9.858153506417024,-7.1270624711314925,-9.35486373986339
9,-8.812685753992968,-9.473702436420599,-8.408510611278324,-9.473702436420599,-6.6144610444695955,-8.970412669866965
10,-9.11912268493173,-9.856748600094052,-8.714947542217086,-9.856748600094054,-7.125189262700867,-9.353458833540419
11,-9.149957352269501,-9.895291934266266,-8.745782209554857,-9.895291934266266,-7.176580374930485,-9.186111605055146
12,-9.361460802941938,-10.15967124760681,-8.957285660227294,-10.159671247606811,-7.529086126051209,-9.45049091839569
13,-9.284959060116098,-10.064044069074509,-8.880783917401454,-10.06404406907451,-7.401583221341475,-9.35486373986339
14,-8.977398204118957,-9.679592999078086,-8.573223061404313,-9.679592999078086,-6.8889817946795775,-8.970412669866965
15,-9.28383513505772,-10.06263916275154,-8.879659992343075,-10.062639162751541,-7.399710012910849,-9.353458833540419
16,-8.238260866615041,-8.928141480725907,-7.733041938221739,-8.928141480725907,-6.670956287503773,-8.488191795871126
17,-8.502640179955586,-9.280647231846634,-7.997421251562283,-9.280647231846634,-7.023462038624499,-8.840697546991853
18,-8.407013001423286,-9.1531443271369,-7.901794073029983,-9.1531443271369,-6.895959133914765,-8.713194642282119
19,-8.02256193142686,-8.640542900475001,-7.517343003033559,-8.640542900475001,-6.383357707252866,-8.20059321562022
20,-8.405608095100316,-9.151271118706273,-7.900389166707012,-9.151271118706273,-6.894085925484138,-8.711321433851491
21,-8.411588369527589,-9.159244817942637,-7.906369441134284,-9.159244817942637,-6.902059624720503,-8.488191795871126
22,-8.675967682868134,-9.511750569063365,-8.170748754474829,-9.511750569063365,-7.254565375841227,-8.840697546991853
23,-8.580340504335833,-9.38424766435363,-8.075121575942529,-9.38424766435363,-7.1270624711314925,-8.713194642282119
24,-8.195889434339408,-8.871646237691731,-7.6906705059461045,-8.871646237691731,-6.6144610444695955,-8.20059321562022
25,-8.578935598012862,-9.382374455923003,-8.073716669619557,-9.382374455923003,-7.125189262700867,-8.711321433851491
26,-8.617478932185076,-9.433765568152621,-8.112260003791771,-9.433765568152621,-7.176580374930485,-8.488191795871126
27,-8.88185824552562,-9.786271319273345,-8.376639317132316,-9.786271319273345,-7.529086126051209,-8.840697546991853
28,-8.78623106699332,-9.65876841456361,-8.281012138600016,-9.65876841456361,-7.401583221341475,-8.713194642282119
29,-8.401779996996895,-9.146166987901713,-7.896561068603591,-9.146166987901713,-6.8889817946795775,-8.20059321562022
30,-8.784826160670349,-9.656895206132985,-8.279607232277044,-9.656895206132985,-7.399710012910849,-8.711321433851491
31,-8.370373449353,-9.104291591043186,-7.865154520959695,-9.104291591043186,-6.670956287503773,-8.664341906188405
32,-8.634752762693545,-9.45679734216391,-8.12953383430024,-9.45679734216391,-7.023462038624499,-9.016847657309128
33,-8.539125584161244,-9.329294437454175,-8.03390665576794,-9.329294437454175,-6.895959133914765,-8.889344752599394
34,-8.15467451416482,-8.816693010792278,-7.649455585771515,-8.816693010792278,-6.383357707252866,-8.376743325937497
35,-8.537720677838273,-9.32742122902355,-8.032501749444968,-9.32742122902355,-6.894085925484138,-8.887471544168768
36,-8.543700952265548,-9.335394928259914,-8.038482023872243,-9.335394928259914,-6.902059624720503,-8.664341906188405
37,-8.80808026560609,-9.68790067938064,-8.302861337212788,-9.68790067938064,-7.254565375841227,-9.016847657309128
38,-8.71245308707379,-9.560397774670905,-8.207234158680487,-9.560397774670905,-7.1270624711314925,-8.889344752599394
39,-8.328002017077367,-9.047796348009006,-7.822783088684063,-9.047796348009006,-6.6144610444695955,-8.376743325937497
40,-8.71104818075082,-9.558524566240278,-8.205829252357518,-9.558524566240278,-7.125189262700867,-8.887471544168768
41,-8.749591514923033,-9.609915678469896,-8.24437258652973,-9.609915678469896,-7.176580374930485,-8.664341906188405
42,-9.013970828263577,-9.962421429590622,-8.508751899870274,-9.962421429590622,-7.529086126051209,-9.016847657309128
43,-8.918343649731277,-9.834918524880889,-8.413124721337974,-9.834918524880889,-7.401583221341475,-8.889344752599394
44,-8.533892579734852,-9.32231709821899,-8.028673651341549,-9.32231709821899,-6.8889817946795775,-8.376743325937497
45,-8.916938743408306,-9.833045316450262,-8.411719815015005,-9.833045316450262,-7.399710012910849,-8.887471544168768
46,-7.737633112897018,-8.635105563443965,-7.737633112897018,-8.635105563443965,-6.670956287503773,-7.799924371409576
47,-7.9491365635694535,-8.89948487678451,-7.9491365635694535,-8.89948487678451,-7.023462038624499,-8.06430368475012
48,-7.872634820743613,-8.803857698252209,-7.872634820743613,-8.803857698252209,-6.895959133914765,-7.96867650621782
49,-7.565073964746473,-8.419406628255784,-7.565073964746473,-8.419406628255784,-6.383357707252866,-7.584225436221396
50,-7.871510895685236,-8.802452791929237,-7.871510895685236,-8.802452791929237,-6.894085925484138,-7.96727159989485
51,-7.876295115227056,-8.808433066356512,-7.876295115227056,-8.808433066356512,-6.902059624720503,-7.799924371409576
52,-8.087798565899492,-9.072812379697057,-8.087798565899492,-9.072812379697057,-7.254565375841227,-8.06430368475012
53,-8.011296823073652,-8.977185201164756,-8.011296823073652,-8.977185201164756,-7.1270624711314925,-7.96867650621782
54,-7.703735967076511,-8.592734131168331,-7.703735967076511,-8.592734131168331,-6.6144610444695955,-7.584225436221396
55,-8.010172898015275,-8.975780294841787,-8.010172898015275,-8.975780294841787,-7.125189262700867,-7.96727159989485
56,-8.041007565353045,-9.014323629014,-8.041007565353045,-9.014323629014,-7.176580374930485,-7.799924371409576
57,-8.252511016025482,-9.278702942354544,-8.252511016025482,-9.278702942354544,-7.529086126051209,-8.06430368475012
58,-8.176009273199641,-9.183075763822243,-8.176009273199641,-9.183075763822243,-7.401583221341475,-7.96867650621782
59,-7.868448417202501,-8.798624693825818,-7.868448417202501,-8.798624693825818,-6.8889817946795775,-7.584225436221396
60,-8.174885348141265,-9.181670857499274,-8.174885348141265,-9.181670857499274,-7.399710012910849,-7.96727159989485
61,-7.85115155243731,-9.085620966346669,-7.85115155243731,-9.085620966346669,-6.670956287503773,-7.972046043634151
62,-8.115530865777854,-9.438126717467396,-8.115530865777854,-9.438126717467396,-7.023462038624499,-8.324551794754875
63,-8.019903687245554,-9.310623812757662,-8.019903687245554,-9.310623812757662,-6.895959133914765,-8.19704889004514
64,-7.63545261724913,-8.798022386095763,-7.63545261724913,-8.798022386095763,-6.383357707252866,-7.684447463383243
65,-8.018498780922585,-9.308750604327034,-8.018498780922585,-9.308750604327034,-6.894085925484138,-8.195175681614515
66,-8.024479055349858,-9.316724303563399,-8.024479055349858,-9.316724303563399,-6.902059624720503,-7.972046043634151
67,-8.2888583686904,-9.669230054684126,-8.2888583686904,-9.669230054684126,-7.254565375841227,-8.324551794754875
68,-8.1932311901581,-9.541727149974392,-8.1932311901581,-9.541727149974392,-7.1270624711314925,-8.19704889004514
69,-7.808780120161677,-9.029125723312493,-7.808780120161677,-9.029125723312493,-6.6144610444695955,-7.684447463383243
70,-8.19182628383513,-9.539853941543765,-8.19182628383513,-9.539853941543765,-7.125189262700867,-8.195175681614515
71,-8.230369618007343,-9.591245053773383,-8.230369618007344,-9.591245053773383,-7.176580374930485,-7.972046043634151
72,-8.494748931347887,-9.943750804894108,-8.494748931347887,-9.943750804894108,-7.529086126051209,-8.324551794754875
73,-8.399121752815587,-9.816247900184374,-8.399121752815587,-9.816247900184374,-7.401583221341475,-8.19704889004514
74,-8.014670682819162,-9.303646473522475,-8.014670682819164,-9.303646473522475,-6.8889817946795775,-7.684447463383243
75,-8.397716846492617,-9.814374691753747,-8.397716846492617,-9.814374691753747,-7.399710012910849,-8.195175681614515
76,-8.142073453183487,-9.140655988802052,-8.142073453183489,-9.140655988802052,-6.670956287503773,-8.305474796767662
77,-8.353576903855922,-9.405035302142597,-8.353576903855924,-9.405035302142597,-7.023462038624499,-8.569854110108206
78,-8.277075161030082,-9.309408123610297,-8.277075161030083,-9.309408123610297,-6.895959133914765,-8.474226931575906
79,-7.969514305032942,-8.924957053613872,-7.969514305032943,-8.924957053613872,-6.383357707252866,-8.089775861579481
80,-8.275951235971707,-9.308003217287325,-8.275951235971707,-9.308003217287325,-6.894085925484138,-8.472822025252935
81,-8.280735455513526,-9.3139834917146,-8.280735455513526,-9.3139834917146,-6.902059624720503,-8.305474796767662
82,-8.49223890618596,-9.578362805055145,-8.49223890618596,-9.578362805055143,-7.254565375841227,-8.569854110108206
83,-8.41573716336012,-9.482735626522844,-8.41573716336012,-9.482735626522842,-7.1270624711314925,-8.474226931575906
84,-8.10817630736298,-9.09828455652642,-8.10817630736298,-9.09828455652642,-6.6144610444695955,-8.089775861579481
