idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.846566225141746,-9.516073868696232,-8.442409967253289,-9.516073868696232,-6.670959971094537,-9.186090761715487
2,-9.058069675814183,-9.780453182036776,-8.653913417925725,-9.780453182036776,-7.0234657222152626,-9.45047007505603
3,-8.981567932988343,-9.684826003504476,-8.577411675099885,-9.684826003504476,-6.895962817505528,-9.35484289652373
4,-8.674007076991202,-9.300374933508051,-8.269850819102745,-9.300374933508051,-6.383361390843629,-8.970391826527306
5,-8.980444007929966,-9.683421097181505,-8.576287750041507,-9.683421097181505,-6.894089609074901,-9.35343799020076
6,-8.985228227471785,-9.68940137160878,-8.581071969583329,-9.68940137160878,-6.902063308311267,-9.186090761715487
7,-9.196731678144221,-9.953780684949322,-8.792575420255764,-9.953780684949324,-7.254569059431991,-9.45047007505603
8,-9.120229935318381,-9.858153506417022,-8.716073677429923,-9.858153506417024,-7.127066154722257,-9.35484289652373
9,-8.81266907932124,-9.473702436420599,-8.408512821432783,-9.473702436420599,-6.6144647280603595,-8.970391826527306
10,-9.119106010260003,-9.856748600094052,-8.714949752371547,-9.856748600094054,-7.125192946291631,-9.35343799020076
11,-9.149940677597773,-9.895291934266266,-8.745784419709317,-9.895291934266266,-7.176584058521249,-9.186090761715487
12,-9.36144412827021,-10.15967124760681,-8.957287870381752,-10.159671247606811,-7.529089809641974,-9.45047007505603
13,-9.284942385444369,-10.064044069074509,-8.880786127555911,-10.06404406907451,-7.40158690493224,-9.35484289652373
14,-8.977381529447229,-9.679592999078086,-8.573225271558773,-9.679592999078086,-6.8889854782703415,-8.970391826527306
15,-9.283818460385993,-10.06263916275154,-8.879662202497537,-10.062639162751541,-7.399713696501614,-9.35343799020076
16,-8.238240023275383,-8.928141480725907,-7.733044700914812,-8.928141480725907,-6.670959971094537,-8.488164004751582
17,-8.502619336615927,-9.280647231846634,-7.997424014255355,-9.280647231846634,-7.0234657222152626,-8.840669755872307
18,-8.406992158083627,-9.1531443271369,-7.901796835723054,-9.1531443271369,-6.895962817505528,-8.713166851162574
19,-8.022541088087202,-8.640542900475001,-7.517345765726631,-8.640542900475001,-6.383361390843629,-8.200565424500676
20,-8.405587251760657,-9.151271118706273,-7.900391929400085,-9.151271118706273,-6.894089609074901,-8.711293642731947
21,-8.41156752618793,-9.159244817942637,-7.906372203827358,-9.159244817942637,-6.902063308311267,-8.488164004751582
22,-8.675946839528475,-9.511750569063365,-8.170751517167902,-9.511750569063365,-7.254569059431991,-8.840669755872307
23,-8.580319660996174,-9.38424766435363,-8.075124338635602,-9.38424766435363,-7.127066154722257,-8.713166851162574
24,-8.19586859099975,-8.871646237691731,-7.690673268639178,-8.871646237691731,-6.6144647280603595,-8.200565424500676
25,-8.578914754673203,-9.382374455923003,-8.073719432312632,-9.382374455923003,-7.125192946291631,-8.711293642731947
26,-8.617458088845417,-9.433765568152621,-8.112262766484845,-9.433765568152621,-7.176584058521249,-8.488164004751582
27,-8.881837402185962,-9.786271319273345,-8.37664207982539,-9.786271319273345,-7.529089809641974,-8.840669755872307
28,-8.786210223653661,-9.65876841456361,-8.281014901293089,-9.65876841456361,-7.40158690493224,-8.713166851162574
29,-8.401759153657236,-9.146166987901713,-7.896563831296665,-9.146166987901713,-6.8889854782703415,-8.200565424500676
30,-8.78480531733069,-9.656895206132985,-8.27960999497012,-9.656895206132985,-7.399713696501614,-8.711293642731947
31,-8.37035260601334,-9.104291591043186,-7.865157283652769,-9.104291591043186,-6.670959971094537,-8.664314115068857
32,-8.634731919353884,-9.45679734216391,-8.129536596993313,-9.45679734216391,-7.0234657222152626,-9.016819866189584
33,-8.539104740821584,-9.329294437454175,-8.033909418461013,-9.329294437454175,-6.895962817505528,-8.88931696147985
34,-8.154653670825159,-8.816693010792278,-7.649458348464589,-8.816693010792278,-6.383361390843629,-8.37671553481795
35,-8.537699834498614,-9.32742122902355,-8.032504512138043,-9.32742122902355,-6.894089609074901,-8.887443753049222
36,-8.543680108925887,-9.335394928259914,-8.038484786565316,-9.335394928259914,-6.902063308311267,-8.664314115068857
37,-8.808059422266432,-9.68790067938064,-8.302864099905861,-9.68790067938064,-7.254569059431991,-9.016819866189584
38,-8.712432243734131,-9.560397774670905,-8.20723692137356,-9.560397774670905,-7.127066154722257,-8.88931696147985
39,-8.327981173737706,-9.047796348009006,-7.8227858513771364,-9.047796348009006,-6.6144647280603595,-8.37671553481795
40,-8.71102733741116,-9.558524566240278,-8.20583201505059,-9.558524566240278,-7.125192946291631,-8.887443753049222
41,-8.749570671583374,-9.609915678469896,-8.244375349222803,-9.609915678469896,-7.176584058521249,-8.664314115068857
42,-9.013949984923919,-9.962421429590622,-8.508754662563346,-9.962421429590622,-7.529089809641974,-9.016819866189584
43,-8.918322806391618,-9.834918524880889,-8.413127484031046,-9.834918524880889,-7.40158690493224,-8.88931696147985
44,-8.533871736395193,-9.32231709821899,-8.028676414034623,-9.32231709821899,-6.8889854782703415,-8.37671553481795
45,-8.916917900068647,-9.833045316450262,-8.411722577708076,-9.833045316450262,-7.399713696501614,-8.887443753049222
46,-7.737635323051476,-8.635105563443965,-7.737635323051476,-8.635105563443965,-6.670959971094537,-7.799927134102649
47,-7.949138773723912,-8.89948487678451,-7.949138773723912,-8.89948487678451,-7.0234657222152626,-8.064306447443194
48,-7.872637030898072,-8.803857698252209,-7.872637030898072,-8.803857698252209,-6.895962817505528,-7.968679268910893
49,-7.565076174900932,-8.419406628255784,-7.565076174900932,-8.419406628255784,-6.383361390843629,-7.584228198914469
50,-7.871513105839696,-8.802452791929237,-7.871513105839696,-8.802452791929237,-6.894089609074901,-7.967274362587923
51,-7.876297325381515,-8.808433066356512,-7.876297325381515,-8.808433066356512,-6.902063308311267,-7.799927134102649
52,-8.08780077605395,-9.072812379697057,-8.08780077605395,-9.072812379697057,-7.254569059431991,-8.064306447443194
53,-8.01129903322811,-8.977185201164756,-8.01129903322811,-8.977185201164756,-7.127066154722257,-7.968679268910893
54,-7.70373817723097,-8.592734131168331,-7.70373817723097,-8.592734131168331,-6.6144647280603595,-7.584228198914469
55,-8.010175108169733,-8.975780294841787,-8.010175108169733,-8.975780294841787,-7.125192946291631,-7.967274362587923
56,-8.041009775507504,-9.014323629014,-8.041009775507503,-9.014323629014,-7.176584058521249,-7.799927134102649
