idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.858679448163038,-9.531056011281516,-8.454397609311734,-9.531056011281516,-6.690585296878577,-9.194973719209804
2,-9.076947057372625,-9.803890522793498,-8.67266521852132,-9.803890522793498,-7.054364645561222,-9.467808230721786
3,-9.002115081582028,-9.710350553055253,-8.597833242730724,-9.710350553055253,-6.929644685910226,-9.374268260983541
4,-8.691960021406913,-9.32265672783636,-8.28767818255561,-9.32265672783636,-6.41271958561837,-8.986574435764648
5,-8.992255898831164,-9.698026574616673,-8.58797405997986,-9.698026574616673,-6.913212714658788,-9.361944282544961
6,-8.99796941539012,-9.705168470315371,-8.593687576538816,-9.705168470315371,-6.92273524225705,-9.194973719209804
7,-9.216237024599707,-9.978002981827355,-8.811955185748403,-9.978002981827354,-7.286514590939695,-9.467808230721786
8,-9.14140504880911,-9.884463012089109,-8.737123209957806,-9.884463012089107,-7.1617946312887,-9.374268260983541
9,-8.831249988633996,-9.496769186870216,-8.426968149782692,-9.496769186870216,-6.644869530996843,-8.986574435764648
10,-9.131545866058246,-9.872139033650528,-8.727264027206942,-9.872139033650528,-7.14536266003726,-9.361944282544961
11,-9.161029760148468,-9.908993901263303,-8.756747921297164,-9.908993901263303,-7.19450248352096,-9.194973719209804
12,-9.379297369358053,-10.181828412775285,-8.975015530506749,-10.181828412775285,-7.558281832203605,-9.467808230721786
13,-9.304465393567458,-10.08828844303704,-8.900183554716154,-10.08828844303704,-7.433561872552609,-9.374268260983541
14,-8.994310333392344,-9.700594617818147,-8.59002849454104,-9.700594617818147,-6.916636772260753,-8.986574435764648
15,-9.294606210816593,-10.07596446459846,-8.890324371965288,-10.07596446459846,-7.417129901301171,-9.361944282544961
16,-8.2535327577766,-8.948319278472427,-7.74818045921247,-8.948319278472427,-6.690585296878577,-8.500209555710144
17,-8.526367269288585,-9.312098627155072,-8.021014970724455,-9.312098627155072,-7.054364645561222,-8.863988904392789
18,-8.432827299550338,-9.187378667504076,-7.927475000986208,-9.187378667504076,-6.929644685910226,-8.739268944741793
19,-8.045133474331447,-8.670453567212219,-7.539781175767315,-8.670453567212219,-6.41271958561837,-8.222343844449936
20,-8.42050332111176,-9.170946696252637,-7.915151022547628,-9.170946696252637,-6.913212714658788,-8.722836973490354
21,-8.427645216810456,-9.1804692238509,-7.922292918246325,-9.1804692238509,-6.92273524225705,-8.500209555710144
22,-8.700479728322438,-9.544248572533544,-8.195127429758308,-9.544248572533544,-7.286514590939695,-8.863988904392789
23,-8.606939758584193,-9.41952861288255,-8.101587460020061,-9.41952861288255,-7.1617946312887,-8.739268944741793
24,-8.2192459333653,-8.902603512590693,-7.7138936348011695,-8.902603512590693,-6.644869530996843,-8.222343844449936
25,-8.594615780145613,-9.403096641631109,-8.089263481581483,-9.403096641631109,-7.14536266003726,-8.722836973490354
26,-8.631470647758388,-9.452236465114808,-8.126118349194257,-9.452236465114808,-7.19450248352096,-8.500209555710144
27,-8.904305159270372,-9.816015813797453,-8.398952860706242,-9.816015813797453,-7.558281832203605,-8.863988904392789
28,-8.810765189532125,-9.691295854146459,-8.305412890967995,-9.691295854146459,-7.433561872552609,-8.739268944741793
29,-8.423071364313232,-9.174370753854602,-7.917719065749102,-9.174370753854602,-6.916636772260753,-8.222343844449936
30,-8.798441211093545,-9.674863882895018,-8.293088912529415,-9.674863882895018,-7.417129901301171,-8.722836973490354
31,-8.387010148567738,-9.126289132860608,-7.881657850003607,-9.126289132860608,-6.690585296878577,-8.678179410098325
32,-8.65984466007972,-9.490068481543252,-8.15449236151559,-9.490068481543252,-7.054364645561222,-9.04195875878097
33,-8.566304690341475,-9.365348521892258,-8.060952391777343,-9.365348521892258,-6.929644685910226,-8.917238799129976
34,-8.178610865122582,-8.848423421600401,-7.673258566558451,-8.848423421600401,-6.41271958561837,-8.400313698838119
35,-8.553980711902895,-9.348916550640817,-8.048628413338765,-9.348916550640817,-6.913212714658788,-8.900806827878535
