idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.848424579228906,-9.51830445471918,-8.444277998503086,-9.51830445471918,-6.672051789308422,-9.188074133041159
2,-9.060258690552269,-9.783097093873383,-8.656112109826449,-9.783097093873383,-7.025108641514026,-9.452866772195362
3,-8.983635128669034,-9.687317641519341,-8.579488547943214,-9.687317641519341,-6.897402705041969,-9.35708731984132
4,-8.675952868171654,-9.302714815897616,-8.271806287445834,-9.302714815897616,-6.384598937546335,-8.972484494219595
5,-8.982237336141889,-9.685570400860408,-8.578090755416067,-9.685570400860408,-6.8950730508300575,-9.355340079182387
6,-8.987176330360233,-9.691744143633342,-8.583029749634415,-9.691744143633342,-6.903304707860635,-9.188074133041159
7,-9.199010441683596,-9.956536782787545,-8.794863860957777,-9.956536782787545,-7.25636156006624,-9.452866772195362
8,-9.122386879800363,-9.860757330433502,-8.718240299074543,-9.860757330433502,-7.1286556235941845,-9.35708731984132
9,-8.814704619302983,-9.476154504811777,-8.410558038577163,-9.476154504811777,-6.615851856098549,-8.972484494219595
10,-9.120989087273216,-9.85901008977457,-8.716842506547398,-9.85901008977457,-7.126325969382272,-9.355340079182387
11,-9.151839655541597,-9.897573300110045,-8.747693074815777,-9.897573300110045,-7.177743583162905,-9.188074133041159
12,-9.36367376686496,-10.162365939264248,-8.95952718613914,-10.162365939264248,-7.530800435368509,-9.452866772195362
13,-9.287050204981725,-10.066586486910206,-8.882903624255906,-10.066586486910206,-7.403094498896454,-9.35708731984132
14,-8.979367944484345,-9.68198366128848,-8.575221363758526,-9.68198366128848,-6.89029073140082,-8.972484494219595
15,-9.285652412454578,-10.064839246251273,-8.88150583172876,-10.064839246251273,-7.400764844684542,-9.355340079182387
16,-8.238840768487815,-8.928819332227818,-7.73365754258054,-8.928819332227818,-6.672051789308422,-8.488512236657122
17,-8.503633407642019,-9.281876184433422,-7.998450181734743,-9.281876184433422,-7.025108641514026,-8.841569088862727
18,-8.407853955287976,-9.154170247961366,-7.9026707293807,-9.154170247961366,-6.897402705041969,-8.71386315239067
19,-8.023251129666251,-8.64136648046573,-7.518067903758975,-8.64136648046573,-6.384598937546335,-8.201059384895036
20,-8.406106714629043,-9.151840593749455,-7.900923488721768,-9.151840593749455,-6.8950730508300575,-8.71153349817876
21,-8.412280457401977,-9.160072250780031,-7.9070972314947,-9.160072250780031,-6.903304707860635,-8.488512236657122
22,-8.677073096556178,-9.513129102985635,-8.171889870648904,-9.513129102985635,-7.25636156006624,-8.841569088862727
23,-8.581293644202137,-9.385423166513581,-8.076110418294862,-9.385423166513581,-7.1286556235941845,-8.71386315239067
24,-8.19669081858041,-8.872619399017944,-7.691507592673135,-8.872619399017944,-6.615851856098549,-8.201059384895036
25,-8.579546403543203,-9.383093512301668,-8.074363177635927,-9.383093512301668,-7.126325969382272,-8.71153349817876
26,-8.618109613878678,-9.4345111260823,-8.112926387971402,-9.4345111260823,-7.177743583162905,-8.488512236657122
27,-8.882902253032881,-9.787567978287905,-8.377719027125606,-9.787567978287905,-7.530800435368509,-8.841569088862727
28,-8.787122800678839,-9.659862041815849,-8.281939574771563,-9.659862041815849,-7.403094498896454,-8.71386315239067
29,-8.402519975057114,-9.147058274320214,-7.897336749149837,-9.147058274320214,-6.89029073140082,-8.201059384895036
30,-8.785375560019906,-9.657532387603938,-8.28019233411263,-9.657532387603938,-7.400764844684542,-8.71153349817876
31,-8.372410681406151,-9.106912549452266,-7.867227455498876,-9.106912549452266,-6.672051789308422,-8.666605453881571
32,-8.637203320560355,-9.45996940165787,-8.132020094653079,-9.45996940165787,-7.025108641514026,-9.019662306087175
33,-8.541423868206312,-9.332263465185813,-8.036240642299036,-9.332263465185813,-6.897402705041969,-8.891956369615118
34,-8.156821042584587,-8.81945969769018,-7.651637816677311,-8.81945969769018,-6.384598937546335,-8.379152602119484
35,-8.53967662754738,-9.329933810973904,-8.034493401640104,-9.329933810973904,-6.8950730508300575,-8.889626715403208
36,-8.545850370320313,-9.338165468004481,-8.040667144413037,-9.338165468004481,-6.903304707860635,-8.666605453881571
37,-8.810643009474514,-9.691222320210086,-8.30545978356724,-9.691222320210086,-7.25636156006624,-9.019662306087175
38,-8.714863557120474,-9.563516383738028,-8.209680331213198,-9.563516383738028,-7.1286556235941845,-8.891956369615118
39,-8.330260731498747,-9.050712616242395,-7.825077505591472,-9.050712616242395,-6.615851856098549,-8.379152602119484
40,-8.713116316461539,-9.561186729526119,-8.207933090554265,-9.561186729526119,-7.126325969382272,-8.889626715403208
41,-8.751679526797014,-9.612604343306751,-8.24649630088974,-9.612604343306751,-7.177743583162905,-8.666605453881571
42,-9.016472165951217,-9.965661195512356,-8.511288940043944,-9.965661195512356,-7.530800435368509,-9.019662306087175
43,-8.920692713597175,-9.8379552590403,-8.415509487689901,-9.8379552590403,-7.403094498896454,-8.891956369615118
44,-8.53608988797545,-9.325151491544664,-8.030906662068176,-9.325151491544664,-6.89029073140082,-8.379152602119484
45,-8.918945472938242,-9.835625604828389,-8.413762247030968,-9.835625604828389,-7.400764844684542,-8.889626715403208
46,-7.739030806800673,-8.636745465091163,-7.739030806800673,-8.636745465091165,-6.672051789308422,-7.801331917505868
47,-7.950864918124036,-8.901538104245368,-7.950864918124035,-8.901538104245368,-7.025108641514026,-8.066124556660071
48,-7.874241356240802,-8.805758651891326,-7.874241356240802,-8.805758651891326,-6.897402705041969,-7.970345104306029
49,-7.566559095743422,-8.4211558262696,-7.56655909574342,-8.421155826269601,-6.384598937546335,-7.585742278684303
