idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.810198744133215,-9.470596546773526,-8.406119408968944,-9.470596546773528,-6.671993308932429,-9.140312280572982
2,-9.021887889505738,-9.735207978489179,-8.617808554341467,-9.73520797848918,-7.024808551219965,-9.404923712288634
3,-8.945396755623653,-9.639594061136574,-8.541317420459382,-9.639594061136574,-6.897323328083158,-9.309309794936029
4,-8.637725569064994,-9.25500507793825,-8.233646233900723,-9.25500507793825,-6.384538017152059,-8.924720811737703
5,-8.94408951913022,-9.637960015519782,-8.54001018396595,-9.637960015519782,-6.8951446005941035,-9.307675749319237
6,-8.948879811031027,-9.64394788039579,-8.544800475866754,-9.64394788039579,-6.903128420428781,-9.140312280572982
7,-9.160568956403548,-9.908559312111443,-8.756489621239277,-9.908559312111443,-7.255943662716317,-9.404923712288634
8,-9.084077822521465,-9.812945394758838,-8.679998487357192,-9.812945394758838,-7.128458439579511,-9.309309794936029
9,-8.776406635962806,-9.428356411560515,-8.372327300798535,-9.428356411560515,-6.61567312864841,-8.924720811737703
10,-9.082770586028031,-9.811311349142047,-8.67869125086376,-9.811311349142047,-7.126279712090454,-9.307675749319237
11,-9.113754039205954,-9.85004066561445,-8.709674704041683,-9.85004066561445,-7.177918800720325,-9.140312280572982
12,-9.325443184578475,-10.114652097330103,-8.921363849414204,-10.114652097330103,-7.530734043007862,-9.404923712288634
13,-9.248952050696392,-10.019038179977498,-8.844872715532121,-10.019038179977498,-7.403248819871055,-9.309309794936029
14,-8.941280864137733,-9.634449196779173,-8.53720152897346,-9.634449196779173,-6.890463508939956,-8.924720811737703
15,-9.247644814202959,-10.017404134360707,-8.843565479038688,-10.017404134360707,-7.401070092382,-9.307675749319237
16,-8.238712788625929,-8.928747873643916,-7.7336136196705905,-8.928747873643916,-6.671993308932429,-8.488368852043187
17,-8.50332422034158,-9.281563115931453,-7.9982250513862425,-9.281563115931453,-7.024808551219965,-8.841184094330723
18,-8.407710302988976,-9.154077892794646,-7.902611134033638,-9.154077892794646,-6.897323328083158,-8.713698871193918
19,-8.02312131979065,-8.641292581863548,-7.518022150835313,-8.641292581863548,-6.384538017152059,-8.200913560262817
20,-8.406076257372185,-9.151899165305592,-7.900977088416846,-9.151899165305592,-6.8951446005941035,-8.711520143704861
21,-8.412064122248193,-9.15988298514027,-7.906964953292855,-9.15988298514027,-6.903128420428781,-8.488368852043187
22,-8.676675553963845,-9.512698227427805,-8.171576385008507,-9.512698227427805,-7.255943662716317,-8.841184094330723
23,-8.58106163661124,-9.385213004290998,-8.075962467655902,-9.385213004290998,-7.128458439579511,-8.713698871193918
24,-8.196472653412915,-8.8724276933599,-7.691373484457578,-8.8724276933599,-6.61567312864841,-8.200913560262817
25,-8.579427590994449,-9.383034276801943,-8.07432842203911,-9.383034276801943,-7.126279712090454,-8.711520143704861
26,-8.618156907466851,-9.434673365431813,-8.113057738511513,-9.434673365431813,-7.177918800720325,-8.488368852043187
27,-8.882768339182503,-9.787488607719348,-8.377669170227165,-9.787488607719348,-7.530734043007862,-8.841184094330723
28,-8.787154421829898,-9.660003384582543,-8.28205525287456,-9.660003384582543,-7.403248819871055,-8.713698871193918
29,-8.402565438631573,-9.147218073651443,-7.897466269676236,-9.147218073651443,-6.890463508939956,-8.200913560262817
30,-8.785520376213107,-9.657824657093487,-8.280421207257769,-9.657824657093487,-7.401070092382,-8.711520143704861
31,-8.372282701544265,-9.106841090868366,-7.867183532588927,-9.106841090868366,-6.671993308932429,-8.666462069267636
32,-8.636894133259919,-9.459656333155904,-8.13179496430458,-9.459656333155904,-7.024808551219965,-9.019277311555173
33,-8.541280215907314,-9.332171110019095,-8.036181046951974,-9.332171110019095,-6.897323328083158,-8.891792088418367
