idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.847910984236275,-9.517432998701247,-8.443551309771607,-9.517432998701247,-6.671561456712513,-9.18767680276878
2,-9.05937344417794,-9.781761073628326,-8.65501376971327,-9.781761073628326,-7.023998889948618,-9.452004877695858
3,-8.983096687357014,-9.68641512760217,-8.578737012892343,-9.68641512760217,-6.896870961913742,-9.356658931669703
4,-8.675505321196534,-9.301925919901569,-8.271145646731863,-9.301925919901569,-6.384218684979608,-8.9721697239691
5,-8.981776892181433,-9.684765383632692,-8.577417217716762,-9.684765383632692,-6.8946713032877724,-9.355009187700224
6,-8.986692499219346,-9.690909892430085,-8.582332824754676,-9.690909892430085,-6.902863981684296,-9.18767680276878
7,-9.198154959161009,-9.955237967357164,-8.79379528469634,-9.955237967357164,-7.2553014149204005,-9.452004877695858
8,-9.121878202340085,-9.859892021331007,-8.717518527875416,-9.859892021331007,-7.128173486885526,-9.356658931669703
9,-8.814286836179603,-9.475402813630406,-8.409927161714934,-9.475402813630406,-6.615521209951392,-8.9721697239691
10,-9.120558407164502,-9.85824227736153,-8.716198732699834,-9.85824227736153,-7.125973828259556,-9.355009187700224
11,-9.15181642133879,-9.89731479507939,-8.74745674687412,-9.89731479507939,-7.178070518550036,-9.18767680276878
12,-9.363278881280452,-10.161642870006467,-8.958919206815782,-10.161642870006467,-7.530507951786139,-9.452004877695858
13,-9.287002124459528,-10.066296923980312,-8.882642449994858,-10.066296923980312,-7.403380023751265,-9.356658931669703
14,-8.979410758299046,-9.68180771627971,-8.575051083834378,-9.68180771627971,-6.89072774681713,-8.9721697239691
15,-9.285682329283945,-10.064647180010835,-8.881322654819275,-10.064647180010835,-7.401180365125295,-9.355009187700224
16,-8.238735765154221,-8.928373378080165,-7.7332861720733845,-8.928373378080165,-6.671561456712513,-8.488698450170206
17,-8.5030638400813,-9.28081081131627,-7.997614247000463,-9.28081081131627,-7.023998889948618,-8.841135883406311
18,-8.407717894055143,-9.153682883281395,-7.902268300974307,-9.153682883281395,-6.896870961913742,-8.714007955371438
19,-8.023228686354543,-8.64103060634726,-7.517779093273706,-8.64103060634726,-6.384218684979608,-8.201355678437302
20,-8.406068150085666,-9.151483224655424,-7.9006185570048295,-9.151483224655424,-6.8946713032877724,-8.711808296745467
21,-8.412212658883059,-9.159675903051948,-7.906763065802222,-9.159675903051948,-6.902863981684296,-8.488698450170206
22,-8.676540733810137,-9.512113336288053,-8.1710911407293,-9.512113336288053,-7.2553014149204005,-8.841135883406311
23,-8.581194787783982,-9.384985408253177,-8.075745194703146,-9.384985408253177,-7.128173486885526,-8.714007955371438
24,-8.19670558008338,-8.872333131319044,-7.691255987002544,-8.872333131319044,-6.615521209951392,-8.201355678437302
25,-8.579545043814504,-9.382785749627208,-8.074095450733667,-9.382785749627208,-7.125973828259556,-8.711808296745467
26,-8.618617561532364,-9.434882439917688,-8.113167968451526,-9.434882439917688,-7.178070518550036,-8.488698450170206
27,-8.882945636459443,-9.787319873153793,-8.377496043378605,-9.787319873153793,-7.530507951786139,-8.841135883406311
28,-8.787599690433286,-9.660191945118918,-8.28215009735245,-9.660191945118918,-7.403380023751265,-8.714007955371438
29,-8.403110482732684,-9.147539668184782,-7.897660889651847,-9.147539668184782,-6.89072774681713,-8.201355678437302
30,-8.78594994646381,-9.657992286492949,-8.28050035338297,-9.657992286492949,-7.401180365125295,-8.711808296745467
31,-8.372127042838091,-9.10622841499199,-7.866677449757255,-9.10622841499199,-6.671561456712513,-8.666553487082034
32,-8.63645511776517,-9.458665848228096,-8.131005524684333,-9.458665848228096,-7.023998889948618,-9.018990920318139
33,-8.541109171739013,-9.331537920193222,-8.035659578658176,-9.331537920193222,-6.896870961913742,-8.891862992283263
34,-8.156619964038413,-8.818885643259087,-7.651170370957576,-8.818885643259087,-6.384218684979608,-8.37921071534913
35,-8.539459427769536,-9.329338261567251,-8.0340098346887,-9.329338261567251,-6.8946713032877724,-8.889663333657294
36,-8.545603936566929,-9.337530939963775,-8.040154343486092,-9.337530939963775,-6.902863981684296,-8.666553487082034
37,-8.809932011494007,-9.68996837319988,-8.304482418413171,-9.68996837319988,-7.2553014149204005,-9.018990920318139
38,-8.714586065467852,-9.562840445165005,-8.209136472387016,-9.562840445165005,-7.128173486885526,-8.891862992283263
39,-8.33009685776725,-9.05018816823087,-7.824647264686414,-9.05018816823087,-6.615521209951392,-8.37921071534913
40,-8.712936321498374,-9.560640786539034,-8.207486728417537,-9.560640786539034,-7.125973828259556,-8.889663333657294
41,-8.752008839216234,-9.612737476829516,-8.246559246135396,-9.612737476829516,-7.178070518550036,-8.666553487082034
