idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.84734315970815,-9.51676949491289,-8.44302569274447,-9.51676949491289,-6.671633432998846,-9.186919516704776
2,-9.058900690241515,-9.781216408079597,-8.654583223277836,-9.781216408079597,-7.024229317221121,-9.451366429871483
3,-8.982554828424508,-9.68578408080834,-8.57823736146083,-9.68578408080834,-6.896986214192779,-9.355934102600227
4,-8.674904034132425,-9.301220587943234,-8.270586567168746,-9.301220587943234,-6.384234890372639,-8.971370609735121
5,-8.981312266830002,-9.684230878815207,-8.576994799866322,-9.684230878815207,-6.894915278201933,-9.35438090060709
6,-8.986135572876558,-9.690260011373397,-8.581818105912877,-9.6902600113734,-6.902954121612857,-9.186919516704776
7,-9.197693103409922,-9.954706924540105,-8.793375636446243,-9.954706924540107,-7.255550005835133,-9.451366429871483
8,-9.121347241592918,-9.859274597268847,-8.717029774629236,-9.85927459726885,-7.1283069028067905,-9.355934102600227
9,-8.813696447300833,-9.474711104403742,-8.409378980337152,-9.474711104403745,-6.61555557898665,-8.971370609735121
10,-9.12010467999841,-9.857721395275714,-8.71578721303473,-9.857721395275714,-7.126235966815944,-9.35438090060709
11,-9.150888287131636,-9.896200904192249,-8.746570820167957,-9.896200904192249,-7.177541978704657,-9.186919516704776
12,-9.362445817665002,-10.160647817358957,-8.958128350701323,-10.160647817358957,-7.530137862926932,-9.451366429871483
13,-9.286099955847996,-10.065215490087699,-8.881782488884317,-10.065215490087699,-7.40289475989859,-9.355934102600227
14,-8.978449161555911,-9.680651997222594,-8.574131694592234,-9.680651997222594,-6.89014343607845,-8.971370609735121
15,-9.284857394253489,-10.063662288094566,-8.880539927289808,-10.063662288094566,-7.400823823907744,-9.35438090060709
16,-8.238736982299201,-8.928436703435874,-7.7333401485946025,-8.928436703435874,-6.671633432998846,-8.48863673249172
17,-8.50318389546591,-9.281032587658151,-7.99778706176131,-9.281032587658151,-7.024229317221121,-8.841232616713997
18,-8.407751568194652,-9.153789484629808,-7.902354734490053,-9.153789484629808,-6.896986214192779,-8.713989513685654
19,-8.023188075329546,-8.641038160809668,-7.5177912416249475,-8.641038160809668,-6.384234890372639,-8.201238189865514
20,-8.406198366201519,-9.151718548638963,-7.900801532496918,-9.151718548638963,-6.894915278201933,-8.711918577694808
21,-8.412227498759709,-9.159757392049885,-7.906830665055111,-9.159757392049885,-6.902954121612857,-8.48863673249172
22,-8.676674411926417,-9.51235327627216,-8.171277578221819,-9.51235327627216,-7.255550005835133,-8.841232616713997
23,-8.581242084655159,-9.385110173243818,-8.075845250950561,-9.385110173243818,-7.1283069028067905,-8.713989513685654
24,-8.196678591790054,-8.872358849423678,-7.691281758085456,-8.872358849423678,-6.61555557898665,-8.201238189865514
25,-8.579688882662026,-9.383039237252971,-8.074292048957426,-9.383039237252971,-7.126235966815944,-8.711918577694808
26,-8.61816839157856,-9.434345249141685,-8.11277155787396,-9.434345249141685,-7.177541978704657,-8.48863673249172
27,-8.882615304745269,-9.786941133363962,-8.377218471040667,-9.786941133363962,-7.530137862926932,-8.841232616713997
28,-8.78718297747401,-9.659698030335619,-8.281786143769411,-9.659698030335619,-7.40289475989859,-8.713989513685654
29,-8.402619484608906,-9.146946706515479,-7.897222650904306,-9.146946706515479,-6.89014343607845,-8.201238189865514
30,-8.785629775480876,-9.657627094344774,-8.280232941776276,-9.657627094344774,-7.400823823907744,-8.711918577694808
31,-8.371059120791259,-9.104866221425281,-7.865662287086658,-9.104866221425281,-6.671633432998846,-8.665066250481127
32,-8.635506033957965,-9.457462105647556,-8.130109200253365,-9.457462105647556,-7.024229317221121,-9.017662134703404
33,-8.540073706686709,-9.330219002619215,-8.034676872982107,-9.330219002619215,-6.896986214192779,-8.89041903167506
34,-8.155510213821604,-8.817467678799074,-7.650113380117003,-8.817467678799074,-6.384234890372639,-8.37766770785492
35,-8.538520504693572,-9.328148066628367,-8.033123670988974,-9.328148066628367,-6.894915278201933,-8.888348095684215
36,-8.544549637251766,-9.336186910039292,-8.039152803547164,-9.336186910039292,-6.902954121612857,-8.665066250481127
37,-8.808996550418472,-9.688782794261568,-8.303599716713872,-9.688782794261568,-7.255550005835133,-9.017662134703404
38,-8.713564223147216,-9.561539691233225,-8.208167389442615,-9.561539691233225,-7.1283069028067905,-8.89041903167506
39,-8.329000730282111,-9.048788367413085,-7.82360389657751,-9.048788367413085,-6.61555557898665,-8.37766770785492
40,-8.71201102115408,-9.55946875524238,-8.206614187449482,-9.55946875524238,-7.126235966815944,-8.888348095684215
41,-8.750490530070616,-9.610774767131092,-8.245093696366016,-9.610774767131092,-7.177541978704657,-8.665066250481127
42,-9.014937443237322,-9.963370651353367,-8.509540609532722,-9.963370651353367,-7.530137862926932,-9.017662134703404
43,-8.919505115966066,-9.836127548325026,-8.414108282261466,-9.836127548325026,-7.40289475989859,-8.89041903167506
44,-8.534941623100961,-9.323376224504885,-8.029544789396361,-9.323376224504885,-6.89014343607845,-8.37766770785492
45,-8.917951913972932,-9.834056612334178,-8.41255508026833,-9.834056612334178,-7.400823823907744,-8.888348095684215
46,-7.738083595308254,-8.635591873117619,-7.738083595308254,-8.635591873117619,-6.671633432998846,-7.800345061204905
47,-7.949641125841619,-8.900038786284327,-7.94964112584162,-8.900038786284327,-7.024229317221121,-8.064791974371612
48,-7.873295264024614,-8.804606459013069,-7.873295264024614,-8.804606459013069,-6.896986214192779,-7.969359647100355
49,-7.56564446973253,-8.420042966147964,-7.56564446973253,-8.420042966147964,-6.384234890372639,-7.58479615423525
50,-7.872052702430105,-8.803053257019936,-7.872052702430106,-8.803053257019936,-6.894915278201933,-7.967806445107221
51,-7.87687600847666,-8.80908238957813,-7.87687600847666,-8.80908238957813,-6.902954121612857,-7.800345061204905
52,-8.088433539010026,-9.073529302744836,-8.088433539010026,-9.073529302744836,-7.255550005835133,-8.064791974371612
53,-8.01208767719302,-8.97809697547358,-8.01208767719302,-8.97809697547358,-7.1283069028067905,-7.969359647100355
