idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.848660247569338,-9.518336853767073,-8.444274823853704,-9.518336853767073,-6.671819176024674,-9.188511504446925
2,-9.060354438597779,-9.78295459255262,-8.655969014882142,-9.78295459255262,-7.024642827738739,-9.453129243232475
3,-8.983851203573254,-9.687325548771966,-8.579465779857617,-9.687325548771966,-6.8971374360311986,-9.357500199451819
4,-8.676195874886425,-9.30275638791343,-8.27181045117079,-9.30275638791343,-6.384378554886484,-8.972931038593282
5,-8.982543797862538,-9.685691291633573,-8.578158374146904,-9.685691291633573,-6.894958426513341,-9.355865942313425
6,-8.987507063192973,-9.691895373296614,-8.583121639477337,-9.691895373296616,-6.903230535397398,-9.188511504446925
7,-9.199201254221412,-9.956513112082163,-8.794815830505778,-9.956513112082163,-7.256054187111462,-9.453129243232475
8,-9.122698019196887,-9.860884068301507,-8.718312595481253,-9.860884068301509,-7.128548795403923,-9.357500199451819
9,-8.815042690510058,-9.476314907442971,-8.410657266794423,-9.476314907442973,-6.615789914259207,-8.972931038593282
10,-9.121390613486174,-9.859249811163114,-8.717005189770537,-9.859249811163115,-7.126369785886065,-9.355865942313425
11,-9.152050482668098,-9.89757464764052,-8.747665058952462,-9.897574647640521,-7.1774695678559395,-9.188511504446925
12,-9.363744673696536,-10.162192386426067,-8.959359249980901,-10.162192386426069,-7.5302932195700025,-9.453129243232475
13,-9.287241438672012,-10.066563342645413,-8.882856014956378,-10.066563342645415,-7.402787827862464,-9.357500199451819
14,-8.979586109985183,-9.681994181786877,-8.575200686269548,-9.681994181786877,-6.890028946717749,-8.972931038593282
15,-9.285934032961297,-10.06492908550702,-8.881548609245662,-10.064929085507021,-7.4006088183446055,-9.355865942313425
16,-8.238961298137365,-8.92863045659035,-7.733479518492821,-8.92863045659035,-6.671819176024674,-8.48886332416349
17,-8.503579036922915,-9.281454108304414,-7.99809725727837,-9.281454108304414,-7.024642827738739,-8.841686975877554
18,-8.407949993142259,-9.153948716596874,-7.9024682134977144,-9.153948716596874,-6.8971374360311986,-8.714181584170014
19,-8.023380832283722,-8.64118983545216,-7.517899052639178,-8.64118983545216,-6.384378554886484,-8.2014227030253
20,-8.406315736003865,-9.151769707079017,-7.900833956359321,-9.151769707079017,-6.894958426513341,-8.712002574652155
21,-8.412519817666908,-9.160041815963075,-7.907038038022364,-9.160041815963075,-6.903230535397398,-8.48886332416349
22,-8.677137556452458,-9.51286546767714,-8.171655776807913,-9.51286546767714,-7.256054187111462,-8.841686975877554
23,-8.581508512671801,-9.385360075969599,-8.076026733027257,-9.385360075969599,-7.128548795403923,-8.714181584170014
24,-8.196939351813265,-8.872601194824883,-7.691457572168721,-8.872601194824883,-6.615789914259207,-8.2014227030253
25,-8.579874255533408,-9.38318106645174,-8.074392475888864,-9.38318106645174,-7.126369785886065,-8.712002574652155
26,-8.618199092010814,-9.434280848421615,-8.11271731236627,-9.434280848421615,-7.1774695678559395,-8.48886332416349
27,-8.882816830796362,-9.78710450013568,-8.377335051151817,-9.78710450013568,-7.5302932195700025,-8.841686975877554
28,-8.787187787015707,-9.65959910842814,-8.281706007371163,-9.65959910842814,-7.402787827862464,-8.714181584170014
29,-8.402618626157171,-9.146840227283425,-7.897136846512627,-9.146840227283425,-6.890028946717749,-8.2014227030253
30,-8.785553529877314,-9.657420098910281,-8.28007175023277,-9.657420098910281,-7.4006088183446055,-8.712002574652155
31,-8.37128343662942,-9.105059974579758,-7.8658016569848765,-9.105059974579758,-6.671819176024674,-8.665292842152896
32,-8.635901175414968,-9.457883626293823,-8.130419395770424,-9.457883626293823,-7.024642827738739,-9.01811649386696
33,-8.540272131634314,-9.330378234586282,-8.03479035198977,-9.330378234586282,-6.8971374360311986,-8.89061110215942
34,-8.155702970775778,-8.817619353441566,-7.650221191131234,-8.817619353441566,-6.384378554886484,-8.377852221014706
35,-8.53863787449592,-9.328199225068424,-8.033156094851376,-9.328199225068424,-6.894958426513341,-8.888432092641564
36,-8.544841956158963,-9.336471333952481,-8.03936017651442,-9.336471333952481,-6.903230535397398,-8.665292842152896
37,-8.809459694944511,-9.689294985666546,-8.303977915299967,-9.689294985666546,-7.256054187111462,-9.01811649386696
38,-8.713830651163857,-9.561789593959006,-8.208348871519313,-9.561789593959006,-7.128548795403923,-8.89061110215942
39,-8.32926149030532,-9.049030712814291,-7.823779710660776,-9.049030712814291,-6.615789914259207,-8.377852221014706
40,-8.712196394025463,-9.559610584441147,-8.20671461438092,-9.559610584441147,-7.126369785886065,-8.888432092641564
41,-8.75052123050287,-9.610710366411022,-8.245039450858325,-9.610710366411022,-7.1774695678559395,-8.665292842152896
42,-9.015138969288419,-9.963534018125086,-8.509657189643873,-9.963534018125086,-7.5302932195700025,-9.01811649386696
43,-8.919509925507763,-9.836028626417546,-8.414028145863218,-9.836028626417546,-7.402787827862464,-8.89061110215942
44,-8.534940764649226,-9.323269745272832,-8.02945898500468,-9.323269745272832,-6.890028946717749,-8.377852221014706
45,-8.91787566836937,-9.83384961689969,-8.412393888724825,-9.83384961689969,-7.4006088183446055,-8.888432092641564
46,-7.738198737212622,-8.635741745465719,-7.738198737212622,-8.635741745465719,-6.671819176024674,-7.800434616501029
47,-7.94989292824106,-8.900359484251268,-7.949892928241061,-8.900359484251268,-7.024642827738739,-8.065052355286577
48,-7.873389693216536,-8.804730440470612,-7.873389693216536,-8.804730440470612,-6.8971374360311986,-7.969423311505922
49,-7.565734364529706,-8.420161279612076,-7.565734364529708,-8.420161279612076,-6.384378554886484,-7.584854150647385
50,-7.872082287505822,-8.803096183332219,-7.872082287505822,-8.803096183332219,-6.894958426513341,-7.967789054367529
51,-7.877045552836256,-8.809300264995262,-7.877045552836256,-8.809300264995262,-6.903230535397398,-7.800434616501029
