idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.848123250371561,-9.517864317798747,-8.443911653300844,-9.517864317798747,-6.672280955501102,-9.187752031155501
2,-9.060102303458692,-9.782838134157661,-8.655890706387975,-9.782838134157661,-7.025579377312987,-9.452725847514415
3,-8.983538554144019,-9.68713344751432,-8.579326957073302,-9.68713344751432,-6.8979731284552,-9.357021160871074
4,-8.675804959355652,-9.302466454028862,-8.271593362284936,-9.302466454028862,-6.3850838038079205,-8.972354167385616
5,-8.982034592694191,-9.685253495702035,-8.577822995623475,-9.685253495702035,-6.895466526038818,-9.35514120905879
6,-8.986970142809847,-9.691422933346605,-8.58275854573913,-9.691422933346605,-6.903692442898245,-9.187752031155501
7,-9.198949195896976,-9.956396749705517,-8.794737598826261,-9.956396749705519,-7.256990864710129,-9.452725847514415
8,-9.122385446582305,-9.860692063062178,-8.71817384951159,-9.860692063062178,-7.129384615852342,-9.357021160871074
9,-8.814651851793936,-9.476025069576718,-8.410440254723222,-9.476025069576718,-6.616495291205063,-8.972354167385616
10,-9.120881485132475,-9.85881211124989,-8.716669888061759,-9.858812111249891,-7.12687801343596,-9.35514120905879
11,-9.151665814696504,-9.897292523204925,-8.747454217625787,-9.897292523204925,-7.178185229376005,-9.187752031155501
12,-9.363644867783634,-10.162266339563839,-8.959433270712918,-10.162266339563839,-7.53148365118789,-9.452725847514415
13,-9.287081118468961,-10.066561652920498,-8.882869521398245,-10.066561652920498,-7.403877402330103,-9.357021160871074
14,-8.979347523680595,-9.681894659435038,-8.575135926609878,-9.68189465943504,-6.890988077682824,-8.972354167385616
15,-9.285577157019134,-10.064681701108212,-8.881365559948415,-10.064681701108213,-7.401370799913721,-9.35514120905879
16,-8.239090298196754,-8.929067404041401,-7.73382580185836,-8.929067404041401,-6.672280955501102,-8.488917688517073
17,-8.504064114555668,-9.282365825853285,-7.998799618217273,-9.282365825853285,-7.025579377312987,-8.842216110328957
18,-8.408359427912327,-9.154759576995499,-7.903094931573933,-9.154759576995499,-6.8979731284552,-8.714609861471171
19,-8.023692434426868,-8.64187025234822,-7.5184279380884735,-8.64187025234822,-6.3850838038079205,-8.201720536823892
20,-8.406479476100042,-9.152252974579117,-7.901214979761646,-9.152252974579117,-6.895466526038818,-8.712103259054789
21,-8.412648913744611,-9.160478891438542,-7.907384417406216,-9.160478891438542,-6.903692442898245,-8.488917688517073
22,-8.677622730103526,-9.513777313250428,-8.172358233765129,-9.513777313250428,-7.256990864710129,-8.842216110328957
23,-8.581918043460185,-9.38617106439264,-8.07665354712179,-9.38617106439264,-7.129384615852342,-8.714609861471171
24,-8.197251049974724,-8.87328173974536,-7.69198655363633,-8.87328173974536,-6.616495291205063,-8.201720536823892
25,-8.580038091647898,-9.383664461976258,-8.074773595309502,-9.383664461976258,-7.12687801343596,-8.712103259054789
26,-8.618518503602932,-9.434971677916304,-8.113254007264537,-9.434971677916304,-7.178185229376005,-8.488917688517073
27,-8.883492319961846,-9.788270099728189,-8.37822782362345,-9.788270099728189,-7.53148365118789,-8.842216110328957
