idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.847694230594673,-9.51744283533244,-8.443594253943512,-9.51744283533244,-6.672225129092827,-9.18707614568192
2,-9.059628712944242,-9.782360938269404,-8.655528736293084,-9.782360938269404,-7.025449266342112,-9.451994248618883
3,-8.982910715209812,-9.686463441101367,-8.578810738558653,-9.686463441101367,-6.897585936784729,-9.356096751450846
4,-8.675167178368088,-9.301784020049212,-8.27106720171693,-9.301784020049212,-6.384680042048522,-8.97141733039869
5,-8.981602970933071,-9.684828760755442,-8.577502994281913,-9.684828760755442,-6.895406362990163,-9.354462071104921
6,-8.986429706202058,-9.690862179841675,-8.582329729550901,-9.690862179841675,-6.903450921771806,-9.18707614568192
7,-9.198364188551627,-9.955780282778637,-8.794264211900472,-9.955780282778637,-7.256675059021089,-9.451994248618883
8,-9.121646190817199,-9.8598827856106,-8.71754621416604,-9.8598827856106,-7.128811729463706,-9.356096751450846
9,-8.813902653975475,-9.475203364558446,-8.409802677324318,-9.475203364558446,-6.6159058347275,-8.97141733039869
10,-9.120338446540458,-9.858248105264675,-8.716238469889301,-9.858248105264675,-7.12663215566914,-9.354462071104921
11,-9.150729191256175,-9.89623653615932,-8.746629214605017,-9.89623653615932,-7.177283396861999,-9.18707614568192
12,-9.362663673605747,-10.161154639096283,-8.958563696954588,-10.161154639096283,-7.530507534111284,-9.451994248618883
13,-9.285945675871314,-10.065257141928246,-8.881845699220156,-10.065257141928246,-7.4026442045539005,-9.356096751450846
14,-8.978202139029593,-9.68057772087609,-8.574102162378434,-9.68057772087609,-6.8897383098176945,-8.97141733039869
15,-9.284637931594576,-10.063622461582321,-8.880537954943417,-10.063622461582321,-7.400464630759334,-9.354462071104921
16,-8.238909242579949,-8.928979052892068,-7.733784271766,-8.928979052892068,-6.672225129092827,-8.48849013335804
17,-8.50382734551691,-9.28220319014135,-7.998702374702963,-9.28220319014135,-7.025449266342112,-8.841714270607323
18,-8.407929848348873,-9.154339860583967,-7.902804877534924,-9.154339860583967,-6.897585936784729,-8.71385094104994
19,-8.02325042729672,-8.641433965847762,-7.51812545648277,-8.641433965847762,-6.384680042048522,-8.200945046313732
20,-8.406295168002949,-9.152160286789401,-7.901170197189,-9.152160286789401,-6.895406362990163,-8.711671367255372
21,-8.412328587089181,-9.160204845571045,-7.907203616275233,-9.160204845571045,-6.903450921771806,-8.48849013335804
22,-8.677246690026145,-9.513428982820328,-8.172121719212196,-9.513428982820328,-7.256675059021089,-8.841714270607323
23,-8.581349192858108,-9.385565653262944,-8.076224222044159,-9.385565653262944,-7.128811729463706,-8.71385094104994
24,-8.196669771805952,-8.872659758526739,-7.691544800992004,-8.872659758526739,-6.6159058347275,-8.200945046313732
25,-8.579714512512183,-9.383386079468378,-8.074589541698234,-9.383386079468378,-7.12663215566914,-8.711671367255372
26,-8.617702943406828,-9.43403732066124,-8.112577972592879,-9.43403732066124,-7.177283396861999,-8.48849013335804
27,-8.88262104634379,-9.787261457910523,-8.37749607552984,-9.787261457910523,-7.530507534111284,-8.841714270607323
28,-8.786723549175752,-9.65939812835314,-8.281598578361804,-9.65939812835314,-7.4026442045539005,-8.71385094104994
29,-8.402044128123599,-9.146492233616934,-7.896919157309649,-9.146492233616934,-6.8897383098176945,-8.200945046313732
30,-8.785088868829828,-9.657218554558574,-8.279963898015879,-9.657218554558574,-7.400464630759334,-8.711671367255372
31,-8.371409253722694,-9.105645734415729,-7.866284282908746,-9.105645734415729,-6.672225129092827,-8.6651568148817
32,-8.636327356659656,-9.458869871665012,-8.13120238584571,-9.458869871665012,-7.025449266342112,-9.018380952130984
33,-8.540429859491619,-9.331006542107628,-8.035304888677672,-9.331006542107628,-6.897585936784729,-8.890517622573599
34,-8.155750438439465,-8.818100647371422,-7.650625467625517,-8.818100647371422,-6.384680042048522,-8.377611727837394
35,-8.538795179145694,-9.328826968313061,-8.033670208331747,-9.328826968313061,-6.895406362990163,-8.888338048779033
36,-8.544828598231927,-9.336871527094706,-8.03970362741798,-9.336871527094706,-6.903450921771806,-8.6651568148817
37,-8.80974670116889,-9.69009566434399,-8.304621730354942,-9.69009566434399,-7.256675059021089,-9.018380952130984
38,-8.713849204000853,-9.562232334786607,-8.208724233186905,-9.562232334786607,-7.128811729463706,-8.890517622573599
39,-8.329169782948698,-9.0493264400504,-7.82404481213475,-9.0493264400504,-6.6159058347275,-8.377611727837394
40,-8.712214523654929,-9.560052760992042,-8.20708955284098,-9.560052760992042,-7.12663215566914,-8.888338048779033
41,-8.750202954549573,-9.610704002184901,-8.245077983735625,-9.610704002184901,-7.177283396861999,-8.6651568148817
42,-9.015121057486535,-9.963928139434184,-8.509996086672587,-9.963928139434184,-7.530507534111284,-9.018380952130984
43,-8.919223560318498,-9.8360648098768,-8.41409858950455,-9.8360648098768,-7.4026442045539005,-8.890517622573599
44,-8.534544139266345,-9.323158915140594,-8.029419168452396,-9.323158915140594,-6.8897383098176945,-8.377611727837394
45,-8.917588879972573,-9.833885236082233,-8.412463909158625,-9.833885236082233,-7.400464630759334,-8.888338048779033
46,-7.738185196579247,-8.635681513627107,-7.738185196579247,-8.635681513627107,-6.672225129092827,-7.800189853162639
47,-7.950119678928817,-8.90059961656407,-7.950119678928817,-8.90059961656407,-7.025449266342112,-8.065107956099602
48,-7.873401681194386,-8.804702119396033,-7.873401681194386,-8.804702119396033,-6.897585936784729,-7.969210458931563
49,-7.565658144352663,-8.420022698343878,-7.565658144352663,-8.420022698343878,-6.384680042048522,-7.584531037879409
50,-7.872093936917646,-8.803067439050109,-7.872093936917646,-8.803067439050109,-6.895406362990163,-7.967575778585639
51,-7.876920672186633,-8.809100858136341,-7.876920672186633,-8.809100858136341,-6.903450921771806,-7.800189853162639
52,-8.088855154536203,-9.074018961073303,-8.088855154536201,-9.074018961073303,-7.256675059021089,-8.065107956099602
53,-8.012137156801774,-8.978121463905266,-8.012137156801773,-8.978121463905266,-7.128811729463706,-7.969210458931563
54,-7.704393619960049,-8.593442042853113,-7.704393619960049,-8.593442042853113,-6.6159058347275,-7.584531037879409
55,-8.010829412525034,-8.976486783559341,-8.010829412525032,-8.976486783559341,-7.12663215566914,-7.967575778585639
56,-8.04122015724075,-9.014475214453986,-8.04122015724075,-9.014475214453986,-7.177283396861999,-7.800189853162639
57,-8.25315463959032,-9.27939331739095,-8.25315463959032,-9.27939331739095,-7.530507534111284,-8.065107956099602
