idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.846890261668214,-9.5160758134024,-8.4423671429685,-9.5160758134024,-6.670885039472313,-9.186497865208427
2,-9.058374721693529,-9.780431388434044,-8.653851602993814,-9.780431388434042,-7.023359139514504,-9.45085344024007
3,-8.981891969514809,-9.684827948210645,-8.577368850815095,-9.684827948210643,-6.895887885883305,-9.355250000016671
4,-8.67433111351767,-9.30037687821422,-8.269807994817956,-9.30037687821422,-6.383286459221406,-8.970798930020246
5,-8.980768044456433,-9.683423041887673,-8.576244925756718,-9.683423041887673,-6.8940146774526765,-9.3538450936937
6,-8.985522411392362,-9.689366000557582,-8.580999292692647,-9.689366000557582,-6.901938622345891,-9.186497865208427
7,-9.197006871417676,-9.953721575589226,-8.792483752717962,-9.953721575589226,-7.254412722388079,-9.45085344024007
8,-9.120524119238956,-9.858118135365826,-8.716001000539242,-9.858118135365826,-7.12694146875688,-9.355250000016671
9,-8.812963263241816,-9.473667065369401,-8.408440144542102,-9.473667065369401,-6.614340042094983,-8.970798930020246
10,-9.11940019418058,-9.856713229042855,-8.714877075480866,-9.856713229042855,-7.1250682603262545,-9.3538450936937
11,-9.150267427736399,-9.89529727098763,-8.745744309036684,-9.89529727098763,-7.176513649585954,-9.186497865208427
12,-9.361751887761715,-10.159652846019274,-8.957228769062,-10.159652846019274,-7.528987749628143,-9.45085344024007
13,-9.285269135582995,-10.064049405795874,-8.88074601688328,-10.064049405795874,-7.401516495996944,-9.355250000016671
14,-8.977708279585855,-9.679598335799449,-8.57318516088614,-9.679598335799449,-6.888915069335046,-8.970798930020246
15,-9.284145210524617,-10.062644499472903,-8.879622091824903,-10.062644499472903,-7.399643287566318,-9.3538450936937
16,-8.23864373475313,-8.928142294760343,-7.732989836378485,-8.928142294760343,-6.670885039472313,-8.488705030501714
17,-8.502999309784771,-9.280616394802536,-7.997345411410128,-9.280616394802536,-7.023359139514504,-8.841179130543907
18,-8.407395869561372,-9.153145141171336,-7.901741971186729,-9.153145141171336,-6.895887885883305,-8.713707876912707
19,-8.022944799564948,-8.640543714509437,-7.517290901190305,-8.640543714509437,-6.383286459221406,-8.201106450250808
20,-8.405990963238402,-9.151271932740707,-7.900337064863757,-9.151271932740707,-6.8940146774526765,-8.711834668482078
21,-8.411933921908311,-9.159195877633922,-7.906280023533666,-9.159195877633922,-6.901938622345891,-8.488705030501714
22,-8.676289496939955,-9.511669977676114,-8.17063559856531,-9.511669977676114,-7.254412722388079,-8.841179130543907
23,-8.580686056716555,-9.384198724044914,-8.07503215834191,-9.384198724044914,-7.12694146875688,-8.713707876912707
24,-8.19623498672013,-8.871597297383016,-7.690581088345486,-8.871597297383016,-6.614340042094983,-8.201106450250808
25,-8.579281150393584,-9.382325515614285,-8.07362725201894,-9.382325515614285,-7.1250682603262545,-8.711834668482078
26,-8.617865192338359,-9.433770904873986,-8.112211293963714,-9.433770904873986,-7.176513649585954,-8.488705030501714
27,-8.882220767370002,-9.786245004916175,-8.376566868995358,-9.786245004916175,-7.528987749628143,-8.841179130543907
28,-8.786617327146603,-9.658773751284976,-8.280963428771958,-9.658773751284976,-7.401516495996944,-8.713707876912707
29,-8.402166257150178,-9.146172324623079,-7.896512358775534,-9.146172324623079,-6.888915069335046,-8.201106450250808
30,-8.785212420823632,-9.65690054285435,-8.279558522448987,-9.65690054285435,-7.399643287566318,-8.711834668482078
31,-8.370756317491086,-9.104292405077622,-7.865102419116441,-9.104292405077622,-6.670885039472313,-8.664855140818993
32,-8.63511189252273,-9.45676650511981,-8.129457994148085,-9.45676650511981,-7.023359139514504,-9.017329240861182
33,-8.53950845229933,-9.329295251488611,-8.033854553924686,-9.329295251488611,-6.895887885883305,-8.889857987229982
34,-8.155057382302905,-8.816693824826714,-7.649403483928261,-8.816693824826714,-6.383286459221406,-8.377256560568085
35,-8.538103545976359,-9.327422043057986,-8.032449647601714,-9.327422043057986,-6.8940146774526765,-8.887984778799357
36,-8.54404650464627,-9.335345987951198,-8.038392606271625,-9.335345987951198,-6.901938622345891,-8.664855140818993
37,-8.808402079677911,-9.687820087993389,-8.302748181303269,-9.687820087993389,-7.254412722388079,-9.017329240861182
38,-8.712798639454512,-9.56034883436219,-8.207144741079869,-9.56034883436219,-7.12694146875688,-8.889857987229982
39,-8.328347569458089,-9.04774740770029,-7.822693671083445,-9.04774740770029,-6.614340042094983,-8.377256560568085
40,-8.711393733131542,-9.558475625931562,-8.205739834756898,-9.558475625931562,-7.1250682603262545,-8.887984778799357
41,-8.749977775076315,-9.609921015191262,-8.244323876701673,-9.609921015191262,-7.176513649585954,-8.664855140818993
42,-9.01433335010796,-9.962395115233454,-8.508679451733316,-9.962395115233454,-7.528987749628143,-9.017329240861182
43,-8.91872990988456,-9.834923861602254,-8.413076011509917,-9.834923861602254,-7.401516495996944,-8.889857987229982
44,-8.534278839888135,-9.322322434940356,-8.028624941513492,-9.322322434940356,-6.888915069335046,-8.377256560568085
45,-8.917325003561588,-9.833050653171625,-8.411671105186945,-9.833050653171625,-7.399643287566318,-8.887984778799357
46,-7.737596093852207,-8.635112002007032,-7.737596093852206,-8.635112002007032,-6.670885039472313,-7.799880155438416
47,-7.94908055387752,-8.899467577038674,-7.94908055387752,-8.899467577038674,-7.023359139514504,-8.06423573047006
48,-7.8725978016988005,-8.803864136815275,-7.8725978016988005,-8.803864136815275,-6.895887885883305,-7.96863229024666
49,-7.565036945701662,-8.419413066818851,-7.565036945701661,-8.419413066818851,-6.383286459221406,-7.584181220250236
50,-7.871473876640425,-8.802459230492305,-7.871473876640424,-8.802459230492305,-6.8940146774526765,-7.967227383923689
51,-7.876228243576352,-8.808402189162214,-7.876228243576352,-8.808402189162214,-6.901938622345891,-7.799880155438416
52,-8.087712703601667,-9.072757764193858,-8.087712703601667,-9.072757764193858,-7.254412722388079,-8.06423573047006
53,-8.011229951422948,-8.977154323970458,-8.011229951422948,-8.977154323970458,-7.12694146875688,-7.96863229024666
