idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.974869701573192,-9.674021890669506,-8.573457346368647,-9.674021890669506,-6.718159319591842,-9.341630105249802
2,-9.192441250519787,-9.945986326852747,-8.791028895315241,-9.945986326852747,-7.080778567836165,-9.613594541433045
3,-9.109662573801828,-9.842512980955298,-8.708250218597282,-9.842512980955298,-6.942814106639566,-9.510121195535595
4,-8.794403635033657,-9.448439307495088,-8.392991279829113,-9.448439307495088,-6.41738254202595,-9.116047522075384
5,-9.109063472005868,-9.84176410371035,-8.707651116801323,-9.84176410371035,-6.9418156036463,-9.509372318290644
6,-9.114600564413072,-9.848685469219356,-8.713188209208528,-9.848685469219358,-6.951044090991644,-9.341630105249802
7,-9.332172113359666,-10.120649905402598,-8.930759758155123,-10.1206499054026,-7.313663339235966,-9.613594541433045
8,-9.249393436641707,-10.017176559505149,-8.847981081437164,-10.017176559505149,-7.175698878039367,-9.510121195535595
9,-8.934134497873538,-9.623102886044938,-8.532722142668993,-9.623102886044938,-6.6502673134257515,-9.116047522075384
10,-9.248794334845748,-10.0164276822602,-8.847381979641202,-10.0164276822602,-7.1747003750461005,-9.509372318290644
11,-9.282019302455666,-10.057958891772596,-8.88060694725112,-10.057958891772596,-7.230075321062631,-9.341630105249802
12,-9.499590851402258,-10.32992332795584,-9.098178496197715,-10.32992332795584,-7.592694569306953,-9.613594541433045
13,-9.4168121746843,-10.22644998205839,-9.015399819479754,-10.22644998205839,-7.454730108110354,-9.510121195535595
14,-9.10155323591613,-9.832376308598178,-8.700140880711585,-9.832376308598178,-6.929298543496739,-9.116047522075384
15,-9.41621307288834,-10.22570110481344,-9.014800717683794,-10.22570110481344,-7.453731605117088,-9.509372318290644
16,-8.271043234980546,-8.968637331578083,-7.769277790974866,-8.968637331578083,-6.718159319591842,-8.52544828435181
17,-8.543007671163789,-9.331256579822407,-8.041242227158108,-9.331256579822407,-7.080778567836165,-8.888067532596134
18,-8.439534325266338,-9.193292118625807,-7.937768881260658,-9.193292118625807,-6.942814106639566,-8.750103071399534
19,-8.045460651806128,-8.667860554012192,-7.543695207800447,-8.667860554012192,-6.41738254202595,-8.224671506785919
20,-8.438785448021388,-9.192293615632542,-7.937020004015709,-9.192293615632542,-6.9418156036463,-8.749104568406269
21,-8.445706813530396,-9.201522102977885,-7.943941369524716,-9.201522102977885,-6.951044090991644,-8.52544828435181
22,-8.71767124971364,-9.564141351222206,-8.215905805707958,-9.564141351222206,-7.313663339235966,-8.888067532596134
23,-8.61419790381619,-9.426176890025607,-8.11243245981051,-9.426176890025607,-7.175698878039367,-8.750103071399534
24,-8.220124230355978,-8.900745325411991,-7.718358786350297,-8.900745325411991,-6.6502673134257515,-8.224671506785919
25,-8.61344902657124,-9.425178387032341,-8.11168358256556,-9.425178387032341,-7.1747003750461005,-8.749104568406269
26,-8.654980236083638,-9.48055333304887,-8.153214792077957,-9.48055333304887,-7.230075321062631,-8.52544828435181
27,-8.92694467226688,-9.843172581293194,-8.425179228261198,-9.843172581293194,-7.592694569306953,-8.888067532596134
28,-8.823471326369429,-9.705208120096595,-8.321705882363748,-9.705208120096595,-7.454730108110354,-8.750103071399534
29,-8.429397652909218,-9.179776555482979,-7.927632208903537,-9.179776555482979,-6.929298543496739,-8.224671506785919
30,-8.82272244912448,-9.704209617103329,-8.3209570051188,-9.704209617103329,-7.453731605117088,-8.749104568406269
31,-8.405357016132008,-9.147722373113366,-7.903591572126328,-9.147722373113366,-6.718159319591842,-8.704533325887093
32,-8.677321452315251,-9.51034162135769,-8.17555600830957,-9.51034162135769,-7.080778567836165,-9.067152574131416
33,-8.5738481064178,-9.37237716016109,-8.072082662412122,-9.37237716016109,-6.942814106639566,-8.929188112934817
34,-8.17977443295759,-8.846945595547474,-7.678008988951909,-8.846945595547474,-6.41738254202595,-8.403756548321203
35,-8.57309922917285,-9.371378657167824,-8.071333785167171,-9.371378657167824,-6.9418156036463,-8.928189609941551
36,-8.580020594681859,-9.380607144513167,-8.078255150676178,-9.380607144513167,-6.951044090991644,-8.704533325887093
37,-8.851985030865102,-9.74322639275749,-8.35021958685942,-9.74322639275749,-7.313663339235966,-9.067152574131416
38,-8.748511684967653,-9.605261931560891,-8.246746240961972,-9.605261931560891,-7.175698878039367,-8.929188112934817
39,-8.35443801150744,-9.079830366947276,-7.8526725675017595,-9.079830366947276,-6.6502673134257515,-8.403756548321203
40,-8.747762807722703,-9.604263428567625,-8.245997363717022,-9.604263428567625,-7.1747003750461005,-8.928189609941551
41,-8.7892940172351,-9.659638374584153,-8.28752857322942,-9.659638374584153,-7.230075321062631,-8.704533325887093
42,-9.061258453418342,-10.022257622828477,-8.55949300941266,-10.022257622828477,-7.592694569306953,-9.067152574131416
43,-8.957785107520891,-9.884293161631877,-8.45601966351521,-9.884293161631877,-7.454730108110354,-8.929188112934817
44,-8.56371143406068,-9.358861597018262,-8.061945990055,-9.358861597018262,-6.929298543496739,-8.403756548321203
45,-8.957036230275943,-9.883294658638611,-8.455270786270262,-9.883294658638611,-7.453731605117088,-8.928189609941551
46,-7.765384306626527,-8.663930590991853,-7.765384306626527,-8.663930590991853,-6.718159319591842,-7.8297733615664695
47,-7.9829558555731195,-8.935895027175096,-7.9829558555731195,-8.935895027175096,-7.080778567836165,-8.101737797749712
48,-7.900177178855159,-8.832421681277648,-7.900177178855159,-8.832421681277646,-6.942814106639566,-7.998264451852262
49,-7.58491824008699,-8.438348007817435,-7.58491824008699,-8.438348007817435,-6.41738254202595,-7.60419077839205
50,-7.899578077059201,-8.831672804032697,-7.899578077059201,-8.831672804032696,-6.9418156036463,-7.997515574607313
51,-7.9051151694664075,-8.838594169541704,-7.9051151694664075,-8.838594169541704,-6.951044090991644,-7.8297733615664695
