idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-8.84675452302159,-9.5160758134024,-8.442385109308526,-9.5160758134024,-6.670914983372356,-9.186328191900145
2,-9.058238983046904,-9.780431388434044,-8.65386956933384,-9.780431388434042,-7.023389083414547,-9.450683766931789
3,-8.981756230868184,-9.684827948210645,-8.577386817155121,-9.684827948210643,-6.895917829783348,-9.35508032670839
4,-8.674195374871044,-9.30037687821422,-8.26982596115798,-9.30037687821422,-6.383316403121449,-8.970629256711964
5,-8.980632305809808,-9.683423041887673,-8.576262892096745,-9.683423041887673,-6.89404462135272,-9.353675420385418
6,-8.985386672745737,-9.689366000557582,-8.581017259032674,-9.689366000557582,-6.901968566245934,-9.186328191900145
7,-9.19687113277105,-9.953721575589226,-8.792501719057988,-9.953721575589226,-7.254442666288123,-9.450683766931789
8,-9.120388380592331,-9.858118135365826,-8.716018966879268,-9.858118135365826,-7.126971412656924,-9.35508032670839
9,-8.81282752459519,-9.473667065369401,-8.408458110882128,-9.473667065369401,-6.614369985995026,-8.970629256711964
10,-9.119264455533955,-9.856713229042855,-8.714895041820892,-9.856713229042855,-7.125098204226298,-9.353675420385418
11,-9.150131689089774,-9.89529727098763,-8.74576227537671,-9.89529727098763,-7.176543593485998,-9.186328191900145
12,-9.36161614911509,-10.159652846019274,-8.957246735402027,-10.159652846019274,-7.5290176935281865,-9.450683766931789
13,-9.28513339693637,-10.064049405795874,-8.880763983223307,-10.064049405795874,-7.401546439896987,-9.35508032670839
14,-8.97757254093923,-9.679598335799449,-8.573203127226167,-9.679598335799449,-6.88894501323509,-8.970629256711964
15,-9.284009471877992,-10.062644499472903,-8.879640058164929,-10.062644499472903,-7.399673231466362,-9.353675420385418
16,-8.238474061444846,-8.928142294760343,-7.733012294303517,-8.928142294760343,-6.670914983372356,-8.488478799424003
17,-8.502829636476488,-9.280616394802536,-7.997367869335161,-9.280616394802536,-7.023389083414547,-8.840952899466195
18,-8.407226196253088,-9.153145141171336,-7.901764429111761,-9.153145141171336,-6.895917829783348,-8.713481645834996
19,-8.022775126256665,-8.640543714509437,-7.517313359115337,-8.640543714509437,-6.383316403121449,-8.200880219173097
20,-8.405821289930119,-9.151271932740707,-7.90035952278879,-9.151271932740707,-6.89404462135272,-8.711608437404367
21,-8.411764248600027,-9.159195877633922,-7.906302481458699,-9.159195877633922,-6.901968566245934,-8.488478799424003
22,-8.676119823631671,-9.511669977676114,-8.170658056490343,-9.511669977676114,-7.254442666288123,-8.840952899466195
23,-8.580516383408272,-9.384198724044914,-8.075054616266943,-9.384198724044914,-7.126971412656924,-8.713481645834996
24,-8.196065313411847,-8.871597297383016,-7.690603546270519,-8.871597297383016,-6.614369985995026,-8.200880219173097
25,-8.5791114770853,-9.382325515614285,-8.073649709943972,-9.382325515614285,-7.125098204226298,-8.711608437404367
26,-8.617695519030075,-9.433770904873986,-8.112233751888747,-9.433770904873986,-7.176543593485998,-8.488478799424003
27,-8.882051094061719,-9.786245004916175,-8.37658932692039,-9.786245004916175,-7.5290176935281865,-8.840952899466195
28,-8.78644765383832,-9.658773751284976,-8.28098588669699,-9.658773751284976,-7.401546439896987,-8.713481645834996
29,-8.401996583841894,-9.146172324623079,-7.896534816700567,-9.146172324623079,-6.88894501323509,-8.200880219173097
30,-8.785042747515348,-9.65690054285435,-8.27958098037402,-9.65690054285435,-7.399673231466362,-8.711608437404367
31,-8.370586644182804,-9.104292405077622,-7.865124877041474,-9.104292405077622,-6.670914983372356,-8.664628909741282
32,-8.634942219214446,-9.45676650511981,-8.129480452073118,-9.45676650511981,-7.023389083414547,-9.017103009783474
33,-8.539338778991047,-9.329295251488611,-8.033877011849718,-9.329295251488611,-6.895917829783348,-8.889631756152275
34,-8.154887708994623,-8.816693824826714,-7.649425941853294,-8.816693824826714,-6.383316403121449,-8.377030329490376
35,-8.537933872668077,-9.327422043057986,-8.032472105526747,-9.327422043057986,-6.89404462135272,-8.887758547721646
36,-8.543876831337986,-9.335345987951198,-8.038415064196657,-9.335345987951198,-6.901968566245934,-8.664628909741282
37,-8.80823240636963,-9.687820087993389,-8.302770639228301,-9.687820087993389,-7.254442666288123,-9.017103009783474
38,-8.71262896614623,-9.56034883436219,-8.207167199004902,-9.56034883436219,-7.126971412656924,-8.889631756152275
39,-8.328177896149805,-9.04774740770029,-7.8227161290084775,-9.04774740770029,-6.614369985995026,-8.377030329490376
40,-8.711224059823259,-9.558475625931562,-8.20576229268193,-9.558475625931562,-7.125098204226298,-8.887758547721646
41,-8.749808101768034,-9.609921015191262,-8.244346334626705,-9.609921015191262,-7.176543593485998,-8.664628909741282
42,-9.014163676799678,-9.962395115233454,-8.508701909658349,-9.962395115233454,-7.5290176935281865,-9.017103009783474
43,-8.918560236576278,-9.834923861602254,-8.41309846943495,-9.834923861602254,-7.401546439896987,-8.889631756152275
44,-8.534109166579853,-9.322322434940356,-8.028647399438524,-9.322322434940356,-6.88894501323509,-8.377030329490376
45,-8.917155330253307,-9.833050653171625,-8.411693563111978,-9.833050653171625,-7.399673231466362,-8.887758547721646
46,-7.737614060192233,-8.635112002007032,-7.737614060192231,-8.635112002007032,-6.670914983372356,-7.799902613363448
47,-7.949098520217547,-8.899467577038674,-7.949098520217547,-8.899467577038674,-7.023389083414547,-8.064258188395092
48,-7.872615768038827,-8.803864136815275,-7.872615768038827,-8.803864136815275,-6.895917829783348,-7.9686547481716925
49,-7.565054912041688,-8.419413066818851,-7.565054912041687,-8.419413066818851,-6.383316403121449,-7.584203678175268
50,-7.8714918429804515,-8.802459230492305,-7.87149184298045,-8.802459230492305,-6.89404462135272,-7.967249841848721
51,-7.876246209916379,-8.808402189162214,-7.876246209916379,-8.808402189162214,-6.901968566245934,-7.799902613363448
52,-8.087730669941694,-9.072757764193858,-8.087730669941694,-9.072757764193858,-7.254442666288123,-8.064258188395092
53,-8.011247917762974,-8.977154323970458,-8.011247917762974,-8.977154323970458,-7.126971412656924,-7.9686547481716925
54,-7.703687061765834,-8.592703253974033,-7.703687061765834,-8.592703253974033,-6.614369985995026,-7.584203678175268
55,-8.010123992704596,-8.975749417647487,-8.010123992704596,-8.975749417647487,-7.125098204226298,-7.967249841848721
56,-8.040991226260417,-9.014333459592262,-8.040991226260417,-9.014333459592262,-7.176543593485998,-7.799902613363448
57,-8.252475686285731,-9.278689034623905,-8.252475686285731,-9.278689034623905,-7.5290176935281865,-8.064258188395092
58,-8.175992934107011,-9.183085594400506,-8.175992934107011,-9.183085594400506,-7.401546439896987,-7.9686547481716925
59,-7.868432078109872,-8.798634524404081,-7.868432078109872,-8.798634524404081,-6.88894501323509,-7.584203678175268
60,-8.174869009048635,-9.181680688077535,-8.174869009048635,-9.181680688077535,-7.399673231466362,-7.967249841848721
61,-7.851121908519088,-9.085621780381105,-7.851121908519088,-9.085621780381105,-6.670914983372356,-7.972009262189663
62,-8.115477483550732,-9.438095880423298,-8.115477483550732,-9.438095880423298,-7.023389083414547,-8.324483362231852
63,-8.019874043327333,-9.310624626792098,-8.019874043327333,-9.310624626792098,-6.895917829783348,-8.197012108600653
64,-7.6354229733309085,-8.7980232001302,-7.6354229733309085,-8.7980232001302,-6.383316403121449,-7.684410681938755
65,-8.018469137004361,-9.308751418361469,-8.018469137004361,-9.308751418361469,-6.89404462135272,-8.195138900170027
66,-8.024412095674272,-9.316675363254683,-8.02441209567427,-9.316675363254683,-6.901968566245934,-7.972009262189663
67,-8.288767670705914,-9.669149463296876,-8.288767670705914,-9.669149463296876,-7.254442666288123,-8.324483362231852
68,-8.193164230482514,-9.541678209665676,-8.193164230482514,-9.541678209665676,-7.126971412656924,-8.197012108600653
69,-7.808713160486091,-9.029076783003777,-7.80871316048609,-9.029076783003777,-6.614369985995026,-7.684410681938755
70,-8.191759324159545,-9.539805001235047,-8.191759324159543,-9.539805001235047,-7.125098204226298,-8.195138900170027
71,-8.230343366104318,-9.591250390494748,-8.230343366104318,-9.591250390494748,-7.176543593485998,-7.972009262189663
72,-8.494698941135962,-9.943724490536937,-8.494698941135962,-9.943724490536937,-7.5290176935281865,-8.324483362231852
73,-8.399095500912562,-9.816253236905737,-8.399095500912562,-9.816253236905737,-7.401546439896987,-8.197012108600653
74,-8.014644430916137,-9.30365181024384,-8.014644430916137,-9.30365181024384,-6.88894501323509,-7.684410681938755
75,-8.39769059458959,-9.814380028475112,-8.39769059458959,-9.814380028475112,-7.399673231466362,-8.195138900170027
76,-8.142050805393183,-9.140657933508221,-8.142050805393184,-9.140657933508221,-6.670914983372356,-8.305448544864637
77,-8.353535265418497,-9.405013508539863,-8.353535265418499,-9.405013508539863,-7.023389083414547,-8.56980411989628
78,-8.277052513239777,-9.309410068316463,-8.277052513239779,-9.309410068316463,-6.895917829783348,-8.474200679672881
79,-7.969491657242638,-8.92495899832004,-7.9694916572426395,-8.92495899832004,-6.383316403121449,-8.089749609676456
80,-8.2759285881814,-9.308005161993494,-8.275928588181403,-9.308005161993494,-6.89404462135272,-8.47279577334991
81,-8.28068295511733,-9.313948120663404,-8.28068295511733,-9.313948120663403,-6.901968566245934,-8.305448544864637
82,-8.492167415142644,-9.578303695695046,-8.492167415142644,-9.578303695695046,-7.254442666288123,-8.56980411989628
83,-8.415684662963924,-9.482700255471647,-8.415684662963924,-9.482700255471647,-7.126971412656924,-8.474200679672881
84,-8.108123806966784,-9.098249185475224,-8.108123806966784,-9.098249185475222,-6.614369985995026,-8.089749609676456
85,-8.414560737905548,-9.481295349148677,-8.414560737905548,-9.481295349148676,-7.125098204226298,-8.47279577334991
86,-8.445427971461367,-9.51987939109345,-8.445427971461367,-9.51987939109345,-7.176543593485998,-8.305448544864637
87,-8.656912431486683,-9.784234966125094,-8.656912431486681,-9.784234966125094,-7.5290176935281865,-8.56980411989628
88,-8.580429679307963,-9.688631525901695,-8.580429679307962,-9.688631525901695,-7.401546439896987,-8.474200679672881
89,-8.272868823310823,-9.30418045590527,-8.272868823310821,-9.30418045590527,-6.88894501323509,-8.089749609676456
90,-8.579305754249585,-9.687226619578723,-8.579305754249585,-9.687226619578723,-7.399673231466362,-8.47279577334991
91,-7.941229093076746,-9.20576469312465,-7.941229093076744,-9.20576469312465,-6.670914983372356,-8.092152174933204
92,-8.205584668108388,-9.558238793166838,-8.205584668108388,-9.558238793166838,-7.023389083414547,-8.444626274975397
93,-8.109981227884989,-9.430767539535639,-8.109981227884989,-9.430767539535639,-6.895917829783348,-8.317155021344197
94,-7.725530157888565,-8.918166112873742,-7.7255301578885645,-8.918166112873742,-6.383316403121449,-7.8045535946822975
95,-8.108576321562019,-9.428894331105013,-8.108576321562017,-9.428894331105013,-6.89404462135272,-8.315281812913568
96,-8.114519280231928,-9.436818275998226,-8.114519280231928,-9.436818275998226,-6.901968566245934,-8.092152174933204
97,-8.378874855263572,-9.789292376040416,-8.378874855263572,-9.789292376040416,-7.254442666288123,-8.444626274975397
98,-8.283271415040172,-9.661821122409217,-8.283271415040172,-9.661821122409217,-7.126971412656924,-8.317155021344197
99,-7.898820345043748,-9.149219695747318,-7.898820345043748,-9.149219695747318,-6.614369985995026,-7.8045535946822975
100,-8.2818665087172,-9.65994791397859,-8.2818665087172,-9.65994791397859,-7.125098204226298,-8.315281812913568
101,-8.320450550661976,-9.711393303238289,-8.320450550661976,-9.711393303238289,-7.176543593485998,-8.092152174933204
102,-8.58480612569362,-10.063867403280481,-8.58480612569362,-10.063867403280481,-7.5290176935281865,-8.444626274975397
103,-8.48920268547022,-9.936396149649282,-8.48920268547022,-9.936396149649282,-7.401546439896987,-8.317155021344197
104,-8.104751615473795,-9.423794722987383,-8.104751615473795,-9.423794722987383,-6.88894501323509,-7.8045535946822975
105,-8.487797779147249,-9.934522941218653,-8.487797779147249,-9.934522941218653,-7.399673231466362,-8.315281812913568
106,-7.821806946722965,-9.046535164652942,-7.821806946722965,-9.046535164652942,-6.670914983372356,-7.932922646461499
107,-8.08616252175461,-9.399009264695133,-8.08616252175461,-9.399009264695133,-7.023389083414547,-8.285396746503688
108,-7.9905590815312095,-9.271538011063933,-7.9905590815312095,-9.271538011063933,-6.895917829783348,-8.157925492872488
109,-7.606108011534785,-8.758936584402035,-7.606108011534785,-8.758936584402035,-6.383316403121449,-7.645324066210591
110,-7.989154175208238,-9.269664802633306,-7.989154175208238,-9.269664802633306,-6.89404462135272,-8.156052284441863
111,-7.995097133878149,-9.27758874752652,-7.995097133878147,-9.27758874752652,-6.901968566245934,-7.932922646461499
112,-8.25945270890979,-9.630062847568711,-8.25945270890979,-9.630062847568711,-7.254442666288123,-8.285396746503688
113,-8.163849268686391,-9.502591593937511,-8.163849268686391,-9.502591593937511,-7.126971412656924,-8.157925492872488
114,-7.779398198689968,-8.989990167275613,-7.779398198689967,-8.989990167275613,-6.614369985995026,-7.645324066210591
115,-8.162444362363422,-9.500718385506884,-8.16244436236342,-9.500718385506884,-7.125098204226298,-8.156052284441863
116,-8.201028404308195,-9.552163774766584,-8.201028404308195,-9.552163774766584,-7.176543593485998,-7.932922646461499
117,-8.465383979339839,-9.904637874808772,-8.465383979339839,-9.904637874808772,-7.5290176935281865,-8.285396746503688
118,-8.369780539116439,-9.777166621177573,-8.369780539116439,-9.777166621177573,-7.401546439896987,-8.157925492872488
119,-7.985329469120015,-9.264565194515676,-7.985329469120015,-9.264565194515676,-6.88894501323509,-7.645324066210591
120,-8.368375632793468,-9.775293412746947,-8.368375632793468,-9.775293412746947,-7.399673231466362,-8.156052284441863
121,-8.312944941636227,-9.146009471376868,-8.312944941636228,-9.146009471376868,-6.670914983372356,-8.477841960462
122,-8.489181991657324,-9.357493931402182,-8.489181991657324,-9.357493931402182,-7.023389083414547,-8.689326420487316
123,-8.425446364841724,-9.281011179223462,-8.425446364841724,-9.281011179223462,-6.895917829783348,-8.612843668308596
124,-8.169145651510773,-8.973450323226322,-8.169145651510775,-8.973450323226322,-6.383316403121449,-8.305282812311455
125,-8.424509760626409,-9.279887254165086,-8.42450976062641,-9.279887254165086,-6.89404462135272,-8.611719743250218
126,-8.428471733073016,-9.284641621101013,-8.428471733073016,-9.284641621101013,-6.901968566245934,-8.477841960462
127,-8.604708783094113,-9.496126081126329,-8.604708783094113,-9.496126081126327,-7.254442666288123,-8.689326420487316
128,-8.540973156278513,-9.41964332894761,-8.540973156278513,-9.419643328947608,-7.126971412656924,-8.612843668308596
129,-8.284672442947562,-9.112082472950469,-8.284672442947562,-9.112082472950467,-6.614369985995026,-8.305282812311455
130,-8.540036552063198,-9.418519403889231,-8.540036552063198,-9.418519403889231,-7.125098204226298,-8.611719743250218
131,-8.565759246693048,-9.44938663744505,-8.565759246693048,-9.44938663744505,-7.176543593485998,-8.477841960462
132,-8.741996296714143,-9.660871097470366,-8.741996296714143,-9.660871097470366,-7.5290176935281865,-8.689326420487316
133,-8.678260669898544,-9.584388345291647,-8.678260669898544,-9.584388345291647,-7.401546439896987,-8.612843668308596
134,-8.421959956567594,-9.276827489294506,-8.421959956567594,-9.276827489294506,-6.88894501323509,-8.305282812311455
135,-8.67732406568323,-9.583264420233268,-8.67732406568323,-9.583264420233268,-7.399673231466362,-8.611719743250218
136,-9.030018014067144,-9.506776122828612,-8.741182718557814,-9.506776122828612,-6.670914983372356,-9.286944375160441
137,-9.181078342656656,-9.683013172849707,-8.892243047147327,-9.683013172849707,-7.023389083414547,-9.463181425181537
138,-9.12644780538614,-9.619277546034107,-8.837612509876811,-9.619277546034107,-6.895917829783348,-9.399445798365937
139,-8.906761479673898,-9.362976832703158,-8.617926184164569,-9.362976832703158,-6.383316403121449,-9.143145085034988
140,-9.125645001773014,-9.618340941818794,-8.836809706263685,-9.618340941818794,-6.89404462135272,-9.398509194150623
141,-9.129040978155821,-9.6223029142654,-8.84020568264649,-9.6223029142654,-6.901968566245934,-9.286944375160441
142,-9.280101306745332,-9.798539964286496,-8.991266011236002,-9.798539964286496,-7.254442666288123,-9.463181425181537
143,-9.225470769474816,-9.734804337470896,-8.936635473965486,-9.734804337470896,-7.126971412656924,-9.399445798365937
144,-9.005784443762575,-9.478503624139947,-8.716949148253244,-9.478503624139947,-6.614369985995026,-9.143145085034988
145,-9.224667965861693,-9.733867733255583,-8.93583267035236,-9.733867733255583,-7.125098204226298,-9.398509194150623
146,-9.246715989830134,-9.759590427885431,-8.957880694320803,-9.759590427885433,-7.176543593485998,-9.286944375160441
147,-9.397776318419645,-9.935827477906527,-9.108941022910313,-9.935827477906528,-7.5290176935281865,-9.463181425181537
148,-9.343145781149131,-9.872091851090927,-9.0543104856398,-9.872091851090929,-7.401546439896987,-9.399445798365937
149,-9.123459455436889,-9.615791137759977,-8.834624159927557,-9.61579113775998,-6.88894501323509,-9.143145085034988
150,-9.342342977536005,-9.871155246875613,-9.053507682026673,-9.871155246875615,-7.399673231466362,-9.398509194150623
151,-7.44515708017072,-8.544335342583281,-7.44515708017072,-8.544335342583281,-6.670914983372356,-7.430722824391836
152,-7.709512655202362,-8.896809442625473,-7.709512655202362,-8.896809442625473,-7.023389083414547,-7.783196924434027
153,-7.613909214978962,-8.769338188994274,-7.613909214978962,-8.769338188994274,-6.895917829783348,-7.655725670802828
154,-7.229458144982539,-8.256736762332375,-7.229458144982539,-8.256736762332375,-6.383316403121449,-7.143124244140929
155,-7.612504308655993,-8.767464980563645,-7.612504308655993,-8.767464980563645,-6.89404462135272,-7.6538524623722
156,-7.618447267325902,-8.77538892545686,-7.618447267325902,-8.77538892545686,-6.901968566245934,-7.430722824391836
157,-7.882802842357545,-9.127863025499048,-7.882802842357545,-9.127863025499048,-7.254442666288123,-7.783196924434027
158,-7.787199402134146,-9.000391771867848,-7.787199402134146,-9.000391771867848,-7.126971412656924,-7.655725670802828
159,-7.402748332137722,-8.487790345205951,-7.402748332137722,-8.487790345205951,-6.614369985995026,-7.143124244140929
160,-7.785794495811174,-8.998518563437223,-7.785794495811174,-8.998518563437223,-7.125098204226298,-7.6538524623722
161,-7.824378537755949,-9.04996395269692,-7.824378537755949,-9.04996395269692,-7.176543593485998,-7.430722824391836
162,-8.088734112787593,-9.402438052739113,-8.088734112787593,-9.402438052739113,-7.5290176935281865,-7.783196924434027
163,-7.9931306725641935,-9.274966799107913,-7.9931306725641935,-9.274966799107913,-7.401546439896987,-7.655725670802828
164,-7.608679602567769,-8.762365372446014,-7.608679602567769,-8.762365372446014,-6.88894501323509,-7.143124244140929
165,-7.991725766241222,-9.273093590677284,-7.991725766241222,-9.273093590677284,-7.399673231466362,-7.6538524623722
166,-7.226223617995165,-8.252424059682541,-7.226223617995165,-8.252424059682541,-6.670914983372356,-7.138811541491097
167,-7.490579193026807,-8.604898159724733,-7.490579193026807,-8.604898159724733,-7.023389083414547,-7.491285641533288
168,-7.394975752803408,-8.477426906093534,-7.394975752803408,-8.477426906093534,-6.895917829783348,-7.363814387902089
169,-7.0105246828069845,-7.964825479431635,-7.0105246828069845,-7.964825479431635,-6.383316403121449,-6.85121296124019
170,-7.393570846480438,-8.475553697662905,-7.393570846480438,-8.475553697662905,-6.89404462135272,-7.361941179471461
